Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	2.1528	3.658	0.	14623
2	1.4903	3.1463	0.	9897.8
3	0.77864	3.4185	0.	7750.6
4	3.1092	2.1647	0.	6614.4
5	1.1091	2.2508	0.	7578.
6	0.97307	4.8115	0.	4873.6
7	1.5934	1.6307	0.	7407.2
8	3.3023	2.9577	0.	6812.4
9	4.4352	4.4502	0.	3842.7
10	8.3005	2.973	0.	3780.2
11	10.486	3.0581	0.	3191.3
12	2.2676	2.5723	0.	10307
13	1.9644	3.6506	0.	13666
14	21.741	4.029	0.	489.8
15	19.409	4.6891	0.	1062.8
16	17.172	4.5622	0.	1519.3
17	15.02	4.4891	0.	2045.3
18	12.93	4.4865	0.	2572.6
19	10.726	4.5119	0.	3141.
20	8.5531	4.4875	0.	3713.8
21	6.4355	4.4062	0.	4094.5
22	3.0543	3.6172	0.	7011.5
23	22.152	1.8972	0.	431.79
24	4.1022	1.8557	0.	5325.1
25	5.9185	1.3873	0.	3546.3
26	8.1976	1.4636	0.	3800.
27	10.273	1.5276	0.	3279.5
28	12.291	1.5081	0.	2737.
29	14.374	1.422	0.	2206.5
30	16.448	1.5201	0.	1690.5
31	18.344	1.5468	0.	1255.6
32	20.261	1.6247	0.	817.97
33	20.225	2.9661	0.	874.1
34	1.2362	1.237	0.	5080.6
35	3.5537	1.4705	0.	4660.9
36	3.7169	2.1523	0.	5320.7
37	18.977	3.4173	0.	1151.4
38	4.3634	2.6328	0.	4203.6
39	16.842	3.0236	0.	1585.8
40	14.814	2.9168	0.	2094.5
41	6.5032	2.7442	0.	4008.
42	12.64	2.9948	0.	2640.7
43	1.7501	3.8338	0.	12147
44	1.7075	3.3886	0.	9664.3
45	2.4003	3.2563	0.	11265
46	4.0488	0.78529	0.	4619.7
47	1.5107	4.0739	0.	8320.3
48	1.5107	4.0739	0.1	8320.3
49	4.0488	0.78529	0.1	4619.7
50	2.4003	3.2563	0.1	11265
51	1.7075	3.3886	0.1	9664.3
52	1.7501	3.8338	0.1	12147
53	12.64	2.9948	0.1	2640.7
54	6.5032	2.7442	0.1	4008.
55	14.814	2.9168	0.1	2094.5
56	16.842	3.0236	0.1	1585.8
57	4.3634	2.6328	0.1	4203.6
58	18.977	3.4173	0.1	1151.4
59	3.7169	2.1523	0.1	5320.7
60	3.5537	1.4705	0.1	4660.9
61	1.2362	1.237	0.1	5080.6
62	20.225	2.9661	0.1	874.1
63	20.261	1.6247	0.1	817.97
64	18.344	1.5468	0.1	1255.6
65	16.448	1.5201	0.1	1690.5
66	14.374	1.422	0.1	2206.5
67	12.291	1.5081	0.1	2737.
68	10.273	1.5276	0.1	3279.5
69	8.1976	1.4636	0.1	3800.
70	5.9185	1.3873	0.1	3546.3
71	4.1022	1.8557	0.1	5325.1
72	22.152	1.8972	0.1	431.79
73	3.0543	3.6172	0.1	7011.5
74	6.4355	4.4062	0.1	4094.5
75	8.5531	4.4875	0.1	3713.8
76	10.726	4.5119	0.1	3141.
77	12.93	4.4865	0.1	2572.6
78	15.02	4.4891	0.1	2045.3
79	17.172	4.5622	0.1	1519.3
80	19.409	4.6891	0.1	1062.8
81	21.741	4.029	0.1	489.8
82	1.9644	3.6506	0.1	13666
83	2.2676	2.5723	0.1	10307
84	10.486	3.0581	0.1	3191.3
85	8.3005	2.973	0.1	3780.2
86	4.4352	4.4502	0.1	3842.7
87	3.3023	2.9577	0.1	6812.4
88	1.5934	1.6307	0.1	7407.2
89	0.97307	4.8115	0.1	4873.6
90	1.1091	2.2508	0.1	7578.
91	3.1092	2.1647	0.1	6614.4
92	0.77864	3.4185	0.1	7750.6
93	1.4903	3.1463	0.1	9897.8
94	2.1528	3.658	0.1	14623
95	2.1667	1.	0.1	4198.7
96	2.1667	1.5	0.1	8365.4
97	2.1667	2.	0.1	18042
98	2.	2.	0.1	16455
99	2.	1.5	0.1	13692
100	2.	1.	0.1	3113.
101	2.1667	4.75	0.1	6982.1
102	2.1667	4.	0.1	21340
103	2.	4.	0.1	26961
104	2.	4.5	0.1	7462.6
105	2.	5.	0.1	5042.
106	2.1667	6.	0.1	3946.
107	4.35	6.	0.1	3349.6
108	6.5333	6.	0.1	4310.
109	8.7167	6.	0.1	3645.6
110	10.9	6.	0.1	3140.7
111	13.083	6.	0.1	2551.8
112	15.267	6.	0.1	1985.1
113	17.45	6.	0.1	1508.9
114	19.633	6.	0.1	998.44
115	21.817	6.	0.1	434.94
116	24.	6.	0.1	305.31
117	24.	4.	0.1	294.31
118	24.	2.	0.1	275.91
119	1.7484e-014	2.	0.1	4742.
120	3.4968e-014	4.	0.1	4577.2
121	4.371e-014	5.	0.1	3514.1
122	3.937e-014	6.	0.1	2076.1
123	1.	6.	0.1	3264.1
124	2.	6.	0.1	2114.
125	24.	0.	0.1	246.74
126	22.015	0.	0.1	433.32
127	20.03	0.	0.1	857.24
128	18.045	0.	0.1	1317.5
129	16.061	0.	0.1	1796.7
130	14.076	0.	0.1	2287.8
131	12.091	0.	0.1	2822.1
132	10.106	0.	0.1	3385.9
133	8.1212	0.	0.1	3886.5
134	6.1364	0.	0.1	3760.3
135	4.1515	0.	0.1	3507.6
136	2.1667	0.	0.1	3650.4
137	2.	0.	0.1	5079.5
138	0.	0.	0.1	2788.8
139	2.	0.	0.	5079.5
140	0.	0.	0.	2788.8
141	4.1515	0.	0.	3507.6
142	6.1364	0.	0.	3760.3
143	8.1212	0.	0.	3886.5
144	10.106	0.	0.	3385.9
145	12.091	0.	0.	2822.1
146	14.076	0.	0.	2287.8
147	16.061	0.	0.	1796.7
148	18.045	0.	0.	1317.5
149	20.03	0.	0.	857.24
150	22.015	0.	0.	433.32
151	2.1667	0.	0.	3650.4
152	24.	0.	0.	246.74
153	1.	6.	0.	3264.1
154	2.	6.	0.	2114.
155	3.937e-014	6.	0.	2076.1
156	4.371e-014	5.	0.	3514.1
157	3.4968e-014	4.	0.	4577.2
158	1.7484e-014	2.	0.	4742.
159	24.	2.	0.	275.9
160	24.	4.	0.	294.31
161	24.	6.	0.	305.31
162	21.817	6.	0.	434.94
163	19.633	6.	0.	998.44
164	17.45	6.	0.	1508.9
165	15.267	6.	0.	1985.1
166	13.083	6.	0.	2551.8
167	10.9	6.	0.	3140.7
168	8.7167	6.	0.	3645.6
169	6.5333	6.	0.	4310.
170	4.35	6.	0.	3349.6
171	2.1667	6.	0.	3946.
172	2.	4.5	0.	7462.6
173	2.	5.	0.	5042.
174	2.	4.	0.	26961
175	2.1667	4.75	0.	6982.1
176	2.1667	4.	0.	21340
177	2.	1.5	0.	13692
178	2.	1.	0.	3113.
179	2.	2.	0.	16455
180	2.1667	1.	0.	4198.7
181	2.1667	1.5	0.	8365.4
182	2.1667	2.	0.	18042
183	2.0586	3.6543	0.	14107
184	2.2765	3.4572	0.	12873
185	2.1528	3.658	5.e-002	390.07
186	2.1597	3.829	0.	17412
187	1.1345	3.2824	0.	8646.6
188	1.8789	2.8593	0.	10068
189	1.5989	3.2674	0.	9693.2
190	1.5005	3.6101	0.	8429.7
191	1.4903	3.1463	5.e-002	287.14
192	1.7451	2.5732	0.	12643
193	0.94388	2.8347	0.	7399.4
194	0.87585	4.115	0.	6218.
195	0.77864	3.4185	5.e-002	306.31
196	0.38932	3.7093	0.	6070.5
197	3.2058	2.5612	0.	6646.
198	3.3314	1.8176	0.	5616.9
199	3.413	2.1585	0.	5883.
200	3.1092	2.1647	5.e-002	423.7
201	2.6379	2.0824	0.	12255
202	1.3512	1.9407	0.	7398.3
203	1.1727	1.7439	0.	6210.3
204	1.1091	2.2508	5.e-002	355.54
205	0.55457	2.1254	0.	5923.4
206	1.5546	2.1254	0.	11947
207	1.2419	4.4427	0.	6505.
208	0.97307	4.8115	5.e-002	431.02
209	0.98654	5.4057	0.	4046.3
210	0.48654	4.9057	0.	4007.1
211	1.4865	4.9057	0.	4729.2
212	1.4148	1.4339	0.	6221.8
213	1.5934	1.6307	5.e-002	1369.
214	1.7967	1.5653	0.	9830.3
215	2.7849	2.765	0.	8446.9
216	3.1783	3.2874	0.	6875.9
217	3.8328	2.7952	0.	5455.5
218	3.3023	2.9577	5.e-002	474.84
219	5.4354	4.4282	0.	3960.6
220	3.7448	4.0337	0.	5387.5
221	4.3993	3.5415	0.	4008.8
222	4.4352	4.4502	5.e-002	224.89
223	4.3926	5.2251	0.	3566.6
224	3.301	4.6001	0.	4838.7
225	9.3933	3.0156	0.	3484.7
226	8.4268	3.7303	0.	3746.5
227	8.2491	2.2183	0.	3789.5
228	7.4019	2.8586	0.	3892.8
229	8.3005	2.973	5.e-002	14.062
230	10.606	3.785	0.	3165.7
231	10.38	2.2929	0.	3235.
232	11.563	3.0264	0.	2916.
233	10.486	3.0581	5.e-002	23.887
234	2.3339	2.9143	0.	10540
235	2.2676	2.5723	5.e-002	290.63
236	2.2171	2.2861	0.	14105
237	1.8359	3.5196	0.	11539
238	1.9644	3.6506	5.e-002	578.51
239	1.9822	3.8253	0.	19604
240	20.575	4.359	0.	774.07
241	21.946	2.9631	0.	458.61
242	20.983	3.4975	0.	679.48
243	21.741	4.029	5.e-002	20.425
244	22.87	4.0145	0.	387.67
245	21.779	5.0145	0.	461.56
246	18.29	4.6256	0.	1288.4
247	19.193	4.0532	0.	1102.8
248	19.409	4.6891	5.e-002	37.666
249	19.521	5.3446	0.	1026.5
