Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
142	8.2473	1.7177	5.e-002	7.9678e-007
143	8.3181	0.85883	0.	5.5597e-005
144	6.757	1.3588	0.	6.5801e-005
145	2.311	3.7984	5.e-002	2.9852e-006
146	2.4305	4.8992	0.	1.2678e-004
147	2.4305	1.8992	0.	1.2266e-004
148	1.1555	3.3992	0.	1.1154e-004
149	3.7055	4.3992	0.	1.1893e-004
150	7.3562	3.4726	5.e-002	1.7131e-006
151	7.8725	4.7363	0.	5.6321e-005
152	6.3114	2.4863	0.	1.1193e-004
153	6.3114	4.2363	0.	8.6508e-005
154	4.9878	2.7611	0.	2.2285e-004
155	4.9331	3.0169	0.	2.1996e-004
156	4.8958	2.8625	5.e-002	2.0296e-005
157	4.8991	3.1954	0.	2.1429e-004
158	4.8278	3.2193	5.e-002	3.6422e-006
159	4.9639	3.6097	0.	3.1765e-004
160	5.1895	2.7265	0.	2.2755e-004
161	5.2993	2.7931	5.e-002	2.1889e-006
162	5.283	2.3965	0.	2.6497e-004
163	5.0797	2.6598	5.e-002	9.7513e-006
164	5.0899	2.3299	0.	2.8328e-004
165	5.0352	3.1704	0.	2.1566e-004
166	4.9704	3.1714	5.e-002	6.9702e-006
167	5.1	3.1694	5.e-002	1.5052e-005
168	11.025	2.3672	5.e-002	3.5783e-006
169	11.268	1.1836	0.	3.8088e-005
170	9.7068	4.1836	0.	4.561e-005
171	9.6361	2.0424	0.1	4.7631e-005
172	13.705	2.6396	0.1	2.8911e-005
173	9.7068	4.1836	0.1	4.561e-005
174	11.268	1.1836	0.1	3.8088e-005
175	5.0352	3.1704	0.1	2.1566e-004
176	5.1674	3.3254	0.1	2.2022e-004
177	5.1337	3.0837	0.1	2.1332e-004
178	4.8991	3.1954	0.1	2.1429e-004
179	4.9331	3.0169	0.1	2.1996e-004
180	5.0389	3.3432	0.1	2.35e-004
181	5.1895	2.7265	0.1	2.2755e-004
182	4.9878	2.7611	0.1	2.2285e-004
183	5.0899	2.3299	0.1	2.8328e-004
184	5.465	3.0993	0.1	1.9118e-004
185	5.2334	2.8956	0.1	2.2386e-004
186	5.283	2.3965	0.1	2.6497e-004
187	4.624	2.9816	0.1	1.7318e-004
188	4.9639	3.6097	0.1	3.1765e-004
189	4.6581	2.8031	0.1	1.7981e-004
190	5.0316	2.9303	0.1	2.1839e-004
191	7.8017	2.5951	0.1	5.8278e-005
192	6.768	3.4499	0.1	8.1501e-005
193	6.3114	4.2363	0.1	8.6508e-005
194	6.3114	2.4863	0.1	1.1193e-004
195	7.8725	4.7363	0.1	5.6321e-005
196	3.0233	2.8498	0.1	1.1514e-004
197	3.7055	4.3992	0.1	1.1893e-004
198	1.1555	3.3992	0.1	1.1154e-004
199	2.4305	1.8992	0.1	1.2266e-004
200	2.4305	4.8992	0.1	1.2678e-004
201	6.757	1.3588	0.1	6.5801e-005
202	8.3181	0.85883	0.1	5.5597e-005
203	13.948	4.456	0.1	2.7488e-005
204	17.07	4.456	0.1	1.8833e-005
205	20.192	2.956	0.1	1.4606e-005
206	17.07	1.456	0.1	1.8116e-005
207	5.4913	3.37	0.1	1.8734e-004
208	5.2934	3.4079	0.1	2.27e-004
209	5.2597	3.1662	0.1	2.1983e-004
210	5.1711	3.4982	0.1	2.3893e-004
211	5.1037	3.7575	0.1	3.3969e-004
212	4.0779	2.3225	0.1	1.2333e-004
213	4.7601	3.6219	0.1	1.4587e-004
214	4.7601	2.3719	0.1	2.3996e-004
215	5.9053	3.4164	0.1	1.3058e-004
216	5.7233	3.9636	0.1	1.2202e-004
217	5.7233	2.7136	0.1	2.0119e-004
218	4.4177	3.4506	0.1	1.0398e-004
219	4.4177	1.7006	0.1	1.1431e-004
220	4.4177	1.4506	0.1	8.3619e-005
221	3.1427	0.95062	0.1	1.0658e-004
222	5.4487	3.7028	0.1	2.7491e-004
223	5.2507	3.7407	0.1	3.1534e-004
224	5.2667	4.75	0.1	1.3513e-004
225	5.2667	5.5	0.1	8.421e-005
226	5.2667	5.	5.e-002	2.0345e-005
227	5.2667	4.25	0.1	2.7354e-004
228	5.2667	4.5	5.e-002	1.0299e-005
229	5.1833	4.	0.1	4.0202e-004
230	5.2667	4.	5.e-002	3.4908e-005
231	5.1	4.25	0.1	3.1446e-004
232	5.1	4.	5.e-002	2.9005e-005
233	5.1	4.75	0.1	1.3855e-004
234	5.1	4.5	5.e-002	1.333e-005
235	5.1	5.5	0.1	1.0937e-004
236	5.1	5.	5.e-002	9.0389e-006
237	5.2667	1.25	0.1	1.2627e-004
238	5.2667	0.5	0.1	7.0371e-005
239	5.2667	1.	5.e-002	3.3053e-006
240	5.2667	1.75	0.1	2.4056e-004
241	5.2667	1.5	5.e-002	1.5046e-005
242	5.1833	2.	0.1	3.1543e-004
243	5.2667	2.	5.e-002	1.7229e-005
244	5.1	1.75	0.1	2.2983e-004
245	5.1	2.	5.e-002	9.0087e-006
246	5.1	1.25	0.1	1.0485e-004
247	5.1	1.5	5.e-002	1.6032e-005
248	5.1	0.5	0.1	8.6525e-005
249	5.1	1.	5.e-002	5.9132e-006
250	6.8278	6.	0.1	4.9916e-005
251	5.2667	6.	5.e-002	4.5727e-006
252	9.95	6.	0.1	4.3336e-005
253	8.3889	6.	5.e-002	8.9264e-007
254	14.633	6.	0.1	2.5324e-005
255	11.511	6.	5.e-002	2.1263e-006
256	20.878	6.	0.1	1.397e-005
257	17.756	6.	5.e-002	8.1559e-007
258	24.	4.5	0.1	1.0195e-005
259	24.	6.	5.e-002	1.2719e-006
260	24.	1.5	0.1	1.0006e-005
261	24.	3.	5.e-002	1.0475e-006
262	1.3113e-014	1.5	0.1	9.2858e-005
263	3.9339e-014	4.5	0.1	8.8243e-005
264	2.6581e-014	3.	5.e-002	8.9337e-006
265	20.878	0.	0.1	1.3462e-005
266	24.	0.	5.e-002	2.6245e-006
267	14.633	0.	0.1	2.7093e-005
268	17.756	0.	5.e-002	1.1116e-006
269	9.95	0.	0.1	4.6046e-005
270	11.511	0.	5.e-002	3.758e-006
271	6.8278	0.	0.1	5.7037e-005
272	8.3889	0.	5.e-002	4.958e-006
273	5.2667	0.	5.e-002	3.8861e-006
274	3.825	1.6378e-030	0.1	1.0091e-004
275	5.1	2.1837e-030	5.e-002	1.4021e-005
276	1.275	5.4593e-031	0.1	1.008e-004
277	2.55	0.	5.e-002	8.1997e-006
278	0.	0.	5.e-002	2.461e-005
279	1.275	6.	0.1	1.0064e-004
280	5.2451e-014	6.	5.e-002	2.5673e-005
