Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	7.8679	2.7882	0.	224.37
2	8.4792	3.4516	0.	450.84
3	6.3463	3.0551	0.	-277.5
4	9.0817	3.7072	0.	-555.12
5	6.0387	1.5171	0.	-62.681
6	8.0922	3.2926	0.	282.59
7	8.3368	2.7492	0.	408.92
8	18.536	2.9964	0.	-11.743
9	13.576	2.4465	0.	-130.96
10	10.667	3.9571	0.	23.597
11	3.0697	2.9766	0.	-217.79
12	9.5065	2.2833	0.	-156.11
13	9.0439	2.7555	0.	-533.31
14	7.5537	3.2099	0.	-452.3
15	10.264	1.2867	0.	-132.58
16	5.7217	4.2112	0.	-512.02
17	5.7217	4.2112	0.1	512.02
18	10.264	1.2867	0.1	132.58
19	7.5537	3.2099	0.1	452.3
20	9.0439	2.7555	0.1	533.31
21	9.5065	2.2833	0.1	156.11
22	3.0697	2.9766	0.1	217.79
23	10.667	3.9571	0.1	-23.597
24	13.576	2.4465	0.1	130.96
25	18.536	2.9964	0.1	11.743
26	8.3368	2.7492	0.1	-408.92
27	8.0922	3.2926	0.1	-282.59
28	6.0387	1.5171	0.1	62.681
29	9.0817	3.7072	0.1	555.12
30	6.3463	3.0551	0.1	277.49
31	8.4792	3.4516	0.1	-450.84
32	7.8679	2.7882	0.1	-224.37
33	8.1667	5.	0.1	497.76
34	8.1667	4.5	0.1	1024.
35	8.1667	4.	0.1	2145.4
36	8.	4.	0.1	2408.2
37	8.	4.5	0.1	1294.8
38	8.	5.	0.1	831.53
39	8.1667	1.	0.1	404.23
40	8.1667	1.5	0.1	847.5
41	8.1667	2.	0.1	1644.6
42	8.	2.	0.1	2622.
43	8.	1.5	0.1	697.89
44	8.	1.	0.1	442.72
45	8.1667	6.	0.1	373.04
46	10.806	6.	0.1	68.028
47	13.444	6.	0.1	-3.0357
48	18.722	6.	0.1	-21.891
49	24.	6.	0.1	192.86
50	24.	3.	0.1	181.34
51	2.6226e-014	3.	0.1	3515.6
52	24.	0.	0.1	234.16
53	18.722	0.	0.1	-19.855
54	13.444	0.	0.1	-17.482
55	10.806	0.	0.1	318.24
56	8.1667	0.	0.1	111.96
57	8.	0.	0.1	238.36
58	6.	9.0989e-031	0.1	1396.2
59	4.	6.0659e-031	0.1	-157.26
60	0.	0.	0.1	3046.1
61	3.937e-014	6.	0.1	3257.2
62	4.	6.	0.1	-99.144
63	6.	6.	0.1	1251.4
64	8.	6.	0.1	-230.09
65	6.	6.	0.	-1251.4
66	4.	6.	0.	99.144
67	8.	6.	0.	230.09
68	3.937e-014	6.	0.	-3257.2
69	4.	6.0659e-031	0.	157.26
70	6.	9.0989e-031	0.	-1396.2
71	8.	0.	0.	-238.36
72	0.	0.	0.	-3046.1
73	10.806	0.	0.	-318.24
74	13.444	0.	0.	17.482
75	18.722	0.	0.	19.855
76	8.1667	0.	0.	-111.96
77	24.	0.	0.	-234.16
78	2.6226e-014	3.	0.	-3515.6
79	24.	3.	0.	-181.34
80	24.	6.	0.	-192.86
81	18.722	6.	0.	21.891
82	13.444	6.	0.	3.0357
83	10.806	6.	0.	-68.028
84	8.1667	6.	0.	-373.04
85	8.	1.5	0.	-697.89
86	8.	1.	0.	-442.72
87	8.	2.	0.	-2622.
88	8.1667	1.	0.	-404.23
89	8.1667	1.5	0.	-847.5
90	8.1667	2.	0.	-1644.6
91	8.	4.5	0.	-1294.8
92	8.	5.	0.	-831.53
93	8.	4.	0.	-2408.2
94	8.1667	5.	0.	-497.76
95	8.1667	4.5	0.	-1024.
96	8.1667	4.	0.	-2145.4
97	7.98	3.0404	0.	253.37
98	8.1024	2.7687	0.	323.55
99	7.7108	2.9991	0.	-113.6
100	7.8679	2.7882	5.e-002	2.798e-005
101	7.934	2.3941	0.	-1203.
102	8.7804	3.5794	0.	-54.763
103	8.2857	3.3721	0.	365.96
104	8.408	3.1004	0.	430.63
105	8.4792	3.4516	5.e-002	5.7607e-005
106	8.3229	3.7258	0.	-193.52
107	6.1925	2.2861	0.	-71.154
108	6.95	3.1325	0.	-245.36
109	6.034	3.6331	0.	-374.14
110	6.3463	3.0551	5.e-002	1.1991e-005
111	7.1732	2.5275	0.	-1339.1
112	7.1732	3.7775	0.	-857.58
113	9.8743	3.8322	0.	-247.92
114	9.0628	3.2314	0.	-547.25
115	9.0817	3.7072	5.e-002	1.8965e-004
116	8.6242	4.1036	0.	-598.79
117	4.5542	2.2468	0.	87.736
118	6.0387	1.5171	5.e-002	7.4517e-005
119	6.0194	0.75853	0.	-734.22
120	7.0194	1.5085	0.	-382.99
121	7.0194	1.2585	0.	-116.42
122	8.0922	3.2926	5.e-002	4.1411e-005
123	8.0461	3.6463	0.	-622.78
124	8.6903	2.7524	0.	-62.392
125	8.3368	2.7492	5.e-002	1.298e-004
126	8.2517	2.3746	0.	-364.47
127	16.056	2.7214	0.	-36.879
128	18.536	2.9964	5.e-002	1.2348e-005
129	18.629	1.4982	0.	4.2308
130	21.268	2.9982	0.	-96.453
131	18.629	4.4982	0.	4.9354
132	12.122	3.2018	0.	21.692
133	11.92	1.8666	0.	-80.11
134	13.576	2.4465	5.e-002	6.0596e-005
135	13.51	1.2232	0.	-25.96
136	13.51	4.2232	0.	-54.068
137	10.087	3.1202	0.	1.1611
138	10.667	3.9571	5.e-002	2.7702e-006
139	10.736	4.9786	0.	-22.154
140	9.4168	4.4786	0.	-245.68
141	4.3957	3.5939	0.	-183.78
142	3.0697	2.9766	5.e-002	5.2871e-007
143	3.5349	4.4883	0.	-61.466
144	3.5349	1.4883	0.	-26.278
145	1.5349	2.9883	0.	-1868.7
146	9.2752	2.5194	0.	-328.53
