Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,17.977,2.9181,0,0.00029719,2969.8,0.00015365,675.96,6.0585e-05,-23.253,-0.00027984,-2581.1,1.2804
2,18.379,3.4461,0,0.00025598,2558.1,0.00014845,902.07,5.2108e-05,178.23,-0.0002298,-1939.9,1.3306
3,17.323,2.5912,0,0.00020537,2052.3,0.00012073,597.76,2.4379e-05,-126.2,-0.00018753,-1718.4,1.2008
4,18.698,3.344,0,0.00021392,2137.7,0.00013534,648.88,5.1629e-06,-329.24,-0.00019097,-1802.9,1.3706
5,16.311,2.3934,0,0.00017025,1701.3,0.00010358,625.06,2.6688e-05,47.301,-0.00015128,-1289.9,1.0814
6,18.172,2.8857,0,0.00031054,3103.2,0.00014641,447.85,6.5296e-05,-161.62,-0.00030114,-2914.9,1.3044
7,17.69,3.1536,0,0.00029109,2908.9,0.00014826,453.68,4.2088e-05,-344.09,-0.0002809,-2770.9,1.2457
8,21.339,2.4238,0,4.5676e-05,456.44,1.5238e-05,-13.588,1.354e-05,-26.35,-4.6342e-05,-476.28,1.7099
9,4.7652,3.24,0,0.00045535,4550.3,0.0002513,1048.8,6.0377e-05,-385.7,-0.00042677,-4045.9,0.10561
10,9.6812,3.0219,0,0.00031739,3171.7,0.00010549,-245.42,8.0673e-05,-431.87,-0.0003285,-3506.2,0.41734
11,15.01,3.6735,0,0.00021479,2146.5,8.7374e-05,305.91,7.0788e-05,181.29,-0.00020623,-1900.1,0.93529
12,19.847,3.4076,0,8.5641e-05,855.82,4.2657e-05,199.24,2.1172e-05,37.805,-8.0458e-05,-725.8,1.5174
13,19.847,3.4076,0.1,8.5641e-05,855.82,8.0458e-05,725.8,-2.1172e-05,-37.805,-4.2657e-05,-199.24,1.5174
14,15.01,3.6735,0.1,0.00021479,2146.5,0.00020623,1900.1,-7.0788e-05,-181.29,-8.7374e-05,-305.91,0.93529
15,9.6812,3.0219,0.1,0.00031739,3171.7,0.0003285,3506.2,-8.0673e-05,431.87,-0.00010549,245.42,0.41734
16,4.7652,3.24,0.1,0.00045535,4550.3,0.00042677,4045.9,-6.0377e-05,385.7,-0.0002513,-1048.8,0.10561
17,21.339,2.4238,0.1,4.5676e-05,456.44,4.6342e-05,476.28,-1.354e-05,26.35,-1.5238e-05,13.588,1.7099
18,17.69,3.1536,0.1,0.00029109,2908.9,0.0002809,2770.9,-4.2088e-05,344.09,-0.00014826,-453.68,1.2457
19,18.172,2.8857,0.1,0.00031054,3103.2,0.00030114,2914.9,-6.5296e-05,161.62,-0.00014641,-447.85,1.3044
20,16.311,2.3934,0.1,0.00017025,1701.3,0.00015128,1289.9,-2.6688e-05,-47.301,-0.00010358,-625.06,1.0814
21,18.698,3.344,0.1,0.00021392,2137.7,0.00019097,1802.9,-5.1629e-06,329.24,-0.00013534,-648.88,1.3706
22,17.323,2.5912,0.1,0.00020537,2052.3,0.00018753,1718.4,-2.4379e-05,126.2,-0.00012073,-597.76,1.2008
23,18.379,3.4461,0.1,0.00025598,2558.1,0.0002298,1939.9,-5.2108e-05,-178.23,-0.00014845,-902.07,1.3306
24,17.977,2.9181,0.1,0.00029719,2969.8,0.00027984,2581.1,-6.0585e-05,23.253,-0.00015365,-675.96,1.2804
25,18.167,1,0.1,0.00011914,1190.6,0.00012385,1358,-1.8172e-05,290.88,-4.7067e-05,73.77,1.298
26,18.167,1.5,0.1,0.00021998,2198.3,0.00023275,2663.1,-1.9256e-05,769.66,-8.8117e-05,252.26,1.2996
27,18.167,2,0.1,0.00042742,4271.3,0.00044007,4733.9,-7.3705e-05,873.62,-0.00017063,145.34,1.3013
28,18,2,0.1,0.0003903,3900.3,0.00039227,3976.5,-0.0001048,241.69,-0.00014636,-70.611,1.2807
29,18,1.5,0.1,0.0002927,2924.9,0.00028962,2859,-7.7165e-05,103.13,-0.00011881,-209.79,1.2781
30,18,1,0.1,0.00020273,2025.9,0.00020821,2204,-4.5862e-05,294.94,-7.4658e-05,78.579,1.2754
31,18.167,5,0.1,0.00013146,1313.7,0.00013823,1538.9,-2.035e-05,347.4,-4.9274e-05,130.07,1.3026
32,18.167,4.5,0.1,0.0002115,2113.5,0.00018599,1513.8,-4.1524e-05,-195.71,-0.00012852,-849.4,1.3031
33,18.167,4,0.1,0.00045899,4586.7,0.00047631,5124.9,-0.00010365,767.35,-0.00016065,339.03,1.3038
34,18,4,0.1,0.00058461,5842.1,0.00059175,6125.7,-0.0001296,705.76,-0.00023185,-62.504,1.2831
35,18,4.5,0.1,0.00020147,2013.3,0.00018713,1648,-5.0828e-05,-139.93,-0.00010312,-532.84,1.2821
36,18,5,0.1,0.00020753,2073.8,0.00020879,2211.6,-2.4902e-05,455.7,-9.574e-05,-76.544,1.2805
37,18.167,6,0.1,5.1268e-05,512.32,5.6107e-05,696.63,2.1338e-06,291.09,-2.0523e-05,120.86,1.3019
38,20.111,6,0.1,6.5999e-05,659.54,6.0891e-05,532.11,-1.5828e-05,-44.322,-3.4834e-05,-187.13,1.5525
39,22.056,6,0.1,3.483e-05,348.06,3.3223e-05,306.57,-9.2258e-06,-12.376,-1.6189e-05,-64.692,1.8072
40,24,6,0.1,2.4249e-05,242.32,2.4329e-05,251.11,-4.4088e-06,35.192,-1.0552e-05,-10.963,2.0643
41,24,3,0.1,2.8568e-05,285.48,2.9439e-05,313.65,-6.2735e-06,45.319,-1.0487e-05,13.657,2.0614
42,2.6226e-14,3,0.1,0.00035973,3594.9,0.00047758,7059.4,3.7145e-06,3499,-5.3222e-06,3431.1,0
43,3.937e-14,6,0.1,0.00034793,3476.9,0.00046052,6792.2,9.7745e-06,3405.5,-1.338e-05,3231.5,0
44,5.625,6,0.1,0.00044382,4435.2,0.0004157,3954,-5.5322e-05,414.95,-0.00024648,-1021.3,0.14403
45,11.25,6,0.1,0.00029204,2918.3,0.00029982,3157,-7.4745e-05,342.68,-0.00010108,144.81,0.54915
46,15.188,6,0.1,0.00021871,2185.6,0.0002127,2024.6,-6.2681e-05,-44.538,-9.1544e-05,-261.4,0.9502
47,18,6,0.1,0.00014636,1462.6,0.00014974,1662.9,-8.3e-06,475.42,-6.77e-05,29.114,1.2764
48,24,0,0.1,3.0343e-05,303.22,3.0704e-05,315.77,-7.6365e-06,27.696,-1.1402e-05,-0.59535,2.0566
49,21.083,0,0.1,4.2026e-05,419.97,4.1441e-05,412.63,-8.7757e-06,35.32,-1.8781e-05,-39.853,1.6723
50,18.167,0,0.1,6.1338e-05,612.96,6.1822e-05,627.37,-1.8884e-05,20.975,-2.0605e-05,8.0492,1.2949
51,18,0,0.1,0.00013261,1325.2,0.00014025,1560.1,-2.629e-05,308.75,-4.4535e-05,171.67,1.2693
52,15.75,2.4415e-30,0.1,0.00019506,1949.2,0.00018598,1735.9,-4.4703e-05,2.5824,-9.4866e-05,-374.32,1.0066
53,13.5,2.0927e-30,0.1,0.00025235,2521.8,0.00025129,2492.2,-7.8951e-05,10.964,-8.9488e-05,-68.208,0.76253
54,9,1.3952e-30,0.1,0.00034457,3443.3,0.00035598,3793.5,-8.3809e-05,489.03,-0.00011877,226.38,0.35244
55,4.5,6.9758e-31,0.1,0.00047723,4769,0.00044967,4312.4,-6.0572e-05,478.56,-0.00026107,-1027.9,0.087245
56,0,0,0.1,0.00035084,3506,0.00045373,6537.7,4.7498e-07,3132.1,-2.52e-05,2939.2,0
57,4.5,6.9758e-31,0,0.00047723,4769,0.00026107,1027.9,6.0572e-05,-478.56,-0.00044967,-4312.4,0.087245
58,9,1.3952e-30,0,0.00034457,3443.3,0.00011877,-226.38,8.3809e-05,-489.03,-0.00035598,-3793.5,0.35244
59,13.5,2.0927e-30,0,0.00025235,2521.8,8.9488e-05,68.208,7.8951e-05,-10.964,-0.00025129,-2492.2,0.76253
60,15.75,2.4415e-30,0,0.00019506,1949.2,9.4866e-05,374.32,4.4703e-05,-2.5824,-0.00018598,-1735.9,1.0066
61,18,0,0,0.00013261,1325.2,4.4535e-05,-171.67,2.629e-05,-308.75,-0.00014025,-1560.1,1.2693
62,0,0,0,0.00035084,3506,2.52e-05,-2939.2,-4.7498e-07,-3132.1,-0.00045373,-6537.7,0
63,21.083,0,0,4.2026e-05,419.97,1.8781e-05,39.853,8.7757e-06,-35.32,-4.1441e-05,-412.63,1.6723
64,18.167,0,0,6.1338e-05,612.96,2.0605e-05,-8.0492,1.8884e-05,-20.975,-6.1822e-05,-627.37,1.2949
65,24,0,0,3.0343e-05,303.22,1.1402e-05,0.59535,7.6365e-06,-27.696,-3.0704e-05,-315.77,2.0566
66,15.188,6,0,0.00021871,2185.6,9.1544e-05,261.4,6.2681e-05,44.538,-0.0002127,-2024.6,0.9502
67,11.25,6,0,0.00029204,2918.3,0.00010108,-144.81,7.4745e-05,-342.68,-0.00029982,-3157,0.54915
68,5.625,6,0,0.00044382,4435.2,0.00024648,1021.3,5.5322e-05,-414.95,-0.0004157,-3954,0.14403
69,18,6,0,0.00014636,1462.6,6.77e-05,-29.114,8.3e-06,-475.42,-0.00014974,-1662.9,1.2764
70,3.937e-14,6,0,0.00034793,3476.9,1.338e-05,-3231.5,-9.7745e-06,-3405.5,-0.00046052,-6792.2,0
71,2.6226e-14,3,0,0.00035973,3594.9,5.3222e-06,-3431.1,-3.7145e-06,-3499,-0.00047758,-7059.4,0
72,24,3,0,2.8568e-05,285.48,1.0487e-05,-13.657,6.2735e-06,-45.319,-2.9439e-05,-313.65,2.0614
73,24,6,0,2.4249e-05,242.32,1.0552e-05,10.963,4.4088e-06,-35.192,-2.4329e-05,-251.11,2.0643
74,22.056,6,0,3.483e-05,348.06,1.6189e-05,64.692,9.2258e-06,12.376,-3.3223e-05,-306.57,1.8072
75,20.111,6,0,6.5999e-05,659.54,3.4834e-05,187.13,1.5828e-05,44.322,-6.0891e-05,-532.11,1.5525
76,18.167,6,0,5.1268e-05,512.32,2.0523e-05,-120.86,-2.1338e-06,-291.09,-5.6107e-05,-696.63,1.3019
77,18,4.5,0,0.00020147,2013.3,0.00010312,532.84,5.0828e-05,139.93,-0.00018713,-1648,1.2821
78,18,5,0,0.00020753,2073.8,9.574e-05,76.544,2.4902e-05,-455.7,-0.00020879,-2211.6,1.2805
79,18,4,0,0.00058461,5842.1,0.00023185,62.504,0.0001296,-705.76,-0.00059175,-6125.7,1.2831
80,18.167,5,0,0.00013146,1313.7,4.9274e-05,-130.07,2.035e-05,-347.4,-0.00013823,-1538.9,1.3026
81,18.167,4.5,0,0.0002115,2113.5,0.00012852,849.4,4.1524e-05,195.71,-0.00018599,-1513.8,1.3031
82,18.167,4,0,0.00045899,4586.7,0.00016065,-339.03,0.00010365,-767.35,-0.00047631,-5124.9,1.3038
83,18,1.5,0,0.0002927,2924.9,0.00011881,209.79,7.7165e-05,-103.13,-0.00028962,-2859,1.2781
84,18,1,0,0.00020273,2025.9,7.4658e-05,-78.579,4.5862e-05,-294.94,-0.00020821,-2204,1.2754
85,18,2,0,0.0003903,3900.3,0.00014636,70.611,0.0001048,-241.69,-0.00039227,-3976.5,1.2807
86,18.167,1,0,0.00011914,1190.6,4.7067e-05,-73.77,1.8172e-05,-290.88,-0.00012385,-1358,1.298
87,18.167,1.5,0,0.00021998,2198.3,8.8117e-05,-252.26,1.9256e-05,-769.66,-0.00023275,-2663.1,1.2996
88,18.167,2,0,0.00042742,4271.3,0.00017063,-145.34,7.3705e-05,-873.62,-0.00044007,-4733.9,1.3013
89,18.074,2.9019,0,0.00030362,3034.1,0.00014951,558.01,6.339e-05,-89.056,-0.00029042,-2747.5,1.2923
90,17.833,3.0358,0,0.00029383,2936.3,0.00015064,562.43,5.1475e-05,-182.64,-0.00028019,-2674.6,1.263
91,17.977,2.9181,0.05,1.7565e-05,175.53,1.3488e-05,101.34,3.4654e-12,4.3823e-06,-1.3488e-05,-101.34,1.2804
92,18.072,3.459,0,0.0003684,3681.5,0.00013338,-10.149,0.00010017,-259.63,-0.00037236,-3810,1.2924
93,17.988,2.459,0,0.00034253,3423,0.00014968,370.89,8.2644e-05,-132.83,-0.00033569,-3276,1.2808
94,18.538,3.395,0,0.00023338,2332.2,0.00014107,769.28,2.8898e-05,-73.532,-0.00020982,-1867.2,1.3505
95,18.275,3.1659,0,0.00028231,2821.2,0.00014728,673.81,5.813e-05,4.0071,-0.00026475,-2422,1.3175
96,18.379,3.4461,0.05,2.166e-05,216.45,1.6632e-05,124.97,2.2959e-12,3.389e-05,-1.6632e-05,-124.97,1.3305
97,18.273,3.723,0,0.00034748,3472.4,0.00013718,150.99,8.926e-05,-209.03,-0.00034707,-3487.4,1.3172
98,16.817,2.4923,0,0.00018773,1876,0.00011207,610.79,2.5561e-05,-39.244,-0.00016935,-1503.7,1.1407
99,17.507,2.8724,0,0.00024801,2478.4,0.00013445,525.39,3.3216e-05,-235.28,-0.00023416,-2244.2,1.2233
100,17.323,2.5912,0.05,5.5902e-06,55.864,4.2926e-06,32.253,-1.6218e-13,-2.9264e-07,-4.2926e-06,-32.253,1.2008
101,17.662,2.2956,0,0.00029576,2955.6,0.00013346,333.55,6.4566e-05,-184.11,-0.0002898,-2846.7,1.2406
102,19.272,3.3758,0,0.00014872,1486.2,8.8989e-05,423.98,1.2998e-05,-146.99,-0.00013553,-1263,1.4437
103,18.698,3.344,0.05,2.1613e-05,215.98,1.6596e-05,124.7,8.3856e-13,7.3319e-06,-1.6596e-05,-124.7,1.3706
104,18.432,3.922,0,0.00017453,1744.1,8.7975e-05,418.85,4.2382e-05,76.287,-0.00016356,-1471.1,1.3371
105,18.432,2.672,0,0.00029576,2955.5,0.00011076,-65.477,6.8254e-05,-384.88,-0.00030212,-3167.7,1.3363
106,15.661,3.0335,0,0.00019093,1908,9.5088e-05,462.55,4.9082e-05,116.88,-0.00017871,-1594.7,1.008
107,16.311,2.3934,0.05,6.9658e-06,69.61,5.3489e-06,40.19,9.8913e-13,7.8083e-06,-5.3489e-06,-40.19,1.0814
108,16.03,1.1967,0,0.00018165,1815.2,9.8465e-05,493.98,3.6035e-05,24.908,-0.00016821,-1509.7,1.045
109,17.155,3.4467,0,0.00018372,1835.9,0.00010076,559.44,4.029e-05,105.13,-0.00016814,-1461,1.1818
110,17.155,1.9467,0,0.00022006,2199.1,0.00010225,350.17,5.253e-05,-23.379,-0.00021211,-2011.7,1.179
111,17.155,1.6967,0,0.00017797,1778.4,8.2114e-05,220.6,3.7312e-05,-116.03,-0.00017378,-1702.1,1.178
112,18.172,2.8857,0.05,1.9843e-05,198.3,1.5237e-05,114.49,3.9832e-12,1.3574e-05,-1.5237e-05,-114.49,1.3043
113,18.169,2.4428,0,0.00035645,3562.1,0.00012291,-116.33,9.7754e-05,-305.34,-0.00036325,-3769.1,1.303
114,17.69,3.1536,0.05,1.7227e-05,172.15,1.3228e-05,99.392,5.2852e-14,2.3053e-05,-1.3228e-05,-99.392,1.2457
115,17.845,3.8268,0,0.00024428,2441.1,0.00012346,476.47,4.739e-05,-95.082,-0.00023271,-2199.7,1.2644
116,17.845,3.5768,0,0.00042739,4271,0.00013978,-119.65,0.0001322,-176.65,-0.00043241,-4418.9,1.2646
117,20.593,2.9157,0,6.5051e-05,650.06,2.7823e-05,84.373,1.8189e-05,11.989,-6.3108e-05,-598.85,1.6133
118,21.339,2.4238,0.05,8.8907e-07,8.8845,6.8269e-07,5.1295,3.4018e-13,8.4386e-06,-6.8269e-07,-5.1295,1.7099
119,21.211,1.2119,0,4.3627e-05,435.96,1.6131e-05,6.5354,1.1994e-05,-24.551,-4.385e-05,-444.14,1.6914
120,22.669,2.7119,0,3.7045e-05,370.19,1.2006e-05,-20.061,1.0752e-05,-29.485,-3.7878e-05,-394.87,1.8852
121,21.697,4.2119,0,3.9738e-05,397.1,1.4539e-05,16.727,1.2212e-05,-0.75482,-3.9437e-05,-388.83,1.7589
122,19.753,1.7119,0,7.8377e-05,783.22,3.1117e-05,-43.946,1.2115e-05,-186.72,-8.1318e-05,-888.74,1.5026
123,7.2232,3.131,0,0.00038311,3828.5,0.00017827,400.8,6.978e-05,-414.38,-0.00037677,-3769.6,0.23776
124,4.7652,3.24,0.05,1.7446e-05,174.34,1.3396e-05,100.65,-1.2323e-14,1.6009e-06,-1.3396e-05,-100.65,0.10558
125,4.6326,1.62,0,0.00046571,4653.9,0.00025606,1037.4,6.0012e-05,-435.6,-0.00043764,-4174.7,0.097436
126,5.1951,4.62,0,0.00044868,4483.7,0.00024881,1034.5,5.6958e-05,-407.02,-0.00042026,-3992.7,0.12526
127,2.3826,3.12,0,0.00040255,4022.7,0.00012725,-1199.1,2.8022e-05,-1944.7,-0.00045081,-5542.4,0.026561
128,12.346,3.3477,0,0.00026545,2652.7,8.9023e-05,-25.417,8.2849e-05,-71.804,-0.00026708,-2701,0.65752
129,9.6812,3.0219,0.05,2.6806e-06,26.787,2.0584e-06,15.466,-4.2431e-14,-7.5487e-07,-2.0584e-06,-15.466,0.41731
130,9.3406,1.511,0,0.00033085,3306.2,0.0001118,-238.34,8.2482e-05,-458.64,-0.00034216,-3649.2,0.38647
131,10.466,4.511,0,0.0003042,3039.9,0.00010036,-217.06,8.0337e-05,-367.53,-0.00031387,-3329.4,0.48338
132,15.01,3.6735,0.05,6.0639e-06,60.597,4.6563e-06,34.986,2.659e-12,-1.4385e-06,-4.6563e-06,-34.986,0.93527
133,14.255,1.8368,0,0.00023346,2332.9,8.7361e-05,179.02,7.589e-05,92.83,-0.00022871,-2195.8,0.85021
134,15.099,4.8368,0,0.00021462,2144.7,8.5196e-05,251.63,6.9363e-05,132.66,-0.00020783,-1950.1,0.94399
135,16.505,4.3368,0,0.00020572,2055.7,8.6532e-05,153.47,4.9185e-05,-127.14,-0.00020383,-2028.2,1.1049
136,19.847,3.4076,0.05,1.4976e-06,14.966,1.15e-06,8.6406,1.2245e-13,6.8495e-06,-1.15e-06,-8.6406,1.5174
137,19.979,4.7038,0,7.4639e-05,745.87,3.7765e-05,185.81,1.8523e-05,41.242,-6.9717e-05,-621.76,1.5353
138,19.007,4.2038,0,0.00010115,1010.8,3.491e-05,-48.482,2.6226e-05,-113.73,-0.00010375,-1090.3,1.41
139,19.007,2.4538,0,0.0001383,1382.1,5.4658e-05,-107.12,1.8884e-05,-375.91,-0.00014455,-1603.9,1.4084
140,20.593,2.9157,0.1,6.5051e-05,650.06,6.3108e-05,598.85,-1.8189e-05,-11.989,-2.7823e-05,-84.373,1.6133
141,19.272,3.3758,0.1,0.00014872,1486.2,0.00013553,1263,-1.2998e-05,146.99,-8.8989e-05,-423.98,1.4437
142,19.007,2.4538,0.1,0.0001383,1382.1,0.00014455,1603.9,-1.8884e-05,375.91,-5.4658e-05,107.12,1.4084
143,19.007,4.2038,0.1,0.00010115,1010.8,0.00010375,1090.3,-2.6226e-05,113.73,-3.491e-05,48.482,1.41
144,19.979,4.7038,0.1,7.4639e-05,745.87,6.9717e-05,621.76,-1.8523e-05,-41.242,-3.7765e-05,-185.81,1.5353
145,12.346,3.3477,0.1,0.00026545,2652.7,0.00026708,2701,-8.2849e-05,71.804,-8.9023e-05,25.417,0.65752
146,15.661,3.0335,0.1,0.00019093,1908,0.00017871,1594.7,-4.9083e-05,-116.88,-9.5088e-05,-462.55,1.008
147,16.505,4.3368,0.1,0.00020572,2055.7,0.00020383,2028.2,-4.9185e-05,127.14,-8.6532e-05,-153.47,1.1049
148,15.099,4.8368,0.1,0.00021462,2144.7,0.00020783,1950.1,-6.9363e-05,-132.66,-8.5196e-05,-251.63,0.94399
