Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
160	5.1895	2.7265	0.	-2151.9
161	5.2993	2.7931	5.e-002	-12.629
162	5.283	2.3965	0.	-2849.1
163	5.0797	2.6598	5.e-002	-56.261
164	5.0899	2.3299	0.	-3051.9
165	5.0352	3.1704	0.	-2200.1
166	4.9704	3.1714	5.e-002	-40.215
167	5.1	3.1694	5.e-002	-86.844
168	11.025	2.3672	5.e-002	-20.645
169	11.268	1.1836	0.	-394.54
170	9.7068	4.1836	0.	-447.24
171	9.6361	2.0424	0.1	-14.78
172	13.705	2.6396	0.1	5.7108
173	9.7068	4.1836	0.1	-19.255
174	11.268	1.1836	0.1	-2.3445
175	5.0352	3.1704	0.1	-9.4922
176	5.1674	3.3254	0.1	-45.411
177	5.1337	3.0837	0.1	-68.995
178	4.8991	3.1954	0.1	5.3996
179	4.9331	3.0169	0.1	-39.716
180	5.0389	3.3432	0.1	-25.969
181	5.1895	2.7265	0.1	-144.65
182	4.9878	2.7611	0.1	-134.68
183	5.0899	2.3299	0.1	169.52
184	5.465	3.0993	0.1	-211.58
185	5.2334	2.8956	0.1	-199.13
186	5.283	2.3965	0.1	99.695
187	4.624	2.9816	0.1	-9.5665
188	4.9639	3.6097	0.1	19.959
189	4.6581	2.8031	0.1	-79.058
190	5.0316	2.9303	0.1	-156.42
191	7.8017	2.5951	0.1	-14.957
192	6.768	3.4499	0.1	-79.466
193	6.3114	4.2363	0.1	47.069
194	6.3114	2.4863	0.1	92.573
195	7.8725	4.7363	0.1	-21.107
196	3.0233	2.8498	0.1	-176.83
197	3.7055	4.3992	0.1	-104.16
198	1.1555	3.3992	0.1	305.07
199	2.4305	1.8992	0.1	-341.17
200	2.4305	4.8992	0.1	-297.4
201	6.757	1.3588	0.1	25.156
202	8.3181	0.85883	0.1	-39.739
203	13.948	4.456	0.1	14.239
204	17.07	4.456	0.1	-22.912
205	20.192	2.956	0.1	20.127
206	17.07	1.456	0.1	-3.2609
207	5.4913	3.37	0.1	-130.89
208	5.2934	3.4079	0.1	-117.18
209	5.2597	3.1662	0.1	-119.33
210	5.1711	3.4982	0.1	-54.437
211	5.1037	3.7575	0.1	21.274
212	4.0779	2.3225	0.1	-42.729
213	4.7601	3.6219	0.1	-282.22
214	4.7601	2.3719	0.1	233.74
215	5.9053	3.4164	0.1	-170.68
216	5.7233	3.9636	0.1	21.433
217	5.7233	2.7136	0.1	204.92
218	4.4177	3.4506	0.1	21.11
219	4.4177	1.7006	0.1	52.164
220	4.4177	1.4506	0.1	64.787
221	3.1427	0.95062	0.1	-206.82
222	5.4487	3.7028	0.1	162.76
223	5.2507	3.7407	0.1	122.
224	5.2667	4.75	0.1	4.9116
225	5.2667	5.5	0.1	79.396
226	5.2667	5.	5.e-002	-117.38
227	5.2667	4.25	0.1	67.207
228	5.2667	4.5	5.e-002	-59.419
229	5.1833	4.	0.1	130.4
230	5.2667	4.	5.e-002	-201.4
231	5.1	4.25	0.1	-278.73
232	5.1	4.	5.e-002	-167.34
233	5.1	4.75	0.1	-249.11
234	5.1	4.5	5.e-002	-76.907
235	5.1	5.5	0.1	148.92
236	5.1	5.	5.e-002	-52.15
237	5.2667	1.25	0.1	131.56
238	5.2667	0.5	0.1	33.458
239	5.2667	1.	5.e-002	-19.07
240	5.2667	1.75	0.1	251.78
241	5.2667	1.5	5.e-002	-86.807
242	5.1833	2.	0.1	382.17
243	5.2667	2.	5.e-002	-99.401
244	5.1	1.75	0.1	348.22
245	5.1	2.	5.e-002	-51.975
246	5.1	1.25	0.1	209.22
247	5.1	1.5	5.e-002	-92.499
248	5.1	0.5	0.1	120.8
249	5.1	1.	5.e-002	-34.116
250	6.8278	6.	0.1	27.308
251	5.2667	6.	5.e-002	-26.383
252	9.95	6.	0.1	0.81833
253	8.3889	6.	5.e-002	-5.1501
254	14.633	6.	0.1	34.441
255	11.511	6.	5.e-002	-12.268
256	20.878	6.	0.1	-9.1484
257	17.756	6.	5.e-002	-4.7056
258	24.	4.5	0.1	12.072
259	24.	6.	5.e-002	-7.338
260	24.	1.5	0.1	14.625
261	24.	3.	5.e-002	-6.0436
262	1.3113e-014	1.5	0.1	893.41
263	3.9339e-014	4.5	0.1	831.98
264	2.6581e-014	3.	5.e-002	-51.543
265	20.878	0.	0.1	-6.5913
266	24.	0.	5.e-002	-15.142
267	14.633	0.	0.1	-2.7872
268	17.756	0.	5.e-002	-6.4135
269	9.95	0.	0.1	-22.597
270	11.511	0.	5.e-002	-21.682
271	6.8278	0.	0.1	-27.303
