Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
143	16.542	4.3346	0.	4.9875e-005
144	18.186	3.2511	5.e-002	2.3407e-012
145	18.093	3.6256	0.	1.1495e-004
146	18.321	3.26	0.1	-5.4115e-005
147	18.075	3.016	0.1	-6.4591e-005
148	18.093	3.6256	0.1	-1.1495e-004
149	12.393	3.3428	0.1	-8.1452e-005
150	15.732	2.9968	0.1	-5.0329e-005
151	16.542	4.3346	0.1	-4.9875e-005
152	15.136	4.8346	0.1	-7.015e-005
153	14.292	1.8346	0.1	-7.3791e-005
154	7.2868	3.054	0.1	-6.7014e-005
155	10.476	4.5082	0.1	-7.457e-005
156	9.3506	1.5082	0.1	-8.1577e-005
157	2.4362	3.0459	0.1	-2.6875e-005
158	5.2487	4.5459	0.1	-5.4961e-005
159	4.6862	1.5459	0.1	-6.1743e-005
160	20.57	3.096	0.1	-1.726e-005
161	19.795	1.858	0.1	-1.1778e-005
162	21.739	4.358	0.1	-1.1729e-005
163	22.711	2.858	0.1	-9.9008e-006
164	21.253	1.358	0.1	-1.1629e-005
165	17.508	2.7408	0.1	-3.0774e-005
166	17.821	2.8874	0.1	-5.7617e-005
167	17.839	3.4969	0.1	-1.0921e-004
168	17.839	3.7469	0.1	-4.7741e-005
169	18.316	2.9714	0.1	-5.6484e-005
170	18.07	2.7273	0.1	-6.6979e-005
171	18.172	2.3369	0.1	-9.4914e-005
172	19.296	3.3769	0.1	-5.7043e-007
173	18.942	2.488	0.1	-2.0347e-005
174	18.942	4.238	0.1	-2.9846e-005
175	18.942	3.988	0.1	-2.5731e-005
176	19.914	4.738	0.1	-1.8909e-005
177	18.665	3.2734	0.1	-1.755e-005
178	18.311	3.6345	0.1	-1.0348e-004
179	16.859	2.406	0.1	-2.5277e-005
180	17.19	1.9122	0.1	-5.567e-005
181	17.19	1.6622	0.1	-3.7411e-005
182	17.19	3.4122	0.1	-4.215e-005
183	16.065	1.1622	0.1	-3.8418e-005
184	17.669	2.2439	0.1	-6.2204e-005
185	18.521	2.6389	0.1	-7.0359e-005
186	18.521	3.6389	0.1	-7.7741e-005
187	17.982	2.3904	0.1	-8.9199e-005
188	18.167	1.25	0.1	-1.8038e-005
189	18.167	0.5	0.1	-1.8514e-005
190	18.167	1.	5.e-002	3.4076e-012
191	18.167	1.75	0.1	-4.7036e-005
192	18.167	1.5	5.e-002	-1.1327e-012
193	18.083	2.	0.1	-1.0311e-004
194	18.167	2.	5.e-002	-3.6139e-012
195	18.	1.75	0.1	-9.108e-005
196	18.	2.	5.e-002	-1.7054e-012
197	18.	1.25	0.1	-6.6116e-005
198	18.	1.5	5.e-002	-3.3266e-013
199	18.	0.5	0.1	-3.5787e-005
200	18.	1.	5.e-002	-8.8123e-013
201	18.167	4.75	0.1	-2.136e-005
202	18.167	5.5	0.1	-4.73e-006
203	18.167	5.	5.e-002	4.6183e-013
204	18.167	4.25	0.1	-5.1083e-005
205	18.167	4.5	5.e-002	-2.892e-021
206	18.083	4.	0.1	-8.4293e-005
207	18.167	4.	5.e-002	4.4316e-012
208	18.	4.25	0.1	-9.9359e-005
209	18.	4.	5.e-002	-3.3539e-013
210	18.	4.75	0.1	-4.0393e-005
211	18.	4.5	5.e-002	2.601e-012
212	18.	5.5	0.1	-1.9834e-005
213	18.	5.	5.e-002	-4.8606e-013
214	19.139	6.	0.1	-1.1105e-005
215	18.167	6.	5.e-002	-5.7985e-013
216	21.083	6.	0.1	-1.3398e-005
217	20.111	6.	5.e-002	1.8152e-013
218	23.028	6.	0.1	-6.4152e-006
219	22.056	6.	5.e-002	1.3203e-012
220	24.	4.5	0.1	-4.1991e-006
221	24.	6.	5.e-002	-1.8675e-012
222	24.	1.5	0.1	-6.8898e-006
223	24.	3.	5.e-002	1.1149e-012
224	3.9339e-014	4.5	0.1	4.6321e-006
225	1.3113e-014	1.5	0.1	2.5415e-006
226	2.6581e-014	3.	5.e-002	-1.1275e-020
227	2.8125	6.	0.1	-2.5237e-005
228	5.2451e-014	6.	5.e-002	2.2176e-013
229	8.4375	6.	0.1	-6.5468e-005
230	5.625	6.	5.e-002	-5.4795e-013
231	13.219	6.	0.1	-6.7274e-005
232	11.25	6.	5.e-002	-3.4721e-021
233	16.594	6.	0.1	-3.9291e-005
234	15.188	6.	5.e-002	3.2782e-013
235	18.	6.	5.e-002	1.2029e-012
236	22.542	0.	0.1	-8.6326e-006
237	24.	0.	5.e-002	-1.0735e-012
238	19.625	0.	0.1	-1.3709e-005
239	21.083	0.	5.e-002	9.0949e-013
240	18.167	0.	5.e-002	1.619e-012
241	16.875	2.6159e-030	0.1	-3.6975e-005
242	18.	2.7903e-030	5.e-002	1.8188e-012
243	14.625	2.2671e-030	0.1	-6.2151e-005
244	15.75	0.	5.e-002	7.7779e-013
245	11.25	1.744e-030	0.1	-8.263e-005
246	13.5	0.	5.e-002	-2.0309e-021
247	6.75	1.0464e-030	0.1	-7.4084e-005
248	9.	0.	5.e-002	1.0367e-012
249	2.25	3.4879e-031	0.1	-3.2035e-005
250	4.5	0.	5.e-002	-1.967e-012
251	0.	0.	5.e-002	-2.1194e-020
252	6.75	1.0464e-030	0.	7.4084e-005
253	2.25	3.4879e-031	0.	3.2035e-005
254	11.25	1.744e-030	0.	8.263e-005
255	14.625	2.2671e-030	0.	6.2151e-005
256	16.875	2.6159e-030	0.	3.6975e-005
257	18.	0.5	0.	3.5787e-005
258	1.3113e-014	1.5	0.	-2.5415e-006
259	19.625	0.	0.	1.3709e-005
