Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
28953,20.882,5.3636,0.1,6.5889e-05,658.43,6.4873e-05,631.45,-1.9168e-05,-0.00013184,-2.5955e-05,-50.996,1.8195
28954,20.975,5.2727,0.1,6.4325e-05,642.81,6.313e-05,611.55,-1.8264e-05,-0.0051581,-2.6049e-05,-58.503,1.8322
28955,20.882,5.5455,0.1,6.4813e-05,647.68,6.4048e-05,626.97,-1.9391e-05,0.040425,-2.4672e-05,-39.638,1.8192
28956,20.975,5.4545,0.1,6.3124e-05,630.81,6.2201e-05,606.19,-1.8477e-05,0.0046931,-2.4686e-05,-46.647,1.832
28957,20.882,5.7273,0.1,6.3904e-05,638.6,6.3371e-05,623.86,-1.9651e-05,0.070915,-2.3464e-05,-28.576,1.8189
28958,20.975,5.6364,0.1,6.2006e-05,619.63,6.1348e-05,601.71,-1.8724e-05,0.081553,-2.3322e-05,-34.468,1.8317
28959,20.975,5.8182,0.1,6.1165e-05,611.23,6.0737e-05,599.3,-1.9016e-05,0.066578,-2.212e-05,-23.26,1.8314
28960,20.882,5.9091,0.1,6.2597e-05,625.54,6.2335e-05,618.1,-1.9928e-05,0.0028366,-2.1875e-05,-14.627,1.8186
28961,21.067,0.27273,0.1,5.9229e-05,591.88,5.8685e-05,576.93,-1.8089e-05,0.078079,-2.1949e-05,-28.928,1.8442
28962,21.16,0.18182,0.1,5.6353e-05,563.14,5.5931e-05,551.42,-1.7448e-05,0.080978,-2.0496e-05,-22.826,1.8567
28963,21.067,0.090909,0.1,5.7875e-05,578.35,5.7619e-05,571.09,-1.8388e-05,-0.00052812,-2.0286e-05,-14.26,1.8439
28964,21.067,0.45455,0.1,6.0302e-05,602.61,5.9492e-05,580.86,-1.781e-05,0.041162,-2.3325e-05,-41.396,1.8445
28965,21.16,0.36364,0.1,5.7365e-05,573.25,5.6679e-05,554.7,-1.7135e-05,0.085594,-2.1877e-05,-35.537,1.857
28966,21.067,0.63636,0.1,6.1552e-05,615.09,6.0452e-05,586.25,-1.7573e-05,-0.0026827,-2.4774e-05,-54.109,1.8448
28967,21.16,0.54545,0.1,5.8656e-05,586.16,5.7666e-05,560.05,-1.6872e-05,0.0021131,-2.341e-05,-49.126,1.8573
28968,21.067,0.81818,0.1,6.2868e-05,628.25,6.1476e-05,592.43,-1.7374e-05,-0.013953,-2.6203e-05,-66.351,1.845
28969,21.16,0.72727,0.1,6.0054e-05,600.13,5.8747e-05,566.46,-1.6645e-05,-0.0080152,-2.4954e-05,-62.437,1.8575
28970,21.067,1,0.1,6.4201e-05,641.56,6.2522e-05,599.1,-1.7217e-05,-0.024337,-2.7569e-05,-77.803,1.8452
28971,21.16,0.90909,0.1,6.1507e-05,614.65,5.9883e-05,573.61,-1.6463e-05,-0.021964,-2.6462e-05,-75.153,1.8578
28972,21.067,1.1818,0.1,6.5495e-05,654.5,6.3549e-05,605.96,-1.7103e-05,-0.031011,-2.8828e-05,-88.127,1.8455
28973,21.16,1.0909,0.1,6.2958e-05,629.15,6.1028e-05,581.17,-1.6326e-05,-0.029929,-2.7886e-05,-86.891,1.858
28974,21.067,1.3636,0.1,6.6697e-05,666.51,6.4515e-05,612.68,-1.7033e-05,-0.035816,-2.9938e-05,-96.998,1.8457
28975,21.16,1.2727,0.1,6.4343e-05,642.98,6.2134e-05,588.81,-1.6236e-05,-0.036267,-2.9174e-05,-97.249,1.8582
28976,21.067,1.5455,0.1,6.7756e-05,677.09,6.538e-05,618.96,-1.7004e-05,-0.038609,-3.0862e-05,-104.16,1.8458
28977,21.16,1.4545,0.1,6.5597e-05,655.52,6.3151e-05,596.13,-1.6195e-05,-0.040437,-3.0277e-05,-105.85,1.8584
