Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
142	19.33	4.4997	0.	9.5515e-006
143	11.901	2.8622	0.	3.9354e-005
144	14.608	2.9614	5.e-002	4.1137e-007
145	14.621	1.4807	0.	2.8641e-005
146	14.621	4.4807	0.	2.861e-005
147	8.2089	2.0842	0.	6.1419e-005
148	9.1931	2.763	5.e-002	1.3787e-006
149	9.5716	1.3815	0.	4.9802e-005
150	9.5716	4.3815	0.	4.8754e-005
151	2.3523	3.8373	5.e-002	3.3577e-006
152	2.4512	4.9187	0.	1.2703e-004
153	2.4512	1.9187	0.	1.2087e-004
154	1.1762	3.4187	0.	1.1161e-004
155	3.7262	4.4187	0.	1.1871e-004
156	6.1407	2.4753	0.	1.158e-004
157	6.8353	1.8426	0.	8.241e-005
158	6.4457	2.2798	5.e-002	2.4088e-006
159	5.8562	1.8899	0.	1.2182e-004
160	5.65	2.804	0.	1.6907e-004
161	5.8356	2.6708	5.e-002	1.3048e-005
162	5.5511	2.3354	0.	2.5021e-004
163	5.0979	3.16	0.	2.1172e-004
164	4.9801	3.2205	5.e-002	1.2658e-005
165	5.0401	3.6102	0.	3.0568e-004
166	5.3401	3.0184	0.	2.097e-004
167	5.2157	3.0995	5.e-002	4.4107e-006
168	5.4645	2.9372	5.e-002	3.3594e-006
169	7.2248	1.4053	5.e-002	3.6719e-006
170	7.4166	0.70266	0.	6.4816e-005
171	6.2457	1.2027	0.	7.8834e-005
172	6.8353	1.8426	0.1	8.241e-005
173	8.2089	2.0842	0.1	6.1419e-005
174	6.2457	1.2027	0.1	7.8834e-005
175	7.4166	0.70266	0.1	6.4816e-005
176	5.3401	3.0184	0.1	2.097e-004
177	5.65	2.804	0.1	1.6907e-004
178	5.3294	2.783	0.1	2.1887e-004
179	5.5242	3.2344	0.1	1.7682e-004
180	5.0979	3.16	0.1	2.1172e-004
181	5.2711	3.3064	0.1	2.3219e-004
182	5.0677	2.8874	0.1	2.1525e-004
183	4.7348	2.9403	0.1	1.7596e-004
184	5.0401	3.6102	0.1	3.0568e-004
185	6.1407	2.4753	0.1	1.158e-004
186	5.9464	3.1709	0.1	1.2648e-004
187	5.5511	2.3354	0.1	2.5021e-004
188	6.7213	3.1817	0.1	8.2624e-005
189	5.8562	1.8899	0.1	1.2182e-004
190	3.1104	2.9558	0.1	1.1681e-004
191	3.7262	4.4187	0.1	1.1871e-004
192	1.1762	3.4187	0.1	1.1161e-004
193	2.4512	1.9187	0.1	1.2087e-004
194	2.4512	4.9187	0.1	1.2703e-004
195	11.901	2.8622	0.1	3.9354e-005
196	8.095	3.4233	0.1	6.3325e-005
197	9.5716	4.3815	0.1	4.8754e-005
198	9.5716	1.3815	0.1	4.9802e-005
199	16.976	2.9804	0.1	1.8971e-005
200	14.621	4.4807	0.1	2.861e-005
201	14.621	1.4807	0.1	2.8641e-005
202	19.33	4.4997	0.1	9.5515e-006
203	21.671	2.9997	0.1	5.866e-006
204	19.33	1.4997	0.1	9.5024e-006
205	5.0571	2.6521	0.1	2.2542e-004
206	5.2305	2.3145	0.1	2.9767e-004
207	5.4552	3.5224	0.1	2.0182e-004
208	5.2132	3.7566	0.1	3.2136e-004
209	6.5271	3.8772	0.1	9.5563e-005
210	6.1318	4.5418	0.1	9.2875e-005
211	7.3026	5.0418	0.1	6.7693e-005
212	4.1789	2.3672	0.1	1.2936e-004
213	4.4842	3.5371	0.1	1.0508e-004
214	4.4842	1.7871	0.1	1.2051e-004
215	4.4842	1.5371	0.1	7.9194e-005
216	3.2092	1.0371	0.1	1.0617e-004
217	5.8206	3.6012	0.1	1.3633e-004
218	5.6619	4.0855	0.1	1.25e-004
219	4.7046	2.6677	0.1	1.8074e-004
220	4.7947	3.3301	0.1	2.7719e-004
221	4.7947	3.5801	0.1	1.4865e-004
222	4.7947	2.3301	0.1	2.6468e-004
223	5.4253	3.7658	0.1	3.0894e-004
224	5.0099	2.3376	0.1	2.9271e-004
225	5.2667	4.75	0.1	1.299e-004
226	5.2667	5.5	0.1	8.3598e-005
227	5.2667	5.	5.e-002	1.54e-005
228	5.2667	4.25	0.1	3.0223e-004
229	5.2667	4.5	5.e-002	1.6044e-005
230	5.1833	4.	0.1	4.0969e-004
231	5.2667	4.	5.e-002	7.84e-005
232	5.1	4.25	0.1	2.9967e-004
233	5.1	4.	5.e-002	5.5011e-005
234	5.1	4.75	0.1	1.4069e-004
235	5.1	4.5	5.e-002	8.7541e-006
236	5.1	5.5	0.1	1.1e-004
237	5.1	5.	5.e-002	1.1733e-005
238	5.2667	1.25	0.1	1.2544e-004
239	5.2667	0.5	0.1	7.3706e-005
240	5.2667	1.	5.e-002	8.4895e-006
241	5.2667	1.75	0.1	2.575e-004
242	5.2667	1.5	5.e-002	8.2972e-006
243	5.1833	2.	0.1	3.5116e-004
244	5.2667	2.	5.e-002	2.9749e-005
245	5.1	1.75	0.1	2.581e-004
246	5.1	2.	5.e-002	1.8978e-005
247	5.1	1.25	0.1	1.0697e-004
248	5.1	1.5	5.e-002	2.1477e-005
249	5.1	0.5	0.1	8.3471e-005
250	5.1	1.	5.e-002	1.3469e-005
251	6.4375	6.	0.1	5.5916e-005
252	5.2667	6.	5.e-002	3.2546e-006
253	8.7792	6.	0.1	5.2734e-005
254	7.6083	6.	5.e-002	3.7521e-006
255	12.292	6.	0.1	3.818e-005
256	9.95	6.	5.e-002	1.5702e-006
257	16.975	6.	0.1	1.9196e-005
258	14.633	6.	5.e-002	2.9365e-007
259	21.658	6.	0.1	6.766e-006
260	19.317	6.	5.e-002	4.276e-007
261	24.	4.5	0.1	2.8121e-006
262	24.	6.	5.e-002	5.874e-007
263	24.	1.5	0.1	2.8871e-006
264	24.	3.	5.e-002	3.2223e-007
265	1.3113e-014	1.5	0.1	9.2637e-005
266	3.9339e-014	4.5	0.1	8.8122e-005
267	2.6581e-014	3.	5.e-002	9.0303e-006
268	21.658	0.	0.1	6.6757e-006
269	24.	0.	5.e-002	4.153e-007
270	16.975	0.	0.1	1.9098e-005
271	19.317	0.	5.e-002	3.8779e-007
272	12.292	0.	0.1	3.9189e-005
273	14.633	0.	5.e-002	7.1804e-007
274	8.7792	0.	0.1	5.3149e-005
275	9.95	0.	5.e-002	1.5135e-006
276	6.4375	0.	0.1	5.5257e-005
277	7.6083	0.	5.e-002	3.5032e-006
