Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,4.9198,2.6752,0,0.00020959,2094.5,9.3831e-05,368.04,6.0185e-05,115.24,-0.00020022,-1841.4,0.030071
2,5.584,3.5316,0,0.00015956,1594.5,5.5962e-05,30.187,4.9793e-05,-16.166,-0.00015927,-1587,0.039162
3,4.4894,2.6602,0,0.00015208,1519.7,6.5468e-05,156.45,3.7755e-05,-51.771,-0.00014922,-1456.6,0.024987
4,6.0572,3.6709,0,0.00011431,1142.3,5.185e-05,155.33,2.7077e-05,-30.806,-0.00011105,-1068.6,0.046894
5,3.8684,2.0742,0,0.00010698,1069,3.857e-05,56.197,3.4903e-05,28.649,-0.00010551,-1026.3,0.018522
6,6.997,4.0836,0,7.7504e-05,774.51,2.8799e-05,53.326,2.498e-05,24.632,-7.6138e-05,-735.13,0.063655
7,5.3264,3.5132,0,0.00024519,2450.2,9.4338e-05,44.704,6.153e-05,-201.8,-0.00024693,-2519.5,0.035238
8,5.1943,2.6289,0,0.00024267,2425,0.00011314,354.79,5.4035e-05,-89.263,-0.00023508,-2261.6,0.033693
9,19.343,2.9994,0,9.3852e-06,93.788,4.1158e-06,1.2849,1.3404e-06,-19.568,-9.5206e-06,-101.17,0.36785
10,14.608,2.9614,0,2.872e-05,287,9.9063e-06,2.2796,8.9568e-06,-4.8542,-2.8757e-05,-288.22,0.23941
11,9.1931,2.763,0,5.0072e-05,500.38,1.9315e-05,-5.6794,1.1038e-05,-67.867,-5.1033e-05,-534.25,0.10877
12,2.3523,3.8373,0,0.00013198,1318.9,7.7206e-05,317.14,8.9443e-06,-195.75,-0.00012221,-1181.2,0.0068205
13,6.4457,2.2798,0,9.201e-05,919.47,3.7739e-05,33.553,2.037e-05,-96.951,-9.2391e-05,-944.19,0.053795
14,5.8356,2.6708,0,0.00014181,1417.1,5.7908e-05,104.44,3.7019e-05,-52.51,-0.00014027,-1384.6,0.043448
15,4.9801,3.2205,0,0.00020149,2013.5,6.8543e-05,-28.534,6.0362e-05,-90.008,-0.00020344,-2072.1,0.030694
16,5.2157,3.0995,0,0.00022205,2219,7.8007e-05,71.565,7.1811e-05,25.01,-0.00022037,-2170.4,0.033948
17,5.4645,2.9372,0,0.00019764,1975,7.4293e-05,91.56,5.8038e-05,-30.571,-0.00019632,-1941.7,0.037615
18,7.2248,1.4053,0,7.3167e-05,731.16,2.7833e-05,46.933,2.213e-05,4.0787,-7.2204e-05,-704.71,0.067977
19,7.2248,1.4053,0.1,7.3167e-05,731.16,7.2204e-05,704.71,-2.213e-05,-4.0787,-2.7833e-05,-46.933,0.067977
20,5.4645,2.9372,0.1,0.00019764,1975,0.00019632,1941.7,-5.8038e-05,30.571,-7.4293e-05,-91.56,0.037615
21,5.2157,3.0995,0.1,0.00022205,2219,0.00022037,2170.4,-7.1811e-05,-25.01,-7.8007e-05,-71.565,0.033948
22,4.9801,3.2205,0.1,0.00020149,2013.5,0.00020344,2072.1,-6.0362e-05,90.008,-6.8543e-05,28.534,0.030694
23,5.8356,2.6708,0.1,0.00014181,1417.1,0.00014027,1384.6,-3.7019e-05,52.51,-5.7908e-05,-104.44,0.043448
24,6.4457,2.2798,0.1,9.201e-05,919.47,9.2391e-05,944.19,-2.037e-05,96.951,-3.7739e-05,-33.553,0.053795
25,2.3523,3.8373,0.1,0.00013198,1318.9,0.00012221,1181.2,-8.9443e-06,195.75,-7.7206e-05,-317.14,0.0068205
26,9.1931,2.763,0.1,5.0072e-05,500.38,5.1033e-05,534.25,-1.1038e-05,67.867,-1.9315e-05,5.6794,0.10877
27,14.608,2.9614,0.1,2.872e-05,287,2.8757e-05,288.22,-8.9568e-06,4.8542,-9.9063e-06,-2.2796,0.23941
28,19.343,2.9994,0.1,9.3852e-06,93.788,9.5206e-06,101.17,-1.3404e-06,19.568,-4.1158e-06,-1.2849,0.36785
29,5.1943,2.6289,0.1,0.00024267,2425,0.00023508,2261.6,-5.4035e-05,89.263,-0.00011314,-354.79,0.033693
30,5.3264,3.5132,0.1,0.00024519,2450.2,0.00024693,2519.5,-6.153e-05,201.8,-9.4338e-05,-44.704,0.035238
31,6.997,4.0836,0.1,7.7504e-05,774.51,7.6138e-05,735.13,-2.498e-05,-24.632,-2.8799e-05,-53.326,0.063655
32,3.8684,2.0742,0.1,0.00010698,1069,0.00010551,1026.3,-3.4903e-05,-28.649,-3.857e-05,-56.197,0.018522
33,6.0572,3.6709,0.1,0.00011431,1142.3,0.00011105,1068.6,-2.7077e-05,30.806,-5.185e-05,-155.33,0.046894
34,4.4894,2.6602,0.1,0.00015208,1519.7,0.00014922,1456.6,-3.7755e-05,51.771,-6.5468e-05,-156.45,0.024987
35,5.584,3.5316,0.1,0.00015956,1594.5,0.00015927,1587,-4.9793e-05,16.166,-5.5962e-05,-30.187,0.039162
36,4.9198,2.6752,0.1,0.00020959,2094.5,0.00020022,1841.4,-6.0185e-05,-115.24,-9.3831e-05,-368.04,0.030071
37,5.2667,5,0.1,0.00011271,1126.3,0.00011674,1250.3,-2.6668e-05,172.77,-3.8905e-05,80.82,0.031852
38,5.2667,4.5,0.1,0.00014749,1473.9,0.00015225,1634.5,-2.8915e-05,273.3,-5.6072e-05,69.254,0.032775
39,5.2667,4,0.1,0.00046428,4639.6,0.000476,4992.3,-0.00012571,471.27,-0.00015615,242.55,0.033721
40,5.1,4,0.1,0.00042556,4252.6,0.00043721,4742.8,-5.7139e-05,1028.4,-0.00018018,103.94,0.031442
