Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
162	5.5511	2.3354	0.	-310.14
163	5.0979	3.16	0.	-31.042
164	4.9801	3.2205	5.e-002	9.7144e-006
165	5.0401	3.6102	0.	-597.2
166	5.3401	3.0184	0.	17.276
167	5.2157	3.0995	5.e-002	3.1268e-005
168	5.4645	2.9372	5.e-002	1.5564e-005
169	7.2248	1.4053	5.e-002	3.0078e-006
170	7.4166	0.70266	0.	8.7519
171	6.2457	1.2027	0.	-95.803
172	6.8353	1.8426	0.1	42.976
173	8.2089	2.0842	0.1	31.273
174	6.2457	1.2027	0.1	95.803
175	7.4166	0.70266	0.1	-8.7519
176	5.3401	3.0184	0.1	-17.276
177	5.65	2.804	0.1	-10.591
178	5.3294	2.783	0.1	-0.63085
179	5.5242	3.2344	0.1	29.809
180	5.0979	3.16	0.1	31.042
181	5.2711	3.3064	0.1	80.989
182	5.0677	2.8874	0.1	-73.775
183	4.7348	2.9403	0.1	63.52
184	5.0401	3.6102	0.1	597.2
185	6.1407	2.4753	0.1	33.382
186	5.9464	3.1709	0.1	31.942
187	5.5511	2.3354	0.1	310.14
188	6.7213	3.1817	0.1	48.233
189	5.8562	1.8899	0.1	171.7
190	3.1104	2.9558	0.1	75.025
191	3.7262	4.4187	0.1	200.26
192	1.1762	3.4187	0.1	560.63
193	2.4512	1.9187	0.1	175.2
194	2.4512	4.9187	0.1	172.78
195	11.901	2.8622	0.1	36.326
196	8.095	3.4233	0.1	21.402
197	9.5716	4.3815	0.1	26.522
198	9.5716	1.3815	0.1	30.28
199	16.976	2.9804	0.1	8.7366
200	14.621	4.4807	0.1	1.9738
201	14.621	1.4807	0.1	8.1042
202	19.33	4.4997	0.1	19.635
203	21.671	2.9997	0.1	16.627
204	19.33	1.4997	0.1	19.588
205	5.0571	2.6521	0.1	-13.437
206	5.2305	2.3145	0.1	259.87
207	5.4552	3.5224	0.1	95.862
208	5.2132	3.7566	0.1	716.2
209	6.5271	3.8772	0.1	-9.3413
210	6.1318	4.5418	0.1	88.584
211	7.3026	5.0418	0.1	-9.193
212	4.1789	2.3672	0.1	10.971
213	4.4842	3.5371	0.1	101.53
214	4.4842	1.7871	0.1	141.55
215	4.4842	1.5371	0.1	184.64
216	3.2092	1.0371	0.1	47.434
217	5.8206	3.6012	0.1	16.817
218	5.6619	4.0855	0.1	91.343
219	4.7046	2.6677	0.1	-34.511
220	4.7947	3.3301	0.1	521.25
221	4.7947	3.5801	0.1	48.846
222	4.7947	2.3301	0.1	204.29
223	5.4253	3.7658	0.1	235.86
224	5.0099	2.3376	0.1	134.88
225	5.2667	4.75	0.1	223.24
226	5.2667	5.5	0.1	156.51
227	5.2667	5.	5.e-002	-5.1988e-014
228	5.2667	4.25	0.1	392.77
229	5.2667	4.5	5.e-002	-7.455e-006
230	5.1833	4.	0.1	994.51
231	5.2667	4.	5.e-002	3.0519e-005
232	5.1	4.25	0.1	545.66
233	5.1	4.	5.e-002	5.8612e-005
234	5.1	4.75	0.1	133.37
235	5.1	4.5	5.e-002	1.4758e-005
236	5.1	5.5	0.1	188.12
237	5.1	5.	5.e-002	-3.815e-005
238	5.2667	1.25	0.1	170.83
239	5.2667	0.5	0.1	122.91
240	5.2667	1.	5.e-002	-2.0945e-006
241	5.2667	1.75	0.1	468.33
242	5.2667	1.5	5.e-002	1.4669e-005
243	5.1833	2.	0.1	700.01
244	5.2667	2.	5.e-002	6.2232e-005
245	5.1	1.75	0.1	379.81
246	5.1	2.	5.e-002	3.5147e-006
247	5.1	1.25	0.1	287.34
248	5.1	1.5	5.e-002	-8.8456e-006
249	5.1	0.5	0.1	242.61
250	5.1	1.	5.e-002	-4.0913e-006
251	6.4375	6.	0.1	52.609
252	5.2667	6.	5.e-002	-3.983e-015
253	8.7792	6.	0.1	10.655
254	7.6083	6.	5.e-002	-5.7544e-007
255	12.292	6.	0.1	1.3246
256	9.95	6.	5.e-002	1.5101e-005
257	16.975	6.	0.1	9.449
258	14.633	6.	5.e-002	-1.4372e-008
259	21.658	6.	0.1	16.369
260	19.317	6.	5.e-002	1.039e-005
261	24.	4.5	0.1	13.855
262	24.	6.	5.e-002	-8.9457e-006
263	24.	1.5	0.1	13.911
264	24.	3.	5.e-002	9.5926e-007
265	1.3113e-014	1.5	0.1	904.35
266	3.9339e-014	4.5	0.1	889.06
267	2.6581e-014	3.	5.e-002	1.5258e-005
268	21.658	0.	0.1	16.972
269	24.	0.	5.e-002	-8.8117e-006
270	16.975	0.	0.1	8.4615
271	19.317	0.	5.e-002	1.4261e-005
272	12.292	0.	0.1	4.5459
273	14.633	0.	5.e-002	2.2754e-006
274	8.7792	0.	0.1	6.3366
275	9.95	0.	5.e-002	7.6261e-006
276	6.4375	0.	0.1	31.902
277	7.6083	0.	5.e-002	-5.4237e-007
