Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
158	1.1545	2.1929	0.1	-394.53
159	1.0182	0.85759	0.1	-117.38
160	3.3952	5.4476	0.1	-77.919
161	1.5915	5.2393	0.1	65.437
162	3.4766	2.6071	0.1	-97.999
163	2.4467	2.	0.	-3837.1
164	2.4467	1.5	0.	-1641.1
165	2.4467	1.	0.	-1509.2
166	2.4467	0.5	0.	-816.18
167	2.28	2.	0.	-4211.8
168	2.28	0.5	0.	-1001.2
169	2.28	1.	0.	-1935.5
170	2.28	1.5	0.	-3274.1
171	2.4467	4.	0.	-2953.8
172	2.4467	4.5	0.	-1297.9
173	2.4467	5.	0.	-1401.6
174	2.4467	5.5	0.	-779.79
175	2.28	4.	0.	-3946.2
176	2.28	5.5	0.	-700.38
177	2.28	5.	0.	-1532.4
178	2.28	4.5	0.	-1976.1
179	2.4467	6.	0.	-624.72
180	3.6441	6.	0.	-805.8
181	4.8415	6.	0.	-930.11
182	6.0389	6.	0.	-881.13
183	7.2363	6.	0.	-824.15
184	8.4337	6.	0.	-722.24
185	9.6311	6.	0.	-614.08
186	10.829	6.	0.	-515.94
187	12.026	6.	0.	-426.59
188	13.223	6.	0.	-345.78
189	14.421	6.	0.	-273.52
190	15.618	6.	0.	-210.
191	16.816	6.	0.	-154.97
192	18.013	6.	0.	-108.39
193	19.21	6.	0.	-70.197
194	20.408	6.	0.	-40.278
195	21.605	6.	0.	-18.509
196	22.803	6.	0.	-4.9935
197	24.	6.	0.	0.14062
198	24.	4.8	0.	-2.4145
199	24.	3.6	0.	-3.3102
200	24.	2.4	0.	-3.219
201	24.	1.2	0.	-2.1874
202	1.049e-014	1.2	0.	-770.75
203	2.0981e-014	2.4	0.	-952.54
204	3.1471e-014	3.6	0.	-1408.9
205	4.1961e-014	4.8	0.	-1565.2
206	3.937e-014	6.	0.	-894.54
207	2.28	6.	0.	-353.55
208	1.14	6.	0.	-854.95
209	1.71	6.	0.	-653.43
210	24.	0.	0.	0.29528
211	2.4467	0.	0.	-588.01
212	22.866	0.	0.	-4.2306
213	21.731	0.	0.	-16.358
214	20.597	0.	0.	-35.739
215	19.462	0.	0.	-62.517
216	18.328	0.	0.	-96.452
217	17.194	0.	0.	-138.
218	16.059	0.	0.	-186.77
219	14.925	0.	0.	-243.3
220	13.791	0.	0.	-307.44
221	12.656	0.	0.	-379.16
222	11.522	0.	0.	-459.02
223	10.387	0.	0.	-546.75
224	9.253	0.	0.	-641.02
225	8.1186	0.	0.	-742.52
226	6.9842	0.	0.	-852.17
227	5.8498	0.	0.	-940.01
228	4.7154	0.	0.	-957.45
229	3.5811	0.	0.	-724.76
230	0.	0.	0.	-456.2
231	2.28	0.	0.	-598.64
232	1.14	-1.3648e-031	0.	-580.92
233	2.4467	0.5	0.1	106.32
234	2.4467	1.	0.1	-498.03
