Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	3.8455	2.7621	0.	2.0554e-004
2	6.1161	1.609	0.	9.072e-005
3	4.1924	3.237	0.	1.9858e-004
4	3.3337	0.52577	0.	1.0311e-004
5	3.4092	1.3347	0.	1.277e-004
6	5.3398	0.54485	0.	7.1875e-005
7	2.7474	4.184	0.	1.1329e-004
8	5.7825	4.5648	0.	1.0275e-004
9	5.2608	5.0116	0.	6.3568e-005
10	3.1801	5.3454	0.	9.0701e-005
11	2.4678	0.82173	0.	1.1141e-004
12	5.4606	5.4568	0.	7.0189e-005
13	2.1679	5.0668	0.	1.306e-004
14	1.1318	4.873	0.	1.4087e-004
15	1.4985	1.4237	0.	1.3998e-004
16	6.3225	0.66257	0.	7.188e-005
17	7.1845	0.96593	0.	8.5828e-005
18	8.317	1.3983	0.	6.832e-005
19	9.86	1.2648	0.	5.9213e-005
20	11.191	1.205	0.	4.8287e-005
21	12.419	1.1806	0.	3.9724e-005
22	13.611	1.1745	0.	3.2212e-005
23	14.772	1.1804	0.	2.5628e-005
24	15.929	1.185	0.	1.9816e-005
25	17.078	1.1881	0.	1.4825e-005
26	18.236	1.1931	0.	1.0553e-005
27	19.387	1.1921	0.	7.0631e-006
28	20.544	1.1894	0.	4.3426e-006
29	21.696	1.1938	0.	2.4031e-006
30	22.847	1.1961	0.	1.2494e-006
31	1.3069	3.7841	0.	1.5088e-004
32	1.3915	2.672	0.	1.4784e-004
33	22.841	2.3948	0.	1.582e-006
34	22.841	3.6011	0.	1.5811e-006
35	22.842	4.8062	0.	1.2528e-006
36	21.685	4.8071	0.	2.4142e-006
37	20.531	4.7951	0.	4.3661e-006
38	19.381	4.7885	0.	7.0864e-006
39	18.23	4.7873	0.	1.0571e-005
40	17.081	4.7803	0.	1.4818e-005
41	15.927	4.7539	0.	1.985e-005
42	14.772	4.749	0.	2.5643e-005
43	13.605	4.7642	0.	3.2265e-005
44	12.436	4.7695	0.	3.9684e-005
45	11.252	4.7837	0.	4.7996e-005
46	10.028	4.7884	0.	5.6388e-005
47	8.7717	4.7313	0.	6.6419e-005
48	7.5849	4.8718	0.	7.808e-005
49	6.5408	5.1824	0.	7.4244e-005
50	6.7448	2.9447	0.	9.4822e-005
51	6.7575	3.887	0.	8.1998e-005
52	8.3781	2.6161	0.	6.9123e-005
53	9.9145	2.4078	0.	5.8292e-005
54	11.16	2.3971	0.	4.8155e-005
55	12.38	2.3683	0.	3.9635e-005
56	13.576	2.3575	0.	3.2253e-005
57	14.76	2.3628	0.	2.5658e-005
58	15.908	2.3693	0.	1.9908e-005
59	17.07	2.3736	0.	1.488e-005
60	18.22	2.3854	0.	1.0652e-005
61	19.377	2.3967	0.	7.1732e-006
62	20.536	2.3968	0.	4.4894e-006
63	21.689	2.3982	0.	2.6228e-006
64	21.68	3.5955	0.	2.6337e-006
65	20.529	3.5919	0.	4.5015e-006
66	19.377	3.5894	0.	7.1764e-006
67	18.222	3.582	0.	1.0641e-005
68	17.067	3.5634	0.	1.4902e-005
69	15.913	3.557	0.	1.9894e-005
70	14.752	3.5457	0.	2.5707e-005
71	13.578	3.5589	0.	3.2281e-005
72	12.39	3.5684	0.	3.9687e-005
73	11.179	3.5846	0.	4.7924e-005
74	9.8786	3.5997	0.	5.7427e-005
75	8.4914	3.6885	0.	7.0449e-005
76	3.6219	0.96248	0.	8.3339e-005
77	2.8139	2.0235	0.	1.2752e-004
78	3.4041	4.8791	0.	8.4177e-005
79	2.8459	3.0608	0.	1.1926e-004
80	4.7331	2.4977	0.	1.5378e-004
81	5.1137	0.91459	0.	6.7497e-005
82	5.4413	1.229	0.	1.0545e-004
83	5.0129	3.1	0.	1.3909e-004
84	6.574	2.1586	0.	9.6433e-005
85	6.574	2.1586	0.1	9.6433e-005
86	5.0129	3.1	0.1	1.3909e-004
87	5.4413	1.229	0.1	1.0545e-004
88	5.1137	0.91459	0.1	6.7497e-005
89	4.7331	2.4977	0.1	1.5378e-004
90	2.8459	3.0608	0.1	1.1926e-004
91	3.4041	4.8791	0.1	8.4177e-005
92	2.8139	2.0235	0.1	1.2752e-004
93	3.6219	0.96248	0.1	8.3339e-005
94	8.4914	3.6885	0.1	7.0449e-005
95	9.8786	3.5997	0.1	5.7427e-005
96	11.179	3.5846	0.1	4.7924e-005
97	12.39	3.5684	0.1	3.9687e-005
98	13.578	3.5589	0.1	3.2281e-005
99	14.752	3.5457	0.1	2.5707e-005
100	15.913	3.557	0.1	1.9894e-005
101	17.067	3.5634	0.1	1.4902e-005
102	18.222	3.582	0.1	1.0641e-005
103	19.377	3.5894	0.1	7.1764e-006
104	20.529	3.5919	0.1	4.5015e-006
105	21.68	3.5955	0.1	2.6337e-006
106	21.689	2.3982	0.1	2.6228e-006
107	20.536	2.3968	0.1	4.4894e-006
108	19.377	2.3967	0.1	7.1732e-006
109	18.22	2.3854	0.1	1.0652e-005
110	17.07	2.3736	0.1	1.488e-005
111	15.908	2.3693	0.1	1.9908e-005
112	14.76	2.3628	0.1	2.5658e-005
113	13.576	2.3575	0.1	3.2253e-005
114	12.38	2.3683	0.1	3.9635e-005
