Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
163	1.4995	4.3766	0.1	593.2
164	0.49951	3.3766	0.1	1639.5
165	0.99951	4.8766	0.1	-265.88
166	1.9443	2.6063	0.1	3865.4
167	2.4139	3.6847	0.1	1317.1
168	2.1667	1.25	0.1	661.32
169	2.1667	0.5	0.1	645.97
170	2.1667	1.	5.e-002	-7.1159e-006
171	2.1667	1.75	0.1	-178.7
172	2.1667	1.5	5.e-002	-8.507e-014
173	2.0833	2.	0.1	3106.
174	2.1667	2.	5.e-002	-4.0176e-004
175	2.	1.75	0.1	5706.7
176	2.	2.	5.e-002	-1.5534e-004
177	2.	1.25	0.1	3244.1
178	2.	1.5	5.e-002	3.6952e-006
179	1.	2.	0.1	3213.4
180	2.	0.5	0.1	1915.3
181	2.	1.	5.e-002	-9.0025e-005
182	2.1667	4.75	0.1	1140.3
183	2.1667	5.5	0.1	433.38
184	2.1667	5.	5.e-002	9.273e-007
185	2.1667	4.25	0.1	2694.6
186	2.1667	4.5	5.e-002	-9.9391e-005
187	2.0833	4.	0.1	4684.4
188	2.1667	4.	5.e-002	2.823e-004
189	2.	4.25	0.1	2902.1
190	2.	4.	5.e-002	2.7585e-004
191	2.	4.75	0.1	1809.6
192	2.	4.5	5.e-002	-1.9724e-013
193	2.	5.5	0.1	1872.
194	2.	5.	5.e-002	7.1926e-015
195	3.8724	6.	0.1	266.98
196	2.1667	6.	5.e-002	-1.2155e-004
197	7.9661	6.	0.1	328.52
198	5.5781	6.	5.e-002	1.1441e-004
199	13.766	6.	0.1	153.39
200	10.354	6.	5.e-002	8.2838e-005
201	20.589	6.	0.1	80.612
202	17.177	6.	5.e-002	2.9466e-005
203	24.	4.5	0.1	135.83
204	24.	6.	5.e-002	4.9021e-005
205	24.	1.5	0.1	268.51
206	24.	3.	5.e-002	2.3882e-005
207	3.9339e-014	4.5	0.1	2683.8
208	1.3113e-014	1.5	0.1	3110.9
209	2.6581e-014	3.	5.e-002	1.1613e-004
210	0.5	6.	0.1	815.07
211	5.2451e-014	6.	5.e-002	3.735e-005
212	1.5	6.	0.1	1058.2
213	1.	6.	5.e-002	1.4126e-005
214	2.	6.	5.e-002	-5.8223e-006
215	21.271	0.	0.1	174.78
216	24.	0.	5.e-002	-2.4198e-005
217	15.813	0.	0.1	48.647
218	18.542	0.	5.e-002	3.1119e-005
219	10.354	0.	0.1	209.28
220	13.083	0.	5.e-002	2.2026e-005
221	6.2604	0.	0.1	70.357
222	7.625	0.	5.e-002	7.3052e-005
223	3.5313	0.	0.1	91.763
224	4.8958	0.	5.e-002	-1.221e-006
225	2.1667	0.	5.e-002	-4.3912e-013
226	1.	1.8804e-030	0.1	1842.5
227	2.	3.7609e-030	5.e-002	-6.822e-014
228	0.	0.	5.e-002	-9.4779e-014
229	1.	1.8804e-030	0.	-1842.5
230	2.	0.5	0.	-1915.3
231	1.3113e-014	1.5	0.	-3110.9
232	6.2604	0.	0.	-70.357
233	3.5313	0.	0.	-91.763
234	10.354	0.	0.	-209.28
235	15.813	0.	0.	-48.647
236	21.271	0.	0.	-174.78
237	2.1667	0.5	0.	-645.97
238	24.	1.5	0.	-268.51
239	1.5	6.	0.	-1058.2
