Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	23.6	2.1818	0.	5.9645e-006
2	23.6	2.3636	0.	6.814e-006
3	23.6	2.5455	0.	5.1608e-006
4	23.6	2.7273	0.	3.9248e-006
5	23.6	2.9091	0.	3.335e-006
6	23.6	3.0909	0.	3.335e-006
7	23.6	3.2727	0.	3.9248e-006
8	23.6	3.4545	0.	5.1608e-006
9	23.6	3.6364	0.	6.814e-006
10	23.6	3.8182	0.	5.9645e-006
11	23.883	2.	0.	4.535e-005
12	23.883	4.	0.	4.535e-005
13	23.416	5.8182	0.	8.7236e-007
14	23.416	5.6364	0.	4.5082e-007
15	23.416	5.4545	0.	-1.6529e-007
16	23.416	5.2727	0.	-9.6936e-007
17	23.416	5.0909	0.	-1.9704e-006
18	23.416	4.9091	0.	-3.2154e-006
19	23.416	4.7273	0.	-4.7355e-006
20	23.416	4.5455	0.	-6.7904e-006
21	23.416	4.3636	0.	-9.0587e-006
22	23.416	4.1818	0.	-1.2362e-005
23	23.416	4.	0.	-8.9497e-006
24	23.416	3.8182	0.	-1.1307e-006
25	23.416	3.6364	0.	2.8771e-006
26	23.416	3.4545	0.	3.9179e-006
27	23.416	3.2727	0.	3.8665e-006
28	23.416	3.0909	0.	3.7338e-006
29	23.416	2.9091	0.	3.7338e-006
30	23.416	2.7273	0.	3.8665e-006
31	23.416	2.5455	0.	3.9179e-006
32	23.416	2.3636	0.	2.8771e-006
33	23.416	2.1818	0.	-1.1307e-006
34	23.416	2.	0.	-8.9497e-006
35	23.416	1.8182	0.	-1.2362e-005
36	23.416	1.6364	0.	-9.0587e-006
37	23.416	1.4545	0.	-6.7904e-006
38	23.416	1.2727	0.	-4.7355e-006
39	23.416	1.0909	0.	-3.2154e-006
40	23.416	0.90909	0.	-1.9704e-006
41	23.416	0.72727	0.	-9.6936e-007
42	23.416	0.54545	0.	-1.653e-007
43	23.416	0.36364	0.	4.5081e-007
44	23.416	0.18182	0.	8.7236e-007
45	23.231	5.8182	0.	2.0585e-006
46	23.231	5.6364	0.	1.6176e-006
47	23.231	5.4545	0.	1.0417e-006
48	23.231	5.2727	0.	3.2067e-007
49	23.231	5.0909	0.	-5.4779e-007
50	23.231	4.9091	0.	-1.5705e-006
51	23.231	4.7273	0.	-2.7541e-006
52	23.231	4.5455	0.	-4.0441e-006
53	23.231	4.3636	0.	-5.1828e-006
54	23.231	4.1818	0.	-5.4149e-006
55	23.231	4.	0.	-3.8479e-006
56	23.231	3.8182	0.	-5.3695e-007
57	23.231	3.6364	0.	1.9481e-006
58	23.231	3.4545	0.	3.2971e-006
59	23.231	3.2727	0.	3.8092e-006
60	23.231	3.0909	0.	3.9681e-006
61	23.231	2.9091	0.	3.9681e-006
62	23.231	2.7273	0.	3.8092e-006
63	23.231	2.5455	0.	3.2971e-006
64	23.231	2.3636	0.	1.9481e-006
65	23.231	2.1818	0.	-5.3695e-007
66	23.231	2.	0.	-3.8479e-006
67	23.231	1.8182	0.	-5.4149e-006
68	23.231	1.6364	0.	-5.1828e-006
69	23.231	1.4545	0.	-4.0441e-006
70	23.231	1.2727	0.	-2.7541e-006
71	23.231	1.0909	0.	-1.5705e-006
72	23.231	0.90909	0.	-5.4779e-007
73	23.231	0.72727	0.	3.2067e-007
74	23.231	0.54545	0.	1.0417e-006
75	23.231	0.36364	0.	1.6176e-006
76	23.231	0.18182	0.	2.0585e-006
77	23.047	5.8182	0.	3.3526e-006
78	23.047	5.6364	0.	2.9041e-006
79	23.047	5.4545	0.	2.3656e-006
80	23.047	5.2727	0.	1.728e-006
81	23.047	5.0909	0.	1.0004e-006
82	23.047	4.9091	0.	1.9507e-007
83	23.047	4.7273	0.	-6.4368e-007
84	23.047	4.5455	0.	-1.4167e-006
85	23.047	4.3636	0.	-1.9704e-006
86	23.047	4.1818	0.	-1.7725e-006
87	23.047	4.	0.	-7.1648e-007
88	23.047	3.8182	0.	8.0718e-007
89	23.047	3.6364	0.	2.3895e-006
90	23.047	3.4545	0.	3.481e-006
91	23.047	3.2727	0.	4.0764e-006
92	23.047	3.0909	0.	4.3248e-006
93	23.047	2.9091	0.	4.3248e-006
94	23.047	2.7273	0.	4.0764e-006
95	23.047	2.5455	0.	3.481e-006
96	23.047	2.3636	0.	2.3895e-006
97	23.047	2.1818	0.	8.0718e-007
98	23.047	2.	0.	-7.1648e-007
99	23.047	1.8182	0.	-1.7725e-006
100	23.047	1.6364	0.	-1.9704e-006
101	23.047	1.4545	0.	-1.4167e-006
102	23.047	1.2727	0.	-6.4368e-007
103	23.047	1.0909	0.	1.9506e-007
104	23.047	0.90909	0.	1.0004e-006
