Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	6.7965	2.2675	0.	3.2969e-005
2	7.0852	3.6859	0.	3.5703e-005
3	6.616	1.7779	0.	3.3795e-005
4	4.8943	3.7895	0.	1.6317e-004
5	6.1951	4.7345	0.	4.415e-005
6	4.161	0.52854	0.	3.0626e-005
7	3.9182	1.3484	0.	4.7762e-005
8	6.0966	0.55072	0.	2.5106e-005
9	4.0452	5.3406	0.	3.5256e-005
10	4.2021	4.7489	0.	5.1373e-005
11	4.5036	4.2347	0.	7.9724e-005
12	6.0424	5.4876	0.	3.0602e-005
13	6.7256	4.2752	0.	3.794e-005
14	3.5373	4.2245	0.	5.5666e-005
15	2.9259	3.3709	0.	4.7601e-005
16	3.3586	0.77029	0.	3.9966e-005
17	2.2585	4.7678	0.	4.0807e-005
18	1.2082	4.6783	0.	7.8473e-005
19	1.2636	1.2202	0.	7.9487e-005
20	2.4054	1.0148	0.	4.3201e-005
21	6.9948	0.71382	0.	2.6904e-005
22	7.754	1.2158	0.	2.5903e-005
23	9.2307	1.2099	0.	2.2477e-005
24	10.49	1.2032	0.	1.8023e-005
25	11.682	1.1988	0.	1.4849e-005
26	12.838	1.1879	0.	1.2402e-005
27	13.977	1.1748	0.	1.0343e-005
28	15.106	1.1743	0.	8.4463e-006
29	16.21	1.1746	0.	6.7655e-006
30	17.325	1.1769	0.	5.2579e-006
31	18.431	1.1796	0.	3.9817e-006
32	19.541	1.1802	0.	2.9154e-006
33	20.653	1.1801	0.	2.0606e-006
34	21.766	1.1876	0.	1.4273e-006
35	22.884	1.1962	0.	9.9185e-007
36	1.4485	3.4678	0.	8.4377e-005
37	1.4799	2.3283	0.	8.5169e-005
38	22.879	2.4	0.	1.3379e-006
39	22.874	3.597	0.	1.3349e-006
40	22.882	4.7962	0.	9.9567e-007
41	21.762	4.7984	0.	1.4287e-006
42	20.647	4.7823	0.	2.068e-006
43	19.535	4.7644	0.	2.9159e-006
44	18.424	4.7253	0.	3.9864e-006
45	17.316	4.6929	0.	5.2668e-006
46	16.211	4.6783	0.	6.7605e-006
47	15.105	4.6741	0.	8.4582e-006
48	13.985	4.7153	0.	1.033e-005
49	12.844	4.7556	0.	1.241e-005
50	11.684	4.7521	0.	1.4819e-005
51	10.534	4.7704	0.	1.7615e-005
52	9.3425	4.7921	0.	2.2255e-005
53	7.9968	4.791	0.	2.3509e-005
54	7.0687	5.2855	0.	2.7656e-005
55	3.1221	5.0292	0.	3.9292e-005
56	8.1603	3.6218	0.	2.472e-005
57	7.8732	2.4172	0.	2.717e-005
58	9.1598	2.3675	0.	2.2905e-005
59	10.41	2.381	0.	1.8506e-005
60	11.618	2.3783	0.	1.5004e-005
61	12.802	2.357	0.	1.2358e-005
62	13.963	2.3538	0.	1.0403e-005
63	15.1	2.3536	0.	8.5531e-006
64	16.207	2.3552	0.	6.9226e-006
65	17.321	2.3569	0.	5.4439e-006
66	18.428	2.359	0.	4.1859e-006
67	19.538	2.3621	0.	3.1308e-006
68	20.647	2.3807	0.	2.3104e-006
69	21.763	2.3888	0.	1.7101e-006
70	21.752	3.5922	0.	1.7161e-006
71	20.647	3.5801	0.	2.3123e-006
72	19.534	3.5628	0.	3.1386e-006
73	18.42	3.537	0.	4.189e-006
74	17.314	3.5267	0.	5.4525e-006
75	16.208	3.5178	0.	6.901e-006
76	15.086	3.5186	0.	8.57e-006
77	13.961	3.5168	0.	1.0382e-005
78	12.8	3.5506	0.	1.2364e-005
79	11.615	3.5536	0.	1.4982e-005
80	10.43	3.5673	0.	1.7943e-005
81	9.2155	3.5749	0.	2.2811e-005
82	5.8446	5.0789	0.	2.9033e-005
83	4.3628	0.95889	0.	4.243e-005
84	3.207	2.0369	0.	4.7856e-005
85	5.8719	1.0429	0.	3.4464e-005
86	6.3621	1.3948	0.	3.1066e-005
87	5.1149	2.7822	0.	8.304e-005
88	5.4895	3.4886	0.	8.1243e-005
89	6.0509	3.5163	0.	5.0611e-005
90	5.6507	3.112	0.	6.0272e-005
91	4.2103	3.8269	0.	6.9673e-005
92	4.5454	3.0928	0.	6.6096e-005
93	7.0772	3.0249	0.	3.8267e-005
94	4.9703	3.3577	0.	9.8452e-005
95	6.3693	3.0552	0.	4.6584e-005
96	6.2857	2.557	0.	4.5759e-005
97	5.6709	2.6559	0.	6.0878e-005
98	6.1668	2.0869	0.	4.6719e-005
99	5.6355	2.1489	0.	5.2241e-005
100	6.0599	1.6791	0.	3.6553e-005
101	5.6515	1.5733	0.	5.6229e-005
102	5.6515	1.5733	0.1	1.1016e-004
103	6.0599	1.6791	0.1	9.5821e-005
104	5.6355	2.1489	0.1	1.6067e-004
105	6.1668	2.0869	0.1	1.1433e-004
106	5.6709	2.6559	0.1	1.6877e-004
107	6.2857	2.557	0.1	1.1816e-004
108	6.3693	3.0552	0.1	1.2141e-004
109	4.9703	3.3577	0.1	2.0458e-004
110	7.0772	3.0249	0.1	9.5315e-005
111	4.5454	3.0928	0.1	1.6216e-004
112	4.2103	3.8269	0.1	1.4664e-004
113	5.6507	3.112	0.1	1.6038e-004
114	6.0509	3.5163	0.1	1.1268e-004
115	5.4895	3.4886	0.1	1.8194e-004
116	5.1149	2.7822	0.1	1.9099e-004
117	6.3621	1.3948	0.1	8.6164e-005
118	5.8719	1.0429	0.1	6.6631e-005
119	3.207	2.0369	0.1	1.2235e-004
120	4.3628	0.95889	0.1	7.3035e-005
121	5.8446	5.0789	0.1	5.7045e-005
122	9.2155	3.5749	0.1	6.3142e-005
123	10.43	3.5673	0.1	5.344e-005
124	11.615	3.5536	0.1	4.4878e-005
125	12.8	3.5506	0.1	3.7034e-005
126	13.961	3.5168	0.1	2.9978e-005
