Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
582	11.618	2.3783	5.e-002	4.1905
583	13.383	2.3554	0.	3.1746
584	12.801	2.9538	0.	0.86891
585	12.802	2.357	5.e-002	3.0403
586	14.531	2.3537	0.	6.3656
587	13.962	2.9353	0.	4.8731
588	13.963	2.3538	5.e-002	2.8975
589	15.653	2.3544	0.	8.2512
590	15.093	2.9361	0.	7.2238
591	15.1	2.3536	5.e-002	2.5997
592	16.764	2.356	0.	9.3839
593	16.207	2.9365	0.	8.7005
594	16.207	2.3552	5.e-002	2.2589
595	17.875	2.3579	0.	10.016
596	17.317	2.9418	0.	9.5395
597	17.321	2.3569	5.e-002	1.9507
598	18.983	2.3605	0.	10.353
599	18.424	2.948	0.	10.008
600	18.428	2.359	5.e-002	1.6526
601	20.093	2.3714	0.	10.515
602	19.536	2.9624	0.	10.243
603	19.538	2.3621	5.e-002	1.3098
604	21.205	2.3848	0.	10.643
605	20.647	2.9804	0.	10.412
606	20.647	2.3807	5.e-002	0.98002
607	21.757	2.9905	0.	10.551
608	21.763	2.3888	5.e-002	0.671
609	21.199	3.5862	0.	10.634
610	21.752	3.5922	5.e-002	0.68502
611	20.09	3.5714	0.	10.518
612	20.647	3.5801	5.e-002	0.97883
613	18.977	3.5499	0.	10.307
614	19.534	3.5628	5.e-002	1.27
615	17.867	3.5318	0.	9.9464
616	18.42	3.537	5.e-002	1.613
617	16.761	3.5223	0.	9.2612
618	17.314	3.5267	5.e-002	1.9965
619	15.647	3.5182	0.	8.0554
620	16.208	3.5178	5.e-002	2.3253
621	14.523	3.5177	0.	6.0986
622	15.086	3.5186	5.e-002	2.7128
623	13.38	3.5337	0.	2.9053
624	13.961	3.5168	5.e-002	2.9858
625	12.208	3.5521	0.	-0.77475
626	12.8	3.5506	5.e-002	3.0086
627	11.023	3.5604	0.	-2.587
628	11.615	3.5536	5.e-002	3.9304
629	9.8227	3.5711	0.	1.6842
630	10.43	3.5673	5.e-002	2.3168
631	9.2155	3.5749	5.e-002	3.5526
632	5.8446	5.0789	5.e-002	4.2213
633	5.4956	5.0395	0.	186.27
634	4.3628	0.95889	5.e-002	40.842
635	4.6714	0.97944	0.	295.96
636	3.207	2.0369	5.e-002	33.074
637	4.0935	2.0185	0.	-322.63
638	6.117	1.2188	0.	64.983
639	5.7617	1.3081	0.	173.33
640	5.8719	1.0429	5.e-002	20.294
641	5.5093	1.0215	0.	22.647
642	6.211	1.5369	0.	44.208
643	6.3621	1.3948	5.e-002	6.5783
644	4.8302	2.9375	0.	184.38
645	5.0426	3.0699	0.	307.68
