Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,4.1738,2.6229,0,0.00021063,2104.8,0.00010624,530.05,5.3501e-05,133.79,-0.00019652,-1744.8,0.025934
2,4.5681,3.5356,0,0.00016582,1657.1,6.6345e-05,223.99,5.5455e-05,142.17,-0.00015944,-1472.5,0.031526
3,4.9467,1.5028,0,0.0001124,1123.2,5.1219e-05,173.5,2.8238e-05,0.83,-0.00010844,-1026.1,0.036667
4,3.2867,2.7698,0,0.00018826,1881.3,7.9571e-05,324.59,6.2065e-05,193.05,-0.00017911,-1619,0.015703
5,4.0874,3.1265,0,0.00020569,2055.5,8.1194e-05,139.61,5.7676e-05,-37.096,-0.00020338,-1998.6,0.02491
6,5.2559,3.6374,0,0.00013558,1354.8,5.2987e-05,-9.5295,2.9168e-05,-188.5,-0.00013805,-1444.9,0.042698
7,3.0031,0.4845,0,9.1881e-05,918.18,3.8652e-05,102.96,2.5315e-05,2.7491,-8.9672e-05,-861.21,0.010855
8,2.8036,1.3612,0,0.0001305,1304.1,5.6512e-05,118.29,3.0195e-05,-79.442,-0.00012871,-1273.4,0.010493
9,5.0523,0.59344,0,7.9213e-05,791.58,3.559e-05,126.61,2.1287e-05,19.14,-7.6184e-05,-713.22,0.037282
10,2.817,5.238,0,0.00010542,1053.5,4.0211e-05,72.304,3.2136e-05,11.636,-0.00010386,-1010.2,0.0099379
11,3.0586,3.8397,0,0.00016571,1655.9,6.3006e-05,88.656,4.8509e-05,-20.264,-0.00016427,-1619,0.013249
12,3.4979,3.4155,0,0.00019112,1909.9,8.4783e-05,249.9,4.7949e-05,-26.856,-0.00018582,-1783.3,0.017781
13,4.9321,4.7006,0,0.0001121,1120.2,5.4157e-05,197.56,2.4624e-05,-24.339,-0.00010749,-1017,0.036396
14,4.645,5.0551,0,6.6172e-05,661.26,3.4186e-05,179.59,1.6531e-05,46.941,-6.1312e-05,-537.94,0.03106
15,4.9143,2.5415,0,0.0001634,1632.9,6.1584e-05,-13.009,3.9229e-05,-180.98,-0.00016605,-1723.4,0.036962
16,1.9688,4.0069,0,0.00013138,1312.9,5.4799e-05,-31.834,1.9324e-05,-298.38,-0.00013495,-1457.5,0.0054694
17,1.8666,5.0162,0,0.00012779,1277,4.7961e-05,-20.903,3.0019e-05,-155.71,-0.00013026,-1360,0.0044897
18,5.6502,2.7462,0,0.00011133,1112.5,4.6716e-05,0.16673,1.858e-05,-211.24,-0.0001134,-1202.9,0.049739
19,0.93402,4.8728,0,0.00014283,1427.3,7.9197e-05,272.42,1.1834e-05,-233.72,-0.00013527,-1339,0.001135
20,1.2401,1.3689,0,0.00013998,1398.8,7.5791e-05,241.71,1.294e-05,-230.53,-0.00013367,-1332.1,0.0020794
21,2.1189,0.80529,0,0.00012817,1280.8,4.3444e-05,-28.853,3.7673e-05,-72.216,-0.00012983,-1330.8,0.0056526
22,4.8985,5.4645,0,7.8661e-05,786.07,3.6591e-05,143.6,2.0531e-05,22.933,-7.513e-05,-695.83,0.034828
23,1.1118,2.5897,0,0.00015421,1541,8.9646e-05,297.2,3.2581e-06,-351.88,-0.00014451,-1462.2,0.0017751
