Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
163	1.4974	4.3734	0.1	610.59
164	0.49737	3.3734	0.1	1640.3
165	0.99737	4.8734	0.1	-254.52
166	1.9364	2.6172	0.1	3793.
167	2.4067	3.6727	0.1	1405.5
168	2.1667	1.25	0.1	718.69
169	2.1667	0.5	0.1	666.39
170	2.1667	1.	5.e-002	-1.4876e-005
171	2.1667	1.75	0.1	-208.04
172	2.1667	1.5	5.e-002	2.833e-006
173	2.0833	2.	0.1	3010.2
174	2.1667	2.	5.e-002	4.0714e-004
175	2.	1.75	0.1	5703.
176	2.	2.	5.e-002	7.8092e-005
177	2.	1.25	0.1	3251.9
178	2.	1.5	5.e-002	-4.346e-006
179	1.	2.	0.1	3209.6
180	2.	0.5	0.1	1911.1
181	2.	1.	5.e-002	-5.3579e-014
182	2.1667	4.75	0.1	1215.5
183	2.1667	5.5	0.1	503.09
184	2.1667	5.	5.e-002	-8.44e-014
185	2.1667	4.25	0.1	2763.8
186	2.1667	4.5	5.e-002	-1.1668e-013
187	2.0833	4.	0.1	4678.4
188	2.1667	4.	5.e-002	-6.9208e-005
189	2.	4.25	0.1	2930.3
190	2.	4.	5.e-002	8.6445e-004
191	2.	4.75	0.1	1855.2
192	2.	4.5	5.e-002	-3.8098e-013
193	2.	5.5	0.1	1888.8
194	2.	5.	5.e-002	6.8844e-006
195	3.8724	6.	0.1	222.97
196	2.1667	6.	5.e-002	-3.7603e-014
197	7.9661	6.	0.1	296.56
198	5.5781	6.	5.e-002	5.8749e-005
199	13.766	6.	0.1	145.9
200	10.354	6.	5.e-002	5.9843e-007
201	20.589	6.	0.1	79.123
202	17.177	6.	5.e-002	1.012e-004
203	24.	4.5	0.1	140.82
204	24.	6.	5.e-002	3.3414e-005
205	24.	1.5	0.1	260.06
206	24.	3.	5.e-002	1.6995e-005
207	3.9339e-014	4.5	0.1	2689.1
208	1.3113e-014	1.5	0.1	3105.2
209	2.6581e-014	3.	5.e-002	6.5617e-005
210	0.5	6.	0.1	829.48
211	5.2451e-014	6.	5.e-002	-2.3788e-005
212	1.5	6.	0.1	1066.8
