Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
159	11.472	1.2108	0.1	0.63789
160	10.305	1.2123	0.1	2.7258
161	9.1287	1.2095	0.1	9.9674
162	7.9213	1.1934	0.1	28.181
163	6.7296	1.1622	0.1	24.226
164	5.5628	0.79358	0.1	-12.742
165	1.0533	4.9507	0.1	117.26
166	1.1855	1.2384	0.1	186.34
167	1.2834	3.8615	0.1	316.
168	5.1458	2.5351	0.1	136.47
169	4.4386	5.4612	0.1	-10.867
170	2.3078	3.268	0.1	362.1
171	4.2564	5.0483	0.1	2.7835
172	4.6993	4.6836	0.1	18.989
173	2.6948	4.0579	0.1	34.152
174	2.1411	5.2159	0.1	97.816
175	5.1766	1.4006	0.1	-5.5917
176	2.2476	1.7189	0.1	114.94
177	2.2711	0.72062	0.1	69.181
178	3.6408	3.3508	0.1	64.807
179	4.275	3.2722	0.1	-197.45
180	3.2871	2.9278	0.1	-117.5
181	3.5467	5.5	0.1	216.04
182	3.5467	5.	0.1	71.551
183	3.5467	4.5	0.1	-21.764
184	3.5467	4.	0.1	650.91
185	3.38	4.	0.1	1107.3
186	3.38	4.5	0.1	246.29
187	3.38	5.	0.1	221.32
188	3.38	5.5	0.1	241.76
189	3.5467	0.5	0.1	64.258
190	3.5467	1.	0.1	32.08
191	3.5467	1.5	0.1	170.3
192	3.5467	2.	0.1	458.55
193	3.38	2.	0.1	559.38
194	3.38	1.5	0.1	6.8892
195	3.38	1.	0.1	166.18
196	3.38	0.5	0.1	242.95
197	3.5467	6.	0.1	152.65
198	4.683	6.	0.1	23.474
199	5.8193	6.	0.1	-7.1746
200	6.9556	6.	0.1	-5.6651
201	8.0919	6.	0.1	6.6026
202	9.2281	6.	0.1	2.1428
203	10.364	6.	0.1	1.7189
204	11.501	6.	0.1	9.8088e-002
205	12.637	6.	0.1	-0.13185
206	13.773	6.	0.1	-2.5283e-002
207	14.91	6.	0.1	-0.13901
208	16.046	6.	0.1	-0.37884
209	17.182	6.	0.1	-0.37061
210	18.319	6.	0.1	-0.33534
211	19.455	6.	0.1	-0.35581
212	20.591	6.	0.1	-0.39064
213	21.727	6.	0.1	-0.27846
214	22.864	6.	0.1	-0.28343
215	24.	6.	0.1	-0.76167
216	24.	4.8	0.1	0.61745
217	24.	3.6	0.1	1.3237
218	24.	2.4	0.1	1.3187
219	24.	1.2	0.1	0.61549
220	1.049e-014	1.2	0.1	989.45
221	2.0981e-014	2.4	0.1	1055.8
222	3.1471e-014	3.6	0.1	1009.3
223	4.1961e-014	4.8	0.1	960.74
224	24.	0.	0.1	-0.72631
225	22.864	0.	0.1	-0.28321
226	21.727	0.	0.1	-0.28334
227	20.591	0.	0.1	-0.33563
228	19.455	0.	0.1	-0.3216
229	18.319	0.	0.1	-0.29623
230	17.182	0.	0.1	-0.35238
231	16.046	0.	0.1	-0.34468
232	14.91	0.	0.1	-0.16777
233	13.773	0.	0.1	-0.24571
234	12.637	0.	0.1	0.19969
235	11.501	0.	0.1	0.31731
236	10.364	0.	0.1	1.5796
237	9.2281	0.	0.1	-1.5336
238	8.0919	0.	0.1	10.514
239	6.9556	0.	0.1	-0.99481
240	5.8193	0.	0.1	-30.488
241	4.683	0.	0.1	194.49
242	3.5467	0.	0.1	92.381
243	3.38	0.	0.1	270.91
244	2.2533	6.0659e-031	0.1	121.96
245	1.1267	3.033e-031	0.1	-43.055
246	0.	0.	0.1	682.63
247	3.937e-014	6.	0.1	612.01
248	1.1267	6.	0.1	25.41
249	2.2533	6.	0.1	43.325
250	3.38	6.	0.1	245.07
251	2.2533	6.	0.	-43.325
252	1.1267	6.	0.	-25.41
253	3.38	6.	0.	-245.07
254	3.937e-014	6.	0.	-612.01
255	1.1267	3.033e-031	0.	43.055
256	2.2533	6.0659e-031	0.	-121.96
257	3.38	0.	0.	-270.91
258	0.	0.	0.	-682.63
259	4.683	0.	0.	-194.49
260	5.8193	0.	0.	30.488
261	6.9556	0.	0.	0.99481
262	8.0919	0.	0.	-10.514
263	9.2281	0.	0.	1.5336
264	10.364	0.	0.	-1.5796
265	11.501	0.	0.	-0.31731
266	12.637	0.	0.	-0.19969
267	13.773	0.	0.	0.24571
268	14.91	0.	0.	0.16777
269	16.046	0.	0.	0.34468
270	17.182	0.	0.	0.35238
271	18.319	0.	0.	0.29623
272	19.455	0.	0.	0.3216
273	20.591	0.	0.	0.33563
274	21.727	0.	0.	0.28334
275	22.864	0.	0.	0.28321
276	3.5467	0.	0.	-92.381
277	24.	0.	0.	0.72632
278	4.1961e-014	4.8	0.	-960.74
279	3.1471e-014	3.6	0.	-1009.3
280	2.0981e-014	2.4	0.	-1055.8
281	1.049e-014	1.2	0.	-989.45
282	24.	1.2	0.	-0.61549
283	24.	2.4	0.	-1.3187
284	24.	3.6	0.	-1.3237
285	24.	4.8	0.	-0.61745
286	24.	6.	0.	0.76168
287	22.864	6.	0.	0.28343
288	21.727	6.	0.	0.27846
289	20.591	6.	0.	0.39064
290	19.455	6.	0.	0.35581
291	18.319	6.	0.	0.33534
292	17.182	6.	0.	0.37061
293	16.046	6.	0.	0.37884
294	14.91	6.	0.	0.13901
295	13.773	6.	0.	2.5283e-002
296	12.637	6.	0.	0.13185
297	11.501	6.	0.	-9.8088e-002
298	10.364	6.	0.	-1.7189
299	9.2281	6.	0.	-2.1428
300	8.0919	6.	0.	-6.6026
301	6.9556	6.	0.	5.6651
302	5.8193	6.	0.	7.1746
303	4.683	6.	0.	-23.474
304	3.5467	6.	0.	-152.65
305	3.38	1.5	0.	-6.8892
306	3.38	1.	0.	-166.18
307	3.38	0.5	0.	-242.95
308	3.38	2.	0.	-559.38
309	3.5467	0.5	0.	-64.258
310	3.5467	1.	0.	-32.08
311	3.5467	1.5	0.	-170.3
312	3.5467	2.	0.	-458.55
313	3.38	4.5	0.	-246.29
314	3.38	5.	0.	-221.32
315	3.38	5.5	0.	-241.76
316	3.38	4.	0.	-1107.3
317	3.5467	5.5	0.	-216.04
318	3.5467	5.	0.	-71.551
319	3.5467	4.5	0.	21.764
320	3.5467	4.	0.	-650.91
321	3.464	3.1393	0.	26.882
322	2.7975	3.0979	0.	-50.537
323	3.2225	3.2855	0.	79.001
324	3.6119	2.7887	0.	116.95
325	3.2871	2.9278	5.e-002	6.4928e-007
326	3.3336	2.4639	0.	-214.5
327	3.9579	3.3115	0.	66.24
328	4.814	3.3327	0.	94.108
329	4.1058	2.9609	0.	155.58
330	4.275	3.2722	5.e-002	2.0515e-005
331	3.9108	3.6361	0.	-225.96
332	3.6408	3.3508	5.e-002	-8.603e-015
333	3.5104	3.6754	0.	-396.87
334	1.7283	0.9795	0.	-62.906
335	2.4112	0.93149	0.	-20.322
336	2.2711	0.72062	5.e-002	-1.6531e-014
337	2.2622	0.36031	0.	-96.469
338	2.8256	0.61031	0.	-127.84
339	1.7165	1.4786	0.	-119.61
340	2.3995	1.4306	0.	-54.475
341	2.2118	2.085	0.	-206.06
342	2.2476	1.7189	5.e-002	9.5104e-008
343	2.8138	1.6094	0.	-48.828
344	5.3697	1.0971	0.	9.1914
345	5.7441	1.7745	0.	-24.101
346	4.4772	1.1871	0.	-9.5365
347	4.8549	1.6138	0.	-92.097
348	5.1766	1.4006	5.e-002	1.6184e-007
349	1.5972	5.0833	0.	-57.955
350	2.239	4.8978	0.	-88.448
351	2.1411	5.2159	5.e-002	-4.9767e-007
352	2.1972	5.608	0.	-70.114
353	2.7606	5.358	0.	-134.31
354	2.5013	3.6629	0.	-201.46
355	2.9263	3.8505	0.	43.199
356	2.5158	4.3188	0.	-37.409
357	2.6948	4.0579	5.e-002	2.1382e-005
358	3.0374	4.2789	0.	-93.107
359	4.4779	4.8659	0.	3.9597
360	5.1029	4.9686	0.	-5.4241
361	4.9118	4.4022	0.	-79.632
362	4.6993	4.6836	5.e-002	1.2335e-006
363	4.123	4.5918	0.	27.378
364	4.3475	5.2548	0.	3.7106
365	4.2564	5.0483	5.e-002	2.7639e-006
366	3.9015	5.0241	0.	-44.584
367	1.7956	3.5648	0.	-336.88
368	2.2419	2.8595	0.	-352.77
369	2.3078	3.268	5.e-002	4.5723e-007
370	4.9725	5.3574	0.	7.6993
371	4.4386	5.4612	5.e-002	-1.5054e-006
372	4.5608	5.7306	0.	-1.9048
373	3.9927	5.4806	0.	-64.351
374	5.7287	2.3418	0.	-123.65
375	5.2494	2.9642	0.	-134.14
376	4.5412	2.5924	0.	16.96
377	4.8395	2.1811	0.	-193.58
378	5.1458	2.5351	5.e-002	-5.8561e-007
379	1.1683	4.4061	0.	-219.27
380	1.1774	3.1818	0.	-315.65
381	1.8102	4.2206	0.	-173.53
382	1.2834	3.8615	5.e-002	3.8441e-006
383	0.64171	3.7308	0.	-662.93
384	1.1284	1.8702	0.	-254.06
385	1.1855	1.2384	5.e-002	8.7899e-007
386	1.1561	0.61919	0.	-75.147
387	0.59275	1.2192	0.	-593.6
388	1.0533	4.9507	5.e-002	1.8781e-006
389	1.09	5.4754	0.	-74.373
390	0.52663	4.8754	0.	-546.1
391	6.1462	0.9779	0.	17.544
392	4.8576	0.63446	0.	-3.5279
393	5.5628	0.79358	5.e-002	4.0138e-007
394	5.691	0.39679	0.	21.581
395	7.3254	1.1778	0.	-26.205
396	6.5206	1.6554	0.	-68.222
397	6.7296	1.1622	5.e-002	1.0936e-006
398	6.8426	0.5811	0.	-11.658
399	8.525	1.2015	0.	-19.103
400	7.8525	1.7812	0.	-36.32
401	7.9213	1.1934	5.e-002	5.7993e-007
402	8.0066	0.59672	0.	-18.712
403	9.7169	1.2109	0.	-6.2639
404	9.0893	1.8077	0.	-14.045
405	9.1287	1.2095	5.e-002	9.3019e-007
406	9.1784	0.60474	0.	-4.3891
407	10.889	1.2116	0.	-1.1258
408	10.288	1.8125	0.	-4.123
409	10.305	1.2123	5.e-002	1.2254e-006
410	10.335	0.60615	0.	-1.5523
411	12.043	1.1983	0.	-0.76846
412	11.465	1.8107	0.	-0.82451
413	11.472	1.2108	5.e-002	9.8301e-007
414	11.486	0.60542	0.	-0.47684
415	13.186	1.2015	0.	-0.72744
416	12.611	1.802	0.	-0.92014
417	12.615	1.1857	5.e-002	1.6595e-006
418	12.626	0.59287	0.	-0.55473
419	14.324	1.2143	0.	-0.53014
420	13.747	1.8246	0.	-0.92814
421	13.757	1.2173	5.e-002	1.3553e-006
422	13.765	0.60865	0.	-0.14973
423	15.461	1.2064	0.	-0.5734
424	14.88	1.8188	0.	-0.86307
425	14.892	1.2112	5.e-002	1.5442e-006
426	14.901	0.60562	0.	-0.1657
427	16.598	1.1983	0.	-0.64315
428	16.019	1.8058	0.	-0.91924
429	16.029	1.2015	5.e-002	1.9538e-006
430	16.037	0.60074	0.	-0.1449
431	17.737	1.1943	0.	-0.60167
432	17.164	1.7906	0.	-0.91584
433	17.167	1.1951	5.e-002	1.9661e-006
434	17.175	0.59753	0.	-0.14754
435	18.875	1.1941	0.	-0.56603
436	18.301	1.7902	0.	-0.92603
437	18.307	1.1935	5.e-002	2.2913e-006
438	18.313	0.59674	0.	-0.12677
439	20.013	1.1932	0.	-0.59017
440	19.437	1.7921	0.	-0.90438
441	19.444	1.1947	5.e-002	2.6711e-006
442	19.449	0.59737	0.	-0.12514
443	21.151	1.1922	0.	-0.60396
444	20.574	1.7922	0.	-0.91211
445	20.582	1.1917	5.e-002	3.0409e-006
446	20.587	0.59583	0.	-0.13122
447	22.29	1.1942	0.	-0.61205
448	21.713	1.792	0.	-0.91031
449	21.72	1.1928	5.e-002	2.8608e-006
450	21.724	0.5964	0.	-0.1587
451	22.855	1.7948	0.	-0.93929
452	22.859	1.1956	5.e-002	3.1591e-006
453	22.861	0.59778	0.	-0.16478
454	23.43	1.1978	0.	-0.62314
455	22.849	2.9972	0.	-1.2695
456	22.278	2.3926	0.	-1.2461
457	22.851	2.394	5.e-002	3.1924e-006
458	23.426	2.397	0.	-1.3008
459	22.851	4.2043	0.	-0.95901
460	22.277	3.5996	0.	-1.238
461	22.848	3.6004	5.e-002	3.1538e-006
462	23.424	3.6002	0.	-1.3085
463	22.283	4.8027	0.	-0.61889
464	22.853	4.8081	5.e-002	3.3297e-006
465	23.427	4.8041	0.	-0.63866
466	22.859	5.4041	0.	-0.17922
467	21.141	4.7958	0.	-0.60727
468	21.71	4.198	0.	-0.88884
469	21.712	4.7973	5.e-002	3.1561e-006
470	21.72	5.3986	0.	-0.1543
471	20.002	4.7929	0.	-0.58941
472	20.563	4.1924	0.	-0.95705
473	20.569	4.7944	5.e-002	2.6005e-006
474	20.58	5.3972	0.	-0.11483
475	18.865	4.7903	0.	-0.57415
476	19.428	4.1863	0.	-0.9099
477	19.434	4.7914	5.e-002	2.4714e-006
478	19.445	5.3957	0.	-9.6951e-002
479	17.73	4.79	0.	-0.58118
480	18.294	4.189	0.	-0.93575
481	18.296	4.7891	5.e-002	2.4948e-006
482	18.307	5.3946	0.	-0.12775
483	16.595	4.7955	0.	-0.63073
484	17.159	4.1912	0.	-0.88803
485	17.164	4.7909	5.e-002	2.0546e-006
486	17.173	5.3954	0.	-9.6911e-002
487	15.46	4.8132	0.	-0.59357
488	16.018	4.2004	0.	-0.98711
489	16.026	4.8002	5.e-002	2.0555e-006
490	16.036	5.4001	0.	-0.15364
491	14.32	4.829	0.	-0.58044
492	14.885	4.2246	0.	-0.84265
493	14.893	4.8262	5.e-002	1.7479e-006
494	14.902	5.4131	0.	-0.17421
495	13.176	4.8277	0.	-0.71861
496	13.743	4.2423	0.	-0.89579
497	13.746	4.8318	5.e-002	1.3241e-006
498	13.76	5.4159	0.	-0.32084
499	12.03	4.8197	0.	-0.83876
500	12.602	4.2317	0.	-0.90462
501	12.606	4.8236	5.e-002	1.677e-006
502	12.622	5.4118	0.	-0.32213
503	10.871	4.8128	0.	-0.82749
504	11.445	4.2146	0.	-1.2016
505	11.455	4.8157	5.e-002	1.1945e-006
506	11.478	5.4079	0.	-0.50563
507	9.6886	4.7987	0.	-6.9059
508	10.271	4.2111	0.	-4.4175
509	10.286	4.8099	5.e-002	9.5089e-007
510	10.325	5.4049	0.	-1.1028
511	8.4684	4.7786	0.	-17.069
512	9.0676	4.194	0.	-16.012
513	9.0907	4.7876	5.e-002	1.8059e-006
514	9.1594	5.3938	0.	-3.8181
515	7.1396	4.7687	0.	-35.89
516	7.7995	4.157	0.	-29.062
517	7.8461	4.7696	5.e-002	2.2155e-007
518	7.969	5.3848	0.	-14.73
519	5.9698	5.0107	0.	-31.909
520	6.4946	4.1173	0.	-67.062
521	5.7787	4.4442	0.	-108.87
522	6.4331	4.7678	5.e-002	-6.4824e-007
523	6.6943	5.3839	0.	-5.6419
524	5.5065	5.2536	5.e-002	-2.8053e-006
525	5.6629	5.6268	0.	0.46414
526	6.4338	2.8076	0.	-97.616
527	7.1545	3.5055	0.	-59.175
528	5.9546	3.43	0.	-108.99
529	6.5561	3.4668	5.e-002	-8.6692e-007
530	7.0476	2.2588	0.	-78.597
531	6.3115	2.1485	5.e-002	1.6163e-006
532	8.4168	2.3875	0.	-31.241
533	7.7684	2.9567	0.	-39.857
534	7.7838	2.369	5.e-002	-9.9181e-008
535	9.6603	2.4093	0.	-11.607
536	9.0472	3.0032	0.	-19.196
537	9.0498	2.4059	5.e-002	2.6205e-007
538	10.864	2.4117	0.	-2.1548
539	10.263	3.0125	0.	-5.8271
540	10.271	2.4128	5.e-002	2.5019e-007
541	12.033	2.4144	0.	-0.97369
542	11.446	3.012	0.	-1.2282
543	11.457	2.4106	5.e-002	9.5653e-007
544	13.173	2.4251	0.	-1.1251
545	12.603	3.029	0.	-0.98371
546	12.608	2.4182	5.e-002	1.1938e-006
547	14.303	2.4291	0.	-1.2644
548	13.739	3.0423	0.	-1.2182
549	13.738	2.4319	5.e-002	1.19e-006
550	15.439	2.4182	0.	-1.2134
551	14.872	3.0247	0.	-1.2083
552	14.868	2.4263	5.e-002	1.1973e-006
553	16.585	2.3981	0.	-1.1975
554	16.009	3.0053	0.	-1.2446
555	16.01	2.4101	5.e-002	1.7441e-006
556	17.728	2.3865	0.	-1.2457
557	17.158	2.9888	0.	-1.1971
558	17.161	2.3861	5.e-002	1.9187e-006
559	18.863	2.3882	0.	-1.27
560	18.293	2.9879	0.	-1.2891
561	18.295	2.387	5.e-002	1.9768e-006
562	19.998	2.3912	0.	-1.2326
563	19.425	2.9854	0.	-1.2509
564	19.43	2.3895	5.e-002	2.1031e-006
565	21.136	2.392	0.	-1.2247
566	20.561	2.9916	0.	-1.2582
567	20.566	2.3928	5.e-002	2.4907e-006
568	21.706	2.995	0.	-1.204
569	21.706	2.3912	5.e-002	2.7766e-006
570	21.131	3.5946	0.	-1.2449
571	21.707	3.5987	5.e-002	2.6932e-006
572	19.989	3.5858	0.	-1.2834
573	20.556	3.5904	5.e-002	2.5682e-006
574	18.856	3.585	0.	-1.2771
575	19.421	3.5813	5.e-002	2.3289e-006
576	17.723	3.5902	0.	-1.248
577	18.292	3.5888	5.e-002	2.2196e-006
578	16.582	3.596	0.	-1.2508
579	17.154	3.5915	5.e-002	1.8537e-006
580	15.443	3.6118	0.	-1.2446
581	16.009	3.6005	5.e-002	1.609e-006
582	14.308	3.6379	0.	-1.1673
583	14.877	3.6231	5.e-002	1.4294e-006
584	13.169	3.6463	0.	-1.0856
585	13.739	3.6527	5.e-002	1.5436e-006
586	12.017	3.6267	0.	-1.2606
587	12.599	3.6399	5.e-002	1.2008e-006
588	10.846	3.6128	0.	-2.8495
589	11.436	3.6134	5.e-002	9.6133e-007
590	9.6504	3.6064	0.	-13.246
591	10.256	3.6122	5.e-002	9.2069e-007
592	8.3988	3.5724	0.	-27.759
593	9.0446	3.6005	5.e-002	7.1121e-007
594	7.7529	3.5443	5.e-002	2.8384e-006
595	5.2387	3.757	0.	-149.49
596	5.1243	4.1207	5.e-002	7.4282e-006
597	4.3355	4.0604	0.	-398.44
598	2.5513	1.1424	5.e-002	-4.5301e-015
599	2.9657	1.0712	0.	-75.945
600	1.6236	2.4766	0.	-318.54
601	2.1759	2.4511	5.e-002	3.8583e-007
602	2.778	2.2256	0.	-427.69
603	1.0714	2.5021	5.e-002	1.0046e-005
604	0.53568	2.451	0.	-679.92
605	3.1579	3.6432	5.e-002	1.2871e-005
606	3.269	3.8216	0.	-349.89
607	3.9651	0.72445	0.	-8.1952
608	3.7575	1.1469	0.	-61.996
609	3.7777	0.97356	5.e-002	-7.0176e-015
610	3.6622	0.98678	0.	-61.968
611	5.353	3.3933	5.e-002	-1.0002e-007
612	3.9366	2.6496	5.e-002	-5.8576e-007
613	3.7416	2.3248	0.	-180.38
614	4.1352	1.5737	0.	-196.84
615	4.5331	1.8271	5.e-002	-1.7169e-014
616	4.0399	1.9135	0.	-297.58
617	4.1524	0.47533	5.e-002	-1.2301e-014
618	4.4177	0.23767	0.	-118.96
619	3.8495	0.48767	0.	-47.337
620	3.7373	1.3202	5.e-002	-8.0855e-014
621	3.642	1.4101	0.	67.829
622	2.3369	4.5797	5.e-002	-2.6319e-006
623	2.8585	4.7898	0.	-153.32
624	1.8102	4.2206	0.1	173.53
625	2.5158	4.3188	0.1	37.409
626	2.239	4.8978	0.1	88.448
627	2.8585	4.7898	0.1	153.32
628	4.1352	1.5737	0.1	196.84
629	3.7575	1.1469	0.1	61.996
630	3.642	1.4101	0.1	-67.829
631	3.9651	0.72445	0.1	8.1952
632	4.8576	0.63446	0.1	3.5279
633	3.8495	0.48767	0.1	47.337
634	4.4177	0.23767	0.1	118.96
635	4.8395	2.1811	0.1	193.58
636	4.8549	1.6138	0.1	92.097
637	4.0399	1.9135	0.1	297.58
638	4.5412	2.5924	0.1	-16.96
639	4.1058	2.9609	0.1	-155.58
640	3.6119	2.7887	0.1	-116.95
641	3.7416	2.3248	0.1	180.38
642	5.2387	3.757	0.1	149.49
643	5.9546	3.43	0.1	108.99
644	5.2494	2.9642	0.1	134.14
645	4.814	3.3327	0.1	-94.108
646	4.4772	1.1871	0.1	9.5365
647	3.6622	0.98678	0.1	61.968
648	2.9263	3.8505	0.1	-43.199
649	3.2225	3.2855	0.1	-79.001
650	3.269	3.8216	0.1	349.89
651	1.6236	2.4766	0.1	318.54
652	1.1284	1.8702	0.1	254.06
653	1.1774	3.1818	0.1	315.65
654	0.53568	2.451	0.1	679.92
655	2.2419	2.8595	0.1	352.77
656	2.2118	2.085	0.1	206.06
657	2.778	2.2256	0.1	427.69
658	2.3995	1.4306	0.1	54.475
659	2.4112	0.93149	0.1	20.322
660	2.9657	1.0712	0.1	75.945
661	5.7787	4.4442	0.1	108.87
662	4.9118	4.4022	0.1	79.632
663	4.3355	4.0604	0.1	398.44
664	8.3988	3.5724	0.1	27.759
665	7.7684	2.9567	0.1	39.857
666	7.1545	3.5055	0.1	59.175
667	7.7995	4.157	0.1	29.062
668	9.6504	3.6064	0.1	13.246
669	9.0472	3.0032	0.1	19.196
670	9.0676	4.194	0.1	16.012
671	10.846	3.6128	0.1	2.8495
672	10.263	3.0125	0.1	5.8271
673	10.271	4.2111	0.1	4.4175
674	12.017	3.6267	0.1	1.2606
675	11.446	3.012	0.1	1.2282
676	11.445	4.2146	0.1	1.2016
677	13.169	3.6463	0.1	1.0856
678	12.603	3.029	0.1	0.98371
679	12.602	4.2317	0.1	0.90462
680	14.308	3.6379	0.1	1.1673
681	13.739	3.0423	0.1	1.2182
682	13.743	4.2423	0.1	0.89579
683	15.443	3.6118	0.1	1.2446
684	14.872	3.0247	0.1	1.2083
