Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
787	18.426	0.58995	0.1	9.9069e-006
788	16.748	1.1782	0.1	1.6307e-005
789	17.314	0.58981	0.1	1.3895e-005
790	15.636	1.1756	0.1	2.1364e-005
791	16.203	0.5884	0.1	1.8602e-005
792	14.525	1.1737	0.1	2.7135e-005
793	15.09	0.58721	0.1	2.4027e-005
794	13.41	1.173	0.1	3.3665e-005
795	13.98	0.58652	0.1	3.0174e-005
796	12.277	1.1763	0.1	4.1007e-005
797	12.863	0.58652	0.1	3.7076e-005
798	11.121	1.1855	0.1	4.9222e-005
799	11.735	0.58982	0.1	4.4768e-005
800	9.9297	1.2078	0.1	5.8298e-005
801	10.595	0.59567	0.1	5.326e-005
802	8.6818	1.2593	0.1	6.8316e-005
803	9.4314	0.61208	0.1	6.2761e-005
804	7.4168	1.3171	0.1	7.9169e-005
805	8.2346	0.64719	0.1	7.2984e-005
806	6.2337	1.2304	0.1	9.2398e-005
807	7.0541	0.66994	0.1	8.258e-005
808	5.1903	0.95347	0.1	9.6704e-005
809	5.9393	0.56046	0.1	9.6501e-005
810	4.2686	0.65246	0.1	8.6764e-005
811	4.3141	1.07	0.1	1.0854e-004
812	4.8984	0.393	0.1	9.4826e-005
813	0.98811	3.1715	0.1	1.7542e-004
814	1.1522	2.2559	0.1	1.7175e-004
815	1.5755	2.6888	0.1	1.8362e-004
816	0.52059	2.5198	0.1	1.4159e-004
817	0.9535	4.2617	0.1	1.5297e-004
818	1.3961	5.0549	0.1	1.1932e-004
819	0.48598	4.81	0.1	1.1435e-004
820	0.93598	5.41	0.1	1.2876e-004
821	1.3875	3.6878	0.1	1.6878e-004
822	0.46752	3.6517	0.1	1.3702e-004
823	3.3858	5.4629	0.1	6.4845e-005
824	3.9419	5.7129	0.1	7.4253e-005
825	1.9749	3.205	0.1	1.7698e-004
826	2.2699	3.8361	0.1	2.645e-004
827	2.2601	5.3948	0.1	7.9974e-005
828	1.8101	5.6448	0.1	1.0208e-004
829	3.3492	0.50946	0.1	6.0329e-005
830	3.9053	0.25946	0.1	7.7175e-005
831	1.4248	0.6403	0.1	1.1854e-004
832	0.49348	0.98207	0.1	1.1626e-004
833	0.94348	0.38207	0.1	1.4079e-004
834	2.2814	0.50823	0.1	7.5946e-005
835	1.8314	0.25823	0.1	9.5643e-005
836	1.9816	1.9361	0.1	2.4886e-004
837	0.63157	1.5361	0.1	1.2729e-004
838	3.3946	1.427	0.1	1.3498e-004
839	2.4593	2.7938	0.1	2.0334e-004
840	2.7544	3.4248	0.1	2.8708e-004
841	2.8377	2.4248	0.1	2.7256e-004
842	2.4049	2.369	0.1	2.6201e-004
843	2.8667	5.25	0.1	8.165e-005
844	2.8667	5.75	0.1	4.8314e-005
845	2.8667	5.5	5.e-002	7.2538e-006
846	2.8667	4.75	0.1	1.7754e-004
847	2.8667	5.	5.e-002	1.8544e-005
848	2.8667	4.25	0.1	2.4841e-004
849	2.8667	4.5	5.e-002	4.5356e-005
850	2.7833	4.	0.1	3.0783e-004
851	2.8667	4.	5.e-002	1.321e-005
852	2.7	4.25	0.1	2.7179e-004
853	2.7	4.	5.e-002	2.781e-005
854	2.7	4.75	0.1	1.9503e-004
855	2.7	4.5	5.e-002	1.756e-005
856	2.7	5.25	0.1	1.0737e-004
857	2.7	5.	5.e-002	3.2682e-005
858	2.7	5.75	0.1	4.6071e-005
859	2.7	5.5	5.e-002	6.8948e-006
860	2.8667	0.75	0.1	7.712e-005
861	2.8667	0.25	0.1	3.8756e-005
862	2.8667	0.5	5.e-002	8.6591e-006
863	2.8667	1.25	0.1	1.51e-004
864	2.8667	1.	5.e-002	3.5258e-005
865	2.8667	1.75	0.1	2.291e-004
866	2.8667	1.5	5.e-002	1.8157e-005
867	2.7833	2.	0.1	3.0332e-004
868	2.8667	2.	5.e-002	1.7773e-005
869	2.7	1.75	0.1	2.7072e-004
870	2.7	2.	5.e-002	1.6488e-005
871	2.7	1.25	0.1	1.9752e-004
872	2.7	1.5	5.e-002	1.7375e-005
873	2.7	0.75	0.1	1.252e-004
874	2.7	1.	5.e-002	3.9746e-005
875	2.7	0.25	0.1	4.9973e-005
876	2.7	0.5	5.e-002	9.6119e-006
877	3.4228	6.	0.1	5.5249e-005
878	2.8667	6.	5.e-002	4.7668e-006
879	4.5351	6.	0.1	8.1696e-005
880	3.9789	6.	5.e-002	8.1932e-007
881	5.6474	6.	0.1	9.1264e-005
882	5.0912	6.	5.e-002	7.1724e-007
883	6.7596	6.	0.1	8.5758e-005
884	6.2035	6.	5.e-002	2.068e-006
885	7.8719	6.	0.1	7.7502e-005
886	7.3158	6.	5.e-002	1.7689e-006
887	8.9842	6.	0.1	6.7715e-005
888	8.4281	6.	5.e-002	1.788e-006
889	10.096	6.	0.1	5.7906e-005
890	9.5404	6.	5.e-002	1.4126e-006
891	11.209	6.	0.1	4.9091e-005
892	10.653	6.	5.e-002	1.2901e-006
893	12.321	6.	0.1	4.1002e-005
894	11.765	6.	5.e-002	1.2801e-006
895	13.433	6.	0.1	3.3689e-005
896	12.877	6.	5.e-002	1.1153e-006
897	14.546	6.	0.1	2.716e-005
898	13.989	6.	5.e-002	1.0184e-006
899	15.658	6.	0.1	2.1363e-005
900	15.102	6.	5.e-002	9.1595e-007
901	16.77	6.	0.1	1.6284e-005
902	16.214	6.	5.e-002	8.1611e-007
903	17.882	6.	0.1	1.1935e-005
904	17.326	6.	5.e-002	7.2199e-007
905	18.995	6.	0.1	8.2882e-006
906	18.439	6.	5.e-002	6.2811e-007
907	20.107	6.	0.1	5.3524e-006
908	19.551	6.	5.e-002	5.0162e-007
909	21.219	6.	0.1	3.1233e-006
910	20.663	6.	5.e-002	3.7927e-007
911	22.332	6.	0.1	1.5864e-006
912	21.775	6.	5.e-002	2.4392e-007
913	23.444	6.	0.1	7.2057e-007
914	22.888	6.	5.e-002	1.3245e-007
915	24.	5.4	0.1	6.2849e-007
916	24.	6.	5.e-002	2.628e-008
917	24.	4.2	0.1	1.033e-006
918	24.	4.8	5.e-002	5.1653e-008
919	24.	3.	0.1	1.2389e-006
920	24.	3.6	5.e-002	5.4851e-008
921	24.	1.8	0.1	1.0329e-006
922	24.	2.4	5.e-002	5.5131e-008
923	24.	0.6	0.1	6.279e-007
924	24.	1.2	5.e-002	5.1407e-008
925	1.5735e-014	1.8	0.1	1.0057e-004
926	5.2451e-015	0.6	0.1	7.4217e-005
927	1.0632e-014	1.2	5.e-002	1.31e-005
928	2.6226e-014	3.	0.1	1.0743e-004
929	2.1264e-014	2.4	5.e-002	7.9914e-006
930	3.6716e-014	4.2	0.1	1.0184e-004
931	3.1897e-014	3.6	5.e-002	6.0792e-006
932	4.7206e-014	5.4	0.1	7.8067e-005
933	4.2529e-014	4.8	5.e-002	2.4753e-006
934	23.444	0.	0.1	7.1875e-007
935	24.	0.	5.e-002	2.664e-008
936	22.332	0.	0.1	1.5848e-006
937	22.888	0.	5.e-002	1.3401e-007
938	21.219	0.	0.1	3.1176e-006
939	21.775	0.	5.e-002	2.4222e-007
940	20.107	0.	0.1	5.3432e-006
941	20.663	0.	5.e-002	3.7634e-007
942	18.995	0.	0.1	8.2669e-006
943	19.551	0.	5.e-002	5.032e-007
944	17.882	0.	0.1	1.1901e-005
945	18.439	0.	5.e-002	6.2484e-007
946	16.77	0.	0.1	1.6254e-005
947	17.326	0.	5.e-002	7.4661e-007
948	15.658	0.	0.1	2.1329e-005
949	16.214	0.	5.e-002	8.7305e-007
950	14.546	0.	0.1	2.7129e-005
951	15.102	0.	5.e-002	9.9962e-007
952	13.433	0.	0.1	3.3648e-005
953	13.989	0.	5.e-002	1.1085e-006
954	12.321	0.	0.1	4.0898e-005
955	12.877	0.	5.e-002	1.1966e-006
956	11.209	0.	0.1	4.8861e-005
957	11.765	0.	5.e-002	1.2533e-006
958	10.096	0.	0.1	5.7779e-005
959	10.653	0.	5.e-002	1.3467e-006
960	8.9842	0.	0.1	6.75e-005
961	9.5404	0.	5.e-002	1.9538e-006
962	7.8719	0.	0.1	7.6591e-005
