Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	2.1098	2.7379	0.	-1.9177e-004
2	2.8088	2.8497	0.	-2.0693e-004
3	3.9226	1.354	0.	-1.2042e-004
4	1.2631	1.8721	0.	-1.6082e-004
5	4.4708	4.5861	0.	-1.0342e-004
6	1.8627	0.51646	0.	-9.8424e-005
7	0.98696	0.76414	0.	-1.3697e-004
8	3.8317	0.51892	0.	-8.0749e-005
9	1.8203	5.2897	0.	-1.1032e-004
10	1.8399	3.6721	0.	-1.7982e-004
11	3.9049	5.4257	0.	-7.6327e-005
12	0.93504	3.7034	0.	-1.6121e-004
13	4.6299	3.4382	0.	-1.2271e-004
14	0.97196	4.8201	0.	-1.2812e-004
15	1.0412	2.6396	0.	-1.6927e-004
16	4.7055	0.78601	0.	-9.3983e-005
17	5.6751	1.1209	0.	-1.0012e-004
18	6.7924	1.3399	0.	-8.5265e-005
19	8.0412	1.2944	0.	-7.4218e-005
20	9.3224	1.2242	0.	-6.3176e-005
21	10.537	1.1913	0.	-5.3542e-005
22	11.705	1.1796	0.	-4.4823e-005
23	12.849	1.173	0.	-3.7039e-005
24	13.971	1.173	0.	-3.0084e-005
25	15.079	1.1744	0.	-2.3936e-005
26	16.193	1.1768	0.	-1.8512e-005
27	17.302	1.1796	0.	-1.3799e-005
28	18.414	1.1799	0.	-9.802e-006
29	19.529	1.179	0.	-6.5084e-006
30	20.643	1.1848	0.	-3.9304e-006
31	21.764	1.193	0.	-2.0488e-006
32	22.881	1.195	0.	-8.7385e-007
33	22.869	2.3929	0.	-1.0135e-006
34	22.871	3.6026	0.	-1.0122e-006
35	22.878	4.7974	0.	-8.7674e-007
36	21.758	4.796	0.	-2.063e-006
37	20.634	4.7961	0.	-3.9496e-006
38	19.519	4.7803	0.	-6.5355e-006
39	18.406	4.7634	0.	-9.8407e-006
40	17.294	4.7253	0.	-1.3838e-005
41	16.184	4.6936	0.	-1.8557e-005
42	15.076	4.6792	0.	-2.3973e-005
43	13.968	4.6747	0.	-3.0114e-005
44	12.858	4.6754	0.	-3.6932e-005
45	11.722	4.7493	0.	-4.4761e-005
46	10.555	4.7446	0.	-5.3447e-005
47	9.3561	4.7489	0.	-6.3423e-005
48	8.1514	4.7825	0.	-7.3877e-005
49	6.91	4.8431	0.	-8.3388e-005
50	5.7905	5.0843	0.	-9.3897e-005
51	4.8735	5.2843	0.	-9.5721e-005
52	6.1428	2.6102	0.	-9.2403e-005
53	7.8248	2.4749	0.	-7.5608e-005
54	9.2063	2.406	0.	-6.3427e-005
55	10.471	2.3661	0.	-5.3791e-005
56	11.674	2.3467	0.	-4.4981e-005
57	12.835	2.3432	0.	-3.7027e-005
58	13.966	2.3525	0.	-3.0077e-005
59	15.075	2.3547	0.	-2.3944e-005
60	16.189	2.357	0.	-1.8527e-005
61	17.299	2.359	0.	-1.3821e-005
62	18.41	2.3619	0.	-9.8439e-006
63	19.521	2.3799	0.	-6.5687e-006
64	20.635	2.3858	0.	-4.0093e-006
65	21.749	2.3965	0.	-2.1689e-006
66	21.75	3.5953	0.	-2.1688e-006
67	20.622	3.5905	0.	-4.0373e-006
68	19.508	3.5728	0.	-6.5997e-006
69	18.406	3.5621	0.	-9.863e-006
70	17.29	3.5372	0.	-1.3862e-005
71	16.183	3.527	0.	-1.8557e-005
72	15.074	3.5179	0.	-2.3956e-005
73	13.963	3.5131	0.	-3.0108e-005
74	12.831	3.5172	0.	-3.7009e-005
75	11.714	3.5119	0.	-4.4661e-005
76	10.487	3.5531	0.	-5.3643e-005
77	9.216	3.5721	0.	-6.3879e-005
78	7.8852	3.6104	0.	-7.5238e-005
79	6.5398	3.7782	0.	-8.8244e-005
80	3.6896	4.8714	0.	-9.6366e-005
81	3.9381	4.012	0.	-1.4016e-004
82	1.6216	1.3246	0.	-1.4481e-004
83	2.1036	4.9328	0.	-9.5656e-005
84	3.7261	3.0696	0.	-1.5213e-004
85	3.5621	0.95131	0.	-6.8193e-005
86	4.6671	2.0835	0.	-1.1451e-004
87	5.0986	4.1973	0.	-9.9649e-005
88	1.8231	4.3964	0.	-1.393e-004
89	3.4938	4.5249	0.	-1.4106e-004
90	1.9937	0.92893	0.	-1.0281e-004
91	1.9937	0.92893	0.1	-4.195e-005
92	3.4938	4.5249	0.1	-6.6201e-005
93	1.8231	4.3964	0.1	-5.7991e-005
94	5.0986	4.1973	0.1	-3.3681e-005
95	4.6671	2.0835	0.1	-4.3265e-005
96	3.5621	0.95131	0.1	-4.0355e-005
97	3.7261	3.0696	0.1	-5.7227e-005
98	2.1036	4.9328	0.1	-4.5086e-005
99	1.6216	1.3246	0.1	-6.5262e-005
100	3.9381	4.012	0.1	-5.2413e-005
101	3.6896	4.8714	0.1	-4.6779e-005
102	6.5398	3.7782	0.1	-3.0872e-005
103	7.8852	3.6104	0.1	-2.6445e-005
