Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	6.1562	3.3327	0.	1378.8
2	7.1308	1.7474	0.	870.4
3	4.3057	2.8373	0.	1202.9
4	7.3354	3.392	0.	980.68
5	4.3515	0.65577	0.	807.39
6	6.5477	0.48102	0.	647.23
7	4.6139	4.6531	0.	1175.8
8	6.7432	4.7164	0.	916.09
9	6.3425	5.0633	0.	624.69
10	3.8749	1.8454	0.	1092.5
11	4.6754	5.4024	0.	864.65
12	6.5277	5.4599	0.	633.79
13	3.334	0.92336	0.	1206.7
14	3.79	5.1672	0.	1045.5
15	2.756	4.5615	0.	1209.4
16	1.329	4.6882	0.	1409.6
17	1.1598	1.1829	0.	1417.1
18	2.3016	1.1047	0.	1279.3
19	7.5289	0.70313	0.	653.09
20	8.4351	1.1989	0.	674.14
21	9.9233	1.1894	0.	581.88
22	11.202	1.2004	0.	479.45
23	12.408	1.2065	0.	397.48
24	13.602	1.1963	0.	322.22
25	14.78	1.1866	0.	255.71
26	15.944	1.1853	0.	197.52
27	17.09	1.1864	0.	147.48
28	18.242	1.1865	0.	105.16
29	19.395	1.1943	0.	70.39
30	20.543	1.1956	0.	43.322
31	21.698	1.1933	0.	23.991
32	22.848	1.1959	0.	12.46
33	1.35	3.5056	0.	1466.
34	1.262	2.3444	0.	1478.2
35	22.842	2.3945	0.	15.78
36	22.842	3.6	0.	15.785
37	22.843	4.8064	0.	12.484
38	21.688	4.8071	0.	24.065
39	20.539	4.7974	0.	43.47
40	19.387	4.8002	0.	70.56
41	18.239	4.7838	0.	105.35
42	17.09	4.7504	0.	147.62
43	15.939	4.7251	0.	197.66
44	14.784	4.7727	0.	255.28
45	13.619	4.7711	0.	321.33
46	12.428	4.7688	0.	396.15
47	11.206	4.766	0.	478.6
48	9.9348	4.7658	0.	580.01
49	8.4559	4.7479	0.	676.29
50	7.5855	5.2611	0.	693.71
51	2.7299	3.2755	0.	1218.5
52	2.5679	2.1836	0.	1250.8
53	8.6285	3.5159	0.	675.35
54	8.6041	2.3548	0.	673.28
55	9.8364	2.3399	0.	578.82
56	11.108	2.3833	0.	482.31
57	12.366	2.3837	0.	397.95
58	13.579	2.3743	0.	322.11
59	14.766	2.3737	0.	255.72
60	15.937	2.3725	0.	197.8
61	17.088	2.3732	0.	147.8
62	18.237	2.3762	0.	105.85
63	19.382	2.3904	0.	71.506
64	20.53	2.3994	0.	44.888
65	21.687	2.392	0.	26.214
66	21.684	3.599	0.	26.255
67	20.527	3.5977	0.	44.948
68	19.377	3.591	0.	71.594
69	18.236	3.5794	0.	105.92
70	17.085	3.558	0.	148.05
71	15.934	3.5508	0.	197.78
72	14.761	3.5646	0.	255.8
73	13.585	3.5641	0.	321.82
74	12.369	3.5714	0.	397.58
75	11.115	3.5668	0.	481.68
76	9.8565	3.5694	0.	576.24
77	7.1488	4.1471	0.	878.98
78	4.5548	1.1299	0.	797.7
79	4.8646	5.0289	0.	709.24
80	4.0882	3.9389	0.	1219.7
81	6.3081	0.89687	0.	579.24
82	6.5905	1.2293	0.	927.92
83	5.4611	2.6869	0.	1897.7
84	5.1867	3.2009	0.	1861.8
85	7.4678	2.4088	0.	924.5
86	6.1653	2.4621	0.	1345.3
87	6.1653	2.4621	0.1	1345.3
88	7.4678	2.4088	0.1	924.5
89	5.1867	3.2009	0.1	1861.8
90	5.4611	2.6869	0.1	1897.7
91	6.5905	1.2293	0.1	927.92
92	6.3081	0.89687	0.1	579.24
93	4.0882	3.9389	0.1	1219.7
94	4.8646	5.0289	0.1	709.24
95	4.5548	1.1299	0.1	797.7
96	7.1488	4.1471	0.1	878.98
97	9.8565	3.5694	0.1	576.24
98	11.115	3.5668	0.1	481.68
99	12.369	3.5714	0.1	397.58
100	13.585	3.5641	0.1	321.82
101	14.761	3.5646	0.1	255.8
102	15.934	3.5508	0.1	197.78
103	17.085	3.558	0.1	148.05
104	18.236	3.5794	0.1	105.92
105	19.377	3.591	0.1	71.594
106	20.527	3.5977	0.1	44.948
107	21.684	3.599	0.1	26.255
108	21.687	2.392	0.1	26.214
109	20.53	2.3994	0.1	44.888
110	19.382	2.3904	0.1	71.506
111	18.237	2.3762	0.1	105.85
112	17.088	2.3732	0.1	147.8
113	15.937	2.3725	0.1	197.8
114	14.766	2.3737	0.1	255.72
115	13.579	2.3743	0.1	322.11
116	12.366	2.3837	0.1	397.95
117	11.108	2.3833	0.1	482.31
118	9.8364	2.3399	0.1	578.82
119	8.6041	2.3548	0.1	673.28
120	8.6285	3.5159	0.1	675.35
121	2.5679	2.1836	0.1	1250.8
122	2.7299	3.2755	0.1	1218.5
123	7.5855	5.2611	0.1	693.71
124	8.4559	4.7479	0.1	676.29
125	9.9348	4.7658	0.1	580.01
126	11.206	4.766	0.1	478.6
127	12.428	4.7688	0.1	396.15
128	13.619	4.7711	0.1	321.33
129	14.784	4.7727	0.1	255.28
130	15.939	4.7251	0.1	197.66
131	17.09	4.7504	0.1	147.62
132	18.239	4.7838	0.1	105.35
133	19.387	4.8002	0.1	70.56
134	20.539	4.7974	0.1	43.47
135	21.688	4.8071	0.1	24.065
136	22.843	4.8064	0.1	12.484
137	22.842	3.6	0.1	15.785
138	22.842	2.3945	0.1	15.78
139	1.262	2.3444	0.1	1478.2
140	1.35	3.5056	0.1	1466.
141	22.848	1.1959	0.1	12.46
142	21.698	1.1933	0.1	23.991
143	20.543	1.1956	0.1	43.322
144	19.395	1.1943	0.1	70.39
145	18.242	1.1865	0.1	105.16
146	17.09	1.1864	0.1	147.48
147	15.944	1.1853	0.1	197.52
148	14.78	1.1866	0.1	255.71
149	13.602	1.1963	0.1	322.22
150	12.408	1.2065	0.1	397.48
151	11.202	1.2004	0.1	479.45
152	9.9233	1.1894	0.1	581.88
153	8.4351	1.1989	0.1	674.14
154	7.5289	0.70313	0.1	653.09
155	2.3016	1.1047	0.1	1279.3
156	1.1598	1.1829	0.1	1417.1
157	1.329	4.6882	0.1	1409.6
158	2.756	4.5615	0.1	1209.4
159	3.79	5.1672	0.1	1045.5
160	3.334	0.92336	0.1	1206.7
161	6.5277	5.4599	0.1	633.79
162	4.6754	5.4024	0.1	864.65
163	3.8749	1.8454	0.1	1092.5
164	6.3425	5.0633	0.1	624.69
165	6.7432	4.7164	0.1	916.09
166	4.6139	4.6531	0.1	1175.8
167	6.5477	0.48102	0.1	647.23
168	4.3515	0.65577	0.1	807.39
169	7.3354	3.392	0.1	980.68
170	4.3057	2.8373	0.1	1202.9
171	7.1308	1.7474	0.1	870.4
172	6.1562	3.3327	0.1	1378.8
173	5.6267	5.5	0.1	335.12
174	5.6267	5.	0.1	1157.5
175	5.6267	4.5	0.1	1288.9
176	5.6267	4.	0.1	2589.
177	5.46	4.	0.1	2841.3
178	5.46	4.5	0.1	1789.5
179	5.46	5.	0.1	1007.6
180	5.46	5.5	0.1	271.58
181	5.6267	0.5	0.1	305.76
182	5.6267	1.	0.1	931.82
183	5.6267	1.5	0.1	1378.7
184	5.6267	2.	0.1	2398.6
185	5.46	2.	0.1	3604.4
186	5.46	1.5	0.1	1400.
187	5.46	1.	0.1	1527.4
188	5.46	0.5	0.1	626.01
189	5.6267	6.	0.1	347.54
190	6.775	6.	0.1	533.02
191	7.9233	6.	0.1	672.48
192	9.0717	6.	0.1	655.47
193	10.22	6.	0.1	560.9
194	11.368	6.	0.1	479.1
195	12.517	6.	0.1	394.75
196	13.665	6.	0.1	321.61
197	14.813	6.	0.1	255.75
198	15.962	6.	0.1	197.15
199	17.11	6.	0.1	147.74
200	18.258	6.	0.1	105.3
201	19.407	6.	0.1	70.228
202	20.555	6.	0.1	42.742
203	21.703	6.	0.1	23.019
204	22.852	6.	0.1	10.433
205	24.	6.	0.1	4.6062
206	24.	4.8	0.1	8.2984
207	24.	3.6	0.1	12.38
208	24.	2.4	0.1	12.388
209	24.	1.2	0.1	8.2803
210	1.049e-014	1.2	0.1	989.23
211	2.0981e-014	2.4	0.1	1034.7
212	3.1471e-014	3.6	0.1	1046.9
213	4.1961e-014	4.8	0.1	1000.3
214	24.	0.	0.1	4.6207
215	22.852	0.	0.1	10.434
216	21.703	0.	0.1	23.004
217	20.555	0.	0.1	42.836
218	19.407	0.	0.1	70.022
219	18.258	0.	0.1	104.97
220	17.11	0.	0.1	147.43
221	15.962	0.	0.1	197.61
222	14.813	0.	0.1	255.59
223	13.665	0.	0.1	321.79
224	12.517	0.	0.1	394.66
225	11.368	0.	0.1	478.44
226	10.22	0.	0.1	556.71
227	9.0717	0.	0.1	660.84
228	7.9233	0.	0.1	658.35
229	6.775	0.	0.1	524.08
230	5.6267	0.	0.1	357.76
231	5.46	0.	0.1	397.49
232	4.368	-3.1058e-030	0.1	744.91
233	3.276	-2.3293e-030	0.1	1186.3
234	2.184	-1.5529e-030	0.1	1394.1
235	1.092	-7.7644e-031	0.1	1418.1
236	0.	0.	0.1	754.78
237	3.937e-014	6.	0.1	740.27
238	1.092	6.	0.1	1407.8
239	2.184	6.	0.1	1447.8
240	3.276	6.	0.1	1148.
241	4.368	6.	0.1	739.49
242	5.46	6.	0.1	459.97
243	4.368	6.	0.	739.49
244	3.276	6.	0.	1148.
245	2.184	6.	0.	1447.8
246	1.092	6.	0.	1407.8
247	5.46	6.	0.	459.97
248	3.937e-014	6.	0.	740.27
249	1.092	-7.7644e-031	0.	1418.1
250	2.184	-1.5529e-030	0.	1394.1
251	3.276	-2.3293e-030	0.	1186.3
252	4.368	-3.1058e-030	0.	744.91
253	5.46	0.	0.	397.49
254	0.	0.	0.	754.78
255	6.775	0.	0.	524.08
256	7.9233	0.	0.	658.35
257	9.0717	0.	0.	660.84
258	10.22	0.	0.	556.71
259	11.368	0.	0.	478.44
260	12.517	0.	0.	394.66
261	13.665	0.	0.	321.79
262	14.813	0.	0.	255.59
263	15.962	0.	0.	197.61
264	17.11	0.	0.	147.43
265	18.258	0.	0.	104.97
266	19.407	0.	0.	70.022
267	20.555	0.	0.	42.836
268	21.703	0.	0.	23.004
269	22.852	0.	0.	10.434
270	5.6267	0.	0.	357.76
271	24.	0.	0.	4.6206
272	4.1961e-014	4.8	0.	1000.3
273	3.1471e-014	3.6	0.	1046.9
274	2.0981e-014	2.4	0.	1034.7
275	1.049e-014	1.2	0.	989.23
276	24.	1.2	0.	8.2803
277	24.	2.4	0.	12.388
278	24.	3.6	0.	12.38
279	24.	4.8	0.	8.2984
280	24.	6.	0.	4.6062
281	22.852	6.	0.	10.433
282	21.703	6.	0.	23.019
283	20.555	6.	0.	42.742
284	19.407	6.	0.	70.228
285	18.258	6.	0.	105.3
286	17.11	6.	0.	147.74
287	15.962	6.	0.	197.15
288	14.813	6.	0.	255.75
289	13.665	6.	0.	321.61
290	12.517	6.	0.	394.75
291	11.368	6.	0.	479.1
292	10.22	6.	0.	560.9
293	9.0717	6.	0.	655.47
294	7.9233	6.	0.	672.48
295	6.775	6.	0.	533.02
296	5.6267	6.	0.	347.54
297	5.46	1.5	0.	1400.
298	5.46	1.	0.	1527.4
299	5.46	0.5	0.	626.01
300	5.46	2.	0.	3604.4
301	5.6267	0.5	0.	305.76
302	5.6267	1.	0.	931.82
303	5.6267	1.5	0.	1378.7
304	5.6267	2.	0.	2398.6
305	5.46	4.5	0.	1789.5
306	5.46	5.	0.	1007.6
307	5.46	5.5	0.	271.58
308	5.46	4.	0.	2841.3
309	5.6267	5.5	0.	335.12
310	5.6267	5.	0.	1157.5
311	5.6267	4.5	0.	1288.9
312	5.6267	4.	0.	2589.
313	6.7458	3.3623	0.	1172.5
314	5.6714	3.2668	0.	1608.3
315	6.1608	2.8974	0.	1329.7
316	6.1562	3.3327	5.e-002	26.813
317	5.8914	3.6663	0.	1928.9
318	7.783	1.4732	0.	768.6
319	6.8607	1.4883	0.	895.61
320	7.2993	2.0781	0.	896.14
321	7.1308	1.7474	5.e-002	61.398
322	6.3787	1.8737	0.	1583.1
323	4.0903	2.3413	0.	1142.4
324	3.5178	3.0564	0.	1208.4
325	4.197	3.3881	0.	1200.8
326	4.7462	3.0191	0.	1515.1
327	4.3057	2.8373	5.e-002	61.712
328	4.8828	2.4186	0.	2382.8
329	7.9819	3.4539	0.	826.74
330	7.2421	3.7695	0.	928.28
331	7.4016	2.9004	0.	946.99
332	7.3354	3.392	5.e-002	35.958
333	3.8427	0.78956	0.	1003.6
334	4.4531	0.89284	0.	802.2
335	4.3515	0.65577	5.e-002	66.304
336	4.3597	0.32788	0.	772.63
337	4.9057	0.57788	0.	672.59
338	7.0383	0.59208	0.	633.46
339	6.4279	0.68895	0.	610.66
340	6.5477	0.48102	5.e-002	50.643
341	6.6614	0.24051	0.	580.05
342	6.0872	0.49051	0.	457.61
343	4.2019	4.9102	0.	1104.8
344	4.7392	4.841	0.	903.46
