Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	17.728	5.5579	0.	111.51
2	18.549	5.537	0.	54.186
3	17.474	4.1272	0.	583.47
4	17.706	2.2127	0.	480.76
5	17.746	3.6472	0.	413.67
6	18.188	3.4805	0.	419.07
7	17.483	3.858	0.	410.13
8	17.483	4.3775	0.	651.06
9	18.672	4.1968	0.	68.92
10	18.677	4.8	0.	128.8
11	17.412	2.2394	0.	336.72
12	18.716	1.5811	0.	98.743
13	18.731	1.354	0.	107.35
14	18.425	2.7344	0.	210.95
15	17.749	2.6154	0.	370.86
16	17.213	4.1061	0.	355.66
17	16.927	4.0607	0.	233.28
18	18.932	4.4	0.	5.641
19	18.842	3.1958	0.	8.3643
20	18.92	4.1999	0.	3.5799
21	0.7703	0.77672	0.	-205.38
22	1.1608	0.75775	0.	61.265
23	1.5592	0.75152	0.	-5.3612
24	1.9529	0.74659	0.	7.469
25	2.3478	0.74472	0.	3.0536
26	2.7391	0.74472	0.	2.8759
27	3.1304	0.74472	0.	2.1724
28	3.5217	0.74472	0.	1.7222
29	3.913	0.74472	0.	1.4734
30	4.3043	0.74472	0.	1.1792
31	4.6957	0.74472	0.	0.97469
32	5.087	0.74472	0.	0.80086
33	5.4783	0.74472	0.	0.6577
34	5.8696	0.74472	0.	0.53957
35	6.2609	0.74472	0.	0.44076
36	6.6522	0.74472	0.	0.35787
37	7.0435	0.74472	0.	0.28807
38	7.4348	0.74472	0.	0.2291
39	7.8261	0.74472	0.	0.17921
40	8.2174	0.74472	0.	0.13696
41	8.6087	0.74472	0.	0.10103
42	9.	0.74472	0.	7.0393e-002
43	9.3913	0.74472	0.	4.4212e-002
44	9.7826	0.74472	0.	2.2146e-002
45	10.174	0.74472	0.	5.5438e-003
46	10.565	0.74472	0.	0.47537
47	10.957	0.74472	0.	3.5365
48	11.348	0.74472	0.	6.4102
49	11.739	0.74472	0.	9.163
50	12.13	0.74472	0.	11.901
51	12.522	0.74472	0.	14.748
52	12.913	0.74472	0.	17.861
53	13.304	0.74472	0.	21.438
54	13.696	0.74472	0.	25.746
55	14.087	0.74472	0.	31.146
56	14.478	0.74472	0.	38.1
57	14.87	0.74472	0.	47.307
58	15.261	0.74472	0.	60.274
59	15.668	0.74545	0.	76.749
60	16.082	0.74477	0.	99.814
61	16.488	0.70734	0.	130.26
62	16.881	0.60459	0.	114.16
63	16.983	0.8134	0.	202.27
64	19.036	0.64545	0.	27.185
65	19.38	0.69163	0.	15.884
66	19.739	0.73168	0.	6.7565
67	20.117	0.7434	0.	2.371
68	20.5	0.74472	0.	1.2005
69	20.889	0.74472	0.	0.36443
70	21.278	0.74472	0.	2.0702
71	21.667	0.74472	0.	7.1029
72	22.064	0.75275	0.	13.553
73	22.463	0.77446	0.	22.158
74	22.854	0.77776	0.	32.219
75	16.705	5.2823	0.	133.54
76	16.326	5.2664	0.	109.45
77	15.936	5.2582	0.	88.411
78	15.534	5.2565	0.	69.661
79	15.129	5.2553	0.	54.787
80	14.72	5.2553	0.	43.479
81	14.311	5.2553	0.	34.954
82	13.902	5.2553	0.	28.455
83	13.493	5.2553	0.	23.42
84	13.084	5.2553	0.	19.36
85	12.676	5.2553	0.	15.931
86	12.267	5.2553	0.	12.872
87	11.858	5.2553	0.	9.9881
88	11.449	5.2553	0.	7.1283
89	11.04	5.2553	0.	4.1662
90	10.631	5.2553	0.	1.0021
91	10.222	5.2553	0.	5.7842e-005
92	9.8133	5.2553	0.	1.4959e-002
93	9.4044	5.2553	0.	3.6679e-002
94	8.9956	5.2553	0.	6.3269e-002
95	8.5867	5.2553	0.	9.6688e-002
96	8.1778	5.2553	0.	0.13526
97	7.7689	5.2553	0.	0.17845
98	7.36	5.2553	0.	0.23031
99	6.9511	5.2553	0.	0.29444
100	6.5422	5.2553	0.	0.37048
101	6.1333	5.2553	0.	0.46154
102	5.7244	5.2553	0.	0.57114
103	5.3156	5.2553	0.	0.70587
104	4.9067	5.2553	0.	0.86962
105	4.4978	5.2553	0.	1.0781
106	4.0889	5.2553	0.	1.2926
107	3.68	5.2553	0.	1.7213
108	3.2711	5.2553	0.	2.1114
109	2.8665	5.2616	0.	1.2193
110	2.4535	5.265	0.	12.465
111	2.0253	5.2449	0.	6.9158
112	1.6079	5.2175	0.	-15.821
113	1.1912	5.2101	0.	59.724
114	0.76943	4.8093	0.	-239.6
115	0.7536	4.4075	0.	-254.04
116	0.74472	4.	0.	-257.9
117	0.74472	3.6	0.	-264.34
118	0.74472	3.2	0.	-264.34
119	0.74472	2.8	0.	-259.69
120	0.75157	2.385	0.	-255.45
121	0.76501	1.9708	0.	-255.12
122	0.76859	1.5695	0.	-250.36
123	0.77349	1.1719	0.	-241.91
124	23.25	1.1952	0.	58.102
125	23.25	1.5974	0.	65.909
126	23.248	1.9964	0.	70.282
127	23.252	2.3952	0.	72.58
128	23.255	2.8	0.	73.587
129	23.255	3.2	0.	73.372
130	23.252	3.6097	0.	72.432
131	23.244	4.0172	0.	70.27
132	23.25	4.4195	0.	66.437
133	23.262	4.8335	0.	58.784
134	23.274	5.2241	0.	46.284
135	22.908	5.2423	0.	33.491
136	22.543	5.251	0.	23.808
137	22.177	5.2553	0.	15.819
138	17.428	2.441	0.	271.06
139	17.209	4.6144	0.	369.9
140	16.947	3.7963	0.	197.81
141	17.228	4.879	0.	310.16
142	17.762	2.8457	0.	345.03
143	18.642	2.8326	0.	83.363
144	17.576	3.2099	0.	284.56
145	16.917	4.6073	0.	264.39
146	18.948	2.3506	0.	-3.0697
147	17.523	2.9216	0.	299.59
148	19.188	4.4573	0.	2.3121
149	18.858	4.7644	0.	61.992
150	18.895	2.9246	0.	4.5727
151	19.408	3.5801	0.	6.7238
152	19.159	4.0122	0.	-3.3829
153	18.934	2.639	0.	6.1483
154	16.576	4.2539	0.	186.78
155	16.741	3.5143	0.	112.06
156	17.249	3.1995	0.	194.09
157	19.479	3.3573	0.	-0.33443
158	19.335	4.9284	0.	6.4682
159	16.257	4.1953	0.	139.66
160	16.245	3.8224	0.	126.53
161	16.748	3.17	0.	135.67
162	19.477	3.9385	0.	-1.9563
163	13.902	4.5106	0.	36.85
164	13.493	4.5106	0.	29.748
165	13.084	4.5106	0.	23.719
166	12.676	4.5106	0.	18.385
167	12.267	4.5106	0.	13.457
168	11.858	4.5106	0.	8.6927
169	11.449	4.5106	0.	3.8951
170	11.04	4.5106	0.	1.8581e-002
171	10.631	4.5106	0.	4.4114e-003
172	10.222	4.5106	0.	9.3078e-003
173	9.8133	4.5106	0.	3.3885e-003
174	9.4044	4.5106	0.	3.6859e-002
175	8.9956	4.5106	0.	2.666e-002
176	8.5867	4.5106	0.	5.5498e-002
177	8.1778	4.5106	0.	0.10105
178	7.7689	4.5106	0.	8.713e-002
179	7.36	4.5106	0.	0.12071
180	6.9511	4.5106	0.	0.16143
181	6.5422	4.5106	0.	0.20198
182	6.1333	4.5106	0.	0.25466
183	5.7244	4.5106	0.	0.32006
184	5.3156	4.5106	0.	0.3933
185	4.9067	4.5106	0.	0.49643
186	4.4978	4.5106	0.	0.61816
187	4.0889	4.5106	0.	0.84003
188	3.68	4.5106	0.	0.97933
189	3.2807	4.5177	0.	0.84622
190	2.8946	4.5321	0.	3.8573
191	2.5089	4.5511	0.	-5.2306
192	2.1434	4.5684	0.	6.7441
193	1.4649	3.9717	0.	-6.4653
194	19.679	4.9028	0.	3.1498
195	16.994	2.8541	0.	161.26
196	16.28	4.5508	0.	148.98
197	16.71	2.8395	0.	127.03
198	19.511	2.1401	0.	0.52772
199	19.483	2.4339	0.	-6.4297e-002
200	19.478	2.7619	0.	0.39427
201	16.538	2.0228	0.	153.42
202	16.402	2.4912	0.	116.48
203	21.438	4.1714	0.	0.83477
204	21.075	4.1514	0.	4.1171e-002
205	20.679	4.1505	0.	-2.9781
206	20.246	3.0964	0.	3.6281
207	20.136	2.1612	0.	0.23994
208	2.5991	3.469	0.	-8.3977
209	21.647	3.574	0.	-0.24216
210	20.366	2.7719	0.	-1.6132
211	21.159	2.8673	0.	-2.4457
212	20.708	3.473	0.	-1.6902
213	20.895	2.7849	0.	3.0247
214	21.145	2.4263	0.	-0.97032
215	21.1	3.183	0.	0.67273
216	23.638	5.6041	0.	38.324
217	23.274	5.6149	0.	29.427
218	22.909	5.6232	0.	23.281
219	22.542	5.6276	0.	18.675
220	22.177	5.6276	0.	14.804
221	21.813	5.6276	0.	11.675
222	21.448	5.6276	0.	9.5175
223	21.083	5.6276	0.	8.5411
224	20.719	5.6276	0.	9.0309
225	20.354	5.6276	0.	11.235
226	19.995	5.6321	0.	15.351
227	19.641	5.6396	0.	20.771
228	19.291	5.6562	0.	26.011
229	18.935	5.6944	0.	31.887
230	18.568	5.7509	0.	24.364
231	18.46	5.3629	0.	108.27
232	18.409	5.1691	0.	165.3
233	18.419	4.9869	0.	219.67
234	18.42	4.7949	0.	296.07
235	18.422	4.6	0.	389.57
236	18.419	4.3983	0.	501.98
237	18.424	4.1888	0.	430.86
238	18.436	3.9732	0.	139.85
239	23.616	0.39656	0.	37.422
240	23.622	0.79381	0.	61.181
241	23.624	1.1968	0.	77.135
242	23.628	1.6	0.	86.659
243	23.628	2.	0.	92.063
244	23.628	2.4	0.	94.969
245	23.628	2.8	0.	96.15
246	23.628	3.2	0.	96.123
247	23.625	3.6029	0.	94.818
248	23.623	4.0059	0.	91.858
249	23.623	4.4053	0.	86.554
250	23.631	4.8067	0.	77.703
251	23.636	5.2062	0.	62.262
252	18.592	0.28647	0.	35.484
253	18.988	0.32574	0.	28.166
254	19.362	0.34692	0.	25.798
255	19.737	0.36205	0.	19.741
256	20.118	0.36939	0.	14.059
257	20.5	0.37236	0.	10.519
258	20.889	0.37236	0.	8.7207
259	21.278	0.37236	0.	8.9989
260	21.667	0.37236	0.	10.821
261	22.061	0.37919	0.	13.685
262	22.453	0.38563	0.	17.582
263	22.843	0.39055	0.	22.581
264	23.232	0.39574	0.	29.046
265	17.614	0.19735	0.	41.551
266	17.636	0.41056	0.	94.965
267	17.69	0.60053	0.	200.35
268	17.715	0.8014	0.	324.38
269	17.745	1.	0.	493.88
270	17.745	1.2	0.	673.
271	17.753	1.4027	0.	901.7
272	17.748	1.601	0.	1146.3
273	17.739	1.8076	0.	1259.6
274	17.723	2.0114	0.	733.69
275	0.38654	0.39354	0.	632.14
276	0.77546	0.38925	0.	-126.3
277	1.1685	0.38033	0.	31.52
278	1.5614	0.37478	0.	-7.9705
279	1.9565	0.37236	0.	0.16495
280	2.3478	0.37236	0.	-2.6481
281	2.7391	0.37236	0.	-1.9796
282	3.1304	0.37236	0.	-2.1539
283	3.5217	0.37236	0.	-1.9353
284	3.913	0.37236	0.	-1.7888
285	4.3043	0.37236	0.	-1.5831
286	4.6957	0.37236	0.	-1.3835
287	5.087	0.37236	0.	-1.2
288	5.4783	0.37236	0.	-1.0331
289	5.8696	0.37236	0.	-0.88455
290	6.2609	0.37236	0.	-0.75398
291	6.6522	0.37236	0.	-0.64005
292	7.0435	0.37236	0.	-0.54126
293	7.4348	0.37236	0.	-0.45587
