Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
198,6.0467,1,0.1,9.6493e-05,964.27,9.1529e-05,878.39,-1.4075e-05,84.925,-5.1307e-05,-194.82,0.045525
199,6.0467,1.5,0.1,0.00013599,1358.9,0.00012707,1160.5,-2.662e-05,5.7434,-7.2236e-05,-337,0.046464
200,6.0467,2,0.1,0.00024317,2430,0.00025383,2745.3,-6.4365e-05,354.45,-7.455e-05,277.93,0.047384
201,5.88,2,0.1,0.00029968,2994.8,0.00030272,3095.2,-8.0716e-05,214.27,-0.00010946,-1.6778,0.044688
202,5.88,1.5,0.1,0.0001744,1742.8,0.00016319,1505.8,-3.133e-05,44.272,-9.3512e-05,-422.94,0.043483
203,5.88,1,0.1,0.00011298,1129,0.00010871,1078.5,-1.3906e-05,157.24,-5.8913e-05,-180.92,0.042209
204,5.88,0.5,0.1,4.6014e-05,459.83,5.0521e-05,610.14,-2.4196e-06,212.37,-1.6487e-05,106.67,0.040975
205,6.0467,6,0.1,2.9866e-05,298.46,3.2293e-05,377.28,-3.2352e-06,110.34,-1.0594e-05,55.044,0.04395
206,7.1688,6,0.1,5.0496e-05,504.61,5.0069e-05,492.43,-1.5995e-05,-3.9541,-1.8135e-05,-20.032,0.066325
207,8.2908,6,0.1,6.2981e-05,629.38,6.2081e-05,603.35,-2.0344e-05,-15.952,-2.2964e-05,-35.636,0.089911
208,9.4129,6,0.1,6.0104e-05,600.63,5.9891e-05,594.39,-1.97e-05,-3.628,-2.0391e-05,-8.8237,0.11505
209,10.535,6,0.1,5.324e-05,532.03,5.3194e-05,530.69,-1.7594e-05,-1.1853,-1.7635e-05,-1.4927,0.14169
210,11.657,6,0.1,4.5293e-05,452.62,4.5266e-05,451.86,-1.4689e-05,1.3742,-1.5254e-05,-2.8706,0.16966
211,12.779,6,0.1,3.7701e-05,376.75,3.7605e-05,373.99,-1.2144e-05,0.19676,-1.2921e-05,-5.6379,0.19876
212,13.901,6,0.1,3.0662e-05,306.41,3.0542e-05,303.02,-9.7587e-06,0.20866,-1.0701e-05,-6.8687,0.22879
213,15.023,6,0.1,2.4398e-05,243.81,2.424e-05,239.37,-7.6227e-06,-0.029269,-8.7672e-06,-8.6288,0.25957
214,16.145,6,0.1,1.892e-05,189.07,1.8724e-05,183.72,-5.733e-06,-0.044068,-7.0907e-06,-10.246,0.29095
215,17.267,6,0.1,1.4135e-05,141.26,1.392e-05,135.49,-4.1404e-06,-0.20556,-5.5416e-06,-10.734,0.32279
216,18.39,6,0.1,1.0084e-05,100.77,9.8537e-06,94.803,-2.8054e-06,-0.31287,-4.2007e-06,-10.796,0.35495
217,19.512,6,0.1,6.7376e-06,67.33,6.4932e-06,61.268,-1.7141e-06,-0.398,-3.0677e-06,-10.569,0.38734
218,20.634,6,0.1,4.1112e-06,41.084,3.8465e-06,34.983,-8.6174e-07,-0.3927,-2.1507e-06,-10.078,0.41988
219,21.756,6,0.1,2.2147e-06,22.132,1.9143e-06,16.003,-2.5246e-07,-0.27708,-1.4397e-06,-9.1974,0.4525
220,22.878,6,0.1,1.0201e-06,10.194,6.665e-07,4.0604,8.7314e-08,-0.29145,-8.8374e-07,-7.5876,0.48515
221,24,6,0.1,4.5938e-07,4.5906,1.6328e-07,-0.29649,1.033e-07,-0.7472,-4.7547e-07,-5.0958,0.51781
222,24,4.8,0.1,8.2481e-07,8.2424,4.2376e-07,2.2169,2.0853e-07,0.59975,-7.649e-07,-6.7143,0.51783
223,24,3.6,0.1,1.2302e-06,12.294,5.9656e-07,3.0877,3.5802e-07,1.2954,-1.1458e-06,-10.004,0.51783
224,24,2.4,0.1,1.2311e-06,12.302,5.9507e-07,3.07,3.5991e-07,1.3031,-1.1471e-06,-10.02,0.5178
225,24,1.2,0.1,8.2303e-07,8.2246,4.18e-07,2.1502,2.114e-07,0.59792,-7.6521e-07,-6.7399,0.51773
226,1.049e-14,1.2,0.1,9.8875e-05,988.06,0.00013177,1955,8.982e-07,971.65,-3.5559e-07,962.23,0
227,2.0981e-14,2.4,0.1,0.00010351,1034.3,0.00013802,2048.7,7.386e-07,1017.3,-2.4232e-08,1011.5,0
228,3.1471e-14,3.6,0.1,0.00010395,1038.8,0.00013859,2057,6.8589e-07,1020.8,-1.1127e-08,1015.5,0
229,4.1961e-14,4.8,0.1,9.8566e-05,984.98,0.00013148,1952.7,1.5245e-06,976.2,-7.1581e-07,959.37,0
230,24,0,0.1,4.5872e-07,4.5841,1.6221e-07,-0.3054,1.0379e-07,-0.74434,-4.75e-07,-5.0931,0.51764
231,22.878,0,0.1,1.0151e-06,10.144,6.6639e-07,4.0909,8.4956e-08,-0.27773,-8.7696e-07,-7.5052,0.48498
232,21.756,0,0.1,2.2206e-06,22.19,1.9231e-06,16.102,-2.5905e-07,-0.29408,-1.4375e-06,-9.1486,0.45233
233,20.634,0,0.1,4.1171e-06,41.143,3.852e-06,35.046,-8.5932e-07,-0.35291,-2.1557e-06,-10.093,0.41971
234,19.512,0,0.1,6.7151e-06,67.104,6.4796e-06,61.26,-1.7158e-06,-0.31677,-3.0394e-06,-10.262,0.38717
235,18.39,0,0.1,1.0053e-05,100.46,9.831e-06,94.689,-2.8133e-06,-0.31527,-4.1624e-06,-10.452,0.35478
236,17.267,0,0.1,1.4104e-05,140.95,1.3902e-05,135.49,-4.1644e-06,-0.24878,-5.4808e-06,-10.14,0.32261
237,16.145,0,0.1,1.8898e-05,188.85,1.8719e-05,183.9,-5.7783e-06,-0.15733,-7.0087e-06,-9.4024,0.29078
238,15.023,0,0.1,2.4425e-05,244.09,2.4271e-05,239.76,-7.6333e-06,0.047934,-8.7666e-06,-8.4678,0.2594
239,13.901,0,0.1,3.0692e-05,306.71,3.058e-05,303.54,-9.767e-06,0.38793,-1.0697e-05,-6.6001,0.22862
240,12.779,0,0.1,3.7709e-05,376.83,3.7634e-05,374.68,-1.2162e-05,0.52901,-1.2868e-05,-4.7761,0.19858
241,11.657,0,0.1,4.5441e-05,454.1,4.5405e-05,453.04,-1.4879e-05,0.090903,-1.5183e-05,-2.1954,0.16949
242,10.535,0,0.1,5.3419e-05,533.82,5.3559e-05,537.94,-1.7287e-05,5.6291,-1.7689e-05,2.6111,0.14152
243,9.4129,0,0.1,6.1145e-05,611.03,6.1163e-05,611.85,-1.911e-05,8.7119,-2.1171e-05,-6.7731,0.1149
244,8.2908,0,0.1,6.2872e-05,628.29,6.1862e-05,601.34,-1.8348e-05,-1.3334,-2.4793e-05,-49.762,0.089809
245,7.1688,0,0.1,4.795e-05,479.17,4.7986e-05,483.18,-1.2661e-05,27.499,-1.8509e-05,-16.442,0.066246
246,6.0467,0,0.1,3.2501e-05,324.78,3.3793e-05,388.71,-5.6944e-07,130.52,-1.4739e-05,24.058,0.043858
247,5.88,0,0.1,5.1021e-05,509.86,5.2229e-05,587.47,-1.4372e-06,184.24,-2.4047e-05,14.364,0.039798
248,4.704,-1.9411e-31,0.1,7.0598e-05,705.5,7.1043e-05,729.4,-1.5302e-05,80.638,-2.8917e-05,-21.658,0.026237
249,3.528,-1.4558e-31,0.1,0.00011303,1129.5,0.00011257,1117,-3.5144e-05,7.1363,-4.024e-05,-31.157,0.014632
250,2.352,-9.7055e-32,0.1,0.00013837,1382.7,0.00014031,1443.4,-3.79e-05,104.45,-4.9036e-05,20.78,0.0060721
251,1.176,-4.8527e-32,0.1,0.00014023,1401.4,0.0001366,1325.8,-3.1513e-05,62.627,-6.4032e-05,-181.71,0.001313
252,0,0,0.1,7.7275e-05,772.21,9.9056e-05,1415.1,5.7571e-08,671.31,-7.1198e-06,617.38,0
