Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
168	8.6577	2.4682	5.e-002	13.438
169	8.5233	1.2341	0.	-4.1841
170	8.5233	4.2341	0.	4.8644
171	6.9622	1.7341	0.	-19.989
172	7.8295	2.7577	0.1	606.17
173	10.118	2.7359	0.1	500.54
174	6.9622	1.7341	0.1	872.54
175	8.5233	4.2341	0.1	551.35
176	8.5233	1.2341	0.1	520.58
177	5.2436	3.1968	0.1	1974.9
178	5.5518	3.2334	0.1	1566.2
179	5.3282	3.3555	0.1	1833.6
180	5.0415	3.2026	0.1	2073.2
181	5.149	3.2802	0.1	2137.1
182	5.1342	2.8975	0.1	1990.5
183	4.8141	3.0717	0.1	1855.8
184	5.0347	3.6379	0.1	3158.6
185	6.8593	3.4868	0.1	653.93
186	6.134	2.2736	0.1	1133.5
187	6.134	2.5236	0.1	1926.3
188	3.763	4.4629	0.1	1183.6
189	1.213	3.4629	0.1	1426.3
190	2.488	1.9629	0.1	961.52
191	2.488	4.9629	0.1	962.65
192	6.2238	3.5645	0.1	976.37
193	5.992	4.4632	0.1	867.59
194	5.992	4.2132	0.1	1209.5
195	7.5531	4.9632	0.1	599.05
196	13.114	3.0018	0.1	358.44
197	11.545	4.5018	0.1	450.72
198	11.545	1.5018	0.1	451.82
199	16.203	3.0273	0.1	199.99
200	14.642	4.5001	0.1	272.78
201	14.642	1.5001	0.1	272.81
202	19.317	3.0273	0.1	86.842
203	17.756	4.5273	0.1	128.96
204	17.756	1.5273	0.1	127.55
205	20.878	4.5	0.1	44.357
206	22.439	3.	0.1	32.064
207	20.878	1.5	0.1	44.53
208	5.4424	2.9342	0.1	1582.2
209	5.4984	3.6014	0.1	2674.9
210	5.4984	2.6014	0.1	2224.2
211	5.2336	3.4389	0.1	1986.5
212	5.1421	3.7154	0.1	3218.5
213	4.2801	2.4354	0.1	1381.7
214	4.5007	3.5016	0.1	1142.8
215	4.5007	1.7516	0.1	1334.9
216	4.5007	1.5016	0.1	1020.5
217	3.2257	1.0016	0.1	989.45
218	4.9067	2.7667	0.1	1782.9
219	4.8794	3.4339	0.1	2963.1
220	4.8794	3.6839	0.1	1080.7
221	4.8794	2.4339	0.1	3279.8
222	5.2748	3.7234	0.1	2944.1
223	5.1273	2.3328	0.1	3356.1
224	5.2667	4.75	0.1	1506.5
225	5.2667	5.5	0.1	886.09
226	5.2667	5.	5.e-002	9.8243
227	5.2667	4.25	0.1	2879.3
228	5.2667	4.5	5.e-002	122.17
229	5.1833	4.	0.1	4097.9
230	5.2667	4.	5.e-002	115.77
231	5.1	4.25	0.1	2613.2
232	5.1	4.	5.e-002	255.04
233	5.1	4.75	0.1	1197.1
234	5.1	4.5	5.e-002	211.02
235	5.1	5.5	0.1	1338.2
236	5.1	5.	5.e-002	105.59
237	5.2667	1.25	0.1	1475.
238	5.2667	0.5	0.1	932.23
239	5.2667	1.	5.e-002	71.481
240	5.2667	1.75	0.1	2501.3
241	5.2667	1.5	5.e-002	47.778
242	5.1833	2.	0.1	3922.7
243	5.2667	2.	5.e-002	25.522
244	5.1	1.75	0.1	3185.8
245	5.1	2.	5.e-002	239.45
246	5.1	1.25	0.1	1352.3
247	5.1	1.5	5.e-002	123.37
248	5.1	0.5	0.1	1064.3
249	5.1	1.	5.e-002	22.288
250	6.8278	6.	0.1	575.85
251	5.2667	6.	5.e-002	63.154
252	9.95	6.	0.1	502.03
253	8.3889	6.	5.e-002	14.63
254	13.072	6.	0.1	365.49
255	11.511	6.	5.e-002	17.289
256	16.194	6.	0.1	202.33
257	14.633	6.	5.e-002	4.3354
258	19.317	6.	0.1	87.597
259	17.756	6.	5.e-002	2.0836
260	22.439	6.	0.1	33.815
261	20.878	6.	5.e-002	1.6164
262	24.	4.5	0.1	20.433
263	24.	6.	5.e-002	1.8003
264	24.	1.5	0.1	20.38
265	24.	3.	5.e-002	1.4383
266	1.3113e-014	1.5	0.1	1797.3
267	3.9339e-014	4.5	0.1	1736.3
268	2.6581e-014	3.	5.e-002	74.646
269	22.439	0.	0.1	35.776
270	24.	0.	5.e-002	2.7556
271	19.317	0.	0.1	87.459
272	20.878	0.	5.e-002	2.9783
273	16.194	0.	0.1	202.23
274	17.756	0.	5.e-002	2.6229
275	13.072	0.	0.1	367.29
276	14.633	0.	5.e-002	1.2928
277	9.95	0.	0.1	471.34
278	11.511	0.	5.e-002	2.6733
279	6.8278	0.	0.1	514.83
280	8.3889	0.	5.e-002	17.102
281	5.2667	0.	5.e-002	37.25
282	3.825	1.6378e-030	0.1	988.37
283	5.1	2.1837e-030	5.e-002	68.32
284	1.275	5.4593e-031	0.1	1339.1
285	2.55	0.	5.e-002	35.208
286	0.	0.	5.e-002	196.02
287	1.275	6.	0.1	1276.4
288	5.2451e-014	6.	5.e-002	126.1
289	3.825	6.	0.1	1046.6
290	2.55	6.	5.e-002	29.756
291	5.1	6.	5.e-002	59.586
292	3.825	6.	0.	-55.652
293	1.275	6.	0.	-232.56
294	5.1	5.5	0.	-150.36
295	3.9339e-014	4.5	0.	-828.69
296	3.825	1.6378e-030	0.	63.783
297	1.275	5.4593e-031	0.	-260.74
298	5.1	0.5	0.	-74.997
299	1.3113e-014	1.5	0.	-878.38
300	9.95	0.	0.	16.252
301	6.8278	0.	0.	3.3695
302	13.072	0.	0.	-0.22923
303	16.194	0.	0.	6.3978
304	19.317	0.	0.	11.955
305	22.439	0.	0.	6.0647
306	5.2667	0.5	0.	-12.24
307	24.	1.5	0.	-4.0897
308	24.	4.5	0.	-0.90977
309	22.439	6.	0.	7.898
310	19.317	6.	0.	8.2595
311	16.194	6.	0.	-4.1398
312	13.072	6.	0.	7.7147
313	9.95	6.	0.	18.235
314	6.8278	6.	0.	29.389
315	5.2667	5.5	0.	-71.2
316	5.1	1.25	0.	-166.88
317	5.1	1.75	0.	-315.29
318	5.1833	2.	0.	-454.63
319	5.2667	1.25	0.	-49.086
320	5.2667	1.75	0.	-300.72
321	5.1	4.75	0.	465.15
322	5.1	4.25	0.	408.12
323	5.1833	4.	0.	-183.44
324	5.2667	4.75	0.	-147.06
325	5.2667	4.25	0.	-190.68
