Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
45,5.1,1.5,0.1,0.00014738,1472.8,0.00015437,1692.9,-2.9206e-05,313.58,-5.2077e-05,141.74,0.030602
46,5.1,1,0.1,8.8711e-05,886.5,9.2131e-05,1020,-1.0322e-05,250.21,-3.6865e-05,50.77,0.029783
47,5.2667,6,0.1,7.5144e-05,750.92,7.002e-05,635.81,-1.4835e-05,-1.7598,-4.0143e-05,-191.91,0.027951
48,8.3889,6,0.1,5.1174e-05,511.39,5.1537e-05,547.87,-5.8511e-06,116.68,-2.3658e-05,-17.111,0.086633
49,11.511,6,0.1,4.4394e-05,443.63,4.4522e-05,456.27,-9.0351e-06,53.859,-1.8793e-05,-19.456,0.15552
50,14.633,6,0.1,2.6332e-05,263.14,2.6705e-05,274.82,-7.1888e-06,20.157,-9.3456e-06,3.9524,0.23305
51,17.756,6,0.1,1.3111e-05,131.02,1.3069e-05,130.33,-3.6793e-06,4.4913,-4.9836e-06,-5.3085,0.31575
52,20.878,6,0.1,5.0694e-06,50.659,4.7171e-06,45.52,-4.1666e-07,6.947,-2.9185e-06,-11.851,0.40093
53,24,6,0.1,2.4364e-06,24.347,2.2241e-06,23.155,1.7091e-07,7.7283,-1.5114e-06,-4.9118,0.48692
54,24,3,0.1,1.3465e-06,13.456,1.5409e-06,19.296,-1.3936e-07,6.6712,-3.4318e-07,5.1397,0.48904
55,2.6226e-14,3,0.1,9.4297e-05,942.32,0.00012512,1848.7,1.4157e-06,919.24,-1.9413e-06,894.02,0
56,24,0,0.1,2.4678e-06,24.661,2.4638e-06,25.925,-2.717e-07,5.3719,-1.1756e-06,-1.4194,0.49109
57,20.878,0,0.1,5.3029e-06,52.992,4.9484e-06,47.359,-5.4888e-07,6.0544,-3.0038e-06,-12.391,0.40511
58,17.756,0,0.1,1.3326e-05,133.17,1.3113e-05,128.68,-3.2946e-06,5.3952,-5.6845e-06,-12.562,0.31991
59,14.633,0,0.1,2.6841e-05,268.22,2.7081e-05,276.19,-7.345e-06,17.524,-9.7658e-06,-0.66409,0.23716
60,11.511,0,0.1,4.6172e-05,461.4,4.6035e-05,458.85,-1.324e-05,13.478,-1.7305e-05,-17.066,0.15961
61,8.3889,0,0.1,5.0529e-05,504.94,4.9799e-05,486.56,-1.4131e-05,6.2085,-2.0258e-05,-39.825,0.090994
62,5.2667,0,0.1,6.3814e-05,637.7,6.2805e-05,642.85,-8.1424e-06,109.78,-3.122e-05,-63.614,0.031902
63,5.1,0,0.1,0.00010779,1077.1,0.00010713,1110,-1.4283e-05,197.73,-5.102e-05,-78.298,0.028063
64,2.55,1.0919e-30,0.1,0.00010821,1081.3,9.5993e-05,920.46,8.952e-07,205.92,-6.9574e-05,-323.55,0.007736
65,0,0,0.1,9.495e-05,948.85,0.00012335,1785.3,2.321e-07,860.18,-5.8723e-06,814.31,0
66,3.937e-14,6,0.1,8.51e-05,850.41,0.00011187,1645,5.527e-06,845.98,-7.0894e-06,751.19,0
67,2.55,6,0.1,0.00011034,1102.6,9.9517e-05,921.59,-8.0062e-06,113.7,-6.767e-05,-334.59,0.0072647
68,5.1,6,0.1,0.00010382,1037.5,0.00010615,1228.4,3.8207e-06,459.53,-5.0899e-05,48.385,0.02709
69,2.55,6,0,0.00011034,1102.6,6.767e-05,334.59,8.0062e-06,-113.7,-9.9517e-05,-921.59,0.0072647
70,5.1,6,0,0.00010382,1037.5,5.0899e-05,-48.385,-3.8207e-06,-459.53,-0.00010615,-1228.4,0.02709
71,3.937e-14,6,0,8.51e-05,850.41,7.0894e-06,-751.19,-5.527e-06,-845.98,-0.00011187,-1645,0
