Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	5.1287	2.2892	0.	-2457.2
2	4.8073	1.9575	0.	-1545.5
3	3.2917	3.1164	0.	-1413.
4	5.9435	3.0149	0.	-1133.1
5	1.7427	3.0295	0.	-1233.7
6	4.621	1.1833	0.	-922.36
7	4.4777	2.0892	0.	-1209.3
8	4.0376	4.6183	0.	-940.49
9	8.4246	4.2505	0.	-586.35
10	6.7756	3.2729	0.	-705.17
11	5.1896	2.2863	0.	-3092.4
12	16.638	3.3337	0.	-174.73
13	5.0618	2.4674	0.	-2544.7
14	5.1426	2.9444	0.	-2210.6
15	5.4491	2.7558	0.	-1573.4
16	10.057	2.7209	0.	-294.01
17	4.8799	1.5352	0.	-780.55
18	5.2077	2.4902	0.	-2313.8
19	5.2077	2.4902	0.1	-453.17
20	4.8799	1.5352	0.1	-894.76
21	10.057	2.7209	0.1	0.2022
22	5.4491	2.7558	0.1	-403.41
23	5.1426	2.9444	0.1	-191.3
24	5.0618	2.4674	0.1	-156.3
25	16.638	3.3337	0.1	3.0199
26	5.1896	2.2863	0.1	-72.664
27	6.7756	3.2729	0.1	-158.32
28	8.4246	4.2505	0.1	-1.0359
29	4.0376	4.6183	0.1	-303.38
30	4.4777	2.0892	0.1	-95.815
31	4.621	1.1833	0.1	-489.89
32	1.7427	3.0295	0.1	-321.06
33	5.9435	3.0149	0.1	-338.23
34	3.2917	3.1164	0.1	91.475
35	4.8073	1.9575	0.1	-439.95
36	5.1287	2.2892	0.1	-453.88
37	5.2667	5.	0.1	-98.556
38	5.2667	4.5	0.1	2.2929
39	5.2667	4.	0.1	121.58
40	5.1	4.	0.1	230.68
41	5.1	4.5	0.1	-544.63
42	5.1	5.	0.1	251.32
43	5.2667	1.	0.1	60.107
44	5.2667	1.5	0.1	-253.67
45	5.2667	2.	0.1	246.21
46	5.1	2.	0.1	-495.62
47	5.1	1.5	0.1	-1171.3
48	5.1	1.	0.1	-209.1
49	5.2667	6.	0.1	-56.339
50	8.7792	6.	0.1	-77.008
51	12.292	6.	0.1	-38.727
52	16.975	6.	0.1	7.3408
53	24.	6.	0.1	-41.055
54	24.	3.	0.1	-34.242
55	2.6226e-014	3.	0.1	992.97
56	24.	0.	0.1	-35.139
57	14.633	0.	0.1	7.4838
58	9.95	0.	0.1	-81.727
59	5.2667	0.	0.1	-5.1394
60	5.1	0.	0.1	-745.05
61	3.4	1.4558e-030	0.1	-174.96
62	1.7	7.2791e-031	0.1	-237.88
63	0.	0.	0.1	706.86
64	3.937e-014	6.	0.1	857.25
65	2.55	6.	0.1	-295.34
66	5.1	6.	0.1	-700.97
67	2.55	6.	0.	-1002.7
68	5.1	6.	0.	-971.28
69	3.937e-014	6.	0.	-1751.3
70	1.7	7.2791e-031	0.	-1230.2
71	3.4	1.4558e-030	0.	-816.78
72	5.1	0.	0.	-866.85
73	0.	0.	0.	-1605.1
74	9.95	0.	0.	-269.86
75	14.633	0.	0.	-210.04
