Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	5.7818	2.732	0.	1.1279e-004
2	6.3161	3.3963	0.	7.4339e-005
3	6.8448	1.4869	0.	3.9901e-005
4	6.3588	3.0194	0.	5.6574e-005
5	4.0683	3.4551	0.	5.0464e-005
6	7.4222	4.1202	0.	3.1158e-005
7	4.598	0.57672	0.	3.3069e-005
8	6.911	0.57849	0.	2.878e-005
9	4.8435	4.7242	0.	5.992e-005
10	6.7481	5.4747	0.	2.496e-005
11	4.8909	5.3986	0.	4.255e-005
12	7.5463	3.266	0.	3.5355e-005
13	3.977	1.3937	0.	4.866e-005
14	3.4666	0.8177	0.	3.9046e-005
15	3.9672	5.2152	0.	3.3792e-005
16	1.3865	4.7331	0.	7.6923e-005
17	1.2373	1.1876	0.	7.8184e-005
18	2.4185	1.0605	0.	4.1733e-005
19	7.8907	1.0587	0.	2.4684e-005
20	9.14	1.1416	0.	2.2465e-005
21	10.296	1.1886	0.	1.8689e-005
22	11.444	1.2021	0.	1.5512e-005
23	12.611	1.1992	0.	1.2636e-005
24	13.765	1.19	0.	1.0572e-005
25	14.919	1.1771	0.	8.6462e-006
26	16.056	1.1757	0.	6.9205e-006
27	17.185	1.1773	0.	5.3949e-006
28	18.318	1.1808	0.	4.0734e-006
29	19.448	1.1864	0.	2.9789e-006
30	20.583	1.1899	0.	2.1022e-006
31	21.718	1.19	0.	1.4424e-006
32	22.862	1.1955	0.	9.9432e-007
33	1.4073	3.5389	0.	8.571e-005
34	1.3586	2.3538	0.	8.4034e-005
35	22.853	2.3939	0.	1.3352e-006
36	22.854	3.6009	0.	1.337e-006
37	22.856	4.8086	0.	9.9298e-007
38	21.718	4.7939	0.	1.4471e-006
39	20.578	4.793	0.	2.0995e-006
40	19.443	4.7508	0.	2.985e-006
41	18.31	4.7154	0.	4.0823e-006
42	17.18	4.6967	0.	5.3948e-006
43	16.051	4.6891	0.	6.9197e-006
44	14.916	4.7263	0.	8.6228e-006
45	13.758	4.7618	0.	1.0533e-005
46	12.588	4.7716	0.	1.2687e-005
47	11.401	4.7819	0.	1.5517e-005
48	10.153	4.7623	0.	2.0417e-005
49	8.7562	4.7086	0.	2.3777e-005
50	7.757	5.2471	0.	2.4313e-005
51	8.9018	3.4656	0.	2.4574e-005
52	2.6866	3.4657	0.	4.5611e-005
53	2.8307	2.1798	0.	4.579e-005
54	9.027	2.3019	0.	2.452e-005
55	10.204	2.3743	0.	1.887e-005
56	11.385	2.3998	0.	1.5889e-005
57	12.561	2.3807	0.	1.2739e-005
58	13.742	2.3668	0.	1.0468e-005
59	14.903	2.353	0.	8.6889e-006
60	16.054	2.359	0.	7.0195e-006
61	17.184	2.362	0.	5.5502e-006
62	18.317	2.3672	0.	4.2649e-006
63	19.448	2.3731	0.	3.1919e-006
