Deformation1 (in),Deformation2 (in),Deformation3 (in),Deformation4 (in),Deformation5 (in),Deformation6 (in),Deformation7 (in),CutLocation
0.135837298777093,0.262868109687379,0.434193482026945,0.614154883897572,1.07700200002485,1.31812835922363,1.86822502379246,0
0.214274632161117,0.378648688527018,0.588658545242824,0.805387854963962,1.34065661933704,1.61629794998085,2.24289559385939,0.1
0.225784793242149,0.39413660776312,0.609096946846175,0.827968746654174,1.37573607774974,1.65650132216164,2.29151448340404,0.2
0.232046425990744,0.405731247426171,0.624210374750706,0.850732187229342,1.40444833435862,1.68841879816208,2.33376037754905,0.3
0.240649891514576,0.416547908003135,0.64141148865119,0.868068671401211,1.43232675246162,1.72075923981039,2.37286422303471,0.4
0.244431838912738,0.425263681793101,0.650379951963282,0.884855858729164,1.45320407187228,1.74266118197685,2.40382045575824,0.5
0.249020115094556,0.431474320664591,0.663070426975276,0.895388319867546,1.46992211793991,1.76581819975604,2.43032478221872,0.6
0.251005276403403,0.436615999987326,0.666468653196102,0.906263695160629,1.48470470183414,1.77825252907266,2.44990239982128,0.7
0.252071535792595,0.437933497117373,0.6733190093034,0.9109177077753,1.49342390868434,1.79259918190097,2.46547494195287,0.8
0.253799334870902,0.441634630648026,0.675078365032634,0.912317362789507,1.50074763171893,1.7997974178409,2.47438160947218,0.9
0.251573845041223,0.44007479885461,0.677638830350143,0.917534941896788,1.50463699389096,1.80397515011965,2.48321768963132,1
0.252286642299043,0.441252610556789,0.676940658125986,0.915653558280545,1.50695653855631,1.80774503935785,2.48565565887339,1.1
0.247617466266291,0.438516734973374,0.676636997803986,0.918183090802444,1.50733639573047,1.808,2.48892362764398,1.2
0.247543590149322,0.43769,0.675413530855176,0.914804100582493,1.50735304611953,1.80894685791967,2.4884895244537,1.3
0.243143628483189,0.434609295899803,0.671474861349314,0.914959413157566,1.50457753805068,1.80593122732667,2.4868999241167,1.4
0.24224997424945,0.431778935722838,0.670732998269985,0.910146813953233,1.50244021371605,1.80389536342735,2.48385145416708,1.5
0.237874045298161,0.429168960025645,0.665854668297007,0.909291293500253,1.49861581810137,1.79777590861939,2.48019876027046,1.6
0.235529732579195,0.425336243382372,0.664547679990892,0.903716336616774,1.49313135876756,1.79615020383915,2.47555457003452,1.7
0.232120221641956,0.42275686509515,0.657806821571482,0.902295385626682,1.4907428355158,1.78890497774952,2.47077454644843,1.8
0.229249238368583,0.41858924460335,0.657417836543486,0.89614154909182,1.48444020461448,1.7866380678372,2.46529118762429,1.9
0.225848681030112,0.416293311101084,0.650240909333955,0.892585919426881,1.48181840493296,1.77903041572242,2.45991219258388,2
0.221967622095022,0.410491067998596,0.648158143065329,0.887964570845409,1.47512176412633,1.77528654310135,2.45388562121349,2.1
0.220588251433572,0.409075793826987,0.643346500640428,0.881226657638111,1.47097461786437,1.77073141078155,2.44670645868132,2.2
0.215474149282395,0.403709311950272,0.640143172156589,0.879779408885693,1.46536380778116,1.76441307078226,2.44190071503442,2.3
0.214278034172864,0.400997882977975,0.635862184327467,0.872985654130625,1.46081237806928,1.76000200961674,2.43455930721845,2.4
0.206786241893307,0.394094594420679,0.628682488001777,0.865105206734044,1.45101811021594,1.74969272976191,2.42294703752248,2.5
0.206786241893307,0.394094594420679,0.628682488001777,0.865105206734044,1.45101811021594,1.74969272976191,2.42294703752248,2.6
0.202085338910777,0.390273058602102,0.623347018788272,0.863475246140288,1.44580552911622,1.74182322298442,2.41715596426858,2.7
0.200148473164222,0.386108262910826,0.621218755800438,0.85691588602098,1.44091529880936,1.73867358459379,2.41051172782628,2.8
0.196109334039981,0.38335388426449,0.614477527149518,0.855258416159126,1.43600722423318,1.73072707375796,2.40472404081155,2.9
0.193371118183785,0.379076246063095,0.613689587738357,0.848751532851857,1.4290142521868,1.7276851425574,2.39812742142117,3
0.189929600788001,0.37689175332167,0.606676186351351,0.845170711456506,1.42620571358813,1.7198200263658,2.39237931740129,3.1
0.186174875170065,0.371135163801814,0.604526958144043,0.840371334876831,1.4192123407188,1.71644292852906,2.38584926595705,3.2
0.184616694919714,0.370019718230677,0.599781083330688,0.83370953114871,1.41534436497008,1.71103527650331,2.37858801717331,3.3
0.179873268353686,0.36471728903922,0.596927327736357,0.832432542004748,1.40959968543487,1.70452818411395,2.37365432556369,3.4
0.178752843643814,0.363176429620884,0.592591675522123,0.825795511712825,1.40530235580893,1.70055878498067,2.36659143385654,3.5
0.172862729263304,0.358573844002873,0.588463287432212,0.824795149156735,1.40022147515171,1.69478919659833,2.36169736580841,3.6
0.171541202621595,0.355772569392246,0.585747858872586,0.818163385462869,1.39567828884572,1.69024112170517,2.35471873441388,3.7
0.167068872394007,0.352523280075744,0.581703249729976,0.81723502010046,1.39105775215721,1.68419434853342,2.34990385994587,3.8
0.165423700148935,0.348837232010799,0.579195642764359,0.81091520040504,1.3864823079323,1.68025812472901,2.34351611253314,3.9
0.161372482269977,0.346298973194674,0.573155557183503,0.809821340254502,1.38207385506672,1.67293303270727,2.338249580501,4
0.158281050646385,0.342350347677602,0.572515459137045,0.803592822775594,1.37535685058749,1.67011647614897,2.33199474090341,4.1
0.155393952770003,0.340545824987418,0.566114152979063,0.800594666694582,1.37309677799269,1.66281217399376,2.3268464422187,4.2
0.151726193111474,0.335091268570951,0.564223829216407,0.796051600315028,1.36641589816019,1.65993881802315,2.32064924992767,4.3
0.149554641641967,0.334993526136133,0.558050400442874,0.793140787112388,1.3642,1.65297985929723,2.31559513552928,4.4
