Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	5.4149	2.9553	0.	9.7955e-005
2	4.8865	3.33	0.	8.1472e-005
3	4.6839	2.5845	0.	5.2526e-005
4	6.4435	4.423	0.	3.5092e-005
5	4.2419	0.48936	0.	3.4984e-005
6	6.2325	0.5961	0.	2.4848e-005
7	4.3587	4.2521	0.	6.2746e-005
8	6.1186	5.4733	0.	2.5572e-005
9	6.4727	3.507	0.	4.307e-005
10	4.0979	1.2082	0.	5.2351e-005
11	4.0851	5.3649	0.	3.4286e-005
12	3.7077	2.995	0.	5.7532e-005
13	3.3752	0.63661	0.	4.0192e-005
14	3.0657	5.1539	0.	4.1333e-005
15	2.4654	2.5917	0.	5.1667e-005
16	2.0814	4.9103	0.	4.5428e-005
17	1.0776	4.8085	0.	7.9436e-005
18	1.4507	1.3205	0.	7.3394e-005
19	2.5185	0.88691	0.	4.3164e-005
20	7.2167	1.0245	0.	3.1471e-005
21	8.1013	2.0229	0.	2.5908e-005
22	9.4432	2.0269	0.	2.2547e-005
23	10.657	1.9913	0.	1.8053e-005
24	11.815	1.968	0.	1.4648e-005
25	12.922	1.9458	0.	1.1961e-005
26	13.992	1.9029	0.	9.9298e-006
27	15.1	1.8573	0.	8.1548e-006
28	16.234	1.9526	0.	6.5997e-006
29	17.331	1.9124	0.	5.1645e-006
30	18.457	1.974	0.	3.9151e-006
31	19.56	1.9818	0.	2.8756e-006
32	20.676	2.008	0.	2.0329e-006
33	21.731	1.8889	0.	1.4965e-006
34	22.791	1.5193	0.	1.0325e-006
35	1.1779	3.6357	0.	8.6654e-005
36	1.1727	2.4648	0.	8.5859e-005
37	22.923	2.8906	0.	1.6075e-006
38	23.366	3.6179	0.	1.0509e-006
39	22.957	4.7016	0.	1.0167e-006
40	21.89	3.9126	0.	1.3861e-006
41	20.699	3.9875	0.	2.0266e-006
42	19.543	3.9629	0.	2.8419e-006
43	18.432	3.9455	0.	3.8884e-006
44	17.314	3.9124	0.	5.1498e-006
45	16.223	3.8992	0.	6.5986e-006
46	15.132	3.9243	0.	8.1917e-006
47	14.027	3.9218	0.	9.9168e-006
48	12.91	3.8653	0.	1.1946e-005
49	11.82	3.9355	0.	1.4689e-005
50	10.67	3.9629	0.	1.7994e-005
51	9.4526	3.9743	0.	2.2973e-005
52	8.1081	3.9876	0.	2.4295e-005
53	7.2102	4.9785	0.	3.1326e-005
