Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Elastic Strain (m/m)
1	0.11155	8.2623e-002	0.	5.3074e-005
2	9.4635e-002	6.7658e-002	0.	4.959e-005
3	7.4707e-002	9.842e-002	0.	3.39e-005
4	0.1442	5.2257e-002	0.	2.2644e-005
5	0.1309	3.3828e-002	0.	2.866e-005
6	6.3158e-002	7.0572e-002	0.	1.806e-005
7	8.8263e-002	0.13625	0.	2.506e-005
8	9.4788e-002	0.11391	0.	3.462e-005
9	0.13603	0.11748	0.	2.5002e-005
10	0.12565	0.12782	0.	1.574e-005
11	8.1225e-002	1.3432e-002	0.	2.6406e-005
12	7.6105e-002	3.2847e-002	0.	2.9964e-005
13	0.12696	1.5282e-002	0.	2.1533e-005
14	0.13091	0.13881	0.	1.7926e-005
15	5.7224e-002	1.9418e-002	0.	3.6732e-005
16	5.2128e-002	9.6383e-002	0.	1.5846e-005
17	2.9935e-002	6.418e-002	0.	3.0271e-006
18	2.6907e-002	9.2875e-002	0.	4.0528e-006
19	0.15244	2.2893e-002	0.	2.2189e-005
20	0.17606	3.8821e-002	0.	2.3081e-005
21	0.21325	3.885e-002	0.	2.0063e-005
22	0.24543	3.865e-002	0.	1.8558e-005
23	0.2758	3.8629e-002	0.	1.6361e-005
24	0.30549	3.9163e-002	0.	1.3765e-005
25	0.33465	4.1173e-002	0.	1.1456e-005
26	0.35999	3.689e-002	0.	9.378e-006
27	0.3854	3.044e-002	0.	6.9949e-006
28	0.41339	2.8513e-002	0.	5.6152e-006
29	0.44007	2.8861e-002	0.	4.1082e-006
30	0.46804	2.9836e-002	0.	2.8364e-006
31	0.49633	2.9953e-002	0.	1.7045e-006
32	0.52461	3.008e-002	0.	8.5426e-007
33	0.55292	3.0227e-002	0.	2.5446e-007
34	0.58128	3.0399e-002	0.	-1.0644e-007
35	2.4972e-002	0.12275	0.	1.2001e-005
36	0.58079	6.096e-002	0.	-2.479e-007
37	0.5802	9.1307e-002	0.	-2.4349e-007
38	0.57991	0.12185	0.	-9.0868e-008
39	0.55031	0.12174	0.	2.9894e-007
40	0.52112	0.12166	0.	9.4961e-007
41	0.49181	0.12154	0.	1.8702e-006
42	0.4624	0.12144	0.	3.083e-006
43	0.4327	0.12114	0.	4.8469e-006
44	0.40175	0.11906	0.	6.0956e-006
45	0.37122	0.11588	0.	7.9845e-006
46	0.34107	0.11521	0.	1.0708e-005
47	0.31073	0.11468	0.	1.3402e-005
48	0.28033	0.11426	0.	1.574e-005
49	0.24921	0.11415	0.	1.7713e-005
50	0.2173	0.11405	0.	1.9492e-005
51	0.18168	0.1138	0.	2.0498e-005
52	0.15802	0.13138	0.	2.6397e-005
53	0.18075	7.6608e-002	0.	1.9392e-005
54	0.38916	5.5415e-002	0.	6.6888e-006
55	0.41083	5.8754e-002	0.	5.8651e-006
56	0.43782	5.9802e-002	0.	3.6611e-006
57	0.46596	6.0154e-002	0.	2.7005e-006
58	0.49456	6.037e-002	0.	1.6221e-006
59	0.52329	6.0547e-002	0.	7.6704e-007
60	0.55199	6.0534e-002	0.	1.4347e-007
61	0.55102	9.1111e-002	0.	1.5849e-007
62	0.52204	9.1146e-002	0.	7.9684e-007
63	0.493	9.1044e-002	0.	1.6745e-006
64	0.46392	9.0908e-002	0.	2.8057e-006
65	0.43473	9.0508e-002	0.	4.1851e-006
66	0.40457	8.8948e-002	0.	5.9926e-006
67	0.37106	7.736e-002	0.	8.1731e-006
68	0.33843	7.7823e-002	0.	1.099e-005
69	0.30785	7.7409e-002	0.	1.3466e-005
70	0.27737	7.6329e-002	0.	1.5628e-005
71	0.24605	7.6458e-002	0.	1.753e-005
72	0.21339	7.6273e-002	0.	1.9085e-005
73	0.14387	0.10084	0.	2.3928e-005
74	8.5699e-002	2.387e-002	0.	2.13e-005
75	6.5628e-002	4.8516e-002	0.	2.3279e-005
76	3.3412e-002	3.3722e-002	0.	1.4898e-005
77	7.0293e-002	0.12551	0.	3.5289e-005
78	4.9275e-002	0.1244	0.	2.8092e-005
79	9.119e-002	0.12268	0.	2.5631e-005
80	8.7033e-002	0.10549	0.	3.8194e-005
81	0.12263	2.4795e-002	0.	1.2127e-005
82	0.10824	6.1782e-002	0.	6.5525e-005
83	9.1163e-002	8.7056e-002	0.	5.7395e-005
84	0.14302	7.637e-002	0.	9.3946e-006
85	8.472e-002	0.11667	0.	3.2177e-005
86	8.472e-002	0.11667	2.54e-003	-3.2177e-005
87	0.14302	7.637e-002	2.54e-003	-9.3946e-006
88	9.1163e-002	8.7056e-002	2.54e-003	-5.7395e-005
89	0.10824	6.1782e-002	2.54e-003	-6.5525e-005
90	0.12263	2.4795e-002	2.54e-003	-1.2127e-005
91	8.7033e-002	0.10549	2.54e-003	-3.8194e-005
92	9.119e-002	0.12268	2.54e-003	-2.5631e-005
93	4.9275e-002	0.1244	2.54e-003	-2.8092e-005
94	7.0293e-002	0.12551	2.54e-003	-3.5289e-005
95	3.3412e-002	3.3722e-002	2.54e-003	-1.4898e-005
96	6.5628e-002	4.8516e-002	2.54e-003	-2.3279e-005
97	8.5699e-002	2.387e-002	2.54e-003	-2.13e-005
98	0.14387	0.10084	2.54e-003	-2.3928e-005
99	0.21339	7.6273e-002	2.54e-003	-1.9085e-005
100	0.24605	7.6458e-002	2.54e-003	-1.753e-005
101	0.27737	7.6329e-002	2.54e-003	-1.5628e-005
102	0.30785	7.7409e-002	2.54e-003	-1.3466e-005
103	0.33843	7.7823e-002	2.54e-003	-1.099e-005
104	0.37106	7.736e-002	2.54e-003	-8.1731e-006
105	0.40457	8.8948e-002	2.54e-003	-5.9926e-006
106	0.43473	9.0508e-002	2.54e-003	-4.1851e-006
107	0.46392	9.0908e-002	2.54e-003	-2.8057e-006
108	0.493	9.1044e-002	2.54e-003	-1.6745e-006
109	0.52204	9.1146e-002	2.54e-003	-7.9684e-007
110	0.55102	9.1111e-002	2.54e-003	-1.5849e-007
111	0.55199	6.0534e-002	2.54e-003	-1.4347e-007
112	0.52329	6.0547e-002	2.54e-003	-7.6704e-007
113	0.49456	6.037e-002	2.54e-003	-1.6221e-006
114	0.46596	6.0154e-002	2.54e-003	-2.7005e-006
115	0.43782	5.9802e-002	2.54e-003	-3.6611e-006
116	0.41083	5.8754e-002	2.54e-003	-5.8651e-006
117	0.38916	5.5415e-002	2.54e-003	-6.6888e-006
118	0.18075	7.6608e-002	2.54e-003	-1.9392e-005
119	0.15802	0.13138	2.54e-003	-2.6397e-005
120	0.18168	0.1138	2.54e-003	-2.0498e-005
121	0.2173	0.11405	2.54e-003	-1.9492e-005
122	0.24921	0.11415	2.54e-003	-1.7713e-005
123	0.28033	0.11426	2.54e-003	-1.574e-005
124	0.31073	0.11468	2.54e-003	-1.3402e-005
125	0.34107	0.11521	2.54e-003	-1.0708e-005
126	0.37122	0.11588	2.54e-003	-7.9845e-006
127	0.40175	0.11906	2.54e-003	-6.0956e-006
128	0.4327	0.12114	2.54e-003	-4.8469e-006
129	0.4624	0.12144	2.54e-003	-3.083e-006
130	0.49181	0.12154	2.54e-003	-1.8702e-006
131	0.52112	0.12166	2.54e-003	-9.4961e-007
132	0.55031	0.12174	2.54e-003	-2.9894e-007
133	0.57991	0.12185	2.54e-003	9.0868e-008
