Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
1	0.11155	8.2623e-002	0.	3.7427e+006
2	9.4635e-002	6.7658e-002	0.	3.4531e+006
3	7.4707e-002	9.842e-002	0.	-60945
4	0.1442	5.2257e-002	0.	-2.8687e+005
5	0.1309	3.3828e-002	0.	1.3389e+006
6	6.3158e-002	7.0572e-002	0.	-6.2396e+005
7	8.8263e-002	0.13625	0.	7.2762e+005
8	9.4788e-002	0.11391	0.	4.1144e+006
9	0.13603	0.11748	0.	9.3252e+005
10	0.12565	0.12782	0.	6.9749e+005
11	8.1225e-002	1.3432e-002	0.	9.9779e+005
12	7.6105e-002	3.2847e-002	0.	1.114e+006
13	0.12696	1.5282e-002	0.	9.8321e+005
14	0.13091	0.13881	0.	7.828e+005
15	5.7224e-002	1.9418e-002	0.	-2.7913e+005
16	5.2128e-002	9.6383e-002	0.	-5.0779e+005
17	2.9935e-002	6.418e-002	0.	1.9686e+006
18	2.6907e-002	9.2875e-002	0.	2.0875e+006
19	0.15244	2.2893e-002	0.	-24924
20	0.17606	3.8821e-002	0.	-68372
21	0.21325	3.885e-002	0.	38869
22	0.24543	3.865e-002	0.	-37557
23	0.2758	3.8629e-002	0.	-988.94
24	0.30549	3.9163e-002	0.	3520.1
25	0.33465	4.1173e-002	0.	3133.1
26	0.35999	3.689e-002	0.	30409
27	0.3854	3.044e-002	0.	43497
28	0.41339	2.8513e-002	0.	57059
29	0.44007	2.8861e-002	0.	61799
30	0.46804	2.9836e-002	0.	63817
31	0.49633	2.9953e-002	0.	62622
32	0.52461	3.008e-002	0.	61012
33	0.55292	3.0227e-002	0.	58220
34	0.58128	3.0399e-002	0.	53700
35	2.4972e-002	0.12275	0.	1.8726e+006
36	0.58079	6.096e-002	0.	74765
37	0.5802	9.1307e-002	0.	74256
38	0.57991	0.12185	0.	53024
39	0.55031	0.12174	0.	57368
40	0.52112	0.12166	0.	59129
41	0.49181	0.12154	0.	58511
42	0.4624	0.12144	0.	49430
43	0.4327	0.12114	0.	42533
44	0.40175	0.11906	0.	49745
45	0.37122	0.11588	0.	52451
46	0.34107	0.11521	0.	34878
47	0.31073	0.11468	0.	6732.7
48	0.28033	0.11426	0.	-4559.3
49	0.24921	0.11415	0.	-11326
