Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
118	0.18075	7.6608e-002	2.54e-003	8.0806e-005
119	0.15802	0.13138	2.54e-003	8.5641e-005
120	0.18168	0.1138	2.54e-003	7.9123e-005
121	0.2173	0.11405	2.54e-003	6.8978e-005
122	0.24921	0.11415	2.54e-003	5.8357e-005
123	0.28033	0.11426	2.54e-003	4.9144e-005
124	0.31073	0.11468	2.54e-003	4.0902e-005
125	0.34107	0.11521	2.54e-003	3.3201e-005
126	0.37122	0.11588	2.54e-003	2.6237e-005
127	0.40175	0.11906	2.54e-003	2.0261e-005
128	0.4327	0.12114	2.54e-003	1.5256e-005
129	0.4624	0.12144	2.54e-003	1.0648e-005
130	0.49181	0.12154	2.54e-003	7.1261e-006
131	0.52112	0.12166	2.54e-003	4.407e-006
132	0.55031	0.12174	2.54e-003	2.4521e-006
133	0.57991	0.12185	2.54e-003	1.2721e-006
134	0.5802	9.1307e-002	2.54e-003	1.5952e-006
135	0.58079	6.096e-002	2.54e-003	1.5827e-006
136	2.4972e-002	0.12275	2.54e-003	1.4199e-004
137	0.58128	3.0399e-002	2.54e-003	1.2322e-006
138	0.55292	3.0227e-002	2.54e-003	2.3196e-006
139	0.52461	3.008e-002	2.54e-003	4.1373e-006
140	0.49633	2.9953e-002	2.54e-003	6.6842e-006
141	0.46804	2.9836e-002	2.54e-003	9.9522e-006
142	0.44007	2.8861e-002	2.54e-003	1.3871e-005
143	0.41339	2.8513e-002	2.54e-003	1.8312e-005
144	0.3854	3.044e-002	2.54e-003	2.2911e-005
145	0.35999	3.689e-002	2.54e-003	2.9483e-005
146	0.33465	4.1173e-002	2.54e-003	3.4922e-005
147	0.30549	3.9163e-002	2.54e-003	4.2221e-005
148	0.2758	3.8629e-002	2.54e-003	5.0545e-005
149	0.24543	3.865e-002	2.54e-003	5.9416e-005
150	0.21325	3.885e-002	2.54e-003	7.0959e-005
151	0.17606	3.8821e-002	2.54e-003	8.2372e-005
152	0.15244	2.2893e-002	2.54e-003	8.0601e-005
153	2.6907e-002	9.2875e-002	2.54e-003	1.5361e-004
154	2.9935e-002	6.418e-002	2.54e-003	1.5189e-004
155	5.2128e-002	9.6383e-002	2.54e-003	1.3199e-004
156	5.7224e-002	1.9418e-002	2.54e-003	1.2369e-004
157	0.13091	0.13881	2.54e-003	7.1333e-005
158	0.12696	1.5282e-002	2.54e-003	7.8424e-005
159	7.6105e-002	3.2847e-002	2.54e-003	1.3551e-004
160	8.1225e-002	1.3432e-002	2.54e-003	9.817e-005
161	0.12565	0.12782	2.54e-003	6.8643e-005
162	0.13603	0.11748	2.54e-003	1.0067e-004
163	9.4788e-002	0.11391	2.54e-003	2.0073e-004
164	8.8263e-002	0.13625	2.54e-003	8.9937e-005
165	6.3158e-002	7.0572e-002	2.54e-003	1.501e-004
166	0.1309	3.3828e-002	2.54e-003	1.1217e-004
167	0.1442	5.2257e-002	2.54e-003	1.0311e-004
168	7.4707e-002	9.842e-002	2.54e-003	1.5324e-004
169	9.4635e-002	6.7658e-002	2.54e-003	2.0511e-004
170	0.11155	8.2623e-002	2.54e-003	2.1187e-004
171	0.10634	1.27e-002	2.54e-003	2.5893e-005
172	0.10634	2.54e-002	2.54e-003	1.1131e-004
173	0.10634	3.81e-002	2.54e-003	1.7271e-004
174	0.10634	5.08e-002	2.54e-003	3.6564e-004
175	0.10211	5.08e-002	2.54e-003	3.3614e-004
176	0.10211	3.81e-002	2.54e-003	1.8703e-004
177	0.10211	2.54e-002	2.54e-003	1.5763e-004
178	0.10211	1.27e-002	2.54e-003	4.4872e-005
179	0.10634	0.1397	2.54e-003	3.8773e-005
180	0.10634	0.127	2.54e-003	1.2939e-004
181	0.10634	0.1143	2.54e-003	1.4841e-004
182	0.10634	0.1016	2.54e-003	3.0376e-004
183	0.10211	0.1016	2.54e-003	3.8987e-004
184	0.10211	0.1143	2.54e-003	2.6624e-004
185	0.10211	0.127	2.54e-003	7.9109e-005
186	0.10211	0.1397	2.54e-003	5.0628e-005
187	0.10634	0.1524	2.54e-003	3.8447e-005
188	0.13594	0.1524	2.54e-003	6.1404e-005
189	0.16555	0.1524	2.54e-003	7.9312e-005
190	0.19515	0.1524	2.54e-003	7.7304e-005
191	0.22476	0.1524	2.54e-003	6.6967e-005
192	0.25436	0.1524	2.54e-003	5.7962e-005
193	0.28396	0.1524	2.54e-003	4.9019e-005
194	0.31357	0.1524	2.54e-003	4.0712e-005
195	0.34317	0.1524	2.54e-003	3.2812e-005
196	0.37277	0.1524	2.54e-003	2.6077e-005
197	0.40238	0.1524	2.54e-003	2.0768e-005
198	0.43198	0.1524	2.54e-003	1.5198e-005
199	0.46158	0.1524	2.54e-003	1.0773e-005
200	0.49119	0.1524	2.54e-003	7.2114e-006
201	0.52079	0.1524	2.54e-003	4.4092e-006
202	0.55039	0.1524	2.54e-003	2.3644e-006
203	0.58	0.1524	2.54e-003	1.0703e-006
204	0.6096	0.1524	2.54e-003	4.6758e-007
205	0.6096	0.12192	2.54e-003	8.3928e-007
206	0.6096	9.144e-002	2.54e-003	1.251e-006
207	0.6096	6.096e-002	2.54e-003	1.2536e-006
208	0.6096	3.048e-002	2.54e-003	8.3991e-007
