Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
185	0.10211	0.127	2.54e-003	5.4506e+006
186	0.10211	0.1397	2.54e-003	3.4883e+006
187	0.10634	0.1524	2.54e-003	2.649e+006
188	0.13594	0.1524	2.54e-003	4.2308e+006
189	0.16555	0.1524	2.54e-003	5.4646e+006
190	0.19515	0.1524	2.54e-003	5.3263e+006
191	0.22476	0.1524	2.54e-003	4.614e+006
192	0.25436	0.1524	2.54e-003	3.9936e+006
193	0.28396	0.1524	2.54e-003	3.3774e+006
194	0.31357	0.1524	2.54e-003	2.805e+006
195	0.34317	0.1524	2.54e-003	2.2608e+006
196	0.37277	0.1524	2.54e-003	1.7967e+006
197	0.40238	0.1524	2.54e-003	1.4309e+006
198	0.43198	0.1524	2.54e-003	1.0472e+006
199	0.46158	0.1524	2.54e-003	7.4223e+005
200	0.49119	0.1524	2.54e-003	4.9687e+005
201	0.52079	0.1524	2.54e-003	3.038e+005
202	0.55039	0.1524	2.54e-003	1.6291e+005
203	0.58	0.1524	2.54e-003	73744
204	0.6096	0.1524	2.54e-003	32217
205	0.6096	0.12192	2.54e-003	57826
206	0.6096	9.144e-002	2.54e-003	86192
207	0.6096	6.096e-002	2.54e-003	86376
208	0.6096	3.048e-002	2.54e-003	57870
209	2.6645e-016	3.048e-002	2.54e-003	7.0238e+006
210	5.3291e-016	6.096e-002	2.54e-003	7.3305e+006
211	7.9936e-016	9.144e-002	2.54e-003	7.1915e+006
212	1.0658e-015	0.12192	2.54e-003	6.8166e+006
213	1.e-015	0.1524	2.54e-003	5.1008e+006
214	2.5527e-002	0.1524	2.54e-003	9.5133e+006
215	5.1054e-002	0.1524	2.54e-003	8.7809e+006
216	7.6581e-002	0.1524	2.54e-003	6.8721e+006
217	8.9345e-002	0.1524	2.54e-003	3.6852e+006
218	0.10211	0.1524	2.54e-003	1.6917e+006
219	0.6096	0.	2.54e-003	32050
220	0.58164	0.	2.54e-003	69537
221	0.55368	0.	2.54e-003	1.506e+005
222	0.52572	0.	2.54e-003	2.7774e+005
223	0.49776	0.	2.54e-003	4.5047e+005
224	0.46981	0.	2.54e-003	6.6757e+005
225	0.44185	0.	2.54e-003	9.4608e+005
226	0.41389	0.	2.54e-003	1.2437e+006
227	0.38593	0.	2.54e-003	1.6621e+006
228	0.35797	0.	2.54e-003	2.0319e+006
229	0.33001	0.	2.54e-003	2.4717e+006
230	0.30205	0.	2.54e-003	2.9993e+006
231	0.27409	0.	2.54e-003	3.5726e+006
232	0.24614	0.	2.54e-003	4.2074e+006
233	0.21818	0.	2.54e-003	4.7305e+006
234	0.19022	0.	2.54e-003	5.5161e+006
235	0.16226	0.	2.54e-003	5.4486e+006
236	0.1343	0.	2.54e-003	4.1803e+006
237	0.10634	0.	2.54e-003	2.811e+006
238	0.10211	0.	2.54e-003	3.2981e+006
239	7.6581e-002	3.9289e-032	2.54e-003	5.9431e+006
240	5.1054e-002	2.6193e-032	2.54e-003	9.1541e+006
241	2.5527e-002	1.3096e-032	2.54e-003	9.9276e+006
242	0.	0.	2.54e-003	4.9883e+006
243	2.5527e-002	1.3096e-032	0.	9.9276e+006
244	5.1054e-002	2.6193e-032	0.	9.1541e+006
245	7.6581e-002	3.9289e-032	0.	5.9431e+006
246	0.10211	0.	0.	3.2981e+006
247	0.	0.	0.	4.9883e+006
248	0.1343	0.	0.	4.1803e+006
249	0.16226	0.	0.	5.4486e+006
250	0.19022	0.	0.	5.5161e+006
251	0.21818	0.	0.	4.7305e+006
252	0.24614	0.	0.	4.2074e+006
253	0.27409	0.	0.	3.5726e+006
254	0.30205	0.	0.	2.9993e+006
255	0.33001	0.	0.	2.4717e+006
256	0.35797	0.	0.	2.0319e+006
257	0.38593	0.	0.	1.6621e+006
258	0.41389	0.	0.	1.2437e+006
259	0.44185	0.	0.	9.4608e+005
260	0.46981	0.	0.	6.6757e+005
261	0.49776	0.	0.	4.5047e+005
262	0.52572	0.	0.	2.7774e+005
263	0.55368	0.	0.	1.506e+005
264	0.58164	0.	0.	69537
265	0.10634	0.	0.	2.811e+006
266	0.6096	0.	0.	32050
267	8.9345e-002	0.1524	0.	3.6852e+006
268	7.6581e-002	0.1524	0.	6.8721e+006
269	5.1054e-002	0.1524	0.	8.7809e+006
270	2.5527e-002	0.1524	0.	9.5133e+006
271	0.10211	0.1524	0.	1.6917e+006
272	1.e-015	0.1524	0.	5.1008e+006
273	1.0658e-015	0.12192	0.	6.8166e+006
274	7.9936e-016	9.144e-002	0.	7.1915e+006
275	5.3291e-016	6.096e-002	0.	7.3305e+006
276	2.6645e-016	3.048e-002	0.	7.0238e+006
