Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
144	8.1667	6.	0.	8.1447e-005
145	8.	1.5	0.	2.9158e-004
146	8.	1.	0.	1.3221e-004
147	8.	2.	0.	5.9292e-004
148	8.1667	1.	0.	1.0238e-004
149	8.1667	1.5	0.	2.2531e-004
150	8.1667	2.	0.	4.7236e-004
151	8.	4.5	0.	2.2154e-004
152	8.	5.	0.	1.3132e-004
153	8.	4.	0.	3.6653e-004
154	8.1667	5.	0.	1.8681e-004
155	8.1667	4.5	0.	2.2592e-004
156	8.1667	4.	0.	4.5402e-004
157	8.1554	2.9895	0.	4.3077e-004
158	8.3522	2.6275	0.	3.8945e-004
159	8.1995	2.6785	5.e-002	1.59e-005
160	8.0998	2.3393	0.	4.4251e-004
161	8.4197	3.1969	0.	3.2348e-004
162	7.8512	3.0391	0.	4.1651e-004
163	8.1112	3.3004	5.e-002	3.654e-005
164	8.1389	3.6502	0.	3.9885e-004
165	9.0618	2.8173	0.	1.8274e-004
166	8.9502	2.559	0.	2.1474e-004
167	9.6817	2.2516	0.	1.1284e-004
168	9.7864	2.9441	0.	1.229e-004
169	9.3955	2.5414	5.e-002	4.1594e-006
170	8.7811	2.2707	0.	2.7103e-004
171	5.7702	2.1811	0.	1.6041e-004
172	6.0516	3.202	0.	1.4638e-004
173	6.677	2.4943	0.	1.5154e-004
174	6.2935	2.7924	5.e-002	5.5687e-006
175	7.1468	3.3962	0.	2.458e-004
176	8.8741	3.327	0.	1.9893e-004
177	8.9918	3.8127	0.	2.2008e-004
178	9.5987	3.4538	0.	1.3789e-004
179	9.0201	3.5607	5.e-002	2.0323e-005
180	8.5934	3.7803	0.	2.9381e-004
181	5.8957	1.3262	0.	1.5032e-004
182	6.8025	1.6393	0.	1.7431e-004
183	6.5446	1.0826	5.e-002	4.7228e-006
184	6.4723	0.54128	0.	1.5216e-004
185	7.2723	1.0413	0.	1.3665e-004
186	8.6165	2.8349	0.	2.6995e-004
187	8.7281	3.0933	5.e-002	3.6368e-005
188	7.3258	2.4869	0.	2.8187e-004
189	7.5912	2.7778	5.e-002	2.4219e-005
190	7.7956	2.3889	0.	4.4071e-004
191	7.7956	3.3889	0.	3.3607e-004
192	8.5048	2.5765	5.e-002	1.163e-005
193	8.3357	2.2883	0.	3.9878e-004
194	12.006	2.3998	0.	9.5776e-005
195	11.647	3.6278	0.	1.0306e-004
196	10.634	2.4183	0.	1.064e-004
197	10.739	3.1108	0.	1.1497e-004
198	11.3	2.8748	5.e-002	1.4756e-005
199	13.971	1.9414	0.	7.6147e-005
200	13.241	2.9803	0.	7.7174e-005
201	11.403	1.4762	0.	9.6111e-005
202	12.713	1.9248	5.e-002	3.6075e-006
203	12.702	0.96241	0.	8.1632e-005
204	16.356	1.9604	0.	5.7353e-005
205	15.455	2.9444	0.	6.6961e-005
206	15.229	1.958	5.e-002	1.4805e-006
207	15.091	0.97901	0.	7.064e-005
208	18.579	1.9626	0.	4.1044e-005
209	17.623	2.9571	0.	4.6921e-005
210	17.484	1.9627	5.e-002	3.0255e-007
211	17.349	0.98135	0.	4.8926e-005
212	20.765	1.9675	0.	2.8463e-005
213	19.77	2.9599	0.	3.3353e-005
214	19.675	1.9624	5.e-002	1.3455e-006
215	19.576	0.98121	0.	3.3265e-005
216	21.9	2.9693	0.	2.2412e-005
217	21.855	1.9726	5.e-002	1.5196e-006
218	21.797	0.98628	0.	2.2194e-005
219	22.927	1.9863	0.	1.9472e-005
220	20.904	3.9618	0.	2.7797e-005
221	21.945	3.9661	5.e-002	1.4839e-006
222	22.972	3.9831	0.	1.9317e-005
223	21.983	4.9831	0.	2.1973e-005
224	18.814	3.9544	0.	3.9638e-005
225	19.864	3.9574	5.e-002	1.1666e-006
226	19.953	4.9787	0.	3.3121e-005
227	16.722	3.9411	0.	5.497e-005
228	17.763	3.9514	5.e-002	4.633e-007
229	17.913	4.9757	0.	4.7018e-005
230	14.725	3.9833	0.	7.0018e-005
231	15.682	3.9308	5.e-002	1.5247e-006
232	15.882	4.9654	0.	6.1861e-005
233	12.881	4.2083	0.	8.4996e-005
234	13.768	4.0358	5.e-002	4.5037e-006
235	13.936	5.0179	0.	7.9227e-005
236	11.067	4.5294	0.	9.3264e-005
237	11.994	4.3808	5.e-002	5.8462e-006
238	12.06	5.1904	0.	9.7559e-005
239	9.5518	4.3714	0.	1.5374e-004
240	10.159	4.0125	0.	1.082e-004
241	10.14	4.678	5.e-002	4.6689e-006
242	10.143	5.339	0.	8.9628e-005
243	9.1534	4.839	0.	1.2688e-004
244	8.9634	4.0648	5.e-002	2.7133e-005
245	8.5651	4.2824	0.	2.1352e-004
246	2.9429	2.29	0.	2.487e-004
247	1.9019	3.0948	0.	3.1224e-004
248	1.8844	2.1066	5.e-002	1.0659e-005
249	1.7422	1.0533	0.	2.8823e-004
250	0.9422	2.0533	0.	1.5451e-004
251	4.6241	2.0216	0.	1.7929e-004
252	3.8983	3.3858	0.	1.8497e-004
253	4.9055	3.0425	0.	1.6366e-004
254	4.0014	2.4733	5.e-002	1.323e-005
255	3.6007	1.2367	0.	1.8377e-004
256	5.2468	1.5698	5.e-002	8.5981e-006
257	5.0234	0.78491	0.	1.6776e-004
258	2.8573	4.1906	0.	2.4855e-004
259	1.9195	4.0829	5.e-002	8.9606e-006
260	1.9597	5.0415	0.	3.0025e-004
261	0.95973	4.0415	0.	1.5788e-004
262	4.7955	4.5296	0.	1.5533e-004
263	5.8027	4.1863	0.	1.4957e-004
264	5.7957	4.761	5.e-002	2.8368e-006
265	5.8978	5.3805	0.	1.5371e-004
266	6.8978	4.8805	0.	1.3135e-004
267	3.7952	4.2982	5.e-002	6.8761e-006
268	3.8976	5.1491	0.	1.7992e-004
269	5.8096	3.6116	5.e-002	8.6497e-006
270	6.9048	4.0558	0.	1.6166e-004
271	10.03	1.4947	0.	1.074e-004
272	9.9679	1.9619	5.e-002	5.0207e-006
273	9.0673	1.7309	0.	1.2866e-004
274	10.177	3.3469	5.e-002	2.2668e-006
275	10.093	1.0276	5.e-002	1.7126e-005
276	10.261	0.51379	0.	1.1602e-004
277	9.1297	1.0138	0.	1.0737e-004
278	7.0605	2.1961	5.e-002	5.8706e-006
279	7.5303	1.848	0.	2.1772e-004
280	7.3258	2.4869	0.1	5.5347e-004
281	6.8025	1.6393	0.1	4.245e-004
282	6.677	2.4943	0.1	4.4016e-004
283	7.5303	1.848	0.1	6.0492e-004
284	10.03	1.4947	0.1	2.942e-004
285	11.403	1.4762	0.1	2.5318e-004
286	9.1297	1.0138	0.1	3.0006e-004
287	10.261	0.51379	0.1	2.6189e-004
288	10.159	4.0125	0.1	2.9272e-004
289	10.739	3.1108	0.1	3.1198e-004
290	9.5987	3.4538	0.1	3.9187e-004
291	9.7864	2.9441	0.1	3.6395e-004
292	10.634	2.4183	0.1	3.019e-004
293	9.6817	2.2516	0.1	3.5358e-004
294	9.0673	1.7309	0.1	4.2859e-004
295	5.8027	4.1863	0.1	4.1402e-004
296	4.9055	3.0425	0.1	4.467e-004
297	6.0516	3.202	0.1	4.1719e-004
298	6.9048	4.0558	0.1	5.2794e-004
299	4.7955	4.5296	0.1	4.5023e-004
300	2.8573	4.1906	0.1	5.0667e-004
301	3.8983	3.3858	0.1	4.8143e-004
302	3.8976	5.1491	0.1	5.0247e-004
303	6.8978	4.8805	0.1	4.1264e-004
304	5.8978	5.3805	0.1	3.8938e-004
305	1.9019	3.0948	0.1	5.1957e-004
306	0.95973	4.0415	0.1	5.231e-004
307	1.9597	5.0415	0.1	5.2064e-004
308	4.6241	2.0216	0.1	4.6076e-004
309	5.8957	1.3262	0.1	4.1314e-004
310	5.7702	2.1811	0.1	4.313e-004
311	5.0234	0.78491	0.1	4.6192e-004
312	2.9429	2.29	0.1	4.9646e-004
313	3.6007	1.2367	0.1	5.0616e-004
314	0.9422	2.0533	0.1	5.2288e-004
315	1.7422	1.0533	0.1	5.1874e-004
316	9.5518	4.3714	0.1	3.1894e-004
