NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
30962,7.1169,6,0,0.633696186292182,0.00042424,0.4
8897,7.0247,6,0,0.142223978065582,0.00042708,0.4
30086,7.0247,6,0.05,0.11848254595741,1.0077e-05,0.4
30085,7.1169,6,0.1,0.105597289684826,0.00042424,0.4
8885,9.2388,6,0,0.36600106063447,0.00036081,0.4
30951,9.1466,6,0,0.265933354917931,0.0003635,0.4
30110,9.2388,6,0.05,0.224382485414513,1.2624e-05,0.4
9453,9.2388,5.9091,0,0.143683099033086,0.00036091,0.4
8875,11.084,6,0,0.592187376571803,0.00030849,0.4
30130,11.084,6,0.05,0.180484338276354,1.3182e-05,0.4
30940,11.176,6,0,0.124671026646695,0.00030593,0.4
9493,11.084,5.9091,0,0.102657258505148,0.00030875,0.4
30918,15.236,6,0,0.40898229076717,0.0001989,0.4
8853,15.143,6,0,0.258304604695071,0.00020122,0.4
30174,15.143,6,0.05,0.19418284047613,1.2585e-05,0.4
30173,15.236,6,0.1,0.138530264061628,0.0001989,0.4
30908,17.081,6,0,0.601804773786946,0.00015353,0.4
8842,17.173,6,0,0.156634119204844,0.00015131,0.4
30196,17.173,6,0.05,0.1292278392736,1.183e-05,0.4
30193,17.081,6,0.1,0.112333267734609,0.00015353,0.4
8820,21.232,6,0,0.415896023006644,5.8212e-05,0.4
30240,21.232,6,0.05,0.22419028852951,8.6954e-06,0.4
30886,21.14,6,0,0.221811212270215,6.0241e-05,0.4
9713,21.232,5.9091,0,0.138102476193631,5.903e-05,0.4
8908,5.0761,6,0,0.490913597395003,0.00048687,0.5
30064,5.0761,6,0.05,0.211713331278483,5.125e-06,0.5
30973,5.168,6,0,0.17254169084912,0.00048415,0.5
9291,5.0761,5.9091,0,0.124831380477394,0.00048629,0.5
8897,7.0971,6,0,0.89096866630653,0.00042475,0.5
30086,7.0971,6,0.05,0.0515894819910919,1.0362e-05,0.5
30962,7.189,6,0,0.0290315632841398,0.00042193,0.5
9335,7.0971,5.9091,0,0.0284102884182381,0.00042452,0.5
30951,9.21,6,0,0.754251363002891,0.00036163,0.5
8886,9.1181,6,0,0.0920941835168519,0.00036429,0.5
30108,9.1181,6,0.05,0.0786036377847999,1.2608e-05,0.5
30107,9.21,6,0.1,0.0750508156954568,0.00036163,0.5
8875,11.139,6,0,0.364276673275191,0.00030695,0.5
30941,11.047,6,0,0.268052646372313,0.0003095,0.5
30130,11.139,6,0.05,0.224041737586662,1.3208e-05,0.5
9423,11.139,5.9091,0,0.143628942765834,0.00030722,0.5
8853,15.181,6,0,0.549423087087723,0.00020027,0.5
30174,15.181,6,0.05,0.195164838630192,1.2575e-05,0.5
30918,15.273,6,0,0.143000529515983,0.00019796,0.5
9511,15.181,5.9091,0,0.112411544766102,0.00020073,0.5
30908,17.11,6,0,0.754388794457882,0.00015282,0.5
8843,17.018,6,0,0.0919986334704543,0.00015503,0.5
30194,17.018,6,0.05,0.0785480814353513,1.1898e-05,0.5
30193,17.11,6,0.1,0.0750644906363124,0.00015282,0.5
8820,21.244,6,0,0.331896784868884,5.7952e-05,0.5
30886,21.152,6,0,0.304238719463158,5.9972e-05,0.5
30240,21.244,6,0.05,0.219260274309364,8.678e-06,0.5
9643,21.244,5.9091,0,0.144604221358594,5.8771e-05,0.5
30974,5.0999,6,0,0.996840812646116,0.00048551,0.6
8908,5.1921,6,0,0.00108234615922236,0.00048287,0.6
8909,5.0077,6,0,0.00108000088043748,0.00048815,0.6
30061,5.0999,6,0.1,0.00099684031422376,0.00048551,0.6
30963,7.1282,6,0,0.485610703060967,0.00042371,0.6
