Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	0.5	5.5	0.	5292.5
2	1.	5.5	0.	5653.6
3	1.5	5.5	0.	5831.8
4	2.	5.5	0.	5767.
5	2.5	5.5	0.	5648.3
6	3.	5.5	0.	5498.6
7	3.5	5.5	0.	5339.7
8	4.	5.5	0.	5178.6
9	4.5	5.5	0.	5018.6
10	5.	5.5	0.	4860.7
11	5.5	5.5	0.	4705.2
12	6.	5.5	0.	4551.8
13	6.5	5.5	0.	4400.3
14	7.	5.5	0.	4250.7
15	7.5	5.5	0.	4102.7
16	8.	5.5	0.	3956.2
17	8.5	5.5	0.	3811.1
18	9.	5.5	0.	3667.5
19	9.5	5.5	0.	3525.3
20	10.	5.5	0.	3384.5
21	10.5	5.5	0.	3245.1
22	11.	5.5	0.	3107.2
23	11.5	5.5	0.	2970.6
24	12.	5.5	0.	2835.4
25	12.5	5.5	0.	2701.7
26	13.	5.5	0.	2569.5
27	13.5	5.5	0.	2438.7
28	14.	5.5	0.	2309.3
29	14.5	5.5	0.	2181.4
30	15.	5.5	0.	2055.
31	15.5	5.5	0.	1930.1
32	16.	5.5	0.	1806.7
33	16.5	5.5	0.	1684.7
34	17.	5.5	0.	1564.3
35	17.5	5.5	0.	1445.3
36	18.	5.5	0.	1327.7
37	18.5	5.5	0.	1211.7
38	19.	5.5	0.	1097.1
39	19.5	5.5	0.	983.89
40	20.	5.5	0.	872.09
41	20.5	5.5	0.	761.65
42	21.	5.5	0.	652.55
43	21.5	5.5	0.	544.82
44	22.	5.5	0.	438.6
45	22.5	5.5	0.	334.27
46	23.	5.5	0.	233.56
47	23.5	5.5	0.	142.54
48	0.5	5.	0.	5919.3
49	1.	5.	0.	5428.9
50	1.5	5.	0.	5586.4
51	2.	5.	0.	5530.8
52	2.5	5.	0.	5445.5
53	3.	5.	0.	5327.
54	3.5	5.	0.	5197.2
55	4.	5.	0.	5061.3
56	4.5	5.	0.	4922.8
57	5.	5.	0.	4782.7
58	5.5	5.	0.	4641.8
59	6.	5.	0.	4500.3
60	6.5	5.	0.	4358.6
61	7.	5.	0.	4216.7
62	7.5	5.	0.	4074.9
63	8.	5.	0.	3933.5
64	8.5	5.	0.	3792.4
65	9.	5.	0.	3652.
66	9.5	5.	0.	3512.3
67	10.	5.	0.	3373.5
68	10.5	5.	0.	3235.7
69	11.	5.	0.	3099.
70	11.5	5.	0.	2963.4
71	12.	5.	0.	2829.
72	12.5	5.	0.	2695.9
73	13.	5.	0.	2564.1
74	13.5	5.	0.	2433.7
75	14.	5.	0.	2304.6
76	14.5	5.	0.	2176.9
77	15.	5.	0.	2050.7
78	15.5	5.	0.	1925.9
79	16.	5.	0.	1802.6
80	16.5	5.	0.	1680.8
81	17.	5.	0.	1560.5
82	17.5	5.	0.	1441.8
83	18.	5.	0.	1324.6
84	18.5	5.	0.	1209.
85	19.	5.	0.	1094.9
86	19.5	5.	0.	982.54
87	20.	5.	0.	871.8
