Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	7.9	2.1818	0.	6.2631e-004
2	7.9	2.3636	0.	5.042e-004
3	7.9	2.5455	0.	4.376e-004
4	7.9	2.7273	0.	4.0395e-004
5	7.9	2.9091	0.	3.8914e-004
6	7.9	3.0909	0.	3.8914e-004
7	7.9	3.2727	0.	4.0395e-004
8	7.9	3.4545	0.	4.376e-004
9	7.9	3.6364	0.	5.042e-004
10	7.9	3.8182	0.	6.2631e-004
11	8.0667	2.1818	0.	6.033e-004
12	8.0667	2.3636	0.	4.9607e-004
13	8.0667	2.5455	0.	4.3164e-004
14	8.0667	2.7273	0.	3.9912e-004
15	8.0667	2.9091	0.	3.8467e-004
16	8.0667	3.0909	0.	3.8467e-004
17	8.0667	3.2727	0.	3.9912e-004
18	8.0667	3.4545	0.	4.3164e-004
19	8.0667	3.6364	0.	4.9607e-004
20	8.0667	3.8182	0.	6.033e-004
21	7.7163	5.8182	0.	4.0449e-005
22	7.7163	5.6364	0.	6.5489e-005
23	7.7163	5.4545	0.	1.01e-004
24	7.7163	5.2727	0.	1.4207e-004
25	7.7163	5.0909	0.	1.8909e-004
26	7.7163	4.9091	0.	2.4405e-004
27	7.7163	4.7273	0.	3.1045e-004
28	7.7163	4.5455	0.	3.9447e-004
29	7.7163	4.3636	0.	5.1013e-004
30	7.7163	4.1818	0.	6.4175e-004
31	7.7163	4.	0.	6.3943e-004
32	7.7163	3.8182	0.	4.7764e-004
33	7.7163	3.6364	0.	4.3601e-004
34	7.7163	3.4545	0.	3.9699e-004
35	7.7163	3.2727	0.	3.772e-004
36	7.7163	3.0909	0.	3.6736e-004
37	7.7163	2.9091	0.	3.6736e-004
38	7.7163	2.7273	0.	3.772e-004
39	7.7163	2.5455	0.	3.9699e-004
40	7.7163	2.3636	0.	4.3601e-004
41	7.7163	2.1818	0.	4.7764e-004
42	7.7163	2.	0.	6.3943e-004
43	7.7163	1.8182	0.	6.4175e-004
44	7.7163	1.6364	0.	5.1013e-004
45	7.7163	1.4545	0.	3.9447e-004
46	7.7163	1.2727	0.	3.1045e-004
47	7.7163	1.0909	0.	2.4405e-004
48	7.7163	0.90909	0.	1.8909e-004
49	7.7163	0.72727	0.	1.4207e-004
50	7.7163	0.54545	0.	1.01e-004
51	7.7163	0.36364	0.	6.5489e-005
52	7.7163	0.18182	0.	4.0449e-005
53	7.5326	5.8182	0.	5.1698e-005
54	7.5326	5.6364	0.	6.4501e-005
55	7.5326	5.4545	0.	8.907e-005
56	7.5326	5.2727	0.	1.2077e-004
57	7.5326	5.0909	0.	1.5809e-004
58	7.5326	4.9091	0.	2.0088e-004
59	7.5326	4.7273	0.	2.4984e-004
60	7.5326	4.5455	0.	3.032e-004
61	7.5326	4.3636	0.	3.5703e-004
62	7.5326	4.1818	0.	3.906e-004
63	7.5326	4.	0.	3.6692e-004
64	7.5326	3.8182	0.	3.4876e-004
65	7.5326	3.6364	0.	3.4159e-004
66	7.5326	3.4545	0.	3.3634e-004
67	7.5326	3.2727	0.	3.3068e-004
68	7.5326	3.0909	0.	3.2753e-004
69	7.5326	2.9091	0.	3.2753e-004
70	7.5326	2.7273	0.	3.3068e-004
71	7.5326	2.5455	0.	3.3634e-004
72	7.5326	2.3636	0.	3.4159e-004
73	7.5326	2.1818	0.	3.4876e-004
74	7.5326	2.	0.	3.6692e-004
75	7.5326	1.8182	0.	3.906e-004
76	7.5326	1.6364	0.	3.5703e-004
77	7.5326	1.4545	0.	3.032e-004
78	7.5326	1.2727	0.	2.4984e-004
79	7.5326	1.0909	0.	2.0088e-004
80	7.5326	0.90909	0.	1.5809e-004
81	7.5326	0.72727	0.	1.2077e-004
82	7.5326	0.54545	0.	8.907e-005
83	7.5326	0.36364	0.	6.4501e-005
84	7.5326	0.18182	0.	5.1698e-005
85	7.3488	5.8182	0.	6.745e-005
86	7.3488	5.6364	0.	7.7084e-005
87	7.3488	5.4545	0.	9.501e-005
88	7.3488	5.2727	0.	1.1924e-004
89	7.3488	5.0909	0.	1.4834e-004
90	7.3488	4.9091	0.	1.8116e-004
91	7.3488	4.7273	0.	2.1612e-004
92	7.3488	4.5455	0.	2.5044e-004
93	7.3488	4.3636	0.	2.7709e-004
94	7.3488	4.1818	0.	2.8735e-004
95	7.3488	4.	0.	2.8373e-004
96	7.3488	3.8182	0.	2.7693e-004
97	7.3488	3.6364	0.	2.7709e-004
98	7.3488	3.4545	0.	2.8045e-004
99	7.3488	3.2727	0.	2.8234e-004
100	7.3488	3.0909	0.	2.8306e-004
101	7.3488	2.9091	0.	2.8306e-004
102	7.3488	2.7273	0.	2.8234e-004
103	7.3488	2.5455	0.	2.8045e-004
104	7.3488	2.3636	0.	2.7709e-004
105	7.3488	2.1818	0.	2.7693e-004
106	7.3488	2.	0.	2.8373e-004
107	7.3488	1.8182	0.	2.8735e-004
108	7.3488	1.6364	0.	2.7709e-004
109	7.3488	1.4545	0.	2.5044e-004
110	7.3488	1.2727	0.	2.1612e-004
111	7.3488	1.0909	0.	1.8116e-004
112	7.3488	0.90909	0.	1.4834e-004
113	7.3488	0.72727	0.	1.1924e-004
114	7.3488	0.54545	0.	9.501e-005
115	7.3488	0.36364	0.	7.7084e-005
116	7.3488	0.18182	0.	6.745e-005
117	7.1651	5.8182	0.	8.2097e-005
118	7.1651	5.6364	0.	9.0918e-005
119	7.1651	5.4545	0.	1.0488e-004
120	7.1651	5.2727	0.	1.2321e-004
121	7.1651	5.0909	0.	1.4501e-004
122	7.1651	4.9091	0.	1.6894e-004
123	7.1651	4.7273	0.	1.9309e-004
124	7.1651	4.5455	0.	2.1456e-004
125	7.1651	4.3636	0.	2.2958e-004
126	7.1651	4.1818	0.	2.3541e-004
127	7.1651	4.	0.	2.3448e-004
128	7.1651	3.8182	0.	2.3275e-004
129	7.1651	3.6364	0.	2.3417e-004
130	7.1651	3.4545	0.	2.3781e-004
131	7.1651	3.2727	0.	2.4123e-004
132	7.1651	3.0909	0.	2.4308e-004
133	7.1651	2.9091	0.	2.4308e-004
134	7.1651	2.7273	0.	2.4123e-004
135	7.1651	2.5455	0.	2.3781e-004
136	7.1651	2.3636	0.	2.3417e-004
137	7.1651	2.1818	0.	2.3275e-004
138	7.1651	2.	0.	2.3448e-004
139	7.1651	1.8182	0.	2.3541e-004
140	7.1651	1.6364	0.	2.2958e-004
141	7.1651	1.4545	0.	2.1456e-004
142	7.1651	1.2727	0.	1.9309e-004
143	7.1651	1.0909	0.	1.6894e-004
144	7.1651	0.90909	0.	1.4501e-004
145	7.1651	0.72727	0.	1.2321e-004
146	7.1651	0.54545	0.	1.0488e-004
147	7.1651	0.36364	0.	9.0918e-005
148	7.1651	0.18182	0.	8.2097e-005
149	6.9814	5.8182	0.	9.4958e-005
150	6.9814	5.6364	0.	1.0342e-004
151	6.9814	5.4545	0.	1.1476e-004
152	6.9814	5.2727	0.	1.2868e-004
153	6.9814	5.0909	0.	1.4463e-004
154	6.9814	4.9091	0.	1.6152e-004
155	6.9814	4.7273	0.	1.7773e-004
156	6.9814	4.5455	0.	1.9124e-004
157	6.9814	4.3636	0.	2.0011e-004
158	6.9814	4.1818	0.	2.0378e-004
159	6.9814	4.	0.	2.0388e-004
160	6.9814	3.8182	0.	2.0341e-004
161	6.9814	3.6364	0.	2.0441e-004
162	6.9814	3.4545	0.	2.0681e-004
163	6.9814	3.2727	0.	2.0937e-004
164	6.9814	3.0909	0.	2.1094e-004
165	6.9814	2.9091	0.	2.1094e-004
166	6.9814	2.7273	0.	2.0937e-004
167	6.9814	2.5455	0.	2.0681e-004
168	6.9814	2.3636	0.	2.0441e-004
169	6.9814	2.1818	0.	2.0341e-004
170	6.9814	2.	0.	2.0388e-004
