Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	8.	2.2	0.	4.0232e-004
2	8.	2.4	0.	3.0698e-004
3	8.	2.6	0.	2.7902e-004
4	8.	2.8	0.	2.638e-004
5	8.	3.	0.	2.5972e-004
6	8.	3.2	0.	2.638e-004
7	8.	3.4	0.	2.7902e-004
8	8.	3.6	0.	3.0698e-004
9	8.	3.8	0.	4.0232e-004
10	8.1667	2.2	0.	4.0528e-004
11	8.1667	2.4	0.	3.0856e-004
12	8.1667	2.6	0.	2.7926e-004
13	8.1667	2.8	0.	2.6349e-004
14	8.1667	3.	0.	2.5927e-004
15	8.1667	3.2	0.	2.6349e-004
16	8.1667	3.4	0.	2.7926e-004
17	8.1667	3.6	0.	3.0856e-004
18	8.1667	3.8	0.	4.0528e-004
19	7.8	5.8	0.	2.1135e-005
20	7.8	5.6	0.	2.6984e-005
21	7.8	5.4	0.	3.047e-005
22	7.8	5.2	0.	3.3209e-005
23	7.8	5.	0.	3.5725e-005
24	7.8	4.8	0.	3.9253e-005
25	7.8	4.6	0.	4.3769e-005
26	7.8	4.4	0.	5.7323e-005
27	7.8	4.2	0.	9.4902e-005
28	7.8	4.	0.	1.8334e-004
29	7.8	3.8	0.	2.9171e-004
30	7.8	3.6	0.	2.7874e-004
31	7.8	3.4	0.	2.652e-004
32	7.8	3.2	0.	2.5563e-004
33	7.8	3.	0.	2.531e-004
34	7.8	2.8	0.	2.5563e-004
35	7.8	2.6	0.	2.652e-004
36	7.8	2.4	0.	2.7874e-004
37	7.8	2.2	0.	2.9171e-004
38	7.8	2.	0.	1.8334e-004
39	7.8	1.8	0.	9.4902e-005
40	7.8	1.6	0.	5.7323e-005
41	7.8	1.4	0.	4.3769e-005
42	7.8	1.2	0.	3.9253e-005
43	7.8	1.	0.	3.5725e-005
44	7.8	0.8	0.	3.3209e-005
45	7.8	0.6	0.	3.047e-005
46	7.8	0.4	0.	2.6984e-005
47	7.8	0.2	0.	2.1135e-005
48	7.6	5.8	0.	4.078e-005
49	7.6	5.6	0.	4.4209e-005
50	7.6	5.4	0.	4.778e-005
51	7.6	5.2	0.	5.1754e-005
52	7.6	5.	0.	5.6805e-005
53	7.6	4.8	0.	6.3996e-005
54	7.6	4.6	0.	7.5837e-005
55	7.6	4.4	0.	9.7767e-005
56	7.6	4.2	0.	1.3587e-004
57	7.6	4.	0.	1.939e-004
58	7.6	3.8	0.	2.3191e-004
59	7.6	3.6	0.	2.4218e-004
60	7.6	3.4	0.	2.4381e-004
61	7.6	3.2	0.	2.4175e-004
62	7.6	3.	0.	2.4082e-004
63	7.6	2.8	0.	2.4175e-004
64	7.6	2.6	0.	2.4381e-004
65	7.6	2.4	0.	2.4218e-004
66	7.6	2.2	0.	2.3191e-004
67	7.6	2.	0.	1.939e-004
68	7.6	1.8	0.	1.3587e-004
69	7.6	1.6	0.	9.7767e-005
70	7.6	1.4	0.	7.5837e-005
71	7.6	1.2	0.	6.3996e-005
72	7.6	1.	0.	5.6805e-005
73	7.6	0.8	0.	5.1754e-005
74	7.6	0.6	0.	4.778e-005
75	7.6	0.4	0.	4.4209e-005
76	7.6	0.2	0.	4.078e-005
77	7.4	5.8	0.	5.8032e-005
78	7.4	5.6	0.	6.0287e-005
79	7.4	5.4	0.	6.3644e-005
80	7.4	5.2	0.	6.8191e-005
81	7.4	5.	0.	7.4428e-005
82	7.4	4.8	0.	8.3429e-005
83	7.4	4.6	0.	9.6805e-005
