nodeNumbers,xLocations,yLocations,zLocations,elasticStrains,equivalentStress,maxPrincipalElasticStrain,maxPrincipalStress,middlePrincipalElasticStrain,middlePrincipalStress,minPrincipalElasticStrain,minPrincipalStress,totalDeformation
978,0.12912,0.1016,0,0.00033499,23081000,0.00014259,-1955500,2.2339e-05,-8185000,-0.00035073,-27511000,0.00088317
979,0.127,0.1016,0.00127,0.00016901,11645000,0.00012978,6723000,-5.9246e-12,-0.13453,-0.00012978,-6723000,0.00085171
980,0.13123,0.13335,0,5.7946e-05,3992400,2.7834e-05,301730,6.9983e-06,-777660,-5.7509e-05,-4119400,0.00086473
981,0.13123,0.1397,0.00127,4.7509e-06,327340,3.6481e-06,188990,-7.7381e-22,-4.6407e-11,-3.6481e-06,-188990,0.00085507
982,0.13123,0.12065,0,0.00011599,7991400,6.5457e-05,2152100,1.7096e-05,-353220,-0.00010719,-6791800,0.00088538
983,0.13123,0.127,0.00127,2.3413e-05,1613100,1.7978e-05,931340,-3.8134e-21,-1.9755e-10,-1.7978e-05,-931340,0.0008742
984,0.13123,0.10795,0,0.00018121,12486000,6.5174e-05,-951370,3.7316e-05,-2394600,-0.00018856,-14096000,0.00090697
985,0.13123,0.1143,0.00127,1.2939e-05,891480,9.9354e-06,514700,-1.002e-14,-0.00034429,-9.9354e-06,-514700,0.00089529
986,0.13123,0.1016,0.00127,3.2851e-06,226340,2.5225e-06,130680,7.2012e-13,0.021145,-2.5225e-06,-130680,0.00091556
987,0.13123,0.13335,0.00254,5.7946e-05,3992400,5.7509e-05,4119400,-6.9983e-06,777660,-2.7834e-05,-301730,0.00086473
988,0.13123,0.14605,0.00254,2.7098e-05,1867100,2.9639e-05,2533800,1.0666e-06,1053600,-1.0851e-05,436170,0.00084648
989,0.13123,0.12065,0.00254,0.00011599,7991400,0.00010719,6791800,-1.7096e-05,353220,-6.5457e-05,-2152100,0.00088538
990,0.13123,0.10795,0.00254,0.00018121,12486000,0.00018856,14096000,-3.7316e-05,2394600,-6.5174e-05,951370,0.00090697
