Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
165	7.364	1.3623	0.1	767.55
166	6.4894	0.7763	0.1	845.91
167	1.1387	1.2412	0.1	1339.7
168	1.133	3.6761	0.1	1439.6
169	1.116	4.8406	0.1	1333.4
170	2.222	4.9326	0.1	1351.2
171	5.4829	5.4606	0.1	636.62
172	2.2894	1.2804	0.1	1276.3
173	2.2414	3.7345	0.1	1468.7
174	2.2585	2.583	0.1	1505.2
175	5.5735	2.8768	0.1	1321.4
176	5.3188	5.0552	0.1	623.05
177	5.7211	4.6911	0.1	952.53
178	4.3104	3.6475	0.1	2337.
179	3.9118	3.76	0.1	1812.9
180	3.2407	5.0612	0.1	1031.3
181	5.5906	0.51676	0.1	564.91
182	3.3303	1.7247	0.1	1124.1
183	3.3022	0.65788	0.1	990.73
184	6.4891	3.5808	0.1	1033.7
185	4.4889	3.2432	0.1	2238.8
186	5.6719	1.3304	0.1	783.43
187	5.2869	3.3812	0.1	1096.
188	4.4767	2.6011	0.1	2213.9
189	4.5867	4.	0.	-517.85
190	4.5867	4.5	0.	498.6
191	4.5867	5.	0.	380.09
192	4.5867	5.5	0.	-93.912
193	4.42	4.	0.	-55.175
194	4.42	5.5	0.	-157.77
195	4.42	5.	0.	-122.67
196	4.42	4.5	0.	424.26
197	4.5867	2.	0.	223.44
198	4.5867	1.5	0.	248.31
199	4.5867	1.	0.	240.64
200	4.5867	0.5	0.	-75.854
201	4.42	2.	0.	-347.78
202	4.42	0.5	0.	-137.19
203	4.42	1.	0.	185.88
204	4.42	1.5	0.	285.34
205	4.5867	6.	0.	-37.329
206	5.7286	6.	0.	-13.686
207	6.8706	6.	0.	38.36
208	8.0125	6.	0.	30.782
209	9.1545	6.	0.	-0.229
210	10.296	6.	0.	1.2447
211	11.438	6.	0.	4.9987
212	12.58	6.	0.	6.9307
213	13.722	6.	0.	7.8313
214	14.864	6.	0.	8.9718
215	16.006	6.	0.	10.252
216	17.148	6.	0.	11.008
217	18.29	6.	0.	10.999
218	19.432	6.	0.	10.735
219	20.574	6.	0.	10.187
220	21.716	6.	0.	9.2127
221	22.858	6.	0.	7.5966
222	24.	6.	0.	5.0887
223	24.	4.8	0.	6.7559
224	24.	3.6	0.	10.031
225	24.	2.4	0.	10.039
226	24.	1.2	0.	6.7452
227	1.049e-014	1.2	0.	-983.19
228	2.0981e-014	2.4	0.	-1020.4
229	3.1471e-014	3.6	0.	-1011.3
230	4.1961e-014	4.8	0.	-967.76
231	24.	0.	0.	5.0877
232	4.5867	0.	0.	-78.555
233	22.858	0.	0.	7.5653
234	21.716	0.	0.	9.2138
235	20.574	0.	0.	10.137
236	19.432	0.	0.	10.499
237	18.29	0.	0.	10.524
238	17.148	0.	0.	10.28
239	16.006	0.	0.	9.8553
240	14.864	0.	0.	8.8764
241	13.722	0.	0.	7.4457
242	12.58	0.	0.	6.4113
243	11.438	0.	0.	4.1459
244	10.296	0.	0.	-2.0365
245	9.1545	0.	0.	9.6644
246	8.0125	0.	0.	58.02
247	6.8706	0.	0.	51.256
248	5.7286	0.	0.	33.125
249	0.	0.	0.	-610.12
250	4.42	0.	0.	-48.754
251	3.315	3.1846e-031	0.	62.553
252	2.21	2.1231e-031	0.	-18.589
253	1.105	1.0615e-031	0.	204.27
254	3.937e-014	6.	0.	-587.16
255	4.42	6.	0.	-23.27
256	1.105	6.	0.	197.69
257	2.21	6.	0.	-32.924
258	3.315	6.	0.	40.351
259	4.5867	5.5	0.1	480.61
260	4.5867	5.	0.1	1032.3
261	4.5867	4.5	0.1	1061.7
262	4.5867	4.	0.1	3140.
263	4.42	4.	0.1	6297.6
264	4.42	4.5	0.1	1398.
265	4.42	5.	0.1	1520.8
266	4.42	5.5	0.1	831.14
267	4.5867	0.5	0.1	440.67
268	4.5867	1.	0.1	784.19
269	4.5867	1.5	0.1	959.11
270	4.5867	2.	0.1	3792.4
271	4.42	2.	0.1	4765.7
272	4.42	1.5	0.1	1877.5
273	4.42	1.	0.1	1310.6
274	4.42	0.5	0.1	764.22
275	4.5867	6.	0.1	465.02
276	5.7286	6.	0.1	612.55
277	6.8706	6.	0.1	732.1
278	8.0125	6.	0.1	725.06
279	9.1545	6.	0.1	650.06
280	10.296	6.	0.1	559.63
281	11.438	6.	0.1	468.97
282	12.58	6.	0.1	387.29
283	13.722	6.	0.1	314.17
284	14.864	6.	0.1	247.96
285	16.006	6.	0.1	189.97
286	17.148	6.	0.1	140.27
287	18.29	6.	0.1	98.098
288	19.432	6.	0.1	63.573
289	20.574	6.	0.1	36.428
290	21.716	6.	0.1	16.59
291	22.858	6.	0.1	4.321
292	24.	6.	0.1	-0.27831
293	24.	4.8	0.1	2.2266
294	24.	3.6	0.1	3.1596
295	24.	2.4	0.1	3.1597
296	24.	1.2	0.1	2.2297
297	1.049e-014	1.2	0.1	1996.9
298	2.0981e-014	2.4	0.1	2075.4
299	3.1471e-014	3.6	0.1	2054.8
300	4.1961e-014	4.8	0.1	1972.
301	24.	0.	0.1	-0.25542
302	22.858	0.	0.1	4.3174
303	21.716	0.	0.1	16.623
304	20.574	0.	0.1	36.394
305	19.432	0.	0.1	63.462
306	18.29	0.	0.1	98.035
307	17.148	0.	0.1	140.31
308	16.006	0.	0.1	190.22
309	14.864	0.	0.1	247.95
310	13.722	0.	0.1	313.67
311	12.58	0.	0.1	386.74
312	11.438	0.	0.1	468.
