Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	1.2632	4.8	0.	8.188e-003
2	2.5263	4.8	0.	3.3297e-002
3	3.7895	4.8	0.	7.559e-002
4	5.0526	4.8	0.	0.13409
5	6.3158	4.8	0.	0.20781
6	7.5789	4.8	0.	0.29562
7	8.8421	4.8	0.	0.39636
8	10.105	4.8	0.	0.5089
9	11.368	4.8	0.	0.63211
10	12.632	4.8	0.	0.76487
11	13.895	4.8	0.	0.90611
12	15.158	4.8	0.	1.0548
13	16.421	4.8	0.	1.2098
14	17.684	4.8	0.	1.3703
15	18.947	4.8	0.	1.5351
16	20.211	4.8	0.	1.7035
17	21.474	4.8	0.	1.8744
18	22.737	4.8	0.	2.0471
19	1.2632	3.6	0.	8.8608e-003
20	2.5263	3.6	0.	3.5341e-002
21	3.7895	3.6	0.	7.8608e-002
22	5.0526	3.6	0.	0.13758
23	6.3158	3.6	0.	0.21143
24	7.5789	3.6	0.	0.29916
25	8.8421	3.6	0.	0.39971
26	10.105	3.6	0.	0.512
27	11.368	3.6	0.	0.63492
28	12.632	3.6	0.	0.76739
29	13.895	3.6	0.	0.90834
30	15.158	3.6	0.	1.0567
31	16.421	3.6	0.	1.2115
32	17.684	3.6	0.	1.3716
33	18.947	3.6	0.	1.5363
34	20.211	3.6	0.	1.7044
35	21.474	3.6	0.	1.8752
36	22.737	3.6	0.	2.0477
37	1.2632	2.4	0.	8.8608e-003
38	2.5263	2.4	0.	3.5341e-002
39	3.7895	2.4	0.	7.8608e-002
40	5.0526	2.4	0.	0.13758
41	6.3158	2.4	0.	0.21143
42	7.5789	2.4	0.	0.29916
43	8.8421	2.4	0.	0.39971
44	10.105	2.4	0.	0.512
45	11.368	2.4	0.	0.63492
46	12.632	2.4	0.	0.76739
47	13.895	2.4	0.	0.90834
48	15.158	2.4	0.	1.0567
49	16.421	2.4	0.	1.2115
50	17.684	2.4	0.	1.3716
51	18.947	2.4	0.	1.5363
52	20.211	2.4	0.	1.7044
53	21.474	2.4	0.	1.8752
54	22.737	2.4	0.	2.0477
55	1.2632	1.2	0.	8.188e-003
56	2.5263	1.2	0.	3.3297e-002
57	3.7895	1.2	0.	7.559e-002
58	5.0526	1.2	0.	0.13409
59	6.3158	1.2	0.	0.20781
60	7.5789	1.2	0.	0.29562
61	8.8421	1.2	0.	0.39636
62	10.105	1.2	0.	0.5089
63	11.368	1.2	0.	0.63211
64	12.632	1.2	0.	0.76487
65	13.895	1.2	0.	0.90611
66	15.158	1.2	0.	1.0548
67	16.421	1.2	0.	1.2098
68	17.684	1.2	0.	1.3703
69	18.947	1.2	0.	1.5351
70	20.211	1.2	0.	1.7035
71	21.474	1.2	0.	1.8744
72	22.737	1.2	0.	2.0471
73	22.737	1.2	0.1	2.0471
74	21.474	1.2	0.1	1.8744
75	20.211	1.2	0.1	1.7035
76	18.947	1.2	0.1	1.5351
77	17.684	1.2	0.1	1.3703
78	16.421	1.2	0.1	1.2098
79	15.158	1.2	0.1	1.0548
80	13.895	1.2	0.1	0.90611
81	12.632	1.2	0.1	0.76487
82	11.368	1.2	0.1	0.63211
83	10.105	1.2	0.1	0.5089
84	8.8421	1.2	0.1	0.39636
85	7.5789	1.2	0.1	0.29562
86	6.3158	1.2	0.1	0.20781
87	5.0526	1.2	0.1	0.13409
88	3.7895	1.2	0.1	7.559e-002
89	2.5263	1.2	0.1	3.3297e-002
90	1.2632	1.2	0.1	8.188e-003
91	22.737	2.4	0.1	2.0477
92	21.474	2.4	0.1	1.8752
93	20.211	2.4	0.1	1.7044
94	18.947	2.4	0.1	1.5363
95	17.684	2.4	0.1	1.3716
96	16.421	2.4	0.1	1.2115
97	15.158	2.4	0.1	1.0567
98	13.895	2.4	0.1	0.90834
99	12.632	2.4	0.1	0.76739
100	11.368	2.4	0.1	0.63492
101	10.105	2.4	0.1	0.512
102	8.8421	2.4	0.1	0.39971
103	7.5789	2.4	0.1	0.29916
104	6.3158	2.4	0.1	0.21143
105	5.0526	2.4	0.1	0.13758
106	3.7895	2.4	0.1	7.8608e-002
107	2.5263	2.4	0.1	3.5341e-002
108	1.2632	2.4	0.1	8.8608e-003
109	22.737	3.6	0.1	2.0477
110	21.474	3.6	0.1	1.8752
111	20.211	3.6	0.1	1.7044
112	18.947	3.6	0.1	1.5363
113	17.684	3.6	0.1	1.3716
114	16.421	3.6	0.1	1.2115
115	15.158	3.6	0.1	1.0567
116	13.895	3.6	0.1	0.90834
117	12.632	3.6	0.1	0.76739
118	11.368	3.6	0.1	0.63492
119	10.105	3.6	0.1	0.512
120	8.8421	3.6	0.1	0.39971
121	7.5789	3.6	0.1	0.29916
122	6.3158	3.6	0.1	0.21143
123	5.0526	3.6	0.1	0.13758
124	3.7895	3.6	0.1	7.8608e-002
125	2.5263	3.6	0.1	3.5341e-002
126	1.2632	3.6	0.1	8.8608e-003
127	22.737	4.8	0.1	2.0471
128	21.474	4.8	0.1	1.8744
129	20.211	4.8	0.1	1.7035
130	18.947	4.8	0.1	1.5351
131	17.684	4.8	0.1	1.3703
132	16.421	4.8	0.1	1.2098
133	15.158	4.8	0.1	1.0548
134	13.895	4.8	0.1	0.90611
135	12.632	4.8	0.1	0.76487
136	11.368	4.8	0.1	0.63211
137	10.105	4.8	0.1	0.5089
138	8.8421	4.8	0.1	0.39636
139	7.5789	4.8	0.1	0.29562
140	6.3158	4.8	0.1	0.20781
141	5.0526	4.8	0.1	0.13409
142	3.7895	4.8	0.1	7.559e-002
143	2.5263	4.8	0.1	3.3297e-002
144	1.2632	4.8	0.1	8.188e-003
145	1.2632	6.	0.1	6.0009e-003
146	2.5263	6.	0.1	2.81e-002
147	3.7895	6.	0.1	6.8717e-002
148	5.0526	6.	0.1	0.12663
149	6.3158	6.	0.1	0.20032
150	7.5789	6.	0.1	0.2884
151	8.8421	6.	0.1	0.38959
152	10.105	6.	0.1	0.50267
153	11.368	6.	0.1	0.62646
154	12.632	6.	0.1	0.75983
155	13.895	6.	0.1	0.90166
156	15.158	6.	0.1	1.0509
157	16.421	6.	0.1	1.2065
158	17.684	6.	0.1	1.3675
159	18.947	6.	0.1	1.5329
160	20.211	6.	0.1	1.7017
161	21.474	6.	0.1	1.8731
162	22.737	6.	0.1	2.0461
163	24.	6.	0.1	2.2198
164	24.	4.8	0.1	2.2207
165	24.	3.6	0.1	2.2213
166	24.	2.4	0.1	2.2213
167	24.	1.2	0.1	2.2207
168	24.	0.	0.1	2.2198
169	22.737	0.	0.1	2.0461
170	21.474	0.	0.1	1.8731
171	20.211	0.	0.1	1.7017
172	18.947	0.	0.1	1.5329
173	17.684	0.	0.1	1.3675
174	16.421	0.	0.1	1.2065
175	15.158	0.	0.1	1.0509
176	13.895	0.	0.1	0.90166
177	12.632	0.	0.1	0.75983
178	11.368	0.	0.1	0.62646
179	10.105	0.	0.1	0.50267
180	8.8421	0.	0.1	0.38959
181	7.5789	0.	0.1	0.2884
182	6.3158	0.	0.1	0.20032
183	5.0526	0.	0.1	0.12663
184	3.7895	0.	0.1	6.8717e-002
185	2.5263	0.	0.1	2.81e-002
186	1.2632	0.	0.1	6.0009e-003
187	0.	0.	0.1	0.
188	1.049e-014	1.2	0.1	0.
189	2.0981e-014	2.4	0.1	0.
190	3.1471e-014	3.6	0.1	0.
191	4.1961e-014	4.8	0.1	0.
192	3.937e-014	6.	0.1	0.
193	4.1961e-014	4.8	0.	0.
194	3.1471e-014	3.6	0.	0.
195	2.0981e-014	2.4	0.	0.
196	1.049e-014	1.2	0.	0.
197	3.937e-014	6.	0.	0.
198	0.	0.	0.	0.
199	1.2632	0.	0.	6.0009e-003
200	2.5263	0.	0.	2.81e-002
201	3.7895	0.	0.	6.8717e-002
202	5.0526	0.	0.	0.12663
203	6.3158	0.	0.	0.20032
204	7.5789	0.	0.	0.2884
205	8.8421	0.	0.	0.38959
206	10.105	0.	0.	0.50267
207	11.368	0.	0.	0.62646
208	12.632	0.	0.	0.75983
209	13.895	0.	0.	0.90166
210	15.158	0.	0.	1.0509
211	16.421	0.	0.	1.2065
212	17.684	0.	0.	1.3675
213	18.947	0.	0.	1.5329
214	20.211	0.	0.	1.7017
215	21.474	0.	0.	1.8731
216	22.737	0.	0.	2.0461
217	24.	0.	0.	2.2198
218	24.	1.2	0.	2.2207
219	24.	2.4	0.	2.2213
220	24.	3.6	0.	2.2213
221	24.	4.8	0.	2.2207
222	24.	6.	0.	2.2198
223	22.737	6.	0.	2.0461
224	21.474	6.	0.	1.8731
225	20.211	6.	0.	1.7017
226	18.947	6.	0.	1.5329
227	17.684	6.	0.	1.3675
228	16.421	6.	0.	1.2065
229	15.158	6.	0.	1.0509
230	13.895	6.	0.	0.90166
231	12.632	6.	0.	0.75983
232	11.368	6.	0.	0.62646
233	10.105	6.	0.	0.50267
234	8.8421	6.	0.	0.38959
235	7.5789	6.	0.	0.2884
236	6.3158	6.	0.	0.20032
237	5.0526	6.	0.	0.12663
238	3.7895	6.	0.	6.8717e-002
239	2.5263	6.	0.	2.81e-002
240	1.2632	6.	0.	6.0009e-003
241	1.8947	4.8	0.	1.8529e-002
242	1.2632	4.2	0.	8.6151e-003
243	1.2632	4.8	5.e-002	8.155e-003
244	0.63158	4.8	0.	2.0699e-003
245	1.2632	5.4	0.	7.3727e-003
246	3.1579	4.8	0.	5.2376e-002
247	2.5263	4.2	0.	3.461e-002
248	2.5263	4.8	5.e-002	3.3265e-002
249	2.5263	5.4	0.	3.1225e-002
250	4.4211	4.8	0.	0.10287
251	3.7895	4.2	0.	7.751e-002
252	3.7895	4.8	5.e-002	7.5559e-002
253	3.7895	5.4	0.	7.272e-002
254	5.6842	4.8	0.	0.16912
255	5.0526	4.2	0.	0.13629
256	5.0526	4.8	5.e-002	0.13406
257	5.0526	5.4	0.	0.1309
258	6.9474	4.8	0.	0.25002
259	6.3158	4.2	0.	0.21008
260	6.3158	4.8	5.e-002	0.20778
261	6.3158	5.4	0.	0.20457
262	8.2105	4.8	0.	0.34444
263	7.5789	4.2	0.	0.29783
264	7.5789	4.8	5.e-002	0.29559
265	7.5789	5.4	0.	0.29248
266	9.4737	4.8	0.	0.45123
267	8.8421	4.2	0.	0.39846
268	8.8421	4.8	5.e-002	0.39634
269	8.8421	5.4	0.	0.39341
270	10.737	4.8	0.	0.56924
271	10.105	4.2	0.	0.51084
272	10.105	4.8	5.e-002	0.50888
273	10.105	5.4	0.	0.50618
274	12.	4.8	0.	0.69736
275	11.368	4.2	0.	0.63387
276	11.368	4.8	5.e-002	0.63208
277	11.368	5.4	0.	0.62964
278	13.263	4.8	0.	0.8345
279	12.632	4.2	0.	0.76645
280	12.632	4.8	5.e-002	0.76485
281	12.632	5.4	0.	0.76266
282	14.526	4.8	0.	0.97958
283	13.895	4.2	0.	0.9075
284	13.895	4.8	5.e-002	0.90609
285	13.895	5.4	0.	0.90416
286	15.789	4.8	0.	1.1316
287	15.158	4.2	0.	1.056
288	15.158	4.8	5.e-002	1.0547
289	15.158	5.4	0.	1.0531
290	17.053	4.8	0.	1.2894
291	16.421	4.2	0.	1.2108
292	16.421	4.8	5.e-002	1.2098
293	16.421	5.4	0.	1.2084
294	18.316	4.8	0.	1.4522
295	17.684	4.2	0.	1.3711
296	17.684	4.8	5.e-002	1.3702
297	17.684	5.4	0.	1.3691
298	19.579	4.8	0.	1.6189
299	18.947	4.2	0.	1.5358
300	18.947	4.8	5.e-002	1.5351
301	18.947	5.4	0.	1.5342
302	20.842	4.8	0.	1.7887
303	20.211	4.2	0.	1.704
304	20.211	4.8	5.e-002	1.7035
305	20.211	5.4	0.	1.7027
306	22.105	4.8	0.	1.9606
307	21.474	4.2	0.	1.8749
308	21.474	4.8	5.e-002	1.8744
309	21.474	5.4	0.	1.8738
310	22.737	4.2	0.	2.0475
311	22.737	4.8	5.e-002	2.0471
312	23.368	4.8	0.	2.1339
313	22.737	5.4	0.	2.0466
314	1.8947	3.6	0.	1.9911e-002
315	1.2632	3.	0.	8.9172e-003
316	1.2632	3.6	5.e-002	8.8244e-003
317	0.63158	3.6	0.	2.2149e-003
318	3.1579	3.6	0.	5.4974e-002
319	2.5263	3.	0.	3.5576e-002
320	2.5263	3.6	5.e-002	3.5308e-002
321	4.4211	3.6	0.	0.10618
322	3.7895	3.	0.	7.8964e-002
323	3.7895	3.6	5.e-002	7.8577e-002
324	5.6842	3.6	0.	0.17271
325	5.0526	3.	0.	0.138
326	5.0526	3.6	5.e-002	0.13755
327	6.9474	3.6	0.	0.25362
328	6.3158	3.	0.	0.21187
329	6.3158	3.6	5.e-002	0.2114
330	8.2105	3.6	0.	0.3479
331	7.5789	3.	0.	0.29959
332	7.5789	3.6	5.e-002	0.29913
333	9.4737	3.6	0.	0.45446
334	8.8421	3.	0.	0.40013
335	8.8421	3.6	5.e-002	0.39968
336	10.737	3.6	0.	0.5722
337	10.105	3.	0.	0.51239
338	10.105	3.6	5.e-002	0.51197
339	12.	3.6	0.	0.70003
340	11.368	3.	0.	0.63528
341	11.368	3.6	5.e-002	0.6349
342	13.263	3.6	0.	0.83687
343	12.632	3.	0.	0.76771
344	12.632	3.6	5.e-002	0.76737
345	14.526	3.6	0.	0.98165
346	13.895	3.	0.	0.90861
347	13.895	3.6	5.e-002	0.90832
348	15.789	3.6	0.	1.1333
349	15.158	3.	0.	1.0569
350	15.158	3.6	5.e-002	1.0567
351	17.053	3.6	0.	1.2909
352	16.421	3.	0.	1.2117
353	16.421	3.6	5.e-002	1.2114
354	18.316	3.6	0.	1.4534
355	17.684	3.	0.	1.3718
356	17.684	3.6	5.e-002	1.3716
357	19.579	3.6	0.	1.6199
358	18.947	3.	0.	1.5364
359	18.947	3.6	5.e-002	1.5362
360	20.842	3.6	0.	1.7895
361	20.211	3.	0.	1.7045
362	20.211	3.6	5.e-002	1.7044
363	22.105	3.6	0.	1.9613
364	21.474	3.	0.	1.8752
365	21.474	3.6	5.e-002	1.8751
366	22.737	3.	0.	2.0478
367	22.737	3.6	5.e-002	2.0477
368	23.368	3.6	0.	2.1344
369	1.8947	2.4	0.	1.9911e-002
370	1.2632	1.8	0.	8.6151e-003
