Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	1.5	4.5	0.	3.1062e-004
2	3.	4.5	0.	1.8859e-004
3	4.5	4.5	0.	1.7631e-004
4	6.	4.5	0.	1.5414e-004
5	7.5	4.5	0.	1.3773e-004
6	9.	4.5	0.	1.2187e-004
7	10.5	4.5	0.	1.0719e-004
8	12.	4.5	0.	9.3367e-005
9	13.5	4.5	0.	8.0901e-005
10	15.	4.5	0.	6.8644e-005
11	16.5	4.5	0.	5.6784e-005
12	18.	4.5	0.	4.5493e-005
13	19.5	4.5	0.	3.4993e-005
14	21.	4.5	0.	2.5774e-005
15	22.5	4.5	0.	1.8684e-005
16	1.5	3.	0.	3.4e-004
17	3.	3.	0.	1.9915e-004
18	4.5	3.	0.	1.853e-004
19	6.	3.	0.	1.5767e-004
20	7.5	3.	0.	1.3883e-004
21	9.	3.	0.	1.2213e-004
22	10.5	3.	0.	1.0728e-004
23	12.	3.	0.	9.3248e-005
24	13.5	3.	0.	8.0559e-005
25	15.	3.	0.	6.8413e-005
26	16.5	3.	0.	5.6656e-005
27	18.	3.	0.	4.5565e-005
28	19.5	3.	0.	3.5519e-005
29	21.	3.	0.	2.7128e-005
30	22.5	3.	0.	2.1254e-005
31	1.5	1.5	0.	3.1062e-004
32	3.	1.5	0.	1.8859e-004
33	4.5	1.5	0.	1.7631e-004
34	6.	1.5	0.	1.5414e-004
35	7.5	1.5	0.	1.3773e-004
36	9.	1.5	0.	1.2187e-004
37	10.5	1.5	0.	1.0719e-004
38	12.	1.5	0.	9.3367e-005
39	13.5	1.5	0.	8.0901e-005
40	15.	1.5	0.	6.8644e-005
41	16.5	1.5	0.	5.6784e-005
42	18.	1.5	0.	4.5493e-005
43	19.5	1.5	0.	3.4993e-005
44	21.	1.5	0.	2.5774e-005
45	22.5	1.5	0.	1.8684e-005
46	22.5	1.5	0.1	3.5197e-005
47	21.	1.5	0.1	6.5578e-005
48	19.5	1.5	0.1	9.8151e-005
49	18.	1.5	0.1	1.323e-004
50	16.5	1.5	0.1	1.6795e-004
51	15.	1.5	0.1	2.0498e-004
52	13.5	1.5	0.1	2.433e-004
53	12.	1.5	0.1	2.8282e-004
54	10.5	1.5	0.1	3.2336e-004
55	9.	1.5	0.1	3.6471e-004
56	7.5	1.5	0.1	4.0632e-004
57	6.	1.5	0.1	4.4741e-004
58	4.5	1.5	0.1	4.8404e-004
59	3.	1.5	0.1	5.2171e-004
60	1.5	1.5	0.1	5.3516e-004
61	22.5	3.	0.1	3.6333e-005
62	21.	3.	0.1	6.6229e-005
63	19.5	3.	0.1	9.834e-005
64	18.	3.	0.1	1.3218e-004
65	16.5	3.	0.1	1.6769e-004
