Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
226	21.746	0.	0.1	0.45041
227	20.619	0.	0.1	0.41784
228	19.492	0.	0.1	0.38535
229	18.365	0.	0.1	0.353
230	17.237	0.	0.1	0.32089
231	16.11	0.	0.1	0.28912
232	14.983	0.	0.1	0.25781
233	13.856	0.	0.1	0.2271
234	12.729	0.	0.1	0.19716
235	11.602	0.	0.1	0.16817
236	10.475	0.	0.1	0.14032
237	9.3479	0.	0.1	0.11383
238	8.2208	0.	0.1	8.8899e-002
239	7.0938	0.	0.1	6.5561e-002
240	5.9667	0.	0.1	4.3459e-002
241	5.8	0.	0.1	3.9315e-002
242	4.64	-1.6499e-030	0.1	2.5979e-002
243	3.48	-1.2374e-030	0.1	1.4509e-002
244	2.32	-8.2497e-031	0.1	5.9804e-003
245	1.16	-4.1248e-031	0.1	1.2817e-003
246	0.	0.	0.1	0.
247	3.937e-014	6.	0.1	0.
248	1.16	6.	0.1	1.2848e-003
249	2.32	6.	0.1	5.8779e-003
250	3.48	6.	0.1	1.4198e-002
251	4.64	6.	0.1	2.5613e-002
252	5.8	6.	0.1	3.9071e-002
253	4.64	6.	0.	2.5613e-002
254	3.48	6.	0.	1.4198e-002
255	2.32	6.	0.	5.8779e-003
256	1.16	6.	0.	1.2848e-003
257	5.8	6.	0.	3.9071e-002
258	3.937e-014	6.	0.	0.
259	1.16	-4.1248e-031	0.	1.2817e-003
260	2.32	-8.2497e-031	0.	5.9804e-003
261	3.48	-1.2374e-030	0.	1.4509e-002
262	4.64	-1.6499e-030	0.	2.5979e-002
263	5.8	0.	0.	3.9315e-002
264	0.	0.	0.	0.
265	7.0938	0.	0.	6.5561e-002
266	8.2208	0.	0.	8.8899e-002
267	9.3479	0.	0.	0.11383
268	10.475	0.	0.	0.14032
269	11.602	0.	0.	0.16817
270	12.729	0.	0.	0.19716
271	13.856	0.	0.	0.2271
272	14.983	0.	0.	0.25781
273	16.11	0.	0.	0.28912
274	17.237	0.	0.	0.32089
275	18.365	0.	0.	0.353
276	19.492	0.	0.	0.38535
277	20.619	0.	0.	0.41784
278	21.746	0.	0.	0.45041
279	22.873	0.	0.	0.48301
280	5.9667	0.	0.	4.3459e-002
281	24.	0.	0.	0.51563
282	4.1961e-014	4.8	0.	0.
283	3.1471e-014	3.6	0.	0.
284	2.0981e-014	2.4	0.	0.
285	1.049e-014	1.2	0.	0.
286	24.	1.2	0.	0.51536
287	24.	2.4	0.	0.51507
288	24.	3.6	0.	0.51475
289	24.	4.8	0.	0.51439
290	24.	6.	0.	0.51401
291	22.873	6.	0.	0.4814
292	21.746	6.	0.	0.44879
293	20.619	6.	0.	0.41622
294	19.492	6.	0.	0.38373
295	18.365	6.	0.	0.35139
296	17.237	6.	0.	0.31928
297	16.11	6.	0.	0.28751
298	14.983	6.	0.	0.2562
299	13.856	6.	0.	0.22549
300	12.729	6.	0.	0.19555
301	11.602	6.	0.	0.16657
302	10.475	6.	0.	0.13875
303	9.3479	6.	0.	0.11232
304	8.2208	6.	0.	8.7464e-002
305	7.0938	6.	0.	6.422e-002
306	5.9667	6.	0.	4.2225e-002
307	5.8	1.5	0.	4.2718e-002
308	5.8	1.	0.	4.1501e-002
309	5.8	0.5	0.	4.0394e-002
310	5.8	2.	0.	4.389e-002
311	5.9667	0.5	0.	4.4161e-002
312	5.9667	1.	0.	4.4922e-002
313	5.9667	1.5	0.	4.5764e-002
314	5.9667	2.	0.	4.6554e-002
315	5.8	4.5	0.	4.2639e-002
316	5.8	5.	0.	4.1386e-002
317	5.8	5.5	0.	4.0201e-002
318	5.8	4.	0.	4.3698e-002
319	5.9667	5.5	0.	4.3177e-002
320	5.9667	5.	0.	4.4202e-002
321	5.9667	4.5	0.	4.532e-002
322	5.9667	4.	0.	4.6361e-002
323	6.1129	3.0014	0.	4.9609e-002
324	6.5594	2.8295	0.	5.7293e-002
325	6.2148	2.8008	5.e-002	5.1292e-002
326	6.0074	2.4004	0.	4.7686e-002
327	6.629	3.4128	0.	5.8386e-002
328	5.6741	2.7747	0.	4.2689e-002
329	5.5405	3.226	0.	4.0644e-002
330	6.011	3.2021	5.e-002	4.7885e-002
331	5.9888	3.601	0.	4.7276e-002
332	7.429	1.1983	0.	7.3323e-002
333	6.8164	1.2142	0.	6.1248e-002
334	7.1312	1.7431	0.	6.766e-002
335	6.949	1.4327	5.e-002	6.3939e-002
336	6.4578	1.4663	0.	5.466e-002
337	3.6842	2.8429	0.	1.843e-002
338	3.2704	3.4234	0.	1.4605e-002
339	4.0392	3.7256	0.	2.1817e-002
340	4.4596	3.2995	0.	2.6567e-002
341	3.8492	3.3492	5.e-002	1.999e-002
342	7.2119	3.9467	0.	6.8987e-002
343	7.8428	4.5121	0.	8.1226e-002
344	7.0816	4.507	0.	6.5973e-002
345	7.1768	4.2699	5.e-002	6.8045e-002
346	6.5718	4.1349	0.	5.6755e-002
347	4.778	0.59805	0.	2.8597e-002
348	4.9521	0.39654	5.e-002	3.021e-002
349	4.7961	0.19827	0.	2.8097e-002
350	5.3761	0.44827	0.	3.5237e-002
351	7.4539	0.76136	0.	7.3538e-002
352	6.8414	0.77724	0.	6.136e-002
353	6.9989	0.55877	5.e-002	6.4237e-002
354	7.0463	0.27938	0.	6.4914e-002
355	6.4828	0.52938	0.	5.4125e-002
356	4.454	4.9397	0.	2.5262e-002
357	5.0294	4.8596	0.	3.2015e-002
358	4.5589	4.3924	0.	2.7029e-002
359	4.8886	4.6827	5.e-002	3.0532e-002
360	5.3443	4.5914	0.	3.6377e-002
361	7.3285	5.3885	0.	6.9828e-002
362	6.7405	5.2777	0.	5.8392e-002
363	6.8434	5.4753	5.e-002	6.0083e-002
364	6.9686	5.7377	0.	6.2151e-002
365	6.405	5.4877	0.	5.1582e-002
366	7.8525	3.6814	0.	8.1992e-002
367	7.0755	3.2408	0.	6.6739e-002
368	7.247	3.6235	5.e-002	6.9871e-002
369	4.4993	5.2967	0.	2.5274e-002
370	5.0747	5.2166	0.	3.1981e-002
371	4.9792	5.3967	5.e-002	3.0523e-002
372	4.8096	5.6984	0.	2.8055e-002
373	5.3896	5.4484	0.	3.5319e-002
374	3.9647	1.3569	0.	2.071e-002
375	4.5248	1.9242	0.	2.7147e-002
376	4.5682	1.1323	0.	2.6959e-002
377	4.9349	1.9062	0.	3.2034e-002
378	4.5325	1.465	5.e-002	2.688e-002
379	5.1663	1.4825	0.	3.4447e-002
380	2.8583	1.2087	0.	1.0775e-002
381	3.458	1.7927	0.	1.6096e-002
382	3.3969	1.2487	5.e-002	1.5221e-002
383	3.4385	0.62433	0.	1.4999e-002
384	4.018	2.36	0.	2.1741e-002
385	4.9271	2.3653	0.	3.2249e-002
386	4.7935	2.8166	0.	3.0647e-002
387	4.517	2.3833	5.e-002	2.7253e-002
388	8.0381	1.387	0.	8.5956e-002
389	8.7049	1.8542	0.	0.10039
390	7.7404	1.9318	0.	7.9942e-002
391	8.4925	2.2276	0.	9.5813e-002
392	8.1673	1.8101	5.e-002	8.8804e-002
393	3.4846	4.9562	0.	1.5639e-002
394	4.0194	5.1966	5.e-002	2.039e-002
395	3.7497	5.5983	0.	1.7264e-002
396	1.3589	4.1827	0.	2.5086e-003
397	2.1608	4.7385	0.	6.0899e-003
398	1.3717	4.7612	5.e-002	2.4337e-003
399	1.2659	5.3806	0.	1.8967e-003
400	0.68587	4.7806	0.	6.1583e-004
401	1.7497	1.181	0.	3.9976e-003
402	1.2083	1.7977	0.	2.0011e-003
403	1.1798	1.1933	5.e-002	1.8091e-003
404	1.1699	0.59664	0.	1.6105e-003
405	0.58991	1.1966	0.	4.6021e-004
406	2.3564	1.7671	0.	7.5627e-003
407	2.3196	1.1688	5.e-002	7.0505e-003
408	2.3198	0.5844	0.	6.6301e-003
409	8.5754	0.97223	0.	9.7258e-002
410	7.909	0.96395	5.e-002	8.3033e-002
411	8.0649	0.48198	0.	8.5998e-002
412	9.8178	1.0378	0.	0.12532
413	9.2422	1.4394	0.	0.11225
414	9.2418	0.9805	5.e-002	0.11205
415	9.2949	0.49025	0.	0.11299
416	10.926	1.1536	0.	0.15189
417	10.311	1.6694	0.	0.13713
418	10.394	1.095	5.e-002	0.13896
419	10.434	0.54752	0.	0.13969
420	12.044	1.2033	0.	0.17988
421	11.393	1.799	0.	0.16356
422	11.459	1.2122	5.e-002	0.16509
423	11.531	0.60608	0.	0.16668
424	13.208	1.1869	0.	0.21013
425	12.58	1.7889	0.	0.19374
426	12.629	1.1944	5.e-002	0.19494
427	12.679	0.59721	0.	0.1961
428	14.366	1.1763	0.	0.24112
429	13.755	1.7708	0.	0.22469
430	13.788	1.1794	5.e-002	0.22554
431	13.822	0.5897	0.	0.22636
432	15.514	1.1764	0.	0.27259
433	14.921	1.7612	0.	0.25627
434	14.944	1.1731	5.e-002	0.25688
435	14.963	0.58657	0.	0.25738
436	16.651	1.1809	0.	0.30432
437	16.074	1.7673	0.	0.28814
438	16.083	1.1796	5.e-002	0.28843
439	16.097	0.58982	0.	0.2888
440	17.78	1.1823	0.	0.33627
441	17.212	1.7732	0.	0.32009
442	17.218	1.1822	5.e-002	0.32031
443	17.228	0.5911	0.	0.32062
444	18.909	1.1872	0.	0.36849
445	18.341	1.7763	0.	0.35217
446	18.343	1.1825	5.e-002	0.3523
447	18.354	0.59123	0.	0.35266
448	20.038	1.193	0.	0.40091
449	19.469	1.7896	0.	0.38444
450	19.476	1.192	5.e-002	0.38473
451	19.484	0.59602	0.	0.38505
452	21.169	1.1932	0.	0.4335
453	20.592	1.7958	0.	0.41673
454	20.601	1.194	5.e-002	0.41711
455	20.61	0.597	0.	0.41748
456	22.302	1.1939	0.	0.46625
457	21.728	1.7915	0.	0.44954
458	21.737	1.1924	5.e-002	0.44991
459	21.741	0.59621	0.	0.45016
460	22.863	1.7945	0.	0.48232
461	22.867	1.1953	5.e-002	0.48259
462	22.87	0.59766	0.	0.48281
463	23.434	1.1977	0.	0.49898
464	1.2914	3.0032	0.	2.3461e-003
465	2.0188	3.5509	0.	5.652e-003
466	1.346	3.6042	5.e-002	2.5147e-003
467	0.67301	3.6021	0.	6.3267e-004
468	1.8149	2.3837	0.	4.6e-003
469	1.2367	2.4022	5.e-002	2.1373e-003
470	0.61836	2.4011	0.	5.3719e-004
471	22.856	2.9971	0.	0.48183
472	22.289	2.3921	0.	0.46559
473	22.858	2.3936	5.e-002	0.48203
474	23.429	2.3968	0.	0.49855
475	22.858	4.1982	0.	0.48154
476	22.288	3.5992	0.	0.46523
477	22.855	3.6007	5.e-002	0.48161
478	23.427	3.6003	0.	0.49818
479	22.295	4.7966	0.	0.46508
480	22.861	4.7958	5.e-002	0.48145
481	23.431	4.7979	0.	0.49792
482	22.867	5.3979	0.	0.48143
483	21.162	4.7967	0.	0.43235
484	21.725	4.1975	0.	0.44879
485	21.729	4.7974	5.e-002	0.44872
486	21.738	5.3987	0.	0.44876
487	20.029	4.7972	0.	0.39968
488	20.587	4.1955	0.	0.41594
489	20.595	4.796	5.e-002	0.41599
490	20.607	5.398	0.	0.41611
491	18.9	4.7873	0.	0.36725
492	19.457	4.1923	0.	0.38344
493	19.463	4.7985	5.e-002	0.3834
494	19.477	5.3992	0.	0.38357
495	17.773	4.756	0.	0.33511
496	18.336	4.1741	0.	0.35138
497	18.337	4.7761	5.e-002	0.35115
498	18.351	5.388	0.	0.35128
499	16.632	4.7316	0.	0.30288
500	17.211	4.1412	0.	0.31944
501	17.21	4.7358	5.e-002	0.31915
502	17.224	5.3679	0.	0.31923
503	15.486	4.7387	0.	0.27091
504	16.055	4.1249	0.	0.287
505	16.055	4.7273	5.e-002	0.28671
506	16.083	5.3637	0.	0.28713
507	14.336	4.7541	0.	0.23937
508	14.902	4.1489	0.	0.25512
509	14.918	4.7501	5.e-002	0.25524
510	14.951	5.375	0.	0.25575
511	13.157	4.759	0.	0.20783
512	13.73	4.1591	0.	0.2234
513	13.754	4.7582	5.e-002	0.22368
514	13.805	5.3791	0.	0.22462
515	11.933	4.7448	0.	0.17612
516	12.527	4.1641	0.	0.19174
517	12.56	4.7598	5.e-002	0.19222
518	12.645	5.3799	0.	0.19393
519	10.666	4.7381	0.	0.14467
520	11.253	4.1405	0.	0.15945
521	11.305	4.7299	5.e-002	0.16035
522	11.454	5.365	0.	0.16351
523	9.268	4.7503	0.	0.11188
524	9.8778	4.0986	0.	0.12637
525	10.027	4.7464	5.e-002	0.12939
526	10.251	5.3732	0.	0.13411
527	8.1612	5.028	0.	8.7398e-002
528	8.4834	4.2468	0.	9.4937e-002
529	8.5088	4.7542	5.e-002	9.5077e-002
530	8.9284	5.3771	0.	0.10366
531	7.4001	5.023	0.	7.1718e-002
532	7.8137	5.3017	5.e-002	7.9813e-002
533	8.0173	5.6509	0.	8.3638e-002
534	2.9561	2.351	0.	1.2008e-002
535	3.5191	2.3367	5.e-002	1.6821e-002
536	9.0932	3.5951	0.	0.10871
537	8.1521	3.2793	0.	8.8391e-002
538	8.4581	3.7393	5.e-002	9.4694e-002
539	2.5424	2.9315	0.	8.9785e-003
540	2.8207	4.1068	0.	1.0749e-002
541	2.6916	3.4977	5.e-002	9.9693e-003
542	2.3931	2.3653	5.e-002	7.9321e-003
543	9.7353	2.0711	0.	0.12365
544	9.0302	2.2717	0.	0.10761
545	9.2425	1.8983	5.e-002	0.11235
546	10.778	2.3149	0.	0.14841
547	9.9781	2.8473	0.	0.12924
548	10.228	2.2439	5.e-002	0.1352
549	11.929	2.3847	0.	0.17703
550	11.264	2.9685	0.	0.16024
551	11.328	2.3859	5.e-002	0.16192
552	13.126	2.3728	0.	0.20798
553	12.512	2.9759	0.	0.19186
554	12.531	2.3835	5.e-002	0.19245
555	14.31	2.3557	0.	0.23958
556	13.714	2.9611	0.	0.22344
557	13.721	2.3622	5.e-002	0.22376
558	15.481	2.3521	0.	0.27161
559	14.892	2.9485	0.	0.2553
560	14.898	2.3493	5.e-002	0.25559
561	16.635	2.3596	0.	0.30375
562	16.06	2.9387	0.	0.28754
563	16.064	2.3549	5.e-002	0.28778
564	17.773	2.3672	0.	0.33588
565	17.209	2.9555	0.	0.31978
566	17.206	2.3643	5.e-002	0.31982
567	18.901	2.3786	0.	0.36804
568	18.338	2.9711	0.	0.3518
569	18.34	2.3701	5.e-002	0.352
570	20.023	2.3923	0.	0.40022
571	19.457	2.9867	0.	0.38381
572	19.462	2.3872	5.e-002	0.38412
573	21.152	2.394	0.	0.43274
574	20.58	2.9963	0.	0.41612
575	20.583	2.3975	5.e-002	0.41634
576	21.72	2.9941	0.	0.44901
577	21.72	2.3906	5.e-002	0.44916
578	21.149	3.5964	0.	0.43236
579	21.721	3.5976	5.e-002	0.44884
580	20.014	3.5906	0.	0.39966
581	20.578	3.5951	5.e-002	0.41588
582	18.893	3.5791	0.	0.36749
583	19.451	3.5862	5.e-002	0.38347
584	17.774	3.5593	0.	0.3356
585	18.336	3.572	5.e-002	0.35157
586	16.634	3.5346	0.	0.30342
587	17.212	3.5467	5.e-002	0.31969
588	15.471	3.5351	0.	0.27102
589	16.056	3.5225	5.e-002	0.28724
590	14.296	3.5539	0.	0.23889
591	14.886	3.5477	5.e-002	0.25493
592	13.1	3.5642	0.	0.20698
593	13.706	3.56	5.e-002	0.22304
594	11.847	3.5598	0.	0.17463
595	12.494	3.5684	5.e-002	0.19117
596	9.273	3.048	0.	0.11295
597	10.464	3.501	0.	0.14055
598	9.7282	3.4508	5.e-002	0.12322
599	6.812	4.9121	0.	6.0286e-002
600	6.6375	5.08	5.e-002	5.6686e-002
601	6.3021	5.04	0.	5.0403e-002
602	6.9864	4.7442	5.e-002	6.3847e-002
603	6.4766	4.6221	0.	5.4345e-002
604	4.6039	0.79956	5.e-002	2.6925e-002
605	4.042	0.39978	0.	2.0426e-002
606	5.202	0.89978	0.	3.4006e-002
607	5.3372	2.3473	5.e-002	3.7634e-002
608	5.5686	2.1737	0.	4.0723e-002
609	3.5895	4.409	0.	1.7041e-002
610	2.9499	4.7159	5.e-002	1.1385e-002
