Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	2.214	3.6232	0.	4.589e-004
2	1.677	2.7858	0.	3.2396e-004
3	0.97271	3.5185	0.	8.2699e-005
4	3.1961	2.2939	0.	1.0313e-004
5	0.78582	2.1681	0.	1.7759e-005
6	0.971	4.9405	0.	8.4009e-005
7	1.4535	1.5804	0.	9.7194e-005
8	3.5255	2.9335	0.	1.3553e-004
9	4.5067	4.5262	0.	1.0399e-004
10	4.3716	1.1543	0.	1.2599e-004
11	19.791	4.0076	0.	2.8432e-005
12	15.368	3.8707	0.	5.5891e-005
13	17.637	3.9919	0.	4.54e-005
14	2.4867	2.7112	0.	2.5651e-004
15	2.0457	3.5784	0.	3.1718e-004
16	21.893	4.0148	0.	1.0607e-005
17	12.978	4.3995	0.	8.4026e-005
18	10.802	4.4526	0.	1.0274e-004
19	8.685	4.4719	0.	1.1679e-004
20	6.6099	4.4827	0.	1.2929e-004
21	3.3244	3.6623	0.	7.6723e-005
22	21.963	2.0194	0.	1.0145e-005
23	6.3838	1.4295	0.	1.36e-004
24	8.3593	1.4551	0.	1.2054e-004
25	10.297	1.4309	0.	1.0661e-004
26	12.215	1.3598	0.	8.9503e-005
27	14.247	1.4062	0.	7.0659e-005
28	16.081	1.8179	0.	5.5421e-005
29	17.91	2.0146	0.	4.3242e-005
30	19.918	2.0203	0.	2.7047e-005
31	1.1527	1.1886	0.	1.4141e-004
32	3.4978	1.891	0.	1.3741e-004
33	4.9165	2.8224	0.	9.9316e-005
34	6.6187	2.9237	0.	1.1814e-004
35	12.486	2.8869	0.	8.2614e-005
36	10.561	2.9519	0.	1.0384e-004
37	8.5682	2.9483	0.	1.14e-004
38	14.006	2.5548	0.	7.337e-005
39	1.6423	3.6029	0.	1.8107e-004
40	1.8694	3.2738	0.	3.1701e-004
41	2.5696	3.2664	0.	3.0534e-004
42	2.5696	3.2664	0.1	-3.0534e-004
43	1.8694	3.2738	0.1	-3.1701e-004
44	1.6423	3.6029	0.1	-1.8107e-004
45	14.006	2.5548	0.1	-7.337e-005
46	8.5682	2.9483	0.1	-1.14e-004
47	10.561	2.9519	0.1	-1.0384e-004
48	12.486	2.8869	0.1	-8.2614e-005
49	6.6187	2.9237	0.1	-1.1814e-004
50	4.9165	2.8224	0.1	-9.9316e-005
51	3.4978	1.891	0.1	-1.3741e-004
52	1.1527	1.1886	0.1	-1.4141e-004
53	19.918	2.0203	0.1	-2.7047e-005
54	17.91	2.0146	0.1	-4.3242e-005
55	16.081	1.8179	0.1	-5.5421e-005
56	14.247	1.4062	0.1	-7.0659e-005
57	12.215	1.3598	0.1	-8.9503e-005
58	10.297	1.4309	0.1	-1.0661e-004
59	8.3593	1.4551	0.1	-1.2054e-004
60	6.3838	1.4295	0.1	-1.36e-004
61	21.963	2.0194	0.1	-1.0145e-005
62	3.3244	3.6623	0.1	-7.6723e-005
63	6.6099	4.4827	0.1	-1.2929e-004
64	8.685	4.4719	0.1	-1.1679e-004
65	10.802	4.4526	0.1	-1.0274e-004
66	12.978	4.3995	0.1	-8.4026e-005
67	21.893	4.0148	0.1	-1.0607e-005
68	2.0457	3.5784	0.1	-3.1718e-004
69	2.4867	2.7112	0.1	-2.5651e-004
70	17.637	3.9919	0.1	-4.54e-005
71	15.368	3.8707	0.1	-5.5891e-005
72	19.791	4.0076	0.1	-2.8432e-005
73	4.3716	1.1543	0.1	-1.2599e-004
74	4.5067	4.5262	0.1	-1.0399e-004
75	3.5255	2.9335	0.1	-1.3553e-004
76	1.4535	1.5804	0.1	-9.7194e-005
77	0.971	4.9405	0.1	-8.4009e-005
78	0.78582	2.1681	0.1	-1.7759e-005
79	3.1961	2.2939	0.1	-1.0313e-004
80	0.97271	3.5185	0.1	-8.2699e-005
81	1.677	2.7858	0.1	-3.2396e-004
82	2.214	3.6232	0.1	-4.589e-004
83	2.1667	1.	0.1	-1.3471e-004
84	2.1667	1.5	0.1	-1.9161e-004
85	2.1667	2.	0.1	-5.004e-004
86	2.	2.	0.1	-4.146e-004
87	2.	1.5	0.1	-2.3333e-004
88	2.	1.	0.1	3.0921e-005
89	2.1667	4.75	0.1	-1.5336e-004
90	2.1667	4.	0.1	-2.6925e-004
91	2.	4.	0.1	-4.4507e-004
92	2.	4.5	0.1	-1.6656e-004
93	2.	5.	0.1	-1.1385e-004
94	2.1667	6.	0.1	-3.5996e-005
95	4.35	6.	0.1	-9.132e-005
96	6.5333	6.	0.1	-1.4387e-004
97	8.7167	6.	0.1	-1.2003e-004
98	10.9	6.	0.1	-1.0479e-004
99	13.083	6.	0.1	-7.5652e-005
100	15.267	6.	0.1	-5.7067e-005
101	17.45	6.	0.1	-4.959e-005
102	19.633	6.	0.1	-3.1006e-005
103	21.817	6.	0.1	-1.2126e-005
104	24.	6.	0.1	-2.4962e-006
105	24.	4.	0.1	-1.1473e-006
106	24.	2.	0.1	-9.5515e-007
107	1.7484e-014	2.	0.1	2.9797e-005
108	3.4968e-014	4.	0.1	2.2589e-005
109	4.371e-014	5.	0.1	9.2152e-006
110	3.937e-014	6.	0.1	-3.9836e-006
111	1.	6.	0.1	-9.249e-005
112	2.	6.	0.1	-6.7734e-005
113	24.	0.	0.1	-1.8923e-006
114	22.015	0.	0.1	-1.0076e-005
115	20.03	0.	0.1	-2.6352e-005
116	18.045	0.	0.1	-4.0735e-005
117	16.061	0.	0.1	-5.5015e-005
118	14.076	0.	0.1	-7.0605e-005
119	12.091	0.	0.1	-9.2076e-005
120	10.106	0.	0.1	-1.0787e-004
121	8.1212	0.	0.1	-1.2392e-004
122	6.1364	0.	0.1	-1.4444e-004
123	4.1515	0.	0.1	-1.066e-004
124	2.1667	0.	0.1	-7.1153e-005
125	2.	0.	0.1	-7.2532e-005
126	0.	0.	0.1	5.1111e-005
127	2.	0.	0.	7.2532e-005
128	0.	0.	0.	-5.1111e-005
129	4.1515	0.	0.	1.066e-004
130	6.1364	0.	0.	1.4444e-004
131	8.1212	0.	0.	1.2392e-004
132	10.106	0.	0.	1.0787e-004
133	12.091	0.	0.	9.2076e-005
134	14.076	0.	0.	7.0605e-005
135	16.061	0.	0.	5.5015e-005
136	18.045	0.	0.	4.0735e-005
137	20.03	0.	0.	2.6352e-005
138	22.015	0.	0.	1.0076e-005
139	2.1667	0.	0.	7.1153e-005
140	24.	0.	0.	1.8923e-006
141	1.	6.	0.	9.249e-005
142	2.	6.	0.	6.7734e-005
143	3.937e-014	6.	0.	3.9836e-006
144	4.371e-014	5.	0.	-9.2152e-006
145	3.4968e-014	4.	0.	-2.2589e-005
146	1.7484e-014	2.	0.	-2.9797e-005
147	24.	2.	0.	9.5515e-007
148	24.	4.	0.	1.1473e-006
149	24.	6.	0.	2.4962e-006
150	21.817	6.	0.	1.2126e-005
151	19.633	6.	0.	3.1006e-005
152	17.45	6.	0.	4.959e-005
153	15.267	6.	0.	5.7067e-005
154	13.083	6.	0.	7.5652e-005
155	10.9	6.	0.	1.0479e-004
156	8.7167	6.	0.	1.2003e-004
157	6.5333	6.	0.	1.4387e-004
158	4.35	6.	0.	9.132e-005
159	2.1667	6.	0.	3.5996e-005
160	2.	4.5	0.	1.6656e-004
161	2.	5.	0.	1.1385e-004
162	2.	4.	0.	4.4507e-004
163	2.1667	4.75	0.	1.5336e-004
164	2.1667	4.	0.	2.6925e-004
165	2.	1.5	0.	2.3333e-004
166	2.	1.	0.	-3.0921e-005
167	2.	2.	0.	4.146e-004
168	2.1667	1.	0.	1.3471e-004
169	2.1667	1.5	0.	1.9161e-004
170	2.1667	2.	0.	5.004e-004
171	2.1299	3.6008	0.	3.9091e-004
172	2.3918	3.4448	0.	3.8235e-004
173	2.214	3.6232	5.e-002	3.0067e-012
174	2.1903	3.8116	0.	3.6558e-004
175	1.3248	3.1522	0.	2.2161e-004
176	2.0818	2.7485	0.	2.918e-004
177	1.7732	3.0298	0.	3.1834e-004
178	1.677	2.7858	5.e-002	3.8218e-012
179	1.8385	2.3929	0.	3.5983e-004
180	0.87926	2.8433	0.	3.3899e-005
181	0.97186	4.2295	0.	7.7877e-005
182	1.3075	3.5607	0.	2.702e-004
183	0.97271	3.5185	5.e-002	2.2089e-012
184	0.48636	3.7592	0.	3.225e-005
185	1.4864	4.0092	0.	9.7496e-005
186	3.3608	2.6137	0.	1.0963e-004
187	3.3469	2.0925	0.	1.6893e-004
188	3.1961	2.2939	5.e-002	-1.9948e-012
189	2.6814	2.147	0.	3.3514e-004
190	1.1197	1.8743	0.	5.718e-005
191	0.96926	1.6783	0.	6.9714e-005
192	0.78582	2.1681	5.e-002	-2.5192e-013
193	0.39291	2.084	0.	5.4623e-006
194	1.3929	2.084	0.	2.0978e-004
195	0.971	4.9405	5.e-002	1.9533e-013
196	0.9855	5.4702	0.	8.8928e-005
197	0.4855	4.9702	0.	2.6679e-005
198	1.4855	4.9702	0.	1.0006e-004
199	1.3031	1.3845	0.	1.185e-004
200	1.4535	1.5804	5.e-002	2.7267e-012
201	1.7267	1.5402	0.	2.3351e-004
