Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	5.0229	2.9662	0.	1.0038e-004
2	4.3085	2.4081	0.	4.6786e-005
3	5.6332	3.3389	0.	8.2307e-005
4	4.4372	1.6793	0.	5.8997e-005
5	3.4254	4.7578	0.	4.0081e-005
6	5.3331	2.978	0.	9.e-005
7	22.148	2.0032	0.	1.4014e-006
8	22.151	4.0029	0.	1.4103e-006
9	20.257	4.0518	0.	2.458e-006
10	18.379	4.0786	0.	4.1386e-006
11	16.507	4.1708	0.	6.3345e-006
12	14.633	4.1708	0.	9.0123e-006
13	12.76	4.1708	0.	1.2469e-005
14	10.895	4.0785	0.	1.7535e-005
15	9.0911	3.9918	0.	2.5079e-005
16	7.3565	4.1587	0.	2.4399e-005
17	6.2736	3.5529	0.	4.1466e-005
18	7.3284	1.8461	0.	2.466e-005
19	9.0893	2.0134	0.	2.4912e-005
20	10.913	1.9885	0.	1.7502e-005
21	12.762	1.9573	0.	1.2414e-005
22	14.634	1.9573	0.	9.0038e-006
23	16.504	2.0156	0.	6.3465e-006
24	18.374	2.0478	0.	4.1456e-006
25	20.259	2.0374	0.	2.4655e-006
26	3.825	1.	0.	3.3374e-005
27	1.7383	1.7891	0.	7.4829e-005
28	1.9047	3.7858	0.	7.335e-005
29	3.5203	2.651	0.	5.3376e-005
30	4.6284	3.1585	0.	6.2429e-005
31	3.893	3.7942	0.	4.676e-005
32	5.7061	2.6862	0.	7.6114e-005
33	6.2551	2.4699	0.	4.6684e-005
34	6.2551	2.4699	0.1	1.077e-004
35	5.7061	2.6862	0.1	1.4409e-004
36	3.893	3.7942	0.1	1.1186e-004
37	4.6284	3.1585	0.1	1.6739e-004
38	3.5203	2.651	0.1	1.4125e-004
39	1.9047	3.7858	0.1	1.1358e-004
40	1.7383	1.7891	0.1	1.2121e-004
41	3.825	1.	0.1	1.0079e-004
42	20.259	2.0374	0.1	5.0762e-006
43	18.374	2.0478	0.1	1.0209e-005
44	16.504	2.0156	0.1	1.727e-005
45	14.634	1.9573	0.1	2.6282e-005
46	12.762	1.9573	0.1	3.7097e-005
47	10.913	1.9885	0.1	4.9993e-005
48	9.0893	2.0134	0.1	6.3578e-005
49	7.3284	1.8461	0.1	6.5708e-005
50	6.2736	3.5529	0.1	1.0538e-004
51	7.3565	4.1587	0.1	6.5473e-005
52	9.0911	3.9918	0.1	6.3844e-005
53	10.895	4.0785	0.1	5.026e-005
54	12.76	4.1708	0.1	3.7185e-005
55	14.633	4.1708	0.1	2.6311e-005
56	16.507	4.1708	0.1	1.7264e-005
57	18.379	4.0786	0.1	1.0192e-005
58	20.257	4.0518	0.1	5.0769e-006
59	22.151	4.0029	0.1	1.9236e-006
60	22.148	2.0032	0.1	1.9295e-006
61	5.3331	2.978	0.1	1.8521e-004
62	3.4254	4.7578	0.1	1.1521e-004
63	4.4372	1.6793	0.1	1.1796e-004
64	5.6332	3.3389	0.1	1.7315e-004
65	4.3085	2.4081	0.1	1.3779e-004
66	5.0229	2.9662	0.1	2.0185e-004
67	5.2667	5.	0.1	1.1959e-004
68	5.2667	4.5	0.1	1.7484e-004
69	5.2667	4.	0.1	3.3955e-004
70	5.1	4.	0.1	4.3227e-004
71	5.1	4.5	0.1	2.1109e-004
72	5.1	5.	0.1	1.1482e-004
73	5.2667	1.	0.1	1.152e-004
74	5.2667	1.5	0.1	1.6315e-004
75	5.2667	2.	0.1	4.0701e-004
76	5.1	2.	0.1	3.3371e-004
77	5.1	1.5	0.1	1.917e-004
78	5.1	1.	0.1	1.0769e-004
79	5.2667	6.	0.1	5.2245e-005
80	7.14	6.	0.1	5.6334e-005
81	9.0133	6.	0.1	6.3568e-005
82	10.887	6.	0.1	5.042e-005
83	12.76	6.	0.1	3.8003e-005
84	14.633	6.	0.1	2.6736e-005
85	16.507	6.	0.1	1.747e-005
86	18.38	6.	0.1	1.011e-005
87	20.253	6.	0.1	4.9091e-006
88	22.127	6.	0.1	1.7508e-006
89	24.	6.	0.1	6.0042e-007
90	24.	4.	0.1	8.3559e-007
91	24.	2.	0.1	8.3519e-007
92	1.7484e-014	2.	0.1	1.297e-004
93	3.4968e-014	4.	0.1	1.3177e-004
94	24.	0.	0.1	6.0802e-007
95	22.127	0.	0.1	1.8031e-006
96	20.253	0.	0.1	4.9267e-006
97	18.38	0.	0.1	1.0163e-005
98	16.507	0.	0.1	1.7397e-005
99	14.633	0.	0.1	2.6748e-005
100	12.76	0.	0.1	3.791e-005
101	10.887	0.	0.1	5.0088e-005
102	9.0133	0.	0.1	6.2652e-005
103	7.14	0.	0.1	5.6203e-005
