Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
333,6.8364,1.213,0,7.1623e-05,715.73,3.1372e-05,97.237,1.9076e-05,4.8502,-6.9437e-05,-660.2,0.061621
334,7.1516,1.7408,0,8.9188e-05,891.27,3.5829e-05,24.485,2.0375e-05,-91.626,-8.9761e-05,-919.15,0.06805
335,6.9694,1.431,0.05,1.1218e-05,112.1,8.6139e-06,64.722,9.6244e-13,1.0681e-06,-8.6139e-06,-64.722,0.064326
336,6.478,1.4655,0,0.00010505,1049.8,4.7878e-05,172.27,2.7371e-05,18.19,-0.00010096,-946.01,0.055016
337,3.7106,2.8329,0,0.0001191,1190.1,4.9518e-05,9.1174,2.167e-05,-200.12,-0.00012096,-1271.8,0.018682
338,3.287,3.4158,0,0.00011866,1185.8,4.7111e-05,-51.352,1.9869e-05,-256.04,-0.00012256,-1326.2,0.014751
339,4.0661,3.7129,0,0.00011691,1168.3,4.5089e-05,-45.923,2.2588e-05,-214.99,-0.00012043,-1289.6,0.022099
340,4.5181,3.2672,0,0.00012846,1283.7,5.1789e-05,26.955,2.8182e-05,-150.42,-0.00012963,-1336.2,0.027249
341,3.8732,3.3343,0.05,1.4121e-06,14.111,1.0843e-06,8.1471,-4.6537e-15,3.1576e-08,-1.0843e-06,-8.1471,0.02023
342,7.2342,3.9464,0,9.6448e-05,963.82,3.402e-05,-51.547,2.3189e-05,-132.93,-9.9328e-05,-1053.5,0.069395
343,7.8612,4.5112,0,7.7996e-05,779.42,2.7749e-05,-37.498,1.8724e-05,-105.3,-8.0204e-05,-848.61,0.081589
344,7.1005,4.5071,0,8.6768e-05,867.09,3.416e-05,15.35,2.0297e-05,-88.814,-8.7547e-05,-899.11,0.066305
345,7.1952,4.2701,0.05,5.4843e-06,54.805,4.2113e-06,31.642,-5.1449e-14,1.1109e-08,-4.2113e-06,-31.642,0.068373
346,6.5909,4.135,0,0.00015658,1564.8,5.4144e-05,-123.08,3.5849e-05,-260.54,-0.00016266,-1752,0.057064
347,4.795,0.59686,0,6.7976e-05,679.29,4.0233e-05,230.26,1.1051e-05,10.992,-6.1162e-05,-531.59,0.028803
348,4.9696,0.39611,0.05,1.0219e-06,10.211,7.8466e-07,5.8956,-1.6644e-22,4.7381e-09,-7.8466e-07,-5.8956,0.030432
349,4.8128,0.19806,0,6.7908e-05,678.61,3.9741e-05,231.89,1.224e-05,25.26,-6.113e-05,-526.01,0.028303
350,5.3948,0.44806,0,4.8103e-05,480.7,2.1691e-05,46.833,9.7861e-06,-42.614,-4.7403e-05,-472.31,0.035494
351,7.4726,0.76003,0,6.3448e-05,634.04,2.2078e-05,20.263,2.0863e-05,11.139,-6.2909e-05,-618.29,0.073922
352,6.8605,0.77663,0,6.013e-05,600.88,2.7952e-05,106.92,1.5447e-05,12.967,-5.7537e-05,-535.4,0.061724
353,7.0177,0.55821,0.05,4.8192e-06,48.159,3.7006e-06,27.805,-1.6571e-13,-5.8978e-15,-3.7006e-06,-27.805,0.064605
354,7.0651,0.2791,0,5.6642e-05,566.03,2.3539e-05,57.677,1.5577e-05,-2.1428,-5.546e-05,-535.89,0.065288
355,6.5022,0.5291,0,4.7322e-05,472.9,1.5595e-05,-30.246,1.2857e-05,-50.817,-4.8668e-05,-513.09,0.05448
356,4.4701,4.9387,0,0.00011107,1109.9,4.5576e-05,91.274,2.9507e-05,-29.467,-0.00010952,-1074.1,0.025429
357,5.0469,4.8591,0,9.4837e-05,947.72,4.3854e-05,163.4,2.4289e-05,16.401,-9.0919e-05,-849.23,0.032214
358,4.5823,4.3868,0,0.00011828,1182,4.8881e-05,56.98,2.6857e-05,-108.5,-0.00011829,-1199.1,0.027293
359,4.9055,4.6822,0.05,2.0932e-05,209.17,1.6073e-05,120.76,-3.4093e-21,-2.5616e-14,-1.6073e-05,-120.76,0.030723
360,5.3628,4.5911,0,0.00013111,1310.2,7.0664e-05,358.73,2.7091e-05,31.35,-0.00012137,-1084.1,0.036601
361,7.3474,5.3884,0,6.2288e-05,622.45,2.4506e-05,43.217,1.7701e-05,-7.9114,-6.153e-05,-603.22,0.070171
362,6.7514,5.2793,0,5.9179e-05,591.39,2.7141e-05,90.789,1.4477e-05,-4.3585,-5.7132e-05,-542.4,0.058553
363,6.8625,5.4754,0.05,4.8995e-06,48.961,3.7622e-06,28.268,-7.9802e-22,1.2861e-06,-3.7622e-06,-28.268,0.060409
364,6.9875,5.7377,0,5.2913e-05,528.76,1.9991e-05,25.316,1.5433e-05,-8.9319,-5.2551e-05,-519.74,0.06248
365,6.4246,5.4877,0,4.2604e-05,425.75,1.3759e-05,-35.895,1.1257e-05,-54.691,-4.4114e-05,-470.73,0.051897
366,7.875,3.6796,0,8.8443e-05,883.82,3.3097e-05,-10.668,2.1318e-05,-99.173,-8.9978e-05,-935.41,0.082444
367,7.1007,3.2314,0,0.00010861,1085.4,4.0962e-05,74.166,3.3899e-05,21.091,-0.00010689,-1036.8,0.067204
368,7.2732,3.6227,0.05,1.0016e-05,100.09,7.6912e-06,57.789,1.2049e-12,2.5683e-06,-7.6912e-06,-57.789,0.070361
369,4.5157,5.2958,0,9.2768e-05,927.04,3.3915e-05,42.807,2.8906e-05,5.1743,-9.1894e-05,-902.47,0.025441
370,5.0926,5.2162,0,8.1718e-05,816.61,4.1708e-05,186.43,1.7819e-05,6.9363,-7.6934e-05,-705,0.032182
371,4.9969,5.3963,0.05,8.9233e-06,89.171,6.8519e-06,51.483,-1.4534e-21,-1.092e-14,-6.8519e-06,-51.483,0.030716
372,4.8264,5.6982,0,8.1558e-05,815.02,3.1587e-05,42.724,2.2758e-05,-23.618,-8.1031e-05,-803.44,0.028229
373,5.4084,5.4482,0,5.8281e-05,582.41,1.9541e-05,-22.614,1.6618e-05,-44.58,-5.9393e-05,-615.69,0.035537
374,3.9812,1.3527,0,0.00010548,1054.1,3.9576e-05,6.1512,2.7051e-05,-87.955,-0.00010656,-1091.9,0.02087
375,4.5557,1.9116,0,0.00011106,1109.8,3.8194e-05,10.345,3.4974e-05,-13.851,-0.0001111,-1111.4,0.02749
376,4.5852,1.1278,0,9.2436e-05,923.72,4.4138e-05,153.64,2.0395e-05,-24.758,-8.8941e-05,-846.27,0.027151
377,4.9618,1.8928,0,0.00012394,1238.6,5.4444e-05,147.64,3.0694e-05,-30.819,-0.00012099,-1170.5,0.032357
378,4.55,1.458,0.05,9.4159e-06,94.094,7.2303e-06,54.325,8.1846e-13,1.4095e-06,-7.2303e-06,-54.325,0.027071
379,5.185,1.479,0,0.00012598,1259,5.9929e-05,213.03,2.8614e-05,-22.26,-0.00012108,-1147,0.034689
380,2.871,1.2084,0,0.00012249,1224.1,4.5507e-05,-27.029,2.8952e-05,-151.42,-0.00012505,-1308.5,0.010867
381,3.4802,1.7895,0,0.00011735,1172.7,4.6688e-05,15.657,2.6042e-05,-139.47,-0.00011869,-1226.9,0.016292
382,3.4124,1.2474,0.05,4.3614e-06,43.584,3.349e-06,25.163,1.3789e-13,1.7351e-06,-3.349e-06,-25.163,0.015352
383,3.4522,0.6237,0,0.00010916,1090.8,4.418e-05,16.963,2.3038e-05,-141.89,-0.00011041,-1144.6,0.015114
384,4.0547,2.3484,0,0.00012193,1218.5,4.6845e-05,31.414,3.1605e-05,-83.095,-0.00012241,-1240.3,0.022113
385,4.9676,2.3464,0,0.00014079,1406.9,6.3301e-05,194.46,3.4734e-05,-20.187,-0.00013659,-1307.4,0.032746
386,4.8622,2.7827,0,0.00013054,1304.5,5.048e-05,59.504,3.5721e-05,-51.39,-0.00013005,-1296.9,0.031495
387,4.5615,2.3652,0.05,5.2808e-06,52.771,4.055e-06,30.468,4.937e-14,2.2483e-07,-4.055e-06,-30.468,0.027756
388,8.0572,1.3845,0,6.753e-05,674.83,2.3618e-05,-9.2199,1.9136e-05,-42.897,-6.8353e-05,-700.26,0.086369
389,8.7237,1.8515,0,6.6028e-05,659.83,2.2743e-05,-10.388,1.9194e-05,-37.054,-6.6795e-05,-683.14,0.10082
390,7.7604,1.9288,0,7.9497e-05,794.42,3.0782e-05,-19.116,1.6319e-05,-127.78,-8.1436e-05,-862.27,0.080352
391,8.5119,2.2248,0,6.8419e-05,683.72,2.2989e-05,-25.515,1.952e-05,-51.573,-6.9693e-05,-721.89,0.096245
392,8.1869,1.8071,0.05,3.058e-06,30.559,2.3481e-06,17.643,6.1248e-13,-1.081e-06,-2.3481e-06,-17.643,0.089229
393,3.4975,4.9553,0,0.00010856,1084.8,3.9464e-05,-25.353,2.7101e-05,-118.25,-0.0001107,-1153.6,0.015746
394,4.0346,5.1952,0.05,4.43e-06,44.27,3.4017e-06,25.559,-7.2156e-22,-5.4215e-15,-3.4017e-06,-25.559,0.020531
395,3.7633,5.5976,0,0.00010671,1066.4,3.7031e-05,3.4105,3.2423e-05,-31.214,-0.00010714,-1079.8,0.017379
396,1.3667,4.1664,0,0.00014298,1428.8,8.0751e-05,278.81,9.1119e-06,-259.46,-0.00013483,-1341,0.0025395
397,2.1685,4.7304,0,0.00012792,1278.3,5.9759e-05,102.7,1.9611e-05,-198.95,-0.00012686,-1299.4,0.0061329
398,1.3765,4.7453,0.05,2.7463e-06,27.444,2.1088e-06,15.845,-3.302e-14,-3.3609e-15,-2.1088e-06,-15.845,0.0024533
399,1.2703,5.3726,0,0.00013852,1384.3,6.9495e-05,224.62,2.3184e-05,-123.35,-0.00013348,-1300.5,0.0019115
400,0.68826,4.7726,0,0.00011758,1175,3.81e-05,-355.16,5.8361e-06,-597.58,-0.00013189,-1632.4,0.0006208
401,1.7566,1.1812,0,0.00013427,1341.7,6.3157e-05,109.14,1.9831e-05,-216.39,-0.00013309,-1365.4,0.0040271
402,1.2122,1.7975,0,0.000145,1449,8.2041e-05,286.99,9.3707e-06,-259.03,-0.00013659,-1355.7,0.0020143
403,1.1836,1.193,0.05,2.846e-06,28.44,2.1854e-06,16.42,-3.1996e-14,6.67e-06,-2.1854e-06,-16.42,0.0018196
404,1.1738,0.59648,0,0.0001414,1413,7.1652e-05,220.62,2.1252e-05,-158.06,-0.00013647,-1343.2,0.0016197
405,0.59179,1.1965,0,0.00011889,1188.1,3.8751e-05,-354.3,5.9405e-06,-600.83,-0.0001332,-1646.3,0.00046291
406,2.369,1.7653,0,0.00012398,1239,4.8228e-05,-63.936,2.1654e-05,-263.6,-0.00012834,-1390.6,0.0076424
407,2.3295,1.1695,0.05,8.2047e-07,8.199,6.3002e-07,4.7337,9.2361e-14,7.7478e-07,-6.3002e-07,-4.7337,0.0071088
408,2.3288,0.58474,0,0.00013479,1347,5.0342e-05,-34.126,3.0947e-05,-179.85,-0.00013784,-1448,0.006678
409,8.5933,0.97042,0,6.3626e-05,635.82,2.3106e-05,8.9302,1.8184e-05,-28.05,-6.3871e-05,-644.58,0.097674
410,7.9276,0.96185,0.05,1.3403e-06,13.394,1.0292e-06,7.733,4.1803e-14,6.0122e-07,-1.0292e-06,-7.733,0.083433
411,8.083,0.48092,0,6.4845e-05,648,2.2449e-05,10.067,2.0537e-05,-4.3039,-6.4735e-05,-645,0.0864
412,9.8343,1.0366,0,5.774e-05,577,1.9934e-05,3.7732,1.7902e-05,-11.497,-5.7856e-05,-580.71,0.12576
413,9.2598,1.4375,0,6.211e-05,620.67,2.223e-05,7.753,1.8233e-05,-22.275,-6.2303e-05,-627.39,0.11268
414,9.259,0.979,0.05,4.2819e-07,4.279,3.288e-07,2.4705,8.4064e-14,3.2192e-08,-3.288e-07,-2.4705,0.11248
415,9.3116,0.4895,0,6.1648e-05,616.06,2.131e-05,6.1911,1.9267e-05,-9.1569,-6.1685e-05,-617.4,0.11342
416,10.941,1.1532,0,4.9635e-05,496.01,1.6634e-05,-0.18865,1.5931e-05,-5.474,-4.9729e-05,-498.82,0.15233
417,10.327,1.6681,0,5.4022e-05,539.84,1.8201e-05,-1.453,1.706e-05,-10.026,-5.4212e-05,-545.53,0.13757
418,10.41,1.0941,0.05,5.2846e-07,5.281,4.0579e-07,3.049,3.0455e-13,4.5429e-07,-4.0579e-07,-3.049,0.13939
419,10.45,0.54706,0,5.3674e-05,536.37,1.7866e-05,-0.7726,1.7382e-05,-4.4153,-5.3762e-05,-538.96,0.14013
420,12.058,1.2033,0,4.1994e-05,419.65,1.4053e-05,1.6812,1.3682e-05,-1.1077,-4.1983e-05,-419.35,0.18032
421,11.408,1.7986,0,4.6096e-05,460.65,1.552e-05,0.788,1.4761e-05,-4.9171,-4.6164e-05,-462.68,0.164
422,11.473,1.2123,0.05,6.4454e-07,6.4409,4.9493e-07,3.7187,-1.0498e-22,4.6604e-07,-4.9493e-07,-3.7187,0.16553
423,11.545,0.60616,0,4.5587e-05,455.56,1.5434e-05,4.2665,1.4774e-05,-0.69552,-4.5525e-05,-453.75,0.16712
424,13.221,1.1866,0,3.4674e-05,346.5,1.1704e-05,3.2247,1.1294e-05,0.14147,-3.4616e-05,-344.81,0.21057
425,12.593,1.7886,0,3.8332e-05,383.05,1.2758e-05,0.48348,1.251e-05,-1.3859,-3.8347e-05,-383.5,0.19418
426,12.642,1.1943,0.05,6.1115e-07,6.1073,4.6929e-07,3.526,1.1377e-13,1.4377e-06,-4.6929e-07,-3.526,0.19538
427,12.692,0.59717,0,3.8169e-05,381.42,1.299e-05,5.2318,1.2408e-05,0.86025,-3.8063e-05,-378.36,0.19653
428,14.377,1.1757,0,2.7871e-05,278.51,9.6648e-06,5.2961,8.8889e-06,-0.5339,-2.7785e-05,-276.09,0.24156
429,13.767,1.7702,0,3.1166e-05,311.45,1.0687e-05,4.3519,1.0001e-05,-0.79823,-3.1102e-05,-309.64,0.22513
430,13.799,1.1789,0.05,5.645e-07,5.6411,4.3347e-07,3.2569,8.09e-15,1.2238e-06,-4.3347e-07,-3.2569,0.22597
431,13.833,0.58944,0,3.0961e-05,309.39,1.0785e-05,6.4922,9.8468e-06,-0.55779,-3.0854e-05,-306.37,0.22679
432,15.524,1.1759,0,2.1867e-05,218.52,7.8026e-06,6.735,6.8341e-06,-0.54181,-2.1752e-05,-215.33,0.27305
433,14.936,1.7555,0,2.4717e-05,247,8.7203e-06,6.2491,7.7704e-06,-0.88801,-2.4618e-05,-244.24,0.25682
434,14.954,1.1724,0.05,4.5759e-07,4.5728,3.5137e-07,2.6401,1.1319e-15,1.58e-06,-3.5137e-07,-2.6401,0.25732
435,14.974,0.58622,0,2.4618e-05,246.01,8.7774e-06,7.7686,7.7234e-06,-0.15136,-2.4479e-05,-242.11,0.25781
436,16.66,1.1807,0,1.6642e-05,166.31,6.155e-06,7.6081,5.0552e-06,-0.65511,-1.6508e-05,-162.68,0.30476
437,16.084,1.7668,0,1.9072e-05,190.59,6.9782e-06,7.6886,5.8292e-06,-0.94462,-1.8943e-05,-187.07,0.28858
438,16.094,1.1793,0.05,3.9967e-07,3.994,3.069e-07,2.3059,1.0924e-13,1.8609e-06,-3.069e-07,-2.3059,0.28891
439,16.107,0.58967,0,1.901e-05,189.97,6.9858e-06,8.4432,5.83e-06,-0.24046,-1.8855e-05,-185.72,0.28925
440,17.787,1.1821,0,1.2193e-05,121.85,4.7281e-06,8.1246,3.5574e-06,-0.67123,-1.2043e-05,-117.89,0.33666
441,17.227,1.7736,0,1.422e-05,142.1,5.4349e-06,8.458,4.193e-06,-0.87374,-1.4068e-05,-138.08,0.32069
442,17.225,1.182,0.05,3.3512e-07,3.3489,2.5733e-07,1.9335,-7.6504e-15,1.7318e-06,-2.5733e-07,-1.9335,0.3207
443,17.235,0.591,0,1.4188e-05,141.79,5.4374e-06,9.0109,4.2121e-06,-0.19523,-1.4016e-05,-137.15,0.32102
444,18.915,1.1871,0,8.4816e-06,84.757,3.5166e-06,8.3926,2.3239e-06,-0.56865,-8.3129e-06,-80.489,0.36887
445,18.347,1.776,0,1.0152e-05,101.45,4.1367e-06,8.98,2.8113e-06,-0.97818,-9.9787e-06,-97.077,0.35254
446,18.349,1.1822,0.05,2.8238e-07,2.8219,2.1684e-07,1.6292,2.4023e-13,1.8713e-06,-2.1684e-07,-1.6292,0.35268
447,18.36,0.59112,0,1.011e-05,101.03,4.1061e-06,9.2653,2.8557e-06,-0.13033,-9.9219e-06,-96.136,0.35305
448,20.042,1.1929,0,5.5061e-06,55.023,2.5326e-06,8.4541,1.3335e-06,-0.5552,-5.3161e-06,-50.517,0.40127
449,19.474,1.7895,0,6.8323e-06,68.276,3.0498e-06,9.2359,1.708e-06,-0.84516,-6.6335e-06,-63.52,0.3848
450,19.48,1.1919,0.05,2.3064e-07,2.3048,1.771e-07,1.3307,1.4809e-13,2.2974e-06,-1.771e-07,-1.3307,0.3851
451,19.489,0.59596,0,6.7507e-06,67.46,2.9849e-06,9.1981,1.7485e-06,-0.091736,-6.5476e-06,-62.426,0.38542
452,21.171,1.1931,0,3.2653e-06,32.63,1.7709e-06,8.311,5.8573e-07,-0.59379,-3.0415e-06,-27.847,0.43385
453,20.601,1.7939,0,4.2486e-06,42.457,2.1924e-06,9.2971,8.3643e-07,-0.8912,-4.0128e-06,-37.327,0.41724
454,20.604,1.1939,0.05,1.7485e-07,1.7473,1.3427e-07,1.0088,1.8554e-13,2.7619e-06,-1.3427e-07,-1.0088,0.41746
455,20.613,0.59696,0,4.1383e-06,41.354,2.1046e-06,9.0739,8.798e-07,-0.1287,-3.9085e-06,-36.106,0.41784
456,22.304,1.1938,0,1.7683e-06,17.671,1.2207e-06,7.9084,8.9053e-08,-0.59438,-1.483e-06,-12.406,0.46658
457,21.731,1.7914,0,2.4237e-06,24.22,1.5609e-06,9.2272,2.1386e-07,-0.89394,-2.1177e-06,-18.412,0.44987
458,21.739,1.1924,0.05,1.1861e-07,1.1853,9.1081e-08,0.68435,1.7902e-13,2.7729e-06,-9.1081e-08,-0.68435,0.45025
459,21.744,0.59618,0,2.2469e-06,22.453,1.4134e-06,8.4614,2.6872e-07,-0.13925,-1.9781e-06,-17.021,0.45051
