Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
135	9.3514	4.7589	0.1	-1.1812e-004
136	10.544	4.7524	0.1	-1.0738e-004
137	11.696	4.7557	0.1	-9.6514e-005
138	12.837	4.7174	0.1	-8.6058e-005
139	13.96	4.6761	0.1	-7.6618e-005
140	15.071	4.6745	0.1	-6.7827e-005
141	16.181	4.6744	0.1	-5.9166e-005
142	17.29	4.6814	0.1	-5.0785e-005
143	18.4	4.7015	0.1	-4.2758e-005
144	19.513	4.7414	0.1	-3.5149e-005
145	20.629	4.7911	0.1	-2.7822e-005
146	21.753	4.7927	0.1	-2.13e-005
147	22.876	4.7968	0.1	-1.6296e-005
148	22.869	3.6016	0.1	-2.0409e-005
149	22.867	2.3931	0.1	-2.041e-005
150	22.879	1.195	0.1	-1.6202e-005
151	21.755	1.1886	0.1	-2.1224e-005
152	20.636	1.1888	0.1	-2.7676e-005
153	19.521	1.1846	0.1	-3.4862e-005
154	18.41	1.1785	0.1	-4.2557e-005
155	17.295	1.1745	0.1	-5.0736e-005
156	16.186	1.1724	0.1	-5.9177e-005
157	15.064	1.1722	0.1	-6.8015e-005
158	13.954	1.1731	0.1	-7.6832e-005
159	12.816	1.1747	0.1	-8.6213e-005
160	11.679	1.1854	0.1	-9.6622e-005
161	10.526	1.1953	0.1	-1.075e-004
162	9.3258	1.2046	0.1	-1.1803e-004
163	8.0941	1.2155	0.1	-1.3344e-004
164	6.6903	1.2309	0.1	-1.4735e-004
165	1.997	3.224	0.1	-2.2282e-004
166	1.0014	3.5016	0.1	-3.74e-004
167	0.94869	2.3119	0.1	-3.7323e-004
168	4.8086	5.476	0.1	-1.3973e-004
169	5.807	0.7237	0.1	-1.4527e-004
170	2.0549	4.5589	0.1	-2.0461e-004
171	1.8377	1.0405	0.1	-1.8142e-004
172	5.0207	4.7058	0.1	-2.2041e-004
173	4.9167	1.2716	0.1	-2.4079e-004
174	0.91955	1.1499	0.1	-3.2955e-004
175	1.0269	4.7318	0.1	-3.35e-004
176	4.8364	2.6363	0.1	-3.0046e-004
177	4.5995	5.0813	0.1	-1.6617e-004
178	2.8549	5.2072	0.1	-1.8334e-004
179	3.1181	4.6443	0.1	-2.2168e-004
180	4.8441	0.49274	0.1	-1.4871e-004
181	2.7621	0.82643	0.1	-1.8222e-004
182	3.1444	2.4526	0.1	-3.6661e-004
183	5.425	4.1737	0.1	-1.5843e-004
184	3.3222	3.579	0.1	-4.0296e-004
185	5.4148	1.7984	0.1	-1.7119e-004
186	5.6609	2.5065	0.1	-1.9288e-004
187	3.9467	4.	0.	-1.5458e-003
188	3.9467	4.5	0.	-4.6242e-004
189	3.9467	5.	0.	-3.4791e-004
190	3.9467	5.5	0.	-1.1324e-004
191	3.78	4.	0.	-2.1997e-003
192	3.78	5.5	0.	-2.25e-004
193	3.78	5.	0.	-3.7049e-004
194	3.78	4.5	0.	-5.9387e-004
195	3.9467	2.	0.	-1.4201e-003
196	3.9467	1.5	0.	-4.0591e-004
197	3.9467	1.	0.	-2.8777e-004
198	3.9467	0.5	0.	-1.1752e-004
199	3.78	2.	0.	-2.4377e-003
200	3.78	0.5	0.	-2.2657e-004
201	3.78	1.	0.	-4.718e-004
202	3.78	1.5	0.	-8.6216e-004
203	3.9467	6.	0.	-7.3216e-005
204	5.0607	6.	0.	-3.1584e-004
205	6.1748	6.	0.	-4.3677e-004
206	7.2889	6.	0.	-3.9587e-004
207	8.403	6.	0.	-3.8109e-004
208	9.517	6.	0.	-3.5309e-004
209	10.631	6.	0.	-3.2183e-004
210	11.745	6.	0.	-2.9082e-004
211	12.859	6.	0.	-2.6058e-004
212	13.973	6.	0.	-2.3127e-004
213	15.087	6.	0.	-2.0281e-004
214	16.201	6.	0.	-1.7508e-004
215	17.316	6.	0.	-1.4808e-004
216	18.43	6.	0.	-1.2178e-004
217	19.544	6.	0.	-9.6103e-005
218	20.658	6.	0.	-7.1063e-005
219	21.772	6.	0.	-4.6421e-005
220	22.886	6.	0.	-2.2042e-005
221	24.	6.	0.	-1.9587e-006
222	24.	4.8	0.	-5.2323e-006
223	24.	3.6	0.	-6.5056e-006
224	24.	2.4	0.	-6.4781e-006
225	24.	1.2	0.	-5.1916e-006
226	0.	1.2	0.	-5.0722e-004
227	0.	2.4	0.	-5.0763e-004
228	0.	3.6	0.	-5.2452e-004
229	0.	4.8	0.	-5.0263e-004
230	24.	0.	0.	-1.9901e-006
231	3.9467	0.	0.	-8.5708e-005
232	22.886	0.	0.	-2.2024e-005
233	21.772	0.	0.	-4.6397e-005
234	20.658	0.	0.	-7.0916e-005
235	19.544	0.	0.	-9.5956e-005
236	18.43	0.	0.	-1.2163e-004
237	17.316	0.	0.	-1.4793e-004
238	16.201	0.	0.	-1.7499e-004
