Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
167	5.2171	3.1008	5.e-002	44.532
168	5.4619	2.9394	5.e-002	32.915
169	7.2294	1.3919	5.e-002	35.495
170	7.4188	0.69597	0.	645.45
171	6.248	1.196	0.	785.46
172	6.8328	1.8335	0.1	823.7
173	8.2217	2.0665	0.1	612.1
174	6.248	1.196	0.1	785.46
175	7.4188	0.69597	0.1	645.45
176	5.3395	3.0201	0.1	2097.8
177	5.6477	2.8029	0.1	1693.7
178	5.3275	2.7848	0.1	2188.8
179	5.5229	3.2384	0.1	1769.5
180	5.0986	3.16	0.1	2114.3
181	5.272	3.3094	0.1	2323.5
182	5.0684	2.8881	0.1	2149.6
183	4.7351	2.9402	0.1	1758.3
184	5.04	3.6096	0.1	3056.1
185	6.1349	2.4707	0.1	1160.8
186	5.9449	3.1712	0.1	1266.5
187	5.55	2.3332	0.1	2504.7
188	6.7215	3.1816	0.1	826.11
189	5.8515	1.8875	0.1	1216.7
190	3.1104	2.9557	0.1	1167.3
191	3.7262	4.4186	0.1	1186.2
192	1.1762	3.4186	0.1	1115.2
193	2.4512	1.9186	0.1	1207.9
194	2.4512	4.9186	0.1	1269.4
195	11.91	2.8529	0.1	393.44
196	8.1103	3.4147	0.1	631.47
197	9.582	4.3706	0.1	487.67
198	9.582	1.3706	0.1	498.19
199	16.961	2.9864	0.1	189.98
200	14.619	4.4823	0.1	286.1
201	14.619	1.4823	0.1	286.49
202	19.316	4.504	0.1	95.877
203	21.658	3.004	0.1	58.755
204	19.316	1.504	0.1	95.348
205	5.0564	2.6528	0.1	2250.7
206	5.2299	2.3151	0.1	2976.1
207	5.4554	3.5277	0.1	2020.1
208	5.2134	3.759	0.1	3217.4
209	6.5315	3.8821	0.1	954.7
210	6.1367	4.5441	0.1	927.63
211	7.3075	5.0441	0.1	674.81
212	4.1793	2.3677	0.1	1293.5
213	4.4842	3.5371	0.1	1050.
214	4.4842	1.7871	0.1	1204.3
215	4.4842	1.5371	0.1	791.59
216	3.2092	1.0371	0.1	1061.
217	5.8201	3.6067	0.1	1363.3
218	5.6615	4.088	0.1	1247.1
219	4.7049	2.6683	0.1	1805.7
220	4.7951	3.3306	0.1	2773.4
221	4.7951	3.5806	0.1	1485.3
222	4.7951	2.3306	0.1	2647.5
223	5.4253	3.7687	0.1	3089.8
224	5.0098	2.3377	0.1	2925.5
225	5.2667	4.75	0.1	1296.4
226	5.2667	5.5	0.1	836.61
227	5.2667	5.	5.e-002	157.06
228	5.2667	4.25	0.1	3020.2
229	5.2667	4.5	5.e-002	158.29
230	5.1833	4.	0.1	4096.6
231	5.2667	4.	5.e-002	791.3
232	5.1	4.25	0.1	2995.6
233	5.1	4.	5.e-002	549.24
234	5.1	4.75	0.1	1404.6
235	5.1	4.5	5.e-002	87.71
236	5.1	5.5	0.1	1099.1
237	5.1	5.	5.e-002	117.18
238	5.2667	1.25	0.1	1251.
239	5.2667	0.5	0.1	736.03
240	5.2667	1.	5.e-002	86.25
241	5.2667	1.75	0.1	2573.1
242	5.2667	1.5	5.e-002	80.917
243	5.1833	2.	0.1	3512.5
244	5.2667	2.	5.e-002	299.48
245	5.1	1.75	0.1	2581.
246	5.1	2.	5.e-002	190.25
247	5.1	1.25	0.1	1069.1
248	5.1	1.5	5.e-002	214.6
249	5.1	0.5	0.1	834.32
250	5.1	1.	5.e-002	134.58
251	6.4375	6.	0.1	557.88
252	5.2667	6.	5.e-002	33.383
253	8.7792	6.	0.1	527.25
254	7.6083	6.	5.e-002	36.788
255	12.292	6.	0.1	381.98
256	9.95	6.	5.e-002	14.789
257	16.975	6.	0.1	192.09
258	14.633	6.	5.e-002	3.4789
259	21.658	6.	0.1	67.839
260	19.317	6.	5.e-002	4.8799
261	24.	4.5	0.1	28.206
262	24.	6.	5.e-002	5.9648
263	24.	1.5	0.1	29.061
264	24.	3.	5.e-002	2.8859
265	1.3113e-014	1.5	0.1	925.74
266	3.9339e-014	4.5	0.1	880.59
267	2.6581e-014	3.	5.e-002	90.241
268	21.658	0.	0.1	67.039
269	24.	0.	5.e-002	4.2414
270	16.975	0.	0.1	191.1
271	19.317	0.	5.e-002	4.3659
272	12.292	0.	0.1	392.2
273	14.633	0.	5.e-002	7.4591
274	8.7792	0.	0.1	531.04
275	9.95	0.	5.e-002	14.528
276	6.4375	0.	0.1	550.48
277	7.6083	0.	5.e-002	35.33
278	5.2667	0.	5.e-002	10.707
279	3.825	1.6378e-030	0.1	991.97
280	5.1	2.1837e-030	5.e-002	161.09
281	1.275	5.4593e-031	0.1	986.2
282	2.55	0.	5.e-002	91.117
283	0.	0.	5.e-002	240.48
284	1.275	6.	0.1	1007.8
285	5.2451e-014	6.	5.e-002	265.82
286	3.825	6.	0.1	1153.3
287	2.55	6.	5.e-002	88.238
288	5.1	6.	5.e-002	74.572
289	3.825	6.	0.	1153.3
290	1.275	6.	0.	1007.8
291	5.1	5.5	0.	1099.1
292	3.9339e-014	4.5	0.	880.59
293	3.825	1.6378e-030	0.	991.97
294	1.275	5.4593e-031	0.	986.2
295	5.1	0.5	0.	834.32
296	1.3113e-014	1.5	0.	925.74
297	8.7792	0.	0.	531.04
298	6.4375	0.	0.	550.48
299	12.292	0.	0.	392.2
300	16.975	0.	0.	191.1
301	21.658	0.	0.	67.039
302	5.2667	0.5	0.	736.03
303	24.	1.5	0.	29.061
304	24.	4.5	0.	28.206
305	21.658	6.	0.	67.839
306	16.975	6.	0.	192.09
307	12.292	6.	0.	381.98
308	8.7792	6.	0.	527.25
309	6.4375	6.	0.	557.88
310	5.2667	5.5	0.	836.61
311	5.1	1.25	0.	1069.1
312	5.1	1.75	0.	2581.
313	5.1833	2.	0.	3512.5
314	5.2667	1.25	0.	1251.
315	5.2667	1.75	0.	2573.1
316	5.1	4.75	0.	1404.6
317	5.1	4.25	0.	2995.6
318	5.1833	4.	0.	4096.6
319	5.2667	4.75	0.	1296.4
320	5.2667	4.25	0.	3020.2
