Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
157	1.9107	0.80934	0.1	-59.497
158	1.945	2.5474	0.1	567.52
159	5.1031	3.2449	0.1	122.18
160	4.7627	2.4691	0.1	-127.
161	3.8144	3.1394	0.1	-1832.1
162	3.0714	2.932	0.1	-2277.4
163	3.2067	4.	0.1	-358.59
164	3.2067	4.5	0.1	-3234.5
165	3.2067	5.	0.1	-3692.8
166	3.2067	5.5	0.1	-359.42
167	3.04	5.5	0.1	-1062.
168	3.04	5.	0.1	-2486.8
169	3.04	4.5	0.1	-7542.5
170	3.04	4.	0.1	248.27
171	3.2067	2.	0.1	-2320.3
172	3.2067	1.5	0.1	-6731.5
173	3.2067	1.	0.1	-686.65
174	3.2067	0.5	0.1	-679.91
175	3.04	0.5	0.1	-1069.9
176	3.04	1.	0.1	-2569.5
177	3.04	1.5	0.1	-4110.4
178	3.04	2.	0.1	1166.8
179	3.2067	6.	0.1	-197.6
180	4.3619	6.	0.1	-137.53
181	5.517	6.	0.1	-180.19
182	6.6722	6.	0.1	159.63
183	7.8274	6.	0.1	-155.22
184	8.9826	6.	0.1	28.802
185	10.138	6.	0.1	-27.106
186	11.293	6.	0.1	-3.8485
187	12.448	6.	0.1	-10.563
188	13.603	6.	0.1	-4.4542
189	14.759	6.	0.1	-6.3032
190	15.914	6.	0.1	0.82978
191	17.069	6.	0.1	-17.359
192	18.224	6.	0.1	-20.194
193	19.379	6.	0.1	-8.4292
194	20.534	6.	0.1	-20.421
195	21.69	6.	0.1	-14.297
196	22.845	6.	0.1	-14.391
197	24.	6.	0.1	-19.782
198	24.	4.8	0.1	-144.49
199	24.	3.6	0.1	-185.45
200	24.	2.4	0.1	-185.69
201	24.	1.2	0.1	-145.61
202	0.	1.2	0.1	3678.8
203	0.	2.4	0.1	3734.7
204	0.	3.6	0.1	3604.6
205	0.	4.8	0.1	3545.6
206	24.	0.	0.1	-19.553
207	22.845	0.	0.1	-15.325
208	21.69	0.	0.1	-15.462
209	20.534	0.	0.1	-9.3936
210	19.379	0.	0.1	-17.145
211	18.224	0.	0.1	-1.7165
212	17.069	0.	0.1	-0.91488
213	15.914	0.	0.1	-21.425
214	14.759	0.	0.1	-4.577
215	13.603	0.	0.1	-8.1918
216	12.448	0.	0.1	-5.6986
217	11.293	0.	0.1	-6.3772
218	10.138	0.	0.1	-19.822
219	8.9826	0.	0.1	-18.196
220	7.8274	0.	0.1	-65.552
221	6.6722	0.	0.1	-8.8323
222	5.517	0.	0.1	44.444
223	4.3619	0.	0.1	-90.601
224	3.2067	0.	0.1	-52.759
225	3.04	0.	0.1	-294.91
226	2.0267	0.	0.1	-342.62
227	1.0133	0.	0.1	-451.34
228	0.	0.	0.1	943.5
229	0.	6.	0.1	997.29
230	1.0133	6.	0.1	-318.2
231	2.0267	6.	0.1	-26.676
232	3.04	6.	0.1	-443.34
233	2.0267	6.	0.	-3894.4
234	1.0133	6.	0.	-5945.5
235	3.04	6.	0.	-638.8
236	0.	6.	0.	-2832.8
237	1.0133	0.	0.	-5945.8
238	2.0267	0.	0.	-3943.3
239	3.04	0.	0.	-517.19
240	0.	0.	0.	-2456.
241	4.3619	0.	0.	-3355.7
242	5.517	0.	0.	-4269.1
243	6.6722	0.	0.	-4288.6
244	7.8274	0.	0.	-3961.6
245	8.9826	0.	0.	-3657.
246	10.138	0.	0.	-3343.5
247	11.293	0.	0.	-3025.3
248	12.448	0.	0.	-2711.
249	13.603	0.	0.	-2405.5
250	14.759	0.	0.	-2111.3
251	15.914	0.	0.	-1819.4
252	17.069	0.	0.	-1468.4
253	18.224	0.	0.	-1312.1
254	19.379	0.	0.	-1001.6
255	20.534	0.	0.	-733.52
256	21.69	0.	0.	-475.8
257	22.845	0.	0.	-222.57
258	3.2067	0.	0.	-426.05
259	24.	0.	0.	-9.1353
260	0.	4.8	0.	-7415.9
261	0.	3.6	0.	-7744.
262	0.	2.4	0.	-7621.4
263	0.	1.2	0.	-7477.2
264	24.	1.2	0.	-2.8552
265	24.	2.4	0.	-4.4693
266	24.	3.6	0.	-2.4954
267	24.	4.8	0.	-3.2304
268	24.	6.	0.	-12.397
269	22.845	6.	0.	-223.85
270	21.69	6.	0.	-476.69
271	20.534	6.	0.	-729.81
272	19.379	6.	0.	-994.44
273	18.224	6.	0.	-1257.3
274	17.069	6.	0.	-1539.1
275	15.914	6.	0.	-1817.9
276	14.759	6.	0.	-2108.7
277	13.603	6.	0.	-2402.3
278	12.448	6.	0.	-2711.5
279	11.293	6.	0.	-3026.4
280	10.138	6.	0.	-3343.6
281	8.9826	6.	0.	-3689.6
282	7.8274	6.	0.	-3950.6
283	6.6722	6.	0.	-4128.
284	5.517	6.	0.	-4710.3
285	4.3619	6.	0.	-3307.2
286	3.2067	6.	0.	-940.89
287	3.04	1.5	0.	-6964.7
288	3.04	1.	0.	-3906.2
289	3.04	0.5	0.	-1968.6
290	3.04	2.	0.	-20898
291	3.2067	0.5	0.	-1659.9
292	3.2067	1.	0.	-2376.2
293	3.2067	1.5	0.	-4885.4
294	3.2067	2.	0.	-17066
295	3.04	4.5	0.	-3967.6
296	3.04	5.	0.	-3989.
297	3.04	5.5	0.	-2187.5
298	3.04	4.	0.	-25545
299	3.2067	5.5	0.	-1049.2
300	3.2067	5.	0.	-3030.
301	3.2067	4.5	0.	-4278.7
302	3.2067	4.	0.	-16834
303	3.403	2.7906	0.	-9791.6
304	3.1824	3.1271	0.	-10876
305	2.9121	3.1758	0.	-10614
306	3.0714	2.932	5.e-002	-151.5
307	3.0557	2.466	0.	-16006
308	4.4588	3.1922	0.	-5709.2
309	3.7745	2.8943	0.	-6640.5
310	3.5539	3.2308	0.	-7813.5
311	3.8144	3.1394	5.e-002	-286.68
312	3.5105	3.5697	0.	-10922
313	4.9329	2.857	0.	-6135.7
314	4.2486	2.5591	0.	-7096.1
315	4.4583	2.1929	0.	-5627.9
316	5.1344	2.2437	0.	-5783.
317	4.7627	2.4691	5.e-002	-194.94
318	5.8203	3.0717	0.	-5017.3
319	4.9501	3.6541	0.	-5540.4
320	5.1031	3.2449	5.e-002	-167.71
321	1.4623	2.8882	0.	-7977.4
322	1.9261	2.0902	0.	-7855.8
323	2.0487	2.9695	0.	-8316.6
324	1.945	2.5474	5.e-002	-109.22
325	2.4925	2.0237	0.	-7227.6
326	1.4169	0.91809	0.	-5257.5
327	1.909	1.2212	0.	-5891.4
328	1.9107	0.80934	5.e-002	-79.966
329	1.9687	0.40467	0.	-4424.9
330	2.4754	0.65467	0.	-3033.6
331	2.1916	4.7518	0.	-6027.1
332	1.5984	4.8042	0.	-5477.6
333	2.0422	5.0836	5.e-002	-55.05
334	2.0344	5.5418	0.	-4519.5
335	2.5411	5.2918	0.	-3335.5
336	4.156	4.8556	0.	-5001.3
337	4.0061	5.2598	0.	-3840.4
338	3.8993	5.0604	5.e-002	-191.03
339	3.553	5.0302	0.	-3107.2
340	4.8094	4.9125	0.	-5428.4
341	4.6049	4.357	0.	-5342.5
342	4.4128	4.6508	5.e-002	-297.23
343	3.8097	4.5754	0.	-4611.6
344	4.7011	0.71798	0.	-4051.4
345	4.1496	0.84249	0.	-3971.8
346	4.2661	0.57687	5.e-002	-19.374
347	4.314	0.28843	0.	-3458.5
348	3.7364	0.53843	0.	-2300.8
349	2.2467	3.9058	0.	-7251.1
350	2.5074	4.2522	0.	-9192.8
351	2.341	4.4199	5.e-002	-162.5
352	2.6905	4.71	0.	-5061.2
353	1.0671	3.8769	0.	-6434.
354	1.6535	3.9582	0.	-6845.7
355	1.1546	4.5248	5.e-002	-75.82
356	1.084	5.2624	0.	-5886.3
357	0.5773	4.6624	0.	-6617.2
358	4.6595	5.3167	0.	-4238.6
359	4.1129	5.4591	5.e-002	-73.207
360	4.2374	5.7296	0.	-3318.3
361	3.6598	5.4796	0.	-1956.5
362	5.7009	0.99245	0.	-4289.9
363	4.9987	1.166	0.	-4516.2
364	5.1361	0.8591	5.e-002	-48.742
365	5.3265	0.42955	0.	-4394.8
366	0.95182	2.6603	0.	-6730.2
367	0.97967	3.229	5.e-002	-53.231
368	0.48984	3.4145	0.	-7389.9
369	0.92347	1.5592	0.	-6035.2
370	0.92297	1.0268	5.e-002	-30.083
371	0.96815	0.51342	0.	-5796.2
372	0.46148	1.1134	0.	-6543.3
373	6.7714	1.2879	0.	-4166.3
374	5.886	1.572	0.	-4704.9
375	6.2658	1.1258	5.e-002	-25.128
376	6.469	0.5629	0.	-4175.8
377	7.8776	1.4944	0.	-4041.2
378	6.9072	2.1743	0.	-4128.2
379	7.277	1.4501	5.e-002	-4.8863
380	7.5522	0.72504	0.	-4115.3
381	9.0992	1.5351	0.	-3634.7
382	8.2582	2.2811	0.	-3882.9
383	8.4782	1.5388	5.e-002	-10.707
384	8.7304	0.7694	0.	-3734.5
385	10.328	1.5262	0.	-3285.8
386	9.5421	2.2724	0.	-3495.9
387	9.7203	1.5314	5.e-002	-1.8582
388	9.929	0.76568	0.	-3399.7
389	11.53	1.5208	0.	-2952.2
390	10.776	2.2734	0.	-3153.9
391	10.936	1.5211	5.e-002	-0.38594
392	11.114	0.76054	0.	-3069.7
393	12.711	1.5212	0.	-2633.9
394	11.966	2.2759	0.	-2828.7
395	12.125	1.5205	5.e-002	-1.2846
396	12.287	0.76023	0.	-2750.1
397	13.887	1.5316	0.	-2325.3
398	13.139	2.2801	0.	-2517.6
399	13.297	1.5219	5.e-002	-1.5868
400	13.45	0.76094	0.	-2441.5
401	15.059	1.5542	0.	-2023.4
402	14.312	2.2934	0.	-2212.
403	14.477	1.5412	5.e-002	-2.21
404	14.618	0.77062	0.	-2141.6
405	16.261	1.6269	0.	-1707.3
406	15.461	2.3258	0.	-1921.4
407	15.642	1.5671	5.e-002	-2.1562
408	15.778	0.78357	0.	-1846.5
409	17.544	1.4488	0.	-1402.8
410	16.588	2.4846	0.	-1628.2
411	17.22	2.1112	0.	-1528.8
412	16.879	1.6866	5.e-002	-11.447
413	16.974	0.84329	0.	-1504.3
414	18.795	1.202	0.	-1128.
415	18.282	1.8245	0.	-1224.4
416	18.208	1.211	5.e-002	-2.1456
417	18.216	0.6055	0.	-1287.6
418	19.957	1.1896	0.	-863.
419	19.398	1.7969	0.	-988.08
420	19.383	1.193	5.e-002	-3.5215
421	19.381	0.59652	0.	-996.28
422	21.108	1.1897	0.	-609.43
423	20.527	1.7891	0.	-735.18
424	20.53	1.1861	5.e-002	-0.60527
425	20.532	0.59307	0.	-733.55
426	22.263	1.1929	0.	-363.41
427	21.682	1.794	0.	-485.94
428	21.686	1.1933	5.e-002	-1.86
429	21.688	0.59663	0.	-479.6
430	22.84	1.7927	0.	-243.35
431	22.839	1.1925	5.e-002	-2.2964
432	22.842	0.59626	0.	-230.85
433	23.42	1.1963	0.	-120.96
434	22.838	2.9959	0.	-246.09
435	22.259	2.3938	0.	-367.42
436	22.84	2.3929	5.e-002	-2.4775
437	23.42	2.3964	0.	-124.08
438	22.837	4.2006	0.	-244.17
439	22.254	3.5956	0.	-368.78
440	22.837	3.599	5.e-002	-2.3441
441	23.418	3.5995	0.	-123.41
442	22.256	4.8038	0.	-364.09
443	22.837	4.8023	5.e-002	-2.3262
444	23.418	4.8011	0.	-121.16
445	22.841	5.4011	0.	-231.73
446	21.105	4.803	0.	-609.74
447	21.674	4.1988	0.	-487.27
448	21.676	4.8054	5.e-002	-1.5787
449	21.683	5.4027	0.	-480.44
450	19.969	4.8106	0.	-862.67
451	20.538	4.201	0.	-733.2
452	20.535	4.8006	5.e-002	-1.2616
453	20.535	5.4003	0.	-731.33
454	18.836	4.8356	0.	-1118.3
455	19.415	4.2212	0.	-982.97
456	19.402	4.8206	5.e-002	-2.7395
457	19.391	5.4103	0.	-992.82
458	17.699	4.8685	0.	-1385.4
459	18.299	4.267	0.	-1250.4
460	18.271	4.8506	5.e-002	-4.1778
461	18.247	5.4253	0.	-1250.9
462	16.58	4.8007	0.	-1656.5
463	17.145	4.3368	0.	-1500.
464	17.127	4.8863	5.e-002	-3.2113
465	17.098	5.4432	0.	-1532.1
466	15.52	4.6537	0.	-1910.9
467	16.165	3.9989	0.	-1752.4
468	16.033	4.7151	5.e-002	-1.6587
469	15.973	5.3575	0.	-1802.4
470	14.429	4.5927	0.	-2185.1
471	15.145	3.8384	0.	-2002.
472	15.008	4.5922	5.e-002	-1.5855
473	14.883	5.2961	0.	-2071.6
474	13.276	4.5548	0.	-2484.7
475	13.998	3.8194	0.	-2293.5
476	13.849	4.5932	5.e-002	-0.4333
477	13.726	5.2966	0.	-2368.6
478	12.113	4.5136	0.	-2793.2
479	12.842	3.7773	0.	-2595.8
480	12.702	4.5163	5.e-002	-1.7535
