Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
139	8.464	1.8182	0.	-4.9209e-004
140	8.464	1.6364	0.	-4.4852e-004
141	8.464	1.4545	0.	-4.0292e-004
142	8.464	1.2727	0.	-3.5897e-004
143	8.464	1.0909	0.	-3.1888e-004
144	8.464	0.90909	0.	-2.8374e-004
145	8.464	0.72727	0.	-2.5404e-004
146	8.464	0.54545	0.	-2.3012e-004
147	8.464	0.36364	0.	-2.123e-004
148	8.464	0.18182	0.	-2.011e-004
149	8.28	5.8182	0.	-2.3792e-004
150	8.28	5.6364	0.	-2.481e-004
151	8.28	5.4545	0.	-2.6316e-004
152	8.28	5.2727	0.	-2.8296e-004
153	8.28	5.0909	0.	-3.0731e-004
154	8.28	4.9091	0.	-3.3573e-004
155	8.28	4.7273	0.	-3.6741e-004
156	8.28	4.5455	0.	-4.0106e-004
157	8.28	4.3636	0.	-4.3485e-004
158	8.28	4.1818	0.	-4.6703e-004
159	8.28	4.	0.	-4.9628e-004
160	8.28	3.8182	0.	-5.2201e-004
161	8.28	3.6364	0.	-5.4358e-004
162	8.28	3.4545	0.	-5.6008e-004
163	8.28	3.2727	0.	-5.71e-004
164	8.28	3.0909	0.	-5.7636e-004
165	8.28	2.9091	0.	-5.7636e-004
166	8.28	2.7273	0.	-5.71e-004
167	8.28	2.5455	0.	-5.6008e-004
168	8.28	2.3636	0.	-5.4358e-004
169	8.28	2.1818	0.	-5.2201e-004
170	8.28	2.	0.	-4.9628e-004
171	8.28	1.8182	0.	-4.6703e-004
172	8.28	1.6364	0.	-4.3485e-004
173	8.28	1.4545	0.	-4.0106e-004
174	8.28	1.2727	0.	-3.6741e-004
175	8.28	1.0909	0.	-3.3573e-004
176	8.28	0.90909	0.	-3.0731e-004
177	8.28	0.72727	0.	-2.8296e-004
178	8.28	0.54545	0.	-2.6316e-004
179	8.28	0.36364	0.	-2.481e-004
180	8.28	0.18182	0.	-2.3792e-004
181	8.096	5.8182	0.	-2.7055e-004
182	8.096	5.6364	0.	-2.798e-004
183	8.096	5.4545	0.	-2.9261e-004
184	8.096	5.2727	0.	-3.0896e-004
185	8.096	5.0909	0.	-3.2868e-004
186	8.096	4.9091	0.	-3.5129e-004
187	8.096	4.7273	0.	-3.76e-004
188	8.096	4.5455	0.	-4.0173e-004
189	8.096	4.3636	0.	-4.2726e-004
190	8.096	4.1818	0.	-4.5148e-004
191	8.096	4.	0.	-4.7367e-004
192	8.096	3.8182	0.	-4.9341e-004
193	8.096	3.6364	0.	-5.1024e-004
194	8.096	3.4545	0.	-5.2356e-004
195	8.096	3.2727	0.	-5.3275e-004
196	8.096	3.0909	0.	-5.3742e-004
197	8.096	2.9091	0.	-5.3742e-004
198	8.096	2.7273	0.	-5.3275e-004
199	8.096	2.5455	0.	-5.2356e-004
200	8.096	2.3636	0.	-5.1024e-004
201	8.096	2.1818	0.	-4.9341e-004
202	8.096	2.	0.	-4.7367e-004
203	8.096	1.8182	0.	-4.5148e-004
204	8.096	1.6364	0.	-4.2726e-004
205	8.096	1.4545	0.	-4.0173e-004
206	8.096	1.2727	0.	-3.76e-004
207	8.096	1.0909	0.	-3.5129e-004
208	8.096	0.90909	0.	-3.2868e-004
209	8.096	0.72727	0.	-3.0896e-004
210	8.096	0.54545	0.	-2.9261e-004
211	8.096	0.36364	0.	-2.798e-004
212	8.096	0.18182	0.	-2.7055e-004
213	7.912	5.8182	0.	-2.9914e-004
214	7.912	5.6364	0.	-3.0739e-004
215	7.912	5.4545	0.	-3.1824e-004
216	7.912	5.2727	0.	-3.3165e-004
217	7.912	5.0909	0.	-3.4747e-004
218	7.912	4.9091	0.	-3.6528e-004
219	7.912	4.7273	0.	-3.8443e-004
220	7.912	4.5455	0.	-4.0412e-004
221	7.912	4.3636	0.	-4.2351e-004
222	7.912	4.1818	0.	-4.4188e-004
223	7.912	4.	0.	-4.5877e-004
224	7.912	3.8182	0.	-4.7385e-004
225	7.912	3.6364	0.	-4.8678e-004
226	7.912	3.4545	0.	-4.971e-004
227	7.912	3.2727	0.	-5.0431e-004
228	7.912	3.0909	0.	-5.0802e-004
229	7.912	2.9091	0.	-5.0802e-004
230	7.912	2.7273	0.	-5.0431e-004
231	7.912	2.5455	0.	-4.971e-004
232	7.912	2.3636	0.	-4.8678e-004
233	7.912	2.1818	0.	-4.7385e-004
234	7.912	2.	0.	-4.5877e-004
235	7.912	1.8182	0.	-4.4188e-004
236	7.912	1.6364	0.	-4.2351e-004
237	7.912	1.4545	0.	-4.0412e-004
238	7.912	1.2727	0.	-3.8443e-004
239	7.912	1.0909	0.	-3.6528e-004
240	7.912	0.90909	0.	-3.4747e-004
241	7.912	0.72727	0.	-3.3165e-004
242	7.912	0.54545	0.	-3.1824e-004
243	7.912	0.36364	0.	-3.0739e-004
244	7.912	0.18182	0.	-2.9914e-004
245	7.728	5.8182	0.	-3.2399e-004
246	7.728	5.6364	0.	-3.3121e-004
247	7.728	5.4545	0.	-3.4028e-004
248	7.728	5.2727	0.	-3.5119e-004
249	7.728	5.0909	0.	-3.6379e-004
250	7.728	4.9091	0.	-3.7772e-004
251	7.728	4.7273	0.	-3.925e-004
252	7.728	4.5455	0.	-4.0754e-004
253	7.728	4.3636	0.	-4.2228e-004
254	7.728	4.1818	0.	-4.3623e-004
255	7.728	4.	0.	-4.4906e-004
256	7.728	3.8182	0.	-4.605e-004
257	7.728	3.6364	0.	-4.7029e-004
258	7.728	3.4545	0.	-4.781e-004
259	7.728	3.2727	0.	-4.8357e-004
260	7.728	3.0909	0.	-4.864e-004
