Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,2.558,3.1269,0,0.00025201,2518.4,9.6046e-05,187.57,7.8346e-05,54.575,-0.00024763,-2394.7,0.010785
2,3.3335,2.1376,0,0.00016023,1601.2,5.8912e-05,72.768,4.9237e-05,0.070763,-0.00015887,-1563.6,0.019202
3,4.1021,3.9737,0,0.00012237,1222.8,4.887e-05,31.765,2.8315e-05,-122.68,-0.00012318,-1261,0.030476
4,1.1025,0.87188,0,0.00012102,1209.4,6.5816e-05,263.08,1.6485e-05,-107.57,-0.00011404,-1088.3,0.0012954
5,1.217,2.4234,0,0.00016861,1685,8.8868e-05,351.05,2.7417e-05,-110.66,-0.00015971,-1516.6,0.0021176
6,3.8498,0.96678,0,9.6096e-05,960.3,3.7318e-05,66.759,2.8195e-05,-1.7817,-9.4807e-05,-925.97,0.025327
7,3.7511,5.2608,0,9.1211e-05,911.48,3.7322e-05,92.037,2.6069e-05,7.4854,-8.9223e-05,-858.77,0.023782
8,0.99369,3.85,0,0.00017839,1782.6,0.00010474,425.58,1.0793e-05,-280.33,-0.0001651,-1601.9,0.0013447
9,2.9763,2.7555,0,0.00019708,1969.5,9.7824e-05,387.41,4.2167e-05,-30.776,-0.00018766,-1757.6,0.01522
10,4.5867,2.7973,0,0.00011327,1131.9,4.4003e-05,22.286,2.7801e-05,-99.449,-0.00011409,-1165.5,0.038522
11,1.1205,4.9587,0,0.00012023,1201.4,6.241e-05,232.68,1.9704e-05,-88.199,-0.00011451,-1096.6,0.0014633
12,4.9269,1.4872,0,0.00010014,1000.7,3.5627e-05,24.356,3.0879e-05,-11.32,-9.9874e-05,-993.75,0.043688
13,4.7133,4.7736,0,0.00010549,1054.1,3.8269e-05,25.189,3.119e-05,-27.995,-0.00010543,-1054.5,0.039917
14,5.9607,1.8556,0,9.2875e-05,928.11,3.3949e-05,12.256,2.6076e-05,-46.897,-9.3323e-05,-944.01,0.063136
15,6.9615,1.8234,0,8.4349e-05,842.9,2.9689e-05,1.5302,2.4794e-05,-35.248,-8.4862e-05,-859.16,0.083584
16,8.0777,1.5127,0,7.217e-05,721.2,2.3772e-05,-8.4485,2.3117e-05,-13.373,-7.254e-05,-732.1,0.10819
17,9.221,1.4522,0,6.4059e-05,640.15,2.1719e-05,2.5776,2.0393e-05,-7.3822,-6.4135e-05,-642.49,0.13546
18,10.285,1.4935,0,5.535e-05,553.12,1.8605e-05,3.2531,1.799e-05,-1.3692,-5.5317e-05,-552.16,0.1624
19,11.401,1.4916,0,4.6812e-05,467.8,1.6063e-05,8.3289,1.5169e-05,1.6111,-4.664e-05,-462.8,0.19197
20,12.529,1.4662,0,3.8181e-05,381.55,1.3943e-05,12.833,1.1478e-05,-5.689,-3.8026e-05,-377.64,0.22304
21,13.698,1.3488,0,3.1688e-05,316.66,1.1644e-05,11.12,9.4435e-06,-5.4107,-3.1559e-05,-313.48,0.25622
22,14.943,1.2011,0,2.542e-05,254.02,8.6122e-06,4.8529,8.4548e-06,3.6708,-2.5275e-05,-249.76,0.29249
23,16.099,1.1876,0,1.915e-05,191.37,6.9023e-06,6.5501,5.926e-06,-0.78521,-1.9042e-05,-188.38,0.3269
24,17.242,1.1848,0,1.4219e-05,142.09,5.4074e-06,8.4796,4.2434e-06,-0.26645,-1.4059e-05,-137.79,0.36145
25,18.366,1.1861,0,1.0145e-05,101.38,4.1295e-06,9.0666,2.8265e-06,-0.72409,-9.9674e-06,-96.853,0.39578
26,19.486,1.1848,0,6.8263e-06,68.216,3.024e-06,9.0613,1.7339e-06,-0.6321,-6.631e-06,-63.483,0.4302
27,20.616,1.182,0,4.2225e-06,42.196,2.124e-06,8.727,8.9046e-07,-0.54151,-4.0062e-06,-37.333,0.46511
28,21.737,1.196,0,2.3566e-06,23.55,1.4697e-06,8.4553,2.6398e-07,-0.60381,-2.0884e-06,-18.279,0.49985
29,22.87,1.1962,0,1.2447e-06,12.438,1.0122e-06,7.7645,-9.9988e-08,-0.59173,-8.9029e-07,-6.5298,0.53501
30,22.861,2.3948,0,1.5855e-06,15.844,1.3585e-06,10.809,-2.4592e-07,-1.2455,-1.03e-06,-7.1368,0.53483
31,22.861,3.6034,0,1.5863e-06,15.852,1.3591e-06,10.812,-2.4648e-07,-1.252,-1.0304e-06,-7.1417,0.53488
32,22.867,4.7986,0,1.2463e-06,12.454,1.0127e-06,7.7552,-1.0036e-07,-0.60794,-8.9231e-07,-6.5584,0.53509
33,21.735,4.7971,0,2.3676e-06,23.66,1.4692e-06,8.4072,2.7269e-07,-0.58256,-2.1027e-06,-18.43,0.49995
34,20.601,4.8003,0,4.2465e-06,42.435,2.1333e-06,8.7021,8.9347e-07,-0.61333,-4.0314e-06,-37.617,0.46483
35,19.475,4.7782,0,6.8761e-06,68.714,3.0339e-06,9.0177,1.7588e-06,-0.56274,-6.682e-06,-63.984,0.43005
36,18.352,4.7382,0,1.0202e-05,101.95,4.1733e-06,9.4323,2.8351e-06,-0.62265,-1.0015e-05,-97.172,0.39551
