Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
138	14.908	4.7503	0.1	-7.9038e-006
139	16.046	4.7279	0.1	-5.9371e-006
140	17.203	4.7366	0.1	-4.2945e-006
141	18.331	4.7765	0.1	-2.9034e-006
142	19.459	4.7986	0.1	-1.7855e-006
143	20.592	4.7961	0.1	-9.0591e-007
144	21.727	4.7975	0.1	-2.8181e-007
145	22.86	4.7959	0.1	9.6208e-008
146	22.854	3.6006	0.1	2.4279e-007
147	22.857	2.3936	0.1	2.4105e-007
148	1.2329	2.4023	0.1	-5.5305e-006
149	1.3414	3.6042	0.1	-5.2357e-006
150	22.866	1.1954	0.1	9.7296e-008
151	21.734	1.1925	0.1	-2.7794e-007
152	20.597	1.1941	0.1	-8.9676e-007
153	19.471	1.1922	0.1	-1.7792e-006
154	18.337	1.1827	0.1	-2.8902e-006
155	17.21	1.1824	0.1	-4.2527e-006
156	16.075	1.1799	0.1	-5.8953e-006
157	14.934	1.1733	0.1	-7.8282e-006
158	13.777	1.1796	0.1	-1.0026e-005
159	12.616	1.1946	0.1	-1.2657e-005
160	11.445	1.2122	0.1	-1.4804e-005
161	10.379	1.0952	0.1	-1.7024e-005
162	9.2255	0.98061	0.1	-1.8889e-005
163	7.891	0.96421	0.1	-1.7787e-005
164	2.312	1.169	0.1	-2.6154e-005
165	1.1761	1.1936	0.1	-1.35e-005
166	1.3669	4.7613	0.1	-1.338e-005
167	4.0051	5.1969	0.1	-2.7749e-005
168	8.1499	1.8102	0.1	-1.9794e-005
169	4.5029	2.3833	0.1	-3.7548e-005
170	3.3857	1.2488	0.1	-3.1496e-005
171	4.5174	1.4651	0.1	-2.2975e-005
172	4.9616	5.3971	0.1	-2.3105e-005
173	7.2293	3.6229	0.1	-2.4106e-005
174	6.8243	5.4752	0.1	-1.3549e-005
175	4.8716	4.6833	0.1	-2.9172e-005
176	6.98	0.55881	0.1	-1.7645e-005
177	4.9351	0.39652	0.1	-1.0983e-005
178	7.1585	4.2697	0.1	-2.0328e-005
179	3.8367	3.3492	0.1	-2.1994e-005
180	6.9299	1.4328	0.1	-2.1912e-005
181	5.9946	3.2027	0.1	-4.6596e-005
182	6.1971	2.8011	0.1	-4.6584e-005
183	5.9467	5.5	0.1	-5.3844e-008
184	5.9467	5.	0.1	-1.5863e-005
185	5.9467	4.5	0.1	-1.9883e-005
186	5.9467	4.	0.1	-4.0958e-005
187	5.78	4.	0.1	-5.4384e-005
188	5.78	4.5	0.1	-9.6669e-006
189	5.78	5.	0.1	-7.2323e-006
190	5.78	5.5	0.1	3.7587e-006
191	5.9467	0.5	0.1	-2.6276e-006
192	5.9467	1.	0.1	-1.3716e-005
193	5.9467	1.5	0.1	-2.8714e-005
194	5.9467	2.	0.1	-5.494e-005
195	5.78	2.	0.1	-7.2107e-005
196	5.78	1.5	0.1	-2.4953e-005
197	5.78	1.	0.1	-2.0128e-005
198	5.78	0.5	0.1	-7.7076e-006
199	5.9467	6.	0.1	-2.2786e-006
200	7.075	6.	0.1	-1.4569e-005
201	8.2033	6.	0.1	-1.826e-005
202	9.3317	6.	0.1	-1.8045e-005
203	10.46	6.	0.1	-1.7494e-005
204	11.588	6.	0.1	-1.4412e-005
205	12.717	6.	0.1	-1.2159e-005
206	13.845	6.	0.1	-9.6858e-006
207	14.973	6.	0.1	-7.6557e-006
208	16.102	6.	0.1	-5.7846e-006
209	17.23	6.	0.1	-4.2013e-006
210	18.358	6.	0.1	-2.8251e-006
211	19.487	6.	0.1	-1.7335e-006
212	20.615	6.	0.1	-8.7252e-007
213	21.743	6.	0.1	-2.5464e-007
214	22.872	6.	0.1	8.6319e-008
215	24.	6.	0.1	1.0445e-007
216	24.	4.8	0.1	2.0967e-007
217	24.	3.6	0.1	3.5934e-007
218	24.	2.4	0.1	3.6094e-007
219	24.	1.2	0.1	2.1207e-007
220	1.049e-014	1.2	0.1	9.357e-007
221	2.0981e-014	2.4	0.1	8.8844e-007
222	3.1471e-014	3.6	0.1	5.7989e-007
223	4.1961e-014	4.8	0.1	1.4559e-006
224	24.	0.	0.1	1.0503e-007
225	22.872	0.	0.1	8.4507e-008
226	21.743	0.	0.1	-2.6287e-007
227	20.615	0.	0.1	-8.7096e-007
228	19.487	0.	0.1	-1.7326e-006
229	18.358	0.	0.1	-2.8443e-006
230	17.23	0.	0.1	-4.2097e-006
231	16.102	0.	0.1	-5.8139e-006
232	14.973	0.	0.1	-7.6839e-006
233	13.845	0.	0.1	-9.7466e-006
234	12.717	0.	0.1	-1.226e-005
235	11.588	0.	0.1	-1.4784e-005
236	10.46	0.	0.1	-1.7608e-005
237	9.3317	0.	0.1	-1.9839e-005
238	8.2033	0.	0.1	-1.9761e-005
239	7.075	0.	0.1	-1.3681e-005
240	5.9467	0.	0.1	-2.0067e-007
241	5.78	0.	0.1	4.1378e-006
242	4.624	5.8233e-031	0.1	-1.0713e-005
243	3.468	4.3675e-031	0.1	-1.4738e-005
244	2.312	2.9116e-031	0.1	-3.5816e-005
245	1.156	1.4558e-031	0.1	-2.9792e-005
246	0.	0.	0.1	2.4475e-007
247	3.937e-014	6.	0.1	1.0522e-006
248	1.156	6.	0.1	-3.4498e-005
249	2.312	6.	0.1	-4.2489e-005
250	3.468	6.	0.1	-3.5475e-005
251	4.624	6.	0.1	-2.069e-005
252	5.78	6.	0.1	-4.6943e-006
253	4.624	6.	0.	2.069e-005
254	3.468	6.	0.	3.5475e-005
255	2.312	6.	0.	4.2489e-005
256	1.156	6.	0.	3.4498e-005
257	5.78	6.	0.	4.6943e-006
258	3.937e-014	6.	0.	-1.0522e-006
259	1.156	1.4558e-031	0.	2.9792e-005
260	2.312	2.9116e-031	0.	3.5816e-005
261	3.468	4.3675e-031	0.	1.4738e-005
262	4.624	5.8233e-031	0.	1.0713e-005
263	5.78	0.	0.	-4.1378e-006
264	0.	0.	0.	-2.4475e-007
265	7.075	0.	0.	1.3681e-005
266	8.2033	0.	0.	1.9761e-005
267	9.3317	0.	0.	1.9839e-005
268	10.46	0.	0.	1.7608e-005
269	11.588	0.	0.	1.4784e-005
270	12.717	0.	0.	1.226e-005
271	13.845	0.	0.	9.7466e-006
272	14.973	0.	0.	7.6839e-006
273	16.102	0.	0.	5.8139e-006
274	17.23	0.	0.	4.2097e-006
275	18.358	0.	0.	2.8443e-006
276	19.487	0.	0.	1.7326e-006
277	20.615	0.	0.	8.7096e-007
278	21.743	0.	0.	2.6287e-007
279	22.872	0.	0.	-8.4508e-008
280	5.9467	0.	0.	2.0067e-007
281	24.	0.	0.	-1.0503e-007
