Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
138	6.9484	2.827	0.1	-2.2378e-005
139	4.8621	1.758	0.1	-2.1986e-005
140	4.8365	5.3016	0.1	-3.4465e-005
141	6.0601	5.0368	0.1	-2.5856e-005
142	7.2685	4.91	0.1	-2.5848e-005
143	8.4199	4.8418	0.1	-2.2713e-005
144	9.5483	4.8159	0.1	-1.9969e-005
145	10.679	4.8069	0.1	-1.7174e-005
146	11.787	4.8152	0.1	-1.4321e-005
147	12.916	4.8262	0.1	-1.1784e-005
148	14.031	4.8267	0.1	-9.4296e-006
149	15.141	4.8248	0.1	-7.3902e-006
150	16.245	4.8189	0.1	-5.6205e-006
151	17.342	4.8306	0.1	-4.0766e-006
152	18.444	4.8477	0.1	-2.7707e-006
153	19.553	4.8461	0.1	-1.6949e-006
154	20.658	4.8153	0.1	-8.5514e-007
155	21.767	4.8042	0.1	-2.6135e-007
156	22.883	4.8002	0.1	1.0272e-007
157	22.874	3.6043	0.1	2.4834e-007
158	22.873	2.3928	0.1	2.4477e-007
159	22.885	1.1949	0.1	1.0364e-007
160	21.772	1.2048	0.1	-2.6156e-007
161	20.65	1.2129	0.1	-8.572e-007
162	19.552	1.2126	0.1	-1.6891e-006
163	18.455	1.2066	0.1	-2.7555e-006
164	17.355	1.2057	0.1	-4.0578e-006
165	16.25	1.2227	0.1	-5.5983e-006
166	15.145	1.2348	0.1	-7.3926e-006
167	14.029	1.2631	0.1	-9.4242e-006
168	12.92	1.2762	0.1	-1.1747e-005
169	11.798	1.2916	0.1	-1.4281e-005
170	10.674	1.3166	0.1	-1.7292e-005
171	9.5217	1.3607	0.1	-1.9517e-005
172	8.36	1.4339	0.1	-2.1355e-005
173	6.6806	1.5854	0.1	-2.1132e-005
174	5.704	1.0132	0.1	-2.9487e-005
175	4.8251	0.68734	0.1	-3.1803e-005
176	0.82256	1.0312	0.1	-9.41e-006
177	0.77607	2.084	0.1	-4.052e-006
178	5.8841	4.118	0.1	-2.5154e-005
179	1.0412	4.2939	0.1	-8.824e-006
180	0.86068	3.0578	0.1	-5.5352e-006
181	3.9871	2.3439	0.1	-3.6249e-005
182	3.9954	5.4717	0.1	-1.7916e-005
183	1.8719	4.8511	0.1	-2.9976e-005
184	3.8985	0.54841	0.1	-2.0136e-005
185	1.8539	2.2696	0.1	-2.3215e-005
186	1.7631	0.7897	0.1	-3.1406e-005
187	4.1899	4.445	0.1	-3.1356e-005
188	4.3458	1.294	0.1	-2.8981e-005
189	3.5021	3.3027	0.1	-6.3703e-005
190	2.5078	3.582	0.1	-7.107e-005
191	2.9667	5.5	0.1	-6.8574e-006
192	2.9667	5.	0.1	-2.4015e-005
193	2.9667	4.5	0.1	-4.2148e-005
194	2.9667	4.	0.1	-8.9869e-005
195	2.8	4.	0.1	-8.1625e-005
196	2.8	4.5	0.1	-4.2383e-005
197	2.8	5.	0.1	-9.4202e-006
198	2.8	5.5	0.1	-1.3852e-005
199	2.9667	0.5	0.1	-6.888e-006
200	2.9667	1.	0.1	-2.5093e-005
201	2.9667	1.5	0.1	-1.5904e-005
202	2.9667	2.	0.1	-9.0643e-005
203	2.8	2.	0.1	-7.04e-005
204	2.8	1.5	0.1	-5.8508e-005
205	2.8	1.	0.1	-4.7803e-005
206	2.8	0.5	0.1	-2.6297e-005
207	2.9667	6.	0.1	-1.6537e-006
208	4.0737	6.	0.1	-2.2973e-005
209	5.1807	6.	0.1	-2.8731e-005
210	6.2877	6.	0.1	-2.7796e-005
211	7.3947	6.	0.1	-2.6565e-005
212	8.5018	6.	0.1	-2.292e-005
213	9.6088	6.	0.1	-2.0067e-005
214	10.716	6.	0.1	-1.7001e-005
215	11.823	6.	0.1	-1.4222e-005
216	12.93	6.	0.1	-1.1697e-005
217	14.037	6.	0.1	-9.4251e-006
218	15.144	6.	0.1	-7.3817e-006
219	16.251	6.	0.1	-5.5791e-006
220	17.358	6.	0.1	-4.0268e-006
221	18.465	6.	0.1	-2.7279e-006
222	19.572	6.	0.1	-1.6696e-006
223	20.679	6.	0.1	-8.2544e-007
224	21.786	6.	0.1	-2.3242e-007
225	22.893	6.	0.1	9.1204e-008
226	24.	6.	0.1	1.0129e-007
227	24.	4.8	0.1	2.1186e-007
228	24.	3.6	0.1	3.6354e-007
229	24.	2.4	0.1	3.642e-007
230	24.	1.2	0.1	2.1326e-007
231	1.049e-014	1.2	0.1	1.1829e-006
232	2.0981e-014	2.4	0.1	4.7713e-007
233	3.1471e-014	3.6	0.1	1.7722e-006
234	4.1961e-014	4.8	0.1	1.3418e-006
235	24.	0.	0.1	9.996e-008
236	22.893	0.	0.1	8.953e-008
237	21.786	0.	0.1	-2.3579e-007
238	20.679	0.	0.1	-8.2143e-007
239	19.572	0.	0.1	-1.6555e-006
240	18.465	0.	0.1	-2.7222e-006
241	17.358	0.	0.1	-4.0302e-006
242	16.251	0.	0.1	-5.5829e-006
243	15.144	0.	0.1	-7.39e-006
244	14.037	0.	0.1	-9.385e-006
245	12.93	0.	0.1	-1.1685e-005
246	11.823	0.	0.1	-1.4168e-005
247	10.716	0.	0.1	-1.6679e-005
248	9.6088	0.	0.1	-1.9414e-005
249	8.5018	0.	0.1	-2.0754e-005
250	7.3947	0.	0.1	-2.3337e-005
251	6.2877	0.	0.1	-2.616e-005
252	5.1807	0.	0.1	-3.0469e-005
253	4.0737	0.	0.1	-2.2883e-005
254	2.9667	0.	0.1	-4.0383e-006
255	2.8	0.	0.1	-5.1276e-006
256	1.8667	4.0439e-032	0.1	-2.9111e-005
257	0.93333	2.022e-032	0.1	-2.5927e-005
258	0.	0.	0.1	5.0856e-007
259	3.937e-014	6.	0.1	-5.3827e-007
260	0.93333	6.	0.1	-2.2243e-005
261	1.8667	6.	0.1	-2.7925e-005
262	2.8	6.	0.1	-1.7764e-006
263	1.8667	6.	0.	2.7925e-005
264	0.93333	6.	0.	2.2243e-005
265	2.8	6.	0.	1.7764e-006
266	3.937e-014	6.	0.	5.3827e-007
267	0.93333	2.022e-032	0.	2.5927e-005
268	1.8667	4.0439e-032	0.	2.9111e-005
269	2.8	0.	0.	5.1276e-006
270	0.	0.	0.	-5.0856e-007
271	4.0737	0.	0.	2.2883e-005
272	5.1807	0.	0.	3.0469e-005
273	6.2877	0.	0.	2.616e-005
274	7.3947	0.	0.	2.3337e-005
275	8.5018	0.	0.	2.0754e-005
276	9.6088	0.	0.	1.9414e-005
277	10.716	0.	0.	1.6679e-005
278	11.823	0.	0.	1.4168e-005
279	12.93	0.	0.	1.1685e-005
280	14.037	0.	0.	9.385e-006
281	15.144	0.	0.	7.39e-006
282	16.251	0.	0.	5.5829e-006
283	17.358	0.	0.	4.0302e-006
284	18.465	0.	0.	2.7222e-006
285	19.572	0.	0.	1.6555e-006
286	20.679	0.	0.	8.2143e-007
287	21.786	0.	0.	2.3579e-007
288	22.893	0.	0.	-8.953e-008
289	2.9667	0.	0.	4.0383e-006
290	24.	0.	0.	-9.9959e-008
291	4.1961e-014	4.8	0.	-1.3418e-006
292	3.1471e-014	3.6	0.	-1.7722e-006
293	2.0981e-014	2.4	0.	-4.7713e-007
294	1.049e-014	1.2	0.	-1.1829e-006
295	24.	1.2	0.	-2.1326e-007
296	24.	2.4	0.	-3.642e-007
297	24.	3.6	0.	-3.6354e-007
298	24.	4.8	0.	-2.1186e-007
299	24.	6.	0.	-1.0129e-007
300	22.893	6.	0.	-9.1204e-008
301	21.786	6.	0.	2.3242e-007
302	20.679	6.	0.	8.2544e-007
303	19.572	6.	0.	1.6696e-006
304	18.465	6.	0.	2.7279e-006
305	17.358	6.	0.	4.0268e-006
