Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Elastic Strain (m/m)
1	0.1375	6.9458e-002	0.	4.981e-005
2	0.13699	5.2584e-002	0.	4.1559e-005
3	9.67e-002	7.113e-002	0.	1.1833e-004
4	9.7341e-002	9.8667e-002	0.	1.4655e-004
5	0.13255	0.11811	0.	4.6301e-005
6	7.5725e-002	1.7591e-002	0.	3.7745e-005
7	6.3442e-002	5.0016e-002	0.	4.2798e-005
8	0.13022	1.4819e-002	0.	3.5578e-005
9	7.6432e-002	0.13373	0.	4.0059e-005
10	8.0713e-002	0.11615	0.	5.0544e-005
11	8.9095e-002	0.10501	0.	8.5899e-005
12	0.12925	0.13915	0.	3.0893e-005
13	0.14711	0.10193	0.	3.387e-005
14	5.2274e-002	0.12687	0.	4.2185e-005
15	0.16306	5.4422e-002	0.	3.1383e-005
16	7.6061e-002	8.5574e-002	0.	6.5789e-005
17	3.008e-002	5.7479e-002	0.	8.8761e-005
18	3.4898e-002	8.8118e-002	0.	8.5389e-005
19	2.9388e-002	0.12107	0.	7.8772e-005
20	5.1267e-002	2.4727e-002	0.	4.4273e-005
21	0.15658	2.6333e-002	0.	2.8734e-005
22	0.18878	2.8726e-002	0.	2.7813e-005
23	0.21743	3.023e-002	0.	2.35e-005
24	0.24586	3.0805e-002	0.	2.0145e-005
25	0.27413	3.0749e-002	0.	1.6958e-005
26	0.30186	2.9822e-002	0.	1.4538e-005
27	0.32989	2.9947e-002	0.	1.2313e-005
28	0.35754	3.0783e-002	0.	1.0311e-005
29	0.38547	3.0384e-002	0.	8.4178e-006
30	0.41361	3.0009e-002	0.	6.711e-006
31	0.44151	3.0023e-002	0.	5.2287e-006
32	0.46943	3.e-002	0.	3.9578e-006
33	0.49736	2.9958e-002	0.	2.8999e-006
34	0.5253	3.0254e-002	0.	2.0633e-006
35	0.55331	3.0272e-002	0.	1.4264e-006
36	0.58134	3.0358e-002	0.	9.9445e-007
37	0.58101	6.0782e-002	0.	1.34e-006
38	0.58101	9.1481e-002	0.	1.3384e-006
39	0.58126	0.12178	0.	9.9761e-007
40	0.55321	0.12188	0.	1.4257e-006
41	0.52499	0.12179	0.	2.0592e-006
42	0.49686	0.12179	0.	2.9016e-006
43	0.46907	0.12162	0.	3.9566e-006
44	0.44121	0.12151	0.	5.2321e-006
45	0.41339	0.12168	0.	6.7188e-006
46	0.38576	0.12199	0.	8.4066e-006
47	0.3581	0.12353	0.	1.0256e-005
48	0.3299	0.1228	0.	1.2348e-005
49	0.30171	0.12267	0.	1.4532e-005
50	0.27309	0.12253	0.	1.7133e-005
