Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Elastic Strain (m/m)
120	0.12439	0.12825	2.54e-003	-9.6152e-006
121	0.21353	9.1046e-002	2.54e-003	-1.9728e-005
122	0.18547	8.8087e-002	2.54e-003	-2.0401e-005
123	0.24363	9.1634e-002	2.54e-003	-1.8258e-005
124	0.27302	9.2152e-002	2.54e-003	-1.6428e-005
125	0.30192	9.3087e-002	2.54e-003	-1.4143e-005
126	0.3298	9.2457e-002	2.54e-003	-1.1594e-005
127	0.35726	9.2601e-002	2.54e-003	-9.2892e-006
128	0.38523	9.1576e-002	2.54e-003	-7.2541e-006
129	0.41304	9.112e-002	2.54e-003	-5.4767e-006
130	0.4409	9.0971e-002	2.54e-003	-3.9306e-006
131	0.4689	9.1131e-002	2.54e-003	-2.6285e-006
132	0.49681	9.126e-002	2.54e-003	-1.5582e-006
133	0.52478	9.1364e-002	2.54e-003	-7.2738e-007
134	0.55283	9.1399e-002	2.54e-003	-1.315e-007
135	0.55298	6.0862e-002	2.54e-003	-1.336e-007
136	0.52471	6.0802e-002	2.54e-003	-7.3027e-007
137	0.49678	6.0805e-002	2.54e-003	-1.569e-006
138	0.46887	6.0649e-002	2.54e-003	-2.6351e-006
139	0.44097	6.0505e-002	2.54e-003	-3.9372e-006
140	0.41306	6.0428e-002	2.54e-003	-5.4799e-006
141	0.38514	6.0928e-002	2.54e-003	-7.284e-006
142	0.35713	6.1437e-002	2.54e-003	-9.2961e-006
143	0.32951	6.1607e-002	2.54e-003	-1.1531e-005
144	0.30231	6.2339e-002	2.54e-003	-1.4112e-005
145	0.27423	6.1895e-002	2.54e-003	-1.6313e-005
146	0.24513	6.1339e-002	2.54e-003	-1.8238e-005
147	0.21647	6.0351e-002	2.54e-003	-2.0081e-005
148	0.18874	5.7406e-002	2.54e-003	-2.0985e-005
149	0.15468	0.13224	2.54e-003	-1.7951e-005
150	0.17679	0.11889	2.54e-003	-2.3446e-005
151	0.21317	0.12119	2.54e-003	-1.9993e-005
152	0.24395	0.12177	2.54e-003	-1.9241e-005
153	0.27309	0.12253	2.54e-003	-1.6901e-005
154	0.30171	0.12267	2.54e-003	-1.4195e-005
155	0.3299	0.1228	2.54e-003	-1.162e-005
156	0.3581	0.12353	2.54e-003	-9.338e-006
157	0.38576	0.12199	2.54e-003	-7.3194e-006
158	0.41339	0.12168	2.54e-003	-5.5717e-006
159	0.44121	0.12151	2.54e-003	-4.0492e-006
160	0.46907	0.12162	2.54e-003	-2.7575e-006
161	0.49686	0.12179	2.54e-003	-1.6914e-006
162	0.52499	0.12179	2.54e-003	-8.5849e-007
163	0.55321	0.12188	2.54e-003	-2.5868e-007
164	0.58126	0.12178	2.54e-003	1.0317e-007
165	0.58101	9.1481e-002	2.54e-003	2.4806e-007
166	0.58101	6.0782e-002	2.54e-003	2.4952e-007
167	0.58134	3.0358e-002	2.54e-003	1.0401e-007
168	0.55331	3.0272e-002	2.54e-003	-2.5472e-007
169	0.5253	3.0254e-002	2.54e-003	-8.4163e-007
170	0.49736	2.9958e-002	2.54e-003	-1.6665e-006
171	0.46943	3.e-002	2.54e-003	-2.726e-006
172	0.44151	3.0023e-002	2.54e-003	-4.0252e-006
173	0.41361	3.0009e-002	2.54e-003	-5.565e-006
174	0.38547	3.0384e-002	2.54e-003	-7.3563e-006
175	0.35754	3.0783e-002	2.54e-003	-9.3622e-006
176	0.32989	2.9947e-002	2.54e-003	-1.1632e-005
177	0.30186	2.9822e-002	2.54e-003	-1.4143e-005
178	0.27413	3.0749e-002	2.54e-003	-1.6739e-005
179	0.24586	3.0805e-002	2.54e-003	-1.9015e-005
180	0.21743	3.023e-002	2.54e-003	-2.1026e-005
181	0.18878	2.8726e-002	2.54e-003	-2.3003e-005
182	0.15658	2.6333e-002	2.54e-003	-2.1432e-005
183	5.1267e-002	2.4727e-002	2.54e-003	-3.7184e-005
184	2.9388e-002	0.12107	2.54e-003	-1.5236e-005
185	3.4898e-002	8.8118e-002	2.54e-003	-1.2248e-006
186	3.008e-002	5.7479e-002	2.54e-003	-6.6796e-006
187	7.6061e-002	8.5574e-002	2.54e-003	-2.2125e-005
188	0.16306	5.4422e-002	2.54e-003	-2.433e-005
189	5.2274e-002	0.12687	2.54e-003	-3.3305e-005
190	0.14711	0.10193	2.54e-003	-2.0985e-005
191	0.12925	0.13915	2.54e-003	-2.0189e-005
192	8.9095e-002	0.10501	2.54e-003	-4.1897e-005
193	8.0713e-002	0.11615	2.54e-003	-3.3987e-005
194	7.6432e-002	0.13373	2.54e-003	-3.0572e-005
195	0.13022	1.4819e-002	2.54e-003	-1.9932e-005
196	6.3442e-002	5.0016e-002	2.54e-003	-3.0311e-005
197	7.5725e-002	1.7591e-002	2.54e-003	-2.6312e-005
198	0.13255	0.11811	2.54e-003	-2.5688e-005
199	9.7341e-002	9.8667e-002	2.54e-003	-6.2044e-005
200	9.67e-002	7.113e-002	2.54e-003	-5.4297e-005
201	0.13699	5.2584e-002	2.54e-003	-2.1152e-005
202	0.1375	6.9458e-002	2.54e-003	-2.7068e-005
203	0.10685	0.1397	2.54e-003	2.9889e-006
204	0.10685	0.127	2.54e-003	-3.7964e-007
205	0.10685	0.1143	2.54e-003	-1.5432e-005
206	0.10685	0.1016	2.54e-003	-4.2512e-005
207	0.10262	0.1016	2.54e-003	-1.1565e-004
208	0.10262	0.1143	2.54e-003	-1.3915e-005
209	0.10262	0.127	2.54e-003	-2.9979e-005
210	0.10262	0.1397	2.54e-003	-7.2219e-006
211	0.10685	1.27e-002	2.54e-003	-5.4976e-007
212	0.10685	2.54e-002	2.54e-003	-1.4776e-005
213	0.10685	3.81e-002	2.54e-003	-3.3036e-005
214	0.10685	5.08e-002	2.54e-003	-8.826e-005
215	0.10262	5.08e-002	2.54e-003	-9.7606e-005
216	0.10262	3.81e-002	2.54e-003	-4.1643e-005
217	0.10262	2.54e-002	2.54e-003	-4.4693e-005
218	0.10262	1.27e-002	2.54e-003	-1.5777e-005
219	0.10685	0.1524	2.54e-003	-1.9628e-006
220	0.13478	0.1524	2.54e-003	-1.5091e-005
