Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
1	0.1375	6.9458e-002	0.	1.2883e-004
2	0.13699	5.2584e-002	0.	1.0942e-004
3	9.67e-002	7.113e-002	0.	2.389e-004
4	9.7341e-002	9.8667e-002	0.	3.0168e-004
5	0.13255	0.11811	0.	9.7572e-005
6	7.5725e-002	1.7591e-002	0.	9.4573e-005
7	6.3442e-002	5.0016e-002	0.	1.2062e-004
8	0.13022	1.4819e-002	0.	7.628e-005
9	7.6432e-002	0.13373	0.	1.0184e-004
10	8.0713e-002	0.11615	0.	1.227e-004
11	8.9095e-002	0.10501	0.	1.8034e-004
12	0.12925	0.13915	0.	6.9673e-005
13	0.14711	0.10193	0.	9.184e-005
14	5.2274e-002	0.12687	0.	1.2365e-004
15	0.16306	5.4422e-002	0.	8.7768e-005
16	7.6061e-002	8.5574e-002	0.	1.49e-004
17	3.008e-002	5.7479e-002	0.	1.5267e-004
18	3.4898e-002	8.8118e-002	0.	1.4471e-004
19	2.9388e-002	0.12107	0.	1.4245e-004
20	5.1267e-002	2.4727e-002	0.	1.2875e-004
21	0.15658	2.6333e-002	0.	7.7585e-005
22	0.18878	2.8726e-002	0.	7.7552e-005
23	0.21743	3.023e-002	0.	6.8618e-005
24	0.24586	3.0805e-002	0.	5.9775e-005
25	0.27413	3.0749e-002	0.	5.1248e-005
26	0.30186	2.9822e-002	0.	4.3394e-005
27	0.32989	2.9947e-002	0.	3.6082e-005
28	0.35754	3.0783e-002	0.	2.9504e-005
29	0.38547	3.0384e-002	0.	2.3549e-005
30	0.41361	3.0009e-002	0.	1.8228e-005
31	0.44151	3.0023e-002	0.	1.3633e-005
32	0.46943	3.e-002	0.	9.7398e-006
33	0.49736	2.9958e-002	0.	6.5492e-006
34	0.5253	3.0254e-002	0.	4.0632e-006
35	0.55331	3.0272e-002	0.	2.2809e-006
36	0.58134	3.0358e-002	0.	1.2162e-006
37	0.58101	6.0782e-002	0.	1.5576e-006
38	0.58101	9.1481e-002	0.	1.5563e-006
39	0.58126	0.12178	0.	1.2207e-006
40	0.55321	0.12188	0.	2.2861e-006
41	0.52499	0.12179	0.	4.0867e-006
42	0.49686	0.12179	0.	6.5957e-006
43	0.46907	0.12162	0.	9.7922e-006
44	0.44121	0.12151	0.	1.3677e-005
45	0.41339	0.12168	0.	1.8245e-005
46	0.38576	0.12199	0.	2.3472e-005
47	0.3581	0.12353	0.	2.9397e-005
48	0.3299	0.1228	0.	3.6108e-005
49	0.30171	0.12267	0.	4.3503e-005
50	0.27309	0.12253	0.	5.1647e-005
51	0.24395	0.12177	0.	6.0123e-005
52	0.21317	0.12119	0.	7.1422e-005
53	0.17679	0.11889	0.	8.3302e-005
54	0.15468	0.13224	0.	7.5997e-005
55	0.18874	5.7406e-002	0.	7.852e-005
56	0.21647	6.0351e-002	0.	6.8115e-005
57	0.24513	6.1339e-002	0.	5.9598e-005
58	0.27423	6.1895e-002	0.	5.0859e-005
59	0.30231	6.2339e-002	0.	4.3066e-005
60	0.32951	6.1607e-002	0.	3.6021e-005
61	0.35713	6.1437e-002	0.	2.9509e-005
62	0.38514	6.0928e-002	0.	2.3603e-005
63	0.41306	6.0428e-002	0.	1.8327e-005
64	0.44097	6.0505e-002	0.	1.3744e-005
65	0.46887	6.0649e-002	0.	9.8691e-006
66	0.49678	6.0805e-002	0.	6.6965e-006
67	0.52471	6.0802e-002	0.	4.2388e-006
68	0.55298	6.0862e-002	0.	2.5162e-006
69	0.55283	9.1399e-002	0.	2.5255e-006
70	0.52478	9.1364e-002	0.	4.239e-006
71	0.49681	9.126e-002	0.	6.6962e-006
72	0.4689	9.1131e-002	0.	9.8717e-006
73	0.4409	9.0971e-002	0.	1.3757e-005
74	0.41304	9.112e-002	0.	1.8325e-005
