Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.1375	6.9458e-002	0.	8.8762e+006
2	0.13699	5.2584e-002	0.	7.5388e+006
3	9.67e-002	7.113e-002	0.	1.6461e+007
4	9.7341e-002	9.8667e-002	0.	2.0786e+007
5	0.13255	0.11811	0.	6.7227e+006
6	7.5725e-002	1.7591e-002	0.	6.5161e+006
7	6.3442e-002	5.0016e-002	0.	8.3106e+006
8	0.13022	1.4819e-002	0.	5.2557e+006
9	7.6432e-002	0.13373	0.	7.0166e+006
10	8.0713e-002	0.11615	0.	8.4543e+006
11	8.9095e-002	0.10501	0.	1.2426e+007
12	0.12925	0.13915	0.	4.8005e+006
13	0.14711	0.10193	0.	6.3278e+006
14	5.2274e-002	0.12687	0.	8.5195e+006
15	0.16306	5.4422e-002	0.	6.0472e+006
16	7.6061e-002	8.5574e-002	0.	1.0266e+007
17	3.008e-002	5.7479e-002	0.	1.0519e+007
18	3.4898e-002	8.8118e-002	0.	9.9706e+006
19	2.9388e-002	0.12107	0.	9.8146e+006
20	5.1267e-002	2.4727e-002	0.	8.871e+006
21	0.15658	2.6333e-002	0.	5.3456e+006
22	0.18878	2.8726e-002	0.	5.3433e+006
23	0.21743	3.023e-002	0.	4.7278e+006
24	0.24586	3.0805e-002	0.	4.1185e+006
25	0.27413	3.0749e-002	0.	3.531e+006
26	0.30186	2.9822e-002	0.	2.9898e+006
27	0.32989	2.9947e-002	0.	2.4861e+006
28	0.35754	3.0783e-002	0.	2.0328e+006
29	0.38547	3.0384e-002	0.	1.6225e+006
30	0.41361	3.0009e-002	0.	1.2559e+006
31	0.44151	3.0023e-002	0.	9.3933e+005
32	0.46943	3.e-002	0.	6.7107e+005
33	0.49736	2.9958e-002	0.	4.5124e+005
34	0.5253	3.0254e-002	0.	2.7996e+005
35	0.55331	3.0272e-002	0.	1.5716e+005
36	0.58134	3.0358e-002	0.	83793
37	0.58101	6.0782e-002	0.	1.0732e+005
38	0.58101	9.1481e-002	0.	1.0723e+005
39	0.58126	0.12178	0.	84108
40	0.55321	0.12188	0.	1.5751e+005
41	0.52499	0.12179	0.	2.8158e+005
42	0.49686	0.12179	0.	4.5444e+005
43	0.46907	0.12162	0.	6.7468e+005
44	0.44121	0.12151	0.	9.4234e+005
45	0.41339	0.12168	0.	1.2571e+006
46	0.38576	0.12199	0.	1.6173e+006
47	0.3581	0.12353	0.	2.0254e+006
48	0.3299	0.1228	0.	2.4879e+006
49	0.30171	0.12267	0.	2.9974e+006
50	0.27309	0.12253	0.	3.5585e+006
51	0.24395	0.12177	0.	4.1425e+006
52	0.21317	0.12119	0.	4.921e+006
53	0.17679	0.11889	0.	5.7395e+006
54	0.15468	0.13224	0.	5.2362e+006
55	0.18874	5.7406e-002	0.	5.41e+006
56	0.21647	6.0351e-002	0.	4.6931e+006
57	0.24513	6.1339e-002	0.	4.1063e+006
58	0.27423	6.1895e-002	0.	3.5042e+006
59	0.30231	6.2339e-002	0.	2.9673e+006
60	0.32951	6.1607e-002	0.	2.4819e+006
61	0.35713	6.1437e-002	0.	2.0332e+006
62	0.38514	6.0928e-002	0.	1.6263e+006
63	0.41306	6.0428e-002	0.	1.2627e+006
64	0.44097	6.0505e-002	0.	9.4693e+005
65	0.46887	6.0649e-002	0.	6.7998e+005
66	0.49678	6.0805e-002	0.	4.6139e+005
67	0.52471	6.0802e-002	0.	2.9206e+005
68	0.55298	6.0862e-002	0.	1.7337e+005
69	0.55283	9.1399e-002	0.	1.74e+005
