Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
251	0.46995	0.	2.54e-003	6.2648e+005
252	0.44202	0.	2.54e-003	8.9597e+005
253	0.41409	0.	2.54e-003	1.2165e+006
254	0.38616	0.	2.54e-003	1.5827e+006
255	0.35822	0.	2.54e-003	1.9979e+006
256	0.33029	0.	2.54e-003	2.4717e+006
257	0.30236	0.	2.54e-003	2.9909e+006
258	0.27443	0.	2.54e-003	3.5629e+006
259	0.2465	0.	2.54e-003	4.1762e+006
260	0.21857	0.	2.54e-003	4.8274e+006
261	0.19064	0.	2.54e-003	5.2946e+006
262	0.16271	0.	2.54e-003	5.0675e+006
263	0.13478	0.	2.54e-003	4.0797e+006
264	0.10685	0.	2.54e-003	3.1651e+006
265	0.10262	0.	2.54e-003	4.4405e+006
266	7.6962e-002	-3.8133e-032	2.54e-003	5.6765e+006
267	5.1308e-002	-2.5422e-032	2.54e-003	9.316e+006
268	2.5654e-002	-1.2711e-032	2.54e-003	8.8995e+006
269	0.	0.	2.54e-003	9.0116e+006
270	1.e-015	0.1524	2.54e-003	9.1714e+006
271	2.5654e-002	0.1524	2.54e-003	8.8326e+006
272	5.1308e-002	0.1524	2.54e-003	9.1865e+006
273	7.6962e-002	0.1524	2.54e-003	5.9894e+006
274	0.10262	0.1524	2.54e-003	4.4103e+006
275	7.6962e-002	0.1524	0.	3.8643e+005
276	5.1308e-002	0.1524	0.	-43124
277	2.5654e-002	0.1524	0.	1.3337e+006
278	0.10262	0.1524	0.	-6.8749e+005
279	1.e-015	0.1524	0.	-4.0318e+006
280	2.5654e-002	-1.2711e-032	0.	1.1955e+006
281	5.1308e-002	-2.5422e-032	0.	-34102
282	7.6962e-002	-3.8133e-032	0.	5.5412e+005
283	0.10262	0.	0.	-8.2658e+005
284	0.	0.	0.	-3.7938e+006
285	0.13478	0.	0.	-32378
286	0.16271	0.	0.	4.0971e+005
287	0.19064	0.	0.	91030
288	0.21857	0.	0.	-32593
289	0.2465	0.	0.	-5978.8
290	0.27443	0.	0.	20509
291	0.30236	0.	0.	44139
292	0.33029	0.	0.	51292
293	0.35822	0.	0.	64000
294	0.38616	0.	0.	73513
295	0.41409	0.	0.	73287
296	0.44202	0.	0.	74042
297	0.46995	0.	0.	74706
298	0.49788	0.	0.	73415
299	0.52581	0.	0.	70539
300	0.55374	0.	0.	64409
301	0.58167	0.	0.	52602
302	0.10685	0.	0.	-1.2575e+005
303	0.6096	0.	0.	35577
304	1.0658e-015	0.12192	0.	-6.7977e+006
305	7.9936e-016	9.144e-002	0.	-7.0769e+006
306	5.3291e-016	6.096e-002	0.	-7.0669e+006
307	2.6645e-016	3.048e-002	0.	-6.638e+006
308	0.6096	3.048e-002	0.	47183
309	0.6096	6.096e-002	0.	69753
310	0.6096	9.144e-002	0.	69781
311	0.6096	0.12192	0.	46909
312	0.6096	0.1524	0.	35662
313	0.58167	0.1524	0.	52782
314	0.55374	0.1524	0.	64378
315	0.52581	0.1524	0.	71811
316	0.49788	0.1524	0.	76477
317	0.46995	0.1524	0.	77371
318	0.44202	0.1524	0.	77264
319	0.41409	0.1524	0.	76046
320	0.38616	0.1524	0.	66600
321	0.35822	0.1524	0.	60376
322	0.33029	0.1524	0.	54252
323	0.30236	0.1524	0.	43946
324	0.27443	0.1524	0.	29038
325	0.2465	0.1524	0.	10192
326	0.21857	0.1524	0.	-39671
327	0.19064	0.1524	0.	1.9661e+005
328	0.16271	0.1524	0.	1.938e+005
329	0.13478	0.1524	0.	-2.3522e+005
330	0.10685	0.1524	0.	-1.4173e+005
331	0.10262	3.81e-002	0.	2.3519e+005
332	0.10262	2.54e-002	0.	1.563e+006
333	0.10262	1.27e-002	0.	-8.5174e+005
334	0.10262	5.08e-002	0.	-3.869e+006
335	0.10685	1.27e-002	0.	-7.1168e+005
336	0.10685	2.54e-002	0.	1.8559e+006
337	0.10685	3.81e-002	0.	2.5e+006
338	0.10685	5.08e-002	0.	-1.5353e+006
339	0.10262	0.1143	0.	3.1031e+006
340	0.10262	0.127	0.	-4.1128e+005
341	0.10262	0.1397	0.	-9.2733e+005
342	0.10262	0.1016	0.	3.1421e+006
343	0.10685	0.1397	0.	-6.062e+005
344	0.10685	0.127	0.	1.5115e+006
345	0.10685	0.1143	0.	3.6979e+006
346	0.10685	0.1016	0.	-2.8119e+006
347	0.13724	6.1021e-002	0.	-3.5917e+005
348	0.12692	6.7153e-002	0.	6.247e+005
349	0.13517	7.7647e-002	0.	23876
350	0.14939	7.5037e-002	0.	-1.4291e+005
351	0.1375	6.9458e-002	1.27e-003	3.3316e+005
352	0.15002	5.3503e-002	0.	-2.0935e+005
353	0.13482	4.4991e-002	0.	2.1395e+005
354	0.13699	5.2584e-002	1.27e-003	2.5851e+005
355	0.12192	5.1692e-002	0.	-1.5852e+006
356	8.638e-002	7.8352e-002	0.	7.4884e+005
357	0.10652	6.7989e-002	0.	2.7577e+006
358	9.979e-002	7.5047e-002	0.	2.4447e+006
359	9.67e-002	7.113e-002	1.27e-003	3.9014e+005
360	9.9658e-002	6.0965e-002	0.	-4.1983e+005
361	9.3218e-002	0.10184	0.	2.8071e+006
362	9.9408e-002	9.5958e-002	0.	1.7211e+006
363	9.5602e-002	9.305e-002	0.	2.5279e+006
364	9.7341e-002	9.8667e-002	1.27e-003	1.3805e+006
365	9.9978e-002	0.10013	0.	2.0156e+006
366	0.13983	0.11002	0.	2.8015e+005
367	0.14361	0.12517	0.	5.1722e+005
368	0.12847	0.12318	0.	1.0558e+006
369	0.13255	0.11811	1.27e-003	5.1073e+005
370	0.1197	0.11621	0.	1.6647e+006
371	6.3496e-002	2.1159e-002	0.	-22580
372	7.802e-002	2.3792e-002	0.	4.2389e+005
373	7.5725e-002	1.7591e-002	1.27e-003	2.17e+005
374	7.6343e-002	8.7957e-003	0.	5.0636e+005
375	8.917e-002	1.5146e-002	0.	-4.5242e+005
376	4.6761e-002	5.3747e-002	0.	9.3329e+005
377	5.7355e-002	3.7371e-002	0.	-2.5496e+005
378	7.1879e-002	4.0004e-002	0.	-1.04e+005
379	6.5499e-002	5.9261e-002	0.	-5.571e+005
380	6.3442e-002	5.0016e-002	1.27e-003	2.6981e+005
381	8.3029e-002	4.4058e-002	0.	-83199
382	0.1434	2.0576e-002	0.	2.8463e+005
383	0.12762	2.0313e-002	0.	8.8773e+005
384	0.13022	1.4819e-002	1.27e-003	2.9989e+005
385	0.1325	7.4097e-003	0.	4.4554e+005
386	0.11853	1.376e-002	0.	-2.1318e+005
387	7.8573e-002	0.12494	0.	7.0149e+005
388	6.4353e-002	0.1303	0.	-66603
389	7.6432e-002	0.13373	1.27e-003	1.8648e+005
390	7.6697e-002	0.14307	0.	4.6544e+005
391	8.9524e-002	0.13672	0.	-3.537e+005
392	8.4904e-002	0.11058	0.	1.4965e+006
393	7.0497e-002	0.1099	0.	-18760
394	8.0713e-002	0.11615	1.27e-003	1.9957e+005
395	9.1664e-002	0.12158	0.	-1.1114e+005
396	8.2578e-002	9.5292e-002	0.	3.6541e+005
397	8.9095e-002	0.10501	1.27e-003	5.9969e+005
398	9.5856e-002	0.10965	0.	1.9425e+006
399	0.14196	0.13569	0.	2.3885e+005
400	0.12682	0.1337	0.	9.1693e+005
401	0.12925	0.13915	1.27e-003	2.4796e+005
402	0.13202	0.14577	0.	2.4987e+005
403	0.11805	0.13942	0.	-1.7226e+005
404	0.16195	0.11041	0.	-1.039e+005
405	0.13998	9.3882e-002	0.	504.17
406	0.15419	9.1271e-002	0.	-1.616e+005
407	0.14711	0.10193	1.27e-003	2.2962e+005
408	0.12698	0.10176	0.	-2.3488e+006
409	4.0831e-002	0.12397	0.	8.3727e+005
410	5.6277e-002	0.11526	0.	-2.0928e+005
411	5.2274e-002	0.12687	1.27e-003	1.0114e+005
412	5.1791e-002	0.13963	0.	-2.2759e+005
413	0.15982	4.0378e-002	0.	27086
414	0.1759	5.5914e-002	0.	-8173.8
415	0.16217	6.7518e-002	0.	-72101
416	0.16306	5.4422e-002	1.27e-003	1.0046e+005
