Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
1	0.1375	6.9458e-002	0.	-1.3575e+006
2	0.13699	5.2584e-002	0.	-1.4374e+006
3	9.67e-002	7.113e-002	0.	1.0155e+005
4	9.7341e-002	9.8667e-002	0.	-8.8951e+005
5	0.13255	0.11811	0.	2.9722e+005
6	7.5725e-002	1.7591e-002	0.	-1.1047e+005
7	6.3442e-002	5.0016e-002	0.	-9.6365e+005
8	0.13022	1.4819e-002	0.	1.6374e+005
9	7.6432e-002	0.13373	0.	1.1319e+005
10	8.0713e-002	0.11615	0.	-37703
11	8.9095e-002	0.10501	0.	-98152
12	0.12925	0.13915	0.	2.626e+005
13	0.14711	0.10193	0.	-8.9157e+005
14	5.2274e-002	0.12687	0.	-8.4105e+005
15	0.16306	5.4422e-002	0.	-3.9899e+005
16	7.6061e-002	8.5574e-002	0.	-2.0043e+006
17	3.008e-002	5.7479e-002	0.	-2.0195e+006
18	3.4898e-002	8.8118e-002	0.	-2.3605e+006
19	2.9388e-002	0.12107	0.	-1.2358e+006
20	5.1267e-002	2.4727e-002	0.	-5.3465e+005
21	0.15658	2.6333e-002	0.	-2.8476e+005
22	0.18878	2.8726e-002	0.	-1.5767e+005
23	0.21743	3.023e-002	0.	-1.4005e+005
24	0.24586	3.0805e-002	0.	-58486
25	0.27413	3.0749e-002	0.	-18534
26	0.30186	2.9822e-002	0.	-5934.3
27	0.32989	2.9947e-002	0.	-4265.8
28	0.35754	3.0783e-002	0.	-3856.9
29	0.38547	3.0384e-002	0.	-3338.1
30	0.41361	3.0009e-002	0.	-3781.4
31	0.44151	3.0023e-002	0.	-3730.7
32	0.46943	3.e-002	0.	-3796.7
33	0.49736	2.9958e-002	0.	-3931.9
34	0.5253	3.0254e-002	0.	-3768.6
35	0.55331	3.0272e-002	0.	-3762.4
36	0.58134	3.0358e-002	0.	-4005.6
37	0.58101	6.0782e-002	0.	-8513.5
38	0.58101	9.1481e-002	0.	-8456.3
39	0.58126	0.12178	0.	-3965.6
40	0.55321	0.12188	0.	-3749.3
41	0.52499	0.12179	0.	-3720.3
42	0.49686	0.12179	0.	-3892.
43	0.46907	0.12162	0.	-3514.2
44	0.44121	0.12151	0.	-3397.8
45	0.41339	0.12168	0.	-3489.6
46	0.38576	0.12199	0.	-3723.8
47	0.3581	0.12353	0.	-3869.2
48	0.3299	0.1228	0.	-4796.
49	0.30171	0.12267	0.	-7218.4
50	0.27309	0.12253	0.	-11369
51	0.24395	0.12177	0.	-73839
52	0.21317	0.12119	0.	-2.7216e+005
53	0.17679	0.11889	0.	-3.1457e+005
54	0.15468	0.13224	0.	-4.5439e+005
55	0.18874	5.7406e-002	0.	-3.8416e+005
56	0.21647	6.0351e-002	0.	-2.1284e+005
57	0.24513	6.1339e-002	0.	-1.063e+005
58	0.27423	6.1895e-002	0.	-40833
59	0.30231	6.2339e-002	0.	-3303.2
60	0.32951	6.1607e-002	0.	-9198.1
61	0.35713	6.1437e-002	0.	-7337.9
62	0.38514	6.0928e-002	0.	-6915.5
63	0.41306	6.0428e-002	0.	-8427.2
64	0.44097	6.0505e-002	0.	-8166.2
65	0.46887	6.0649e-002	0.	-8233.1
66	0.49678	6.0805e-002	0.	-8206.5
67	0.52471	6.0802e-002	0.	-8477.7
68	0.55298	6.0862e-002	0.	-7747.8
69	0.55283	9.1399e-002	0.	-8134.4
70	0.52478	9.1364e-002	0.	-8407.3
71	0.49681	9.126e-002	0.	-8371.2
72	0.4689	9.1131e-002	0.	-8315.3
73	0.4409	9.0971e-002	0.	-8604.1
74	0.41304	9.112e-002	0.	-7935.4
75	0.38523	9.1576e-002	0.	-8227.9
76	0.35726	9.2601e-002	0.	-8002.5
77	0.3298	9.2457e-002	0.	-3875.
78	0.30192	9.3087e-002	0.	-7438.
79	0.27302	9.2152e-002	0.	-39425
80	0.24363	9.1634e-002	0.	-1.2357e+005
81	0.18547	8.8087e-002	0.	-4.3626e+005
82	0.21353	9.1046e-002	0.	-2.7308e+005
83	0.12439	0.12825	0.	92087
84	8.0316e-002	2.9992e-002	0.	1.0756e+005
85	6.7555e-002	6.8505e-002	0.	-1.5626e+006
86	2.6809e-002	2.9261e-002	0.	-1.3779e+006
87	0.12502	2.5807e-002	0.	2.2199e+005
88	0.13266	3.7398e-002	0.	-44088
89	0.11634	6.4848e-002	0.	9.9634e+005
90	0.10723	9.3445e-002	0.	-3.3536e+005
91	0.11704	9.1765e-002	0.	-1.069e+005
92	0.10148	9.3249e-002	0.	-4.909e+005
93	9.3863e-002	8.7432e-002	0.	7.3875e+005
94	0.13285	8.5837e-002	0.	-1.1473e+006
95	0.10288	7.8964e-002	0.	-84840
96	0.16128	8.0615e-002	0.	-6.8394e+005
97	0.10796	8.5863e-002	0.	-1.5424e+005
98	0.10031	8.9195e-002	0.	3.302e+005
99	0.11958	7.775e-002	0.	-59747
100	0.11596	8.5048e-002	0.	-2.3032e+005
