Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	12.8	2.1818	0.	4.2083e-004
2	12.8	2.3636	0.	3.3742e-004
3	12.8	2.5455	0.	2.9365e-004
4	12.8	2.7273	0.	2.7159e-004
5	12.8	2.9091	0.	2.6191e-004
6	12.8	3.0909	0.	2.6191e-004
7	12.8	3.2727	0.	2.7159e-004
8	12.8	3.4545	0.	2.9365e-004
9	12.8	3.6364	0.	3.3742e-004
10	12.8	3.8182	0.	4.2083e-004
11	12.967	2.1818	0.	3.9757e-004
12	12.967	2.3636	0.	3.2894e-004
13	12.967	2.5455	0.	2.8712e-004
14	12.967	2.7273	0.	2.6607e-004
15	12.967	2.9091	0.	2.567e-004
16	12.967	3.0909	0.	2.567e-004
17	12.967	3.2727	0.	2.6607e-004
18	12.967	3.4545	0.	2.8712e-004
19	12.967	3.6364	0.	3.2894e-004
20	12.967	3.8182	0.	3.9757e-004
21	12.617	5.8182	0.	2.6168e-005
22	12.617	5.6364	0.	4.3543e-005
23	12.617	5.4545	0.	6.7902e-005
24	12.617	5.2727	0.	9.6143e-005
25	12.617	5.0909	0.	1.2855e-004
26	12.617	4.9091	0.	1.6645e-004
27	12.617	4.7273	0.	2.1221e-004
28	12.617	4.5455	0.	2.7011e-004
29	12.617	4.3636	0.	3.4951e-004
30	12.617	4.1818	0.	4.422e-004
31	12.617	4.	0.	4.4199e-004
32	12.617	3.8182	0.	3.2749e-004
33	12.617	3.6364	0.	2.9646e-004
34	12.617	3.4545	0.	2.7005e-004
35	12.617	3.2727	0.	2.5684e-004
36	12.617	3.0909	0.	2.5032e-004
37	12.617	2.9091	0.	2.5032e-004
38	12.617	2.7273	0.	2.5684e-004
39	12.617	2.5455	0.	2.7005e-004
40	12.617	2.3636	0.	2.9646e-004
41	12.617	2.1818	0.	3.2749e-004
42	12.617	2.	0.	4.4199e-004
43	12.617	1.8182	0.	4.422e-004
44	12.617	1.6364	0.	3.4951e-004
45	12.617	1.4545	0.	2.7011e-004
46	12.617	1.2727	0.	2.1221e-004
47	12.617	1.0909	0.	1.6645e-004
48	12.617	0.90909	0.	1.2855e-004
49	12.617	0.72727	0.	9.6143e-005
50	12.617	0.54545	0.	6.7902e-005
51	12.617	0.36364	0.	4.3543e-005
52	12.617	0.18182	0.	2.6168e-005
53	12.434	5.8182	0.	3.3652e-005
54	12.434	5.6364	0.	4.3444e-005
55	12.434	5.4545	0.	6.0902e-005
56	12.434	5.2727	0.	8.3194e-005
57	12.434	5.0909	0.	1.0941e-004
58	12.434	4.9091	0.	1.3954e-004
59	12.434	4.7273	0.	1.7412e-004
60	12.434	4.5455	0.	2.121e-004
61	12.434	4.3636	0.	2.5113e-004
62	12.434	4.1818	0.	2.7606e-004
63	12.434	4.	0.	2.6052e-004
64	12.434	3.8182	0.	2.4528e-004
65	12.434	3.6364	0.	2.3793e-004
66	12.434	3.4545	0.	2.3328e-004
67	12.434	3.2727	0.	2.2914e-004
68	12.434	3.0909	0.	2.2692e-004
69	12.434	2.9091	0.	2.2692e-004
70	12.434	2.7273	0.	2.2914e-004
71	12.434	2.5455	0.	2.3328e-004
72	12.434	2.3636	0.	2.3793e-004
73	12.434	2.1818	0.	2.4528e-004
74	12.434	2.	0.	2.6052e-004
75	12.434	1.8182	0.	2.7606e-004
76	12.434	1.6364	0.	2.5113e-004
77	12.434	1.4545	0.	2.121e-004
78	12.434	1.2727	0.	1.7412e-004
79	12.434	1.0909	0.	1.3954e-004
80	12.434	0.90909	0.	1.0941e-004
81	12.434	0.72727	0.	8.3194e-005
