Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
141	7.14	0.	0.	2.3928e-005
142	9.0133	0.	0.	2.2369e-005
143	10.887	0.	0.	1.7359e-005
144	12.76	0.	0.	1.301e-005
145	14.633	0.	0.	9.5852e-006
146	16.507	0.	0.	6.5267e-006
147	18.38	0.	0.	4.2061e-006
148	20.253	0.	0.	2.5839e-006
149	22.127	0.	0.	1.8183e-006
150	5.2667	0.	0.	3.0051e-005
151	24.	0.	0.	9.1984e-007
152	3.4968e-014	4.	0.	1.1103e-006
153	1.7484e-014	2.	0.	1.0149e-006
154	24.	2.	0.	9.6309e-007
155	24.	4.	0.	9.538e-007
156	24.	6.	0.	8.2595e-007
157	22.127	6.	0.	1.4991e-006
158	20.253	6.	0.	2.4262e-006
159	18.38	6.	0.	4.2654e-006
160	16.507	6.	0.	6.7013e-006
161	14.633	6.	0.	9.2445e-006
162	12.76	6.	0.	1.2478e-005
163	10.887	6.	0.	1.7799e-005
164	9.0133	6.	0.	2.286e-005
165	7.14	6.	0.	2.378e-005
166	5.2667	6.	0.	1.9133e-005
167	5.1	1.5	0.	6.2079e-005
168	5.1	1.	0.	5.6145e-005
169	5.1	2.	0.	1.654e-004
170	5.2667	1.	0.	2.9883e-005
171	5.2667	1.5	0.	5.9221e-005
172	5.2667	2.	0.	1.0771e-004
173	5.1	4.5	0.	5.8917e-005
174	5.1	5.	0.	3.872e-005
175	5.1	4.	0.	1.0969e-004
176	5.2667	5.	0.	2.449e-005
177	5.2667	4.5	0.	6.5667e-005
178	5.2667	4.	0.	1.2393e-004
179	4.9782	2.8131	0.	1.007e-004
180	5.2071	2.5623	0.	1.0905e-004
181	5.0893	2.5213	5.e-002	1.1957e-005
182	5.0946	2.2607	0.	1.2186e-004
183	5.1405	3.2458	0.	9.0517e-005
184	5.6092	3.231	0.	7.5801e-005
185	5.4139	3.3868	5.e-002	6.6967e-006
186	5.3403	3.6934	0.	1.0353e-004
187	6.0679	2.8768	0.	5.3819e-005
188	6.4995	3.0229	0.	3.5157e-005
189	6.8635	2.5173	0.	3.137e-005
190	6.3312	2.6784	5.e-002	7.2723e-006
191	5.799	2.3392	0.	6.7506e-005
192	6.4672	4.0403	0.	3.3836e-005
193	5.9866	3.4078	0.	5.2236e-005
194	6.4182	3.5538	0.	3.4092e-005
195	6.1686	3.7403	5.e-002	6.5523e-006
196	5.7176	3.8701	0.	7.7483e-005
197	4.043	1.7958	0.	6.313e-005
198	4.5753	2.4573	0.	7.6396e-005
199	4.5241	2.0111	5.e-002	7.6145e-006
200	4.812	1.7556	0.	6.983e-005
201	9.0631	3.587	0.	2.2999e-005
202	9.1573	2.0577	0.	2.2435e-005
203	8.2859	2.5655	0.	2.2599e-005
204	10.019	2.8405	0.	2.0079e-005
205	9.176	2.7749	5.e-002	9.3702e-007
206	5.096	2.854	0.	9.4678e-005
207	4.7468	3.0041	0.	7.6441e-005
208	4.8671	3.1049	5.e-002	3.2957e-006
209	4.9836	3.5524	0.	8.9604e-005
210	5.5648	2.8392	0.	8.0416e-005
211	5.325	2.6032	5.e-002	2.7037e-006
212	5.2958	2.3016	0.	1.0057e-004
213	22.108	3.0377	0.	1.4771e-006
214	21.138	2.1109	0.	1.9949e-006
215	22.09	2.0488	5.e-002	4.853e-008
216	22.108	1.0244	0.	1.6116e-006
217	23.045	2.0244	0.	1.2461e-006
218	21.219	4.0863	0.	1.9408e-006
219	22.127	4.0267	5.e-002	7.474e-008
220	23.064	4.0133	0.	1.23e-006
221	22.127	5.0133	0.	1.4505e-006
222	19.379	4.2465	0.	3.2067e-006
223	20.249	3.1594	0.	2.3789e-006
224	20.311	4.1459	5.e-002	1.1045e-007
225	20.282	5.073	0.	2.3328e-006
226	17.486	4.3626	0.	5.216e-006
227	18.398	3.5979	0.	4.0563e-006
228	18.448	4.3472	5.e-002	2.3745e-007
229	18.414	5.1736	0.	4.0814e-006
230	15.589	4.3626	0.	7.7822e-006
231	16.511	3.6671	0.	6.3623e-006
232	16.524	4.3781	5.e-002	3.4141e-007
233	16.515	5.189	0.	6.4921e-006
234	13.706	4.3729	0.	1.0613e-005
235	14.645	3.64	0.	9.1191e-006
236	14.655	4.3472	5.e-002	4.3234e-007
237	14.644	5.1736	0.	9.1655e-006
238	11.808	4.4224	0.	1.4774e-005
239	12.753	3.6562	0.	1.2299e-005
240	12.758	4.3987	5.e-002	3.7465e-007
241	12.759	5.1993	0.	1.236e-005
242	9.9041	4.4226	0.	2.0241e-005
243	10.861	3.6761	0.	1.7375e-005
244	10.858	4.4461	5.e-002	5.6661e-007
245	10.872	5.2231	0.	1.7469e-005
246	8.2887	4.0248	0.	2.6597e-005
247	8.0175	4.7819	0.	2.2819e-005
248	8.9502	4.3991	5.e-002	9.1845e-007
249	8.9818	5.1995	0.	2.0864e-005
250	7.1965	3.9954	0.	2.9446e-005
251	7.1475	3.5089	0.	2.9447e-005
252	7.5115	3.0033	0.	2.5924e-005
253	7.6272	3.6505	5.e-002	4.4644e-006
254	6.9253	4.7525	0.	2.5147e-005
255	6.7658	4.3403	5.e-002	2.1948e-006
256	6.0162	4.4202	0.	3.2202e-005
257	8.2322	1.2454	0.	2.3052e-005
258	7.3608	1.7532	0.	2.1515e-005
259	7.3258	1.1503	5.e-002	5.5492e-007
260	7.2329	0.57513	0.	2.4595e-005
261	6.2962	1.0751	0.	2.4184e-005
262	10.014	1.359	0.	1.9416e-005
263	9.1385	1.3406	5.e-002	7.088e-007
264	9.0759	0.67029	0.	2.2336e-005
265	11.827	1.4186	0.	1.4332e-005
266	10.876	2.1418	0.	1.6987e-005
267	10.89	1.3775	5.e-002	6.6926e-007
268	10.888	0.68875	0.	1.6695e-005
269	13.7	1.4634	0.	1.0772e-005
270	12.757	2.1867	0.	1.2272e-005
271	12.764	1.4596	5.e-002	4.7546e-007
272	12.762	0.72982	0.	1.267e-005
273	15.57	1.4783	0.	7.7309e-006
274	14.636	2.1999	0.	9.1061e-006
275	14.636	1.4671	5.e-002	3.6029e-007
276	14.635	0.73354	0.	9.3171e-006
277	17.442	1.5746	0.	5.1637e-006
278	16.501	2.2229	0.	6.3385e-006
279	16.504	1.4895	5.e-002	2.6705e-007
280	16.505	0.74477	0.	6.3644e-006
281	19.283	1.9163	0.	3.2339e-006
282	18.364	2.2541	0.	4.0465e-006
283	18.38	1.6596	5.e-002	3.0554e-007
284	18.38	0.82981	0.	4.0547e-006
285	19.267	2.5108	0.	3.3013e-006
286	20.186	2.1729	5.e-002	1.8949e-008
287	20.22	1.0865	0.	2.4779e-006
288	2.8199	1.9066	0.	5.4557e-005
289	3.8478	2.4309	0.	4.3885e-005
290	3.5618	1.5805	5.e-002	5.0979e-006
291	3.4809	0.79026	0.	3.8019e-005
292	4.3309	1.2903	0.	4.3427e-005
293	1.8421	3.2111	0.	7.8652e-005
294	2.8332	2.9692	0.	5.7824e-005
295	2.0779	2.2326	5.e-002	4.5108e-006
296	1.889	1.1163	0.	7.2622e-005
297	1.039	2.1163	0.	3.8068e-005
298	2.4135	4.4348	0.	5.5795e-005
299	1.6064	4.1896	5.e-002	2.6278e-006
300	1.6532	5.0948	0.	7.66e-005
301	0.80319	4.0948	0.	4.071e-005
302	3.4046	4.1929	0.	3.5068e-005
303	3.2207	4.68	5.e-002	2.4664e-006
304	3.3103	5.34	0.	3.3154e-005
305	4.1603	4.84	0.	3.4571e-005
306	4.3801	3.0924	0.	5.1673e-005
307	4.6264	2.9034	5.e-002	9.597e-006
308	4.8632	2.4517	0.	1.0232e-004
309	3.8611	3.4935	0.	4.718e-005
310	4.1338	3.2813	5.e-002	4.1394e-007
311	4.6169	3.6406	0.	7.9154e-005
312	5.8046	3.0752	5.e-002	4.1557e-006
313	6.6678	3.3673	5.e-002	1.5782e-006
314	7.3958	2.3562	5.e-002	1.4775e-006
315	6.3312	1.9281	0.	4.0828e-005
316	17.423	2.9024	0.	5.2885e-006
317	18.349	2.8487	5.e-002	3.2867e-007
318	15.566	2.9445	0.	7.7808e-006
319	16.497	2.9562	5.e-002	3.0254e-007
320	13.692	2.9232	0.	1.0671e-005
321	14.635	2.9328	5.e-002	3.5896e-007
322	11.806	2.9099	0.	1.4898e-005
323	12.749	2.9137	5.e-002	3.6939e-007
324	10.863	2.906	5.e-002	7.9367e-007
325	3.5884	3.7057	5.e-002	4.9369e-006
326	4.3442	4.1029	0.	4.8301e-005
327	7.0848	5.1647	5.e-002	3.0038e-006
328	7.1124	5.5824	0.	2.7164e-005
329	6.1758	5.0824	0.	2.4701e-005
330	6.9253	4.7525	0.1	7.3406e-005
331	8.0175	4.7819	0.1	6.449e-005
332	6.1758	5.0824	0.1	6.9514e-005
333	7.1124	5.5824	0.1	6.2885e-005
334	3.8611	3.4935	0.1	1.2449e-004
335	3.4046	4.1929	0.1	1.1267e-004
336	2.8332	2.9692	0.1	1.1899e-004
337	4.3442	4.1029	0.1	1.5077e-004
338	11.806	2.9099	0.1	4.3737e-005
339	10.876	2.1418	0.1	5.0067e-005
340	10.861	3.6761	0.1	5.0245e-005
341	10.019	2.8405	0.1	5.5973e-005
342	13.692	2.9232	0.1	3.1871e-005
343	12.757	2.1867	0.1	3.7361e-005
344	12.753	3.6562	0.1	3.7428e-005
345	15.566	2.9445	0.1	2.1813e-005
346	14.636	2.1999	0.1	2.6364e-005
347	14.645	3.64	0.1	2.6304e-005
348	17.423	2.9024	0.1	1.3897e-005
349	16.501	2.2229	0.1	1.7223e-005
350	16.511	3.6671	0.1	1.7199e-005
351	19.267	2.5108	0.1	7.9999e-006
352	18.364	2.2541	0.1	1.0425e-005
353	18.398	3.5979	0.1	1.0262e-005
354	7.3608	1.7532	0.1	6.7086e-005
355	7.5115	3.0033	0.1	7.3996e-005
356	8.2859	2.5655	0.1	6.5935e-005
357	6.8635	2.5173	0.1	9.1974e-005
358	6.3312	1.9281	0.1	1.1883e-004
359	7.1475	3.5089	0.1	7.9199e-005
360	6.4182	3.5538	0.1	9.8327e-005
361	6.4995	3.0229	0.1	9.7201e-005
362	5.5648	2.8392	0.1	1.9559e-004
363	5.9866	3.4078	0.1	1.4923e-004
364	6.0679	2.8768	0.1	1.4791e-004
365	5.6092	3.231	0.1	1.8754e-004
366	4.3801	3.0924	0.1	1.4515e-004
367	3.8478	2.4309	0.1	1.1643e-004
368	4.6169	3.6406	0.1	2.5017e-004
369	4.7468	3.0041	0.1	1.8139e-004
370	4.5753	2.4573	0.1	1.4433e-004
371	4.8632	2.4517	0.1	3.2248e-004
372	2.4135	4.4348	0.1	1.1841e-004
373	4.1603	4.84	0.1	1.1061e-004
374	3.3103	5.34	0.1	1.0511e-004
375	1.8421	3.2111	0.1	1.2461e-004
376	0.80319	4.0948	0.1	1.3047e-004
377	1.6532	5.0948	0.1	1.2689e-004
378	2.8199	1.9066	0.1	1.1335e-004
379	1.039	2.1163	0.1	1.2787e-004
380	1.889	1.1163	0.1	1.2181e-004
381	4.043	1.7958	0.1	1.1863e-004
382	4.3309	1.2903	0.1	1.2003e-004
383	3.4809	0.79026	0.1	1.0291e-004
384	19.283	1.9163	0.1	7.9356e-006
385	20.249	3.1594	0.1	5.0951e-006
386	21.138	2.1109	0.1	3.7076e-006
387	20.22	1.0865	0.1	4.9846e-006
388	17.442	1.5746	0.1	1.3819e-005
389	18.38	0.82981	0.1	1.0232e-005
390	15.57	1.4783	0.1	2.1841e-005
391	16.505	0.74477	0.1	1.7259e-005
392	13.7	1.4634	0.1	3.192e-005
393	14.635	0.73354	0.1	2.648e-005
394	11.827	1.4186	0.1	4.3743e-005
395	12.762	0.72982	0.1	3.7542e-005
396	10.014	1.359	0.1	5.6423e-005
397	10.888	0.68875	0.1	5.0089e-005
398	8.2322	1.2454	0.1	6.3439e-005
399	9.1573	2.0577	0.1	6.2252e-005
400	9.0759	0.67029	0.1	6.3093e-005
401	6.2962	1.0751	0.1	7.4124e-005
402	7.2329	0.57513	0.1	6.0052e-005
403	7.1965	3.9954	0.1	7.7507e-005
404	6.4672	4.0403	0.1	9.6985e-005
405	6.0162	4.4202	0.1	1.0071e-004
406	8.2887	4.0248	0.1	6.8896e-005
407	9.9041	4.4226	0.1	5.5056e-005
408	9.0631	3.587	0.1	6.0786e-005
409	8.9818	5.1995	0.1	6.0128e-005
410	11.808	4.4224	0.1	4.3963e-005
411	10.872	5.2231	0.1	5.1015e-005
412	13.706	4.3729	0.1	3.1918e-005
413	12.759	5.1993	0.1	3.7688e-005
414	15.589	4.3626	0.1	2.1771e-005
415	14.644	5.1736	0.1	2.6437e-005
416	17.486	4.3626	0.1	1.365e-005
417	16.515	5.189	0.1	1.7308e-005
418	19.379	4.2465	0.1	7.4289e-006
419	18.414	5.1736	0.1	1.0041e-005
420	21.219	4.0863	0.1	3.3468e-006
421	20.282	5.073	0.1	4.6672e-006
422	22.108	3.0377	0.1	1.8796e-006
423	22.127	5.0133	0.1	1.8072e-006
424	23.064	4.0133	0.1	1.379e-006
425	23.045	2.0244	0.1	1.4015e-006
426	22.108	1.0244	0.1	1.8907e-006
427	5.096	2.854	0.1	2.0556e-004
428	5.2071	2.5623	0.1	2.2574e-004
429	5.2958	2.3016	0.1	2.863e-004
430	5.1405	3.2458	0.1	1.9796e-004
431	4.9782	2.8131	0.1	2.2294e-004
432	4.9836	3.5524	0.1	2.8019e-004
433	4.812	1.7556	0.1	1.441e-004
434	5.7176	3.8701	0.1	2.3625e-004
435	5.799	2.3392	0.1	2.3827e-004
436	5.3403	3.6934	0.1	2.7248e-004
437	5.0946	2.2607	0.1	3.6294e-004
438	5.2667	4.75	0.1	1.0799e-004
439	5.2667	5.5	0.1	6.5712e-005
440	5.2667	5.	5.e-002	4.5254e-006
441	5.2667	4.25	0.1	2.4505e-004
442	5.2667	4.5	5.e-002	8.2079e-006
443	5.1833	4.	0.1	3.3327e-004
444	5.2667	4.	5.e-002	1.1461e-005
445	5.1	4.25	0.1	2.8006e-004
446	5.1	4.	5.e-002	7.0047e-006
447	5.1	4.75	0.1	1.5786e-004
448	5.1	4.5	5.e-002	1.117e-005
449	5.1	5.5	0.1	1.0025e-004
450	5.1	5.	5.e-002	3.6803e-006
451	5.2667	1.25	0.1	1.3788e-004
452	5.2667	0.5	0.1	7.8284e-005
453	5.2667	1.	5.e-002	5.1985e-006
454	5.2667	1.75	0.1	2.6969e-004
455	5.2667	1.5	5.e-002	1.1762e-005
456	5.1833	2.	0.1	4.0482e-004
457	5.2667	2.	5.e-002	1.1213e-005
458	5.1	1.75	0.1	3.1869e-004
459	5.1	2.	5.e-002	3.5548e-005
460	5.1	1.25	0.1	1.5078e-004
461	5.1	1.5	5.e-002	1.4246e-005
462	5.1	0.5	0.1	1.0331e-004
463	5.1	1.	5.e-002	1.8163e-005
464	6.2033	6.	0.1	5.4212e-005
465	5.2667	6.	5.e-002	1.5246e-006
466	8.0767	6.	0.1	5.8043e-005
467	7.14	6.	5.e-002	4.1735e-006
468	9.95	6.	0.1	5.6129e-005
469	9.0133	6.	5.e-002	1.4966e-006
470	11.823	6.	0.1	4.4844e-005
471	10.887	6.	5.e-002	1.3662e-006
472	13.697	6.	0.1	3.2278e-005
473	12.76	6.	5.e-002	9.0582e-007
474	15.57	6.	0.1	2.2048e-005
475	14.633	6.	5.e-002	6.8734e-007
476	17.443	6.	0.1	1.3792e-005
477	16.507	6.	5.e-002	5.4478e-007
478	19.317	6.	0.1	7.4013e-006
479	18.38	6.	5.e-002	4.6335e-007
480	21.19	6.	0.1	3.2298e-006
481	20.253	6.	5.e-002	2.4859e-007
482	23.063	6.	0.1	1.2143e-006
483	22.127	6.	5.e-002	1.692e-007
484	24.	5.	0.1	7.0229e-007
485	24.	6.	5.e-002	9.6734e-008
486	24.	3.	0.1	8.5807e-007
487	24.	4.	5.e-002	9.1205e-008
488	24.	1.	0.1	7.5346e-007
489	24.	2.	5.e-002	1.1899e-007
490	2.6226e-014	3.	0.1	1.336e-004
491	8.7419e-015	1.	0.1	1.2291e-004
492	1.772e-014	2.	5.e-002	3.3873e-006
493	4.371e-014	5.	0.1	1.1965e-004
494	3.5441e-014	4.	5.e-002	5.8434e-006
495	23.063	0.	0.1	1.3546e-006
496	24.	0.	5.e-002	1.4445e-007
497	21.19	0.	0.1	3.2468e-006
498	22.127	0.	5.e-002	1.2547e-007
499	19.317	0.	0.1	7.3769e-006
500	20.253	0.	5.e-002	1.5167e-007
501	17.443	0.	0.1	1.3766e-005
502	18.38	0.	5.e-002	4.6864e-007
503	15.57	0.	0.1	2.1989e-005
504	16.507	0.	5.e-002	6.2638e-007
505	13.697	0.	0.1	3.2175e-005
506	14.633	0.	5.e-002	8.0622e-007
507	11.823	0.	0.1	4.3963e-005
508	12.76	0.	5.e-002	7.66e-007
509	9.95	0.	0.1	5.6817e-005
510	10.887	0.	5.e-002	5.9112e-007
511	8.0767	0.	0.1	5.955e-005
512	9.0133	0.	5.e-002	6.4652e-007
513	6.2033	0.	0.1	5.2141e-005
514	7.14	0.	5.e-002	2.7037e-006
515	5.2667	0.	5.e-002	4.3847e-006
516	4.25	1.8198e-030	0.1	8.3582e-005
517	5.1	2.1837e-030	5.e-002	2.8685e-006
518	2.55	1.0919e-030	0.1	1.1145e-004
519	3.4	0.	5.e-002	4.863e-006
520	0.85	3.6396e-031	0.1	1.1662e-004
521	1.7	0.	5.e-002	5.3548e-006
522	0.	0.	5.e-002	1.8782e-005
523	0.85	6.	0.1	1.1569e-004
524	5.2451e-014	6.	5.e-002	2.5144e-005
525	2.55	6.	0.1	1.142e-004
526	1.7	6.	5.e-002	4.45e-006
527	4.25	6.	0.1	9.0487e-005
528	3.4	6.	5.e-002	2.6686e-006
529	5.1	6.	5.e-002	2.4671e-006
530	2.55	6.	0.	5.1948e-005
531	4.25	6.	0.	2.9781e-005
532	0.85	6.	0.	3.6652e-005
533	5.1	5.5	0.	3.0695e-005
534	4.371e-014	5.	0.	1.3736e-006
535	2.55	1.0919e-030	0.	4.6565e-005
536	0.85	3.6396e-031	0.	3.4816e-005
537	4.25	1.8198e-030	0.	2.6713e-005
538	5.1	0.5	0.	3.6524e-005
539	8.7419e-015	1.	0.	6.5046e-007
540	8.0767	0.	0.	2.2682e-005
541	6.2033	0.	0.	2.1419e-005
542	9.95	0.	0.	1.9448e-005
543	11.823	0.	0.	1.5178e-005
544	13.697	0.	0.	1.1287e-005
545	15.57	0.	0.	8.0448e-006
546	17.443	0.	0.	5.3523e-006
547	19.317	0.	0.	3.3929e-006
548	21.19	0.	0.	2.1734e-006
549	23.063	0.	0.	1.3601e-006
550	5.2667	0.5	0.	2.8804e-005
551	24.	1.	0.	8.6675e-007
552	2.6226e-014	3.	0.	1.4658e-007
553	24.	3.	0.	9.471e-007
554	24.	5.	0.	8.5222e-007
555	23.063	6.	0.	1.1611e-006
556	21.19	6.	0.	1.9504e-006
