Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,1.7944,3.1688,0,0.0011251,11244,0.00053156,1554.4,0.00022748,-730.36,-0.0010936,-10656,0.019234
2,0.92834,3.9139,0,0.000575,5746,0.00025108,1269.7,0.00020157,897.74,-0.00053722,-4653.3,0.004443
3,2.2437,3.1118,0,0.0012012,12004,0.00048099,851.9,0.0003279,-298.37,-0.0011877,-11686,0.032695
4,20.364,2.8282,0,7.2527e-05,724.77,2.2037e-05,-57.4,2.1887e-05,-58.527,-7.4499e-05,-782.73,2.0143
5,17.716,3.6873,0,0.00014279,1427,4.7526e-05,8.7458,4.724e-05,6.602,-0.00014253,-1419.3,1.6247
6,18.851,1.528,0,0.0001233,1232.1,4.2601e-05,7.5979,3.8128e-05,-26.003,-0.00012358,-1241,1.7904
7,15.316,3.9629,0,0.00020012,1999.8,6.7029e-05,17.384,6.5959e-05,9.3415,-0.00019967,-1986.5,1.2884
8,12.667,4.0067,0,0.00026318,2630,9.1415e-05,42.956,8.3027e-05,-20.066,-0.00026274,-2618,0.94423
9,10.054,3.9608,0,0.00032719,3269.6,0.00011723,62.17,9.7827e-05,-83.582,-0.00032731,-3277.9,0.64109
10,6.3177,3.6475,0,0.0003578,3575.5,0.00015196,47.256,6.0834e-05,-637.46,-0.00036289,-3821.1,0.28711
11,4.2371,4.6019,0,0.00048187,4815.4,0.00022941,912.91,0.00011894,82.861,-0.00045953,-4263.6,0.13287
12,3.4917,3.5308,0,0.00050547,5051.2,0.00020004,145.63,0.00012177,-442.44,-0.00050795,-5173.9,0.090978
13,4.397,1.2462,0,0.00041965,4193.6,0.00015377,64.017,0.00011798,-204.92,-0.0004214,-4257.6,0.14288
14,6.7594,1.6714,0,0.0003768,3765.4,0.00013672,42.405,0.00010691,-181.52,-0.00037867,-3830,0.32297
15,9.7257,1.8713,0,0.00033171,3314.9,0.00011928,72.503,9.9309e-05,-77.569,-0.00033155,-3314.8,0.60672
16,12.282,2.0121,0,0.00027231,2721.3,9.1131e-05,5.3536,8.8209e-05,-16.607,-0.0002725,-2726.8,0.89827
17,14.839,2.0404,0,0.00020949,2093.5,7.0635e-05,7.1085,6.7236e-05,-18.426,-0.00020967,-2099,1.2254
18,17.183,1.989,0,0.00015368,1535.7,5.2168e-05,-23.285,4.6087e-05,-68.977,-0.0001552,-1581.3,1.5493
19,2.1438,3.3737,0,0.0012387,12378,0.00066328,3177.1,0.00024266,16.774,-0.0011537,-10475,0.029175
20,1.9767,3.4182,0,0.0011112,11105,0.00052785,2388.8,0.00030479,712.75,-0.0010489,-9458.5,0.023965
21,2.5964,3.5397,0,0.00093212,9314.8,0.00054777,2707.6,0.00011049,-577.94,-0.00085134,-7804.7,0.046094
22,4.1047,2.5116,0,0.00048683,4865,0.00019325,252.71,0.00012709,-244.38,-0.00048478,-4841.7,0.12731
23,4.1047,2.5116,0.1,0.00048683,4865,0.00048478,4841.7,-0.00012709,244.38,-0.00019325,-252.71,0.12731
24,2.5964,3.5397,0.1,0.00093212,9314.8,0.00085134,7804.7,-0.00011049,577.94,-0.00054777,-2707.6,0.046094
25,1.9767,3.4182,0.1,0.0011112,11105,0.0010489,9458.5,-0.00030479,-712.75,-0.00052785,-2388.8,0.023965
26,2.1438,3.3737,0.1,0.0012387,12378,0.0011537,10475,-0.00024266,-16.774,-0.00066328,-3177.1,0.029175
27,17.183,1.989,0.1,0.00015368,1535.7,0.0001552,1581.3,-4.6087e-05,68.977,-5.2168e-05,23.285,1.5493
28,14.839,2.0404,0.1,0.00020949,2093.5,0.00020967,2099,-6.7236e-05,18.426,-7.0635e-05,-7.1085,1.2254
29,12.282,2.0121,0.1,0.00027231,2721.3,0.0002725,2726.8,-8.8209e-05,16.607,-9.1131e-05,-5.3536,0.89827
30,9.7257,1.8713,0.1,0.00033171,3314.9,0.00033155,3314.8,-9.9309e-05,77.569,-0.00011928,-72.503,0.60672
31,6.7594,1.6714,0.1,0.0003768,3765.4,0.00037867,3830,-0.00010691,181.52,-0.00013672,-42.405,0.32297
32,4.397,1.2462,0.1,0.00041965,4193.6,0.0004214,4257.6,-0.00011798,204.92,-0.00015377,-64.017,0.14288
33,3.4917,3.5308,0.1,0.00050547,5051.2,0.00050795,5173.9,-0.00012177,442.44,-0.00020004,-145.63,0.090978
34,4.2371,4.6019,0.1,0.00048187,4815.4,0.00045953,4263.6,-0.00011894,-82.861,-0.00022941,-912.91,0.13287
35,6.3177,3.6475,0.1,0.0003578,3575.5,0.00036289,3821.1,-6.0834e-05,637.46,-0.00015196,-47.256,0.28711
36,10.054,3.9608,0.1,0.00032719,3269.6,0.00032731,3277.9,-9.7827e-05,83.582,-0.00011723,-62.17,0.64109
37,12.667,4.0067,0.1,0.00026318,2630,0.00026274,2618,-8.3027e-05,20.066,-9.1415e-05,-42.956,0.94423
38,15.316,3.9629,0.1,0.00020012,1999.8,0.00019967,1986.5,-6.5959e-05,-9.3415,-6.7029e-05,-17.384,1.2884
39,18.851,1.528,0.1,0.0001233,1232.1,0.00012358,1241,-3.8128e-05,26.003,-4.2601e-05,-7.5979,1.7904
40,17.716,3.6873,0.1,0.00014279,1427,0.00014253,1419.3,-4.724e-05,-6.602,-4.7526e-05,-8.7458,1.6247
41,20.364,2.8282,0.1,7.2527e-05,724.77,7.4499e-05,782.73,-2.1887e-05,58.527,-2.2037e-05,57.4,2.0143
42,2.2437,3.1118,0.1,0.0012012,12004,0.0011877,11686,-0.0003279,298.37,-0.00048099,-851.9,0.032695
43,0.92834,3.9139,0.1,0.000575,5746,0.00053722,4653.3,-0.00020157,-897.74,-0.00025108,-1269.7,0.004443
44,1.7944,3.1688,0.1,0.0011251,11244,0.0010936,10656,-0.00022748,730.36,-0.00053156,-1554.4,0.019234
45,2.1667,1,0.1,0.00057472,5743.2,0.00057627,5800.4,-0.00016721,214.18,-0.00020741,-87.822,0.015832
46,2.1667,1.5,0.1,0.00088424,8836.3,0.00090461,9438.6,-0.00025705,710.35,-0.00028532,497.92,0.021014
47,2.1667,2,0.1,0.001555,15540,0.0016478,18369,-0.0003155,3617.3,-0.00051126,2146.5,0.02567
48,2,2,0.1,0.0020042,20028,0.002103,24389,-4.548e-05,8245.8,-0.00088,1975.5,0.020568
49,2,1.5,0.1,0.0011286,11278,0.0011041,12107,2.9542e-05,4033.5,-0.00061094,-778.84,0.018389
50,2,1,0.1,0.00086752,8669.3,0.00078737,8005.8,4.0739e-05,2395.9,-0.00054155,-1979.2,0.017524
51,2.1667,5,0.1,0.0005021,5017.5,0.00052532,5721.6,-0.00011548,906.84,-0.00016652,523.28,0.014389
52,2.1667,4.5,0.1,0.0010516,10509,0.0010946,11792,-0.00026613,1568.6,-0.00033913,1020.1,0.020473
53,2.1667,4,0.1,0.002362,23603,0.0024106,25205,-0.00056206,2869.7,-0.00087595,511.22,0.026108
54,2,4,0.1,0.0018933,18920,0.0019427,21027,-0.00025733,4496.4,-0.00080369,391.29,0.021141
55,2,4.5,0.1,0.00095819,9575.3,0.0009698,10405,-0.00010357,2339.9,-0.00043867,-177.92,0.016869
56,2,5,0.1,0.00044833,4480.2,0.00046566,5127.3,-6.0135e-05,1176.7,-0.00018221,259.55,0.013839
57,2.1667,6,0.1,0.00038939,3891.2,0.00039285,4068.3,-7.768e-05,532.93,-0.00016205,-101.03,0.0032648
58,4.8958,6,0.1,0.00038006,3797.9,0.00036864,3590.7,-7.3862e-05,265.89,-0.00018222,-548.29,0.16921
59,7.625,6,0.1,0.00035805,3578,0.00035599,3550.1,-9.1356e-05,188.97,-0.0001446,-211.06,0.39087
60,10.354,6,0.1,0.00032745,3272.3,0.00032799,3303.3,-8.8959e-05,170.57,-0.00012398,-92.587,0.66499
61,13.083,6,0.1,0.00026629,2661.1,0.00026341,2586.7,-7.7096e-05,28.319,-0.000103,-166.28,0.98789
62,15.813,6,0.1,0.00019231,1921.8,0.00018931,1839.1,-5.8026e-05,-19.299,-7.4145e-05,-140.41,1.3498
63,18.542,6,0.1,0.00012106,1209.8,0.00011704,1110.6,-3.0884e-05,-0.86571,-5.4457e-05,-177.98,1.7394
64,21.271,6,0.1,5.6924e-05,568.85,5.5199e-05,536.69,-1.1261e-05,37.338,-2.7216e-05,-82.543,2.1458
65,24,6,0.1,3.9345e-05,393.18,3.7347e-05,366.35,-4.1506e-06,54.557,-2.1439e-05,-75.337,2.5604
66,24,3,0.1,4.7808e-05,477.75,4.7056e-05,470.69,-8.9083e-06,50.196,-2.2086e-05,-48.815,2.5646
67,3.2782e-14,3.75,0.1,0.00036278,3625.3,0.00048405,7191.8,8.6733e-06,3620,-5.2592e-06,3515.4,0
68,3.937e-14,6,0.1,0.00016186,1617.5,0.00021246,3105,-7.5717e-07,1503,-4.8193e-06,1472.5,0
69,1,6,0.1,0.00034863,3483.9,0.00032425,2881,-8.2745e-05,-176.99,-0.00018052,-911.66,0.0020689
70,2,6,0.1,0.00025942,2592.4,0.0002803,3750.2,6.2673e-05,2115.1,-0.00011752,761.18,0.0094893
71,24,0,0.1,3.8828e-05,388.01,3.4373e-05,305.22,-3.4774e-06,20.829,-2.4457e-05,-136.8,2.5647
72,21.574,0,0.1,5.5091e-05,550.53,5.001e-05,465.77,-4.349e-06,57.336,-3.3318e-05,-160.32,2.1959
73,19.148,0,0.1,0.00010317,1031,0.00010087,981.42,-2.4552e-05,39.018,-4.5677e-05,-119.71,1.8328
74,16.722,0,0.1,0.00016422,1641,0.00016551,1681.2,-4.8171e-05,75.675,-5.7333e-05,6.8402,1.4813
75,14.296,0,0.1,0.00022379,2236.4,0.00022554,2288.5,-6.9087e-05,74.744,-7.5027e-05,30.11,1.1488
76,11.87,0,0.1,0.00028963,2894.3,0.00029066,2925.8,-8.9879e-05,66.579,-9.9053e-05,-2.352,0.84255
77,9.4444,0,0.1,0.00033608,3358.5,0.00033645,3370.1,-0.00010625,43.783,-0.00011471,-19.777,0.57037
78,7.0185,0,0.1,0.00037318,3729.3,0.00037026,3647.8,-0.00011582,-4.485,-0.00013572,-154.02,0.33773
