Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	2.8933	2.8786	0.	-2413.
2	4.0675	2.0875	0.	-1462.8
3	4.0236	4.699	0.	-980.48
4	1.7976	0.84024	0.	-1205.6
5	1.9549	2.4907	0.	-1788.8
6	4.0328	0.59823	0.	-825.99
7	1.8251	5.0206	0.	-1195.8
8	3.8412	5.4747	0.	-670.05
9	4.3487	4.0264	0.	-1318.1
10	1.109	3.4521	0.	-1455.2
11	4.9959	2.0378	0.	-1071.
12	0.92287	4.8036	0.	-1219.
13	4.0868	2.8447	0.	-1732.7
14	0.89938	2.1917	0.	-1453.8
15	0.87563	1.0643	0.	-1282.6
16	5.0345	1.0502	0.	-899.91
17	6.2175	1.0989	0.	-915.96
18	7.3443	1.1509	0.	-821.1
19	8.4627	1.164	0.	-710.25
20	9.5914	1.1776	0.	-611.72
21	10.72	1.1694	0.	-520.4
22	11.831	1.1684	0.	-437.45
23	12.936	1.1685	0.	-362.19
24	14.043	1.1682	0.	-294.18
25	15.146	1.1688	0.	-233.42
26	16.25	1.1698	0.	-179.8
27	17.352	1.1726	0.	-133.32
28	18.455	1.1772	0.	-93.919
29	19.557	1.1839	0.	-61.551
30	20.662	1.1884	0.	-36.229
31	21.774	1.188	0.	-17.798
32	22.888	1.1948	0.	-6.3051
33	22.876	2.3927	0.	-6.9068
34	22.878	3.6019	0.	-6.9036
35	22.887	4.7978	0.	-6.3547
36	21.771	4.7922	0.	-17.861
37	20.656	4.7904	0.	-36.48
38	19.548	4.7372	0.	-61.922
39	18.444	4.6951	0.	-94.267
40	17.344	4.6735	0.	-133.64
41	16.245	4.6655	0.	-179.97
42	15.145	4.664	0.	-233.36
43	14.044	4.6641	0.	-293.87
44	12.939	4.6647	0.	-361.63
45	11.835	4.6643	0.	-436.51
46	10.707	4.7087	0.	-520.28
47	9.5671	4.7421	0.	-611.82
48	8.3953	4.7488	0.	-715.02
49	7.1469	4.7266	0.	-831.39
50	5.7666	4.648	0.	-955.65
51	4.8653	5.2211	0.	-893.07
52	5.9997	3.4077	0.	-947.04
53	6.1433	2.2257	0.	-942.03
54	7.2395	2.3023	0.	-824.18
55	8.3986	2.3547	0.	-711.48
56	9.5525	2.3517	0.	-611.65
57	10.694	2.3446	0.	-520.41
58	11.816	2.3384	0.	-436.97
59	12.933	2.3434	0.	-361.48
60	14.04	2.3442	0.	-293.61
61	15.143	2.3457	0.	-233.02
62	16.247	2.3487	0.	-179.53
63	17.35	2.3539	0.	-133.09
64	18.453	2.3608	0.	-93.728
65	19.557	2.3686	0.	-61.553
66	20.661	2.3766	0.	-36.37
67	21.768	2.386	0.	-18.209
68	21.766	3.5918	0.	-18.223
69	20.661	3.578	0.	-36.418
70	19.558	3.5547	0.	-61.549
71	18.447	3.5288	0.	-93.962
72	17.346	3.5147	0.	-133.29
73	16.244	3.5064	0.	-179.7
74	15.141	3.5024	0.	-233.17
75	14.038	3.5013	0.	-293.74
76	12.932	3.5006	0.	-361.55
77	11.812	3.508	0.	-437.18
78	10.69	3.5144	0.	-520.59
79	9.5326	3.5443	0.	-613.89
80	8.3499	3.5327	0.	-716.08
81	7.1692	3.5275	0.	-826.28
82	3.6812	5.0592	0.	-549.78
83	1.819	1.7073	0.	-1452.1
84	2.2175	2.9851	0.	-2106.9
85	1.9677	4.0918	0.	-1627.
86	2.4804	3.9405	0.	-2282.6
87	2.711	3.8446	0.	-3533.3
88	3.6463	1.0371	0.	-562.81
89	3.7918	1.5128	0.	-1202.4
90	3.2857	3.6228	0.	-1753.7
91	2.9695	3.4659	0.	-2644.1
92	2.7554	3.5081	0.	-2909.3
93	3.8963	3.5253	0.	-1908.5
94	3.3183	2.8609	0.	-1896.7
95	5.0429	3.1629	0.	-1098.6
96	2.5331	3.2326	0.	-2273.1
97	2.5331	3.2326	0.1	-4.3266
98	5.0429	3.1629	0.1	17.128
99	3.3183	2.8609	0.1	-295.43
100	3.8963	3.5253	0.1	-47.091
101	2.7554	3.5081	0.1	-262.76
102	2.9695	3.4659	0.1	-257.25
103	3.2857	3.6228	0.1	-506.14
104	3.7918	1.5128	0.1	-202.9
105	3.6463	1.0371	0.1	-326.46
106	2.711	3.8446	0.1	-901.65
107	2.4804	3.9405	0.1	-629.29
108	1.9677	4.0918	0.1	-58.611
109	2.2175	2.9851	0.1	47.544
110	1.819	1.7073	0.1	76.018
111	3.6812	5.0592	0.1	-153.52
112	7.1692	3.5275	0.1	4.8652
113	8.3499	3.5327	0.1	0.93664
114	9.5326	3.5443	0.1	0.45522
115	10.69	3.5144	0.1	0.82771
116	11.812	3.508	0.1	-3.6782
117	12.932	3.5006	0.1	-6.514
118	14.038	3.5013	0.1	-8.3369
119	15.141	3.5024	0.1	-9.3914
120	16.244	3.5064	0.1	-10.044
121	17.346	3.5147	0.1	-10.425
122	18.447	3.5288	0.1	-10.681
123	19.558	3.5547	0.1	-10.759
124	20.661	3.578	0.1	-10.815
125	21.766	3.5918	0.1	-10.809
126	21.768	2.386	0.1	-10.779
127	20.661	2.3766	0.1	-10.748
128	19.557	2.3686	0.1	-10.722
129	18.453	2.3608	0.1	-10.628
130	17.35	2.3539	0.1	-10.4
131	16.247	2.3487	0.1	-10.
132	15.143	2.3457	0.1	-9.3995
133	14.04	2.3442	0.1	-8.387
134	12.933	2.3434	0.1	-6.7039
135	11.816	2.3384	0.1	-3.8234
136	10.694	2.3446	0.1	0.80342
137	9.5525	2.3517	0.1	0.69942
138	8.3986	2.3547	0.1	-2.0135
139	7.2395	2.3023	0.1	-7.0104e-002
140	6.1433	2.2257	0.1	-18.272
141	5.9997	3.4077	0.1	-2.4086
142	4.8653	5.2211	0.1	-22.703
143	5.7666	4.648	0.1	10.147
144	7.1469	4.7266	0.1	-3.0524
145	8.3953	4.7488	0.1	3.5216
146	9.5671	4.7421	0.1	0.65659
147	10.707	4.7087	0.1	-0.98311
148	11.835	4.6643	0.1	-4.2321
149	12.939	4.6647	0.1	-6.1876
150	14.044	4.6641	0.1	-7.2464
151	15.145	4.664	0.1	-7.9177
152	16.245	4.6655	0.1	-8.2662
